"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2007-01-03",108.75,111.06,108.66,109.77,2596700,105.31
"2007-01-04",109.77,109.77,108.24,108.48,2248200,104.07
"2007-01-05",108.25,108.53,107.04,107.53,1346800,103.16
"2007-01-08",108,108.31,106.92,107.85,1456700,103.47
"2007-01-09",108.8,109.47,107.29,108.17,1627100,103.77
"2007-01-10",107.51,107.89,106.63,107.59,1252800,103.22
"2007-01-11",107.84,108.25,106.96,107.67,1613900,103.29
"2007-01-12",107.51,109.21,107.5,108.86,1541700,104.44
"2007-01-16",111.9,112.9,111.13,111.68,3118300,107.14
"2007-01-17",111.12,111.95,111.05,111.25,1801900,106.73
"2007-01-18",112.83,112.83,110.45,110.81,1857200,106.31
"2007-01-19",111.25,111.62,110.53,110.98,1401200,106.47
"2007-01-22",110.65,111.12,108.64,109.62,2168500,105.16
"2007-01-23",109.62,110.6,108.66,109.22,1866900,104.78
"2007-01-24",109.29,110.9,109,110.58,1214100,106.09
"2007-01-25",110.48,111.15,110.26,110.56,1976900,106.07
"2007-01-26",110.45,110.95,108.93,109.89,1879800,105.42
"2007-01-29",110.24,111.58,110.1,110.8,1596200,106.3
"2007-01-30",109.62,110.21,108.61,109.21,2447400,104.77
"2007-01-31",109.2,110.46,108.4,110.4,1974100,105.91
"2007-02-01",110.67,111.9,110.3,111.89,1626400,107.34
"2007-02-02",113.7,115.36,113,114.98,2994800,110.31
"2007-02-05",114.4,114.9,113.56,113.85,1450300,109.22
"2007-02-06",114.24,115.1,113.33,115,1887700,110.33
"2007-02-07",115,115.68,114.38,115.23,1787800,110.55
"2007-02-08",114.78,114.79,113.01,113.75,1463400,109.13
"2007-02-09",114.2,114.39,113.06,113.39,1085200,108.78
"2007-02-12",113.75,114.16,113,113.18,961900,108.58
"2007-02-13",113.18,113.72,111.84,113.54,1512100,108.93
"2007-02-14",115.1,118.15,114.99,117.58,3087900,112.8
"2007-02-15",117.5,117.85,116.21,117.29,1357800,112.52
"2007-02-16",117.5,117.59,116.46,117.05,1318100,112.29
"2007-02-20",116.3,118.37,116.2,118.29,1587100,113.48
"2007-02-21",118,119.42,117.65,119.13,1573900,114.29
"2007-02-22",119.61,119.7,118.44,119.01,1376300,114.17
"2007-02-23",119.01,120.97,118.03,120.97,2038800,116.05
"2007-02-26",121.2,121.42,116.79,116.99,2392200,112.24
"2007-02-27",116,116.39,112.5,113.72,2766200,109.1
"2007-02-28",114.7,115.5,113.8,114.23,1697200,109.59
"2007-03-01",113.05,114.75,111.29,114.16,2307000,109.52
"2007-03-02",113.7,114.15,112.25,112.5,1590900,107.93
"2007-03-05",110.4,112.41,110.38,111.17,2008200,106.65
"2007-03-06",112.25,112.97,111.51,112.57,1558700,107.99
"2007-03-07",112.2,112.92,111.89,112.35,1128600,107.78
"2007-03-08",113.2,113.86,112.85,113.59,1267800,109.06
"2007-03-09",115.87,116.76,114.11,114.67,1478400,110.1
"2007-03-12",114.25,115.69,113.84,115.14,1105200,110.55
"2007-03-13",114.6,115.05,112.69,112.69,2088900,108.2
"2007-03-14",113.09,113.57,109.94,112.62,2464700,108.13
"2007-03-15",112.1,113,111.68,111.88,1268900,107.42
"2007-03-16",111.88,112.37,110.43,111.14,2563600,106.71
"2007-03-19",112.25,113,111.63,112.48,1528100,108
"2007-03-20",112.43,112.66,111.74,112.29,1698100,107.81
"2007-03-21",109.2,112.11,109,110.99,5472500,106.56
"2007-03-22",111.02,111.35,110.1,110.63,2338200,106.22
"2007-03-23",110.63,112.88,110.3,112.71,2005400,108.22
"2007-03-26",112.2,113,110.54,110.83,2476000,106.41
"2007-03-27",110.75,110.75,110,110.05,1995000,105.66
"2007-03-28",110,110,107.62,107.67,2774300,103.38
"2007-03-29",108.6,109.2,106.69,107.7,2261500,103.41
