"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2007-03-06",62.15,62.22,61.37,61.7,19244300,49.28
"2007-03-07",61.65,62.53,61.59,61.86,14139300,49.41
"2007-03-08",62,62.25,61.65,61.72,14670100,49.3
"2007-03-09",62.18,62.31,61.94,62.14,10011500,49.64
"2007-03-12",62.25,62.35,61.41,61.79,13310200,49.36
"2007-03-13",61.4,61.73,60.61,60.77,17202700,48.54
"2007-03-14",60.99,61.15,60.11,60.71,16217000,48.49
"2007-03-15",60.7,60.81,60.35,60.53,10109800,48.35
"2007-03-16",60.57,60.88,60.25,60.51,15553900,48.33
"2007-03-19",60.65,60.8,60.37,60.73,10425200,48.51
"2007-03-20",60.66,61.34,60.65,61.07,9871300,48.78
"2007-03-21",61.07,61.32,60.48,61.22,16305000,48.9
"2007-03-22",61.22,61.48,60.79,60.86,12725500,48.61
"2007-03-23",61.25,61.25,60.35,60.51,17676100,48.33
"2007-03-26",60.8,60.8,59.87,60.25,17385900,48.13
"2007-03-27",60.1,60.21,59.98,60.03,12691000,47.95
"2007-03-28",60,60.4,59.87,60,16111500,47.93
"2007-03-29",60.38,60.48,60.02,60.34,16849900,48.2
"2007-03-30",60.43,60.45,59.95,60.26,13275100,48.13
"2007-04-02",60.26,60.4,60.03,60.1,9734200,48.01
"2007-04-03",60.55,60.87,60.25,60.64,12055300,48.44
"2007-04-04",60.71,61.35,60.55,61.29,12983300,48.96
"2007-04-05",61.34,61.9,61.23,61.55,9694800,49.16
"2007-04-09",61.6,61.75,61.37,61.63,5829600,49.23
"2007-04-10",61.54,61.87,61.46,61.67,9137600,49.26
"2007-04-11",61.52,62.29,61.5,61.89,14688400,49.44
"2007-04-12",61.55,61.95,61.5,61.92,9342600,49.46
"2007-04-13",62.15,62.38,61.89,62.35,14546100,49.8
"2007-04-16",62.49,63.02,62.41,63.02,13395100,50.34
"2007-04-17",65.3,65.4,64.43,64.55,29072800,51.56
"2007-04-18",64.45,64.77,64.15,64.43,11757000,51.47
"2007-04-19",64.94,65.03,64.3,64.94,12530900,51.87
"2007-04-20",65.45,65.45,64.87,65.12,15794600,52.02
"2007-04-23",65,65.12,64.68,64.75,10862400,51.72
"2007-04-24",65.15,65.15,64.36,64.49,10367000,51.51
"2007-04-25",64.75,65.12,64.5,64.68,12907800,51.67
"2007-04-26",64.49,64.7,64.15,64.24,10533100,51.31
"2007-04-27",64.01,64.53,63.85,64.17,9817600,51.26
"2007-04-30",64,64.37,63.75,64.22,13917900,51.3
"2007-05-01",64.53,64.94,64.26,64.56,10049100,51.57
"2007-05-02",64.01,64.8,64,64.48,7976300,51.51
"2007-05-03",64.59,64.8,64.14,64.32,8992000,51.38
"2007-05-04",64.56,64.79,64.16,64.48,6489200,51.51
"2007-05-07",63.99,64.33,63.59,64.26,10864100,51.33
"2007-05-08",63.94,64.09,63.5,63.7,10957500,50.88
"2007-05-09",63.64,64.29,63.31,64.11,13768500,51.21
"2007-05-10",64.01,64.01,62.47,62.5,23573300,49.92
"2007-05-11",62.3,63.03,61.65,62.27,23867100,49.74
"2007-05-14",63,63.46,62.56,62.61,16788200,50.01
"2007-05-15",61.99,62.4,61.66,61.82,21866900,49.38
"2007-05-16",62.78,63.37,62.41,63.05,17213000,50.36
"2007-05-17",63.1,63.1,62.53,62.74,12360000,50.12
"2007-05-18",62.98,63.63,62.8,63.42,13378700,50.66
"2007-05-21",63.85,64.03,63.38,63.52,10813300,50.74
"2007-05-22",63.55,63.88,63.3,63.58,8892500,50.79
"2007-05-23",63.77,64.1,63.64,63.81,9822100,50.97
"2007-05-24",63.76,64.08,63.46,63.48,11036400,51.04
"2007-05-25",63.58,63.58,63.09,63.19,8493000,50.81
"2007-05-29",63.2,63.36,62.79,63.05,10059400,50.69
"2007-05-30",63.05,63.36,62.76,63.22,10866600,50.83
"2007-05-31",63,63.55,62.97,63.27,12154500,50.87
"2007-06-01",63.35,63.77,63.02,63.41,10836900,50.98
"2007-06-04",63.05,63.67,63.01,63.6,10090400,51.13
"2007-06-05",63.4,63.55,63.02,63.31,11391400,50.9
"2007-06-06",63.2,63.43,62.55,62.9,11532300,50.57
"2007-06-07",62.64,62.9,61.99,62,14245500,49.85
"2007-06-08",62.05,62.35,61.46,62.13,13943800,49.95
"2007-06-11",62.89,62.89,62.15,62.27,9082200,50.07
"2007-06-12",62.25,62.41,61.76,61.83,11908200,49.71
"2007-06-13",61.91,62.26,61.32,62.18,14814400,49.99
"2007-06-14",62.2,62.61,62.18,62.45,9093400,50.21
"2007-06-15",62.59,63.12,62.57,62.77,16817100,50.47
"2007-06-18",62.85,62.9,62.23,62.33,8489300,50.11
"2007-06-19",62.34,62.67,62.2,62.42,11399300,50.19
"2007-06-20",62.52,62.84,61.99,62.04,11311700,49.88
"2007-06-21",61.91,62.34,61.79,62.11,10370700,49.94
"2007-06-22",61.85,61.98,60.73,60.73,22060300,48.83
"2007-06-25",61,61.51,60.97,61.11,12967700,49.13
"2007-06-26",61.36,61.96,61.32,61.65,13908200,49.57
"2007-06-27",61.15,61.53,61.07,61.45,14158300,49.41
"2007-06-28",61.5,61.84,61.2,61.5,9515800,49.45
"2007-06-29",61.58,61.94,61.21,61.62,12025100,49.54
"2007-07-02",61.94,62,61.38,61.85,8090400,49.73
"2007-07-03",62,62.28,61.88,61.95,4716100,49.81
"2007-07-05",62.1,62.42,61.87,62.28,8299700,50.07
"2007-07-06",62.1,62.4,62,62.13,7558900,49.95
"2007-07-09",62.36,63.33,61.99,62.72,18794500,50.43
"2007-07-10",62.72,62.85,62.12,62.2,14338300,50.01
"2007-07-11",62.2,62.99,62.15,62.86,11145900,50.54
"2007-07-12",63.05,63.41,62.62,63.36,11042400,50.94
"2007-07-13",63.47,63.6,63.01,63.43,8999400,51
"2007-07-16",63.37,63.88,63.28,63.8,13368200,51.3
"2007-07-17",62.88,63.52,62.28,62.74,27568400,50.44
"2007-07-18",62.51,62.9,62.02,62.2,16892500,50.01
"2007-07-19",62.35,62.7,62.06,62.39,12653800,50.16
"2007-07-20",62.39,62.5,61.72,61.79,13773900,49.68
"2007-07-23",61.89,62.33,61.85,62,9439400,49.85
"2007-07-24",61.57,62.13,61.42,61.47,10753800,49.42
"2007-07-25",61.48,61.99,61.19,61.53,10622200,49.47
"2007-07-26",61.03,61.52,60.75,60.96,23319000,49.01
"2007-07-27",60.75,61.14,59.72,59.77,23503600,48.06
"2007-07-30",59.93,60.44,59.77,60.07,13604100,48.3
"2007-07-31",61.35,61.78,60.5,60.5,21874200,48.64
"2007-08-01",60.51,61.4,60.45,60.96,17638800,49.01
"2007-08-02",60.8,61.48,60.75,61.03,17094800,49.07
"2007-08-03",61.5,61.5,60.41,60.55,12984400,48.68
"2007-08-06",60.31,62.36,60.31,62.3,14768000,50.09
"2007-08-07",61.75,62.4,61.55,62.08,18086400,49.91
"2007-08-08",61.99,62.49,61.2,62.49,15477600,50.24
"2007-08-09",62,62.6,60.83,60.83,20821000,48.91
"2007-08-10",60.7,61.42,60.5,61.15,15651600,49.17
"2007-08-13",61.32,61.87,61.13,61.45,11132700,49.41
"2007-08-14",61.51,61.94,61.11,61.13,18623200,49.15
"2007-08-15",61.08,61.75,60.78,61.3,13757600,49.29
"2007-08-16",60.8,61.93,60.73,61.63,24001900,49.55
"2007-08-17",62.49,62.98,61.35,62.02,18327900,49.86
"2007-08-20",61.84,62.1,61.54,61.83,12981800,49.71
"2007-08-21",61.57,61.91,61.5,61.67,12477700,49.58
"2007-08-22",61.7,62.1,61.62,62.01,12141600,49.86
"2007-08-23",62.15,62.37,61.97,62.11,8809400,49.94
"2007-08-24",61.76,61.98,61.35,61.88,9166300,50.09
"2007-08-27",61.66,61.85,61.51,61.6,10458800,49.86
"2007-08-28",61.6,61.68,61.23,61.25,14789300,49.58
"2007-08-29",61.35,61.99,61.26,61.86,10176700,50.07
"2007-08-30",61.35,61.91,61.35,61.6,8354000,49.86
"2007-08-31",61.98,62.07,61.65,61.79,13355800,50.01
"2007-09-04",61.63,62.05,61.6,61.98,9167600,50.17
"2007-09-05",61.85,61.97,61.45,61.65,11283800,49.9
"2007-09-06",61.7,61.9,61.61,61.66,7724400,49.91
"2007-09-07",61.51,62.03,61.26,61.68,13553000,49.92
"2007-09-10",61.85,61.98,61.57,61.84,10176500,50.05
"2007-09-11",61.98,62.14,61.72,62.05,9942900,50.22
"2007-09-12",62,62.67,61.95,62.51,11635100,50.6
"2007-09-13",62.68,63.27,62.57,63.11,13499000,51.08
"2007-09-14",62.99,63.32,62.87,63.2,9369200,51.16
"2007-09-17",63.02,63.33,62.7,62.94,11085700,50.94
"2007-09-18",62.97,63.95,62.94,63.83,12653400,51.67
"2007-09-19",63.76,64.78,63.65,64.49,17955900,52.2
"2007-09-20",64.5,65,64.18,64.79,12079500,52.44
"2007-09-21",64.9,65.56,64.79,65.12,17638200,52.71
"2007-09-24",64.98,65.55,64.75,65.2,12256700,52.77
"2007-09-25",64.8,65.34,64.75,64.97,10084900,52.59
"2007-09-26",65.02,65.63,64.86,65.39,12518700,52.93
"2007-09-27",65.38,65.75,65.35,65.54,9074100,53.05
"2007-09-28",65.55,65.75,65.34,65.7,8857800,53.18
"2007-10-01",65.66,66.2,65.66,66.14,12568700,53.53
"2007-10-02",66.16,66.34,65.88,66.05,9839400,53.46
"2007-10-03",65.87,66.8,65.82,66.1,9377800,53.5
"2007-10-04",66.1,66.35,66,66.11,8741800,53.51
"2007-10-05",66.3,66.4,66.2,66.25,9407400,53.62
"2007-10-08",66.25,66.38,65.95,66.02,5678900,53.44
"2007-10-09",66.1,66.27,65.94,66.25,7639500,53.62
"2007-10-10",66.27,66.3,65.67,65.83,8523900,53.28
"2007-10-11",65.98,66.23,65.83,65.95,10369200,53.38
"2007-10-12",66.17,66.24,65.81,65.94,7025800,53.37
"2007-10-15",65.95,66.16,65.41,65.65,9198100,53.14
"2007-10-16",65.77,66,64.61,65.07,14314900,52.67
"2007-10-17",65.55,65.58,64.72,64.85,10198300,52.49
"2007-10-18",65.24,65.32,64.69,64.9,13529500,52.53
"2007-10-19",64.58,65,64.16,64.23,15297000,51.99
"2007-10-22",64.3,64.39,63.55,64.34,11153100,52.08
"2007-10-23",64.4,64.6,63.96,64.55,7727900,52.25
"2007-10-24",64.33,64.52,63.73,64.44,11114300,52.16
"2007-10-25",64.42,64.45,63.73,63.95,10605500,51.76
"2007-10-26",64.18,64.6,63.82,64.3,9531300,52.05
"2007-10-29",64.45,65.46,64.3,64.98,12797700,52.6
"2007-10-30",64.8,65.27,64.75,64.82,7698400,52.47
"2007-10-31",64.83,65.25,64.6,65.17,10547400,52.75
"2007-11-01",64.8,65.38,64.52,64.66,11156800,52.34
"2007-11-02",64.73,65,64.36,64.78,9896700,52.43
"2007-11-05",64.01,64.86,64.01,64.49,10137400,52.2
"2007-11-06",64.49,64.89,64.15,64.61,7820100,52.3
"2007-11-07",64.1,64.53,63.73,63.91,10751600,51.73
"2007-11-08",63.97,64.89,63.95,64.59,16433400,52.28
"2007-11-09",63.85,65.75,63.85,65.16,16157300,52.74
"2007-11-12",66.37,66.95,64.98,66.31,17582900,53.67
"2007-11-13",66.73,67.35,66.53,67.31,16501000,54.48
"2007-11-14",67.2,67.3,66.75,66.89,12128500,54.14
"2007-11-15",66.76,67.3,66.54,66.88,11491600,54.13
"2007-11-16",67.2,67.78,66.58,67.75,15135600,54.84
"2007-11-19",67.46,68.01,67.44,67.59,19230900,54.71
"2007-11-20",67.83,67.95,67.2,67.64,15463500,54.75
"2007-11-21",67,67.65,66.94,67.14,14971600,54.34
"2007-11-23",67.4,67.4,66.17,66.88,5964700,54.47
"2007-11-26",66.75,68.08,66.39,67.37,15977400,54.87
"2007-11-27",67.58,67.88,67.23,67.73,15183000,55.16
"2007-11-28",67.84,68.48,67.06,68.35,15187400,55.67
"2007-11-29",67.99,68.66,67.56,68.4,11035900,55.71
"2007-11-30",68.54,68.75,67.2,67.74,16655400,55.17
"2007-12-03",67.62,68.08,67.3,67.71,9768100,55.15
"2007-12-04",67.44,68.21,67.4,67.94,8107400,55.33
"2007-12-05",67.45,68.25,67.45,68.21,9752700,55.55
"2007-12-06",68.19,68.37,67.75,68.3,7604500,55.63
"2007-12-07",68.5,68.5,67.58,67.68,12058400,55.12
"2007-12-10",67.73,68,67.45,67.79,8315100,55.21
"2007-12-11",67.79,67.97,67.48,67.55,10231500,55.02
"2007-12-12",68,68.4,67.02,67.7,19269400,55.14
"2007-12-13",67.5,68,67.42,67.87,7775900,55.28
"2007-12-14",67.58,67.93,67.39,67.59,9492100,55.05
"2007-12-17",67.43,67.76,67.21,67.55,12357700,55.02
"2007-12-18",67.9,67.9,67.18,67.71,12275400,55.15
"2007-12-19",67.59,67.75,67.21,67.32,8853900,54.83
"2007-12-20",67.68,67.68,67.23,67.33,11029400,54.84
"2007-12-21",67.35,68.19,67.35,68.03,19689500,55.41
"2007-12-24",67.61,68.3,67.59,67.87,2772000,55.28
"2007-12-26",67.98,67.99,67.36,67.56,6399800,55.02
"2007-12-27",67.1,67.98,67.01,67.33,7623400,54.84
"2007-12-28",67.75,67.93,67.03,67.38,5279200,54.88
"2007-12-31",67.29,67.33,66.55,66.7,8515000,54.32
"2008-01-02",66.56,67,65.72,65.91,11970500,53.68
"2008-01-03",65.75,66.4,65.36,65.93,9277600,53.7
"2008-01-04",65.72,66.4,65.72,65.84,12714800,53.62
"2008-01-07",65.76,67.21,65.75,66.86,12352700,54.45
"2008-01-08",67.05,67.75,66.6,66.94,13478500,54.52
"2008-01-09",66.99,68.29,66.99,67.8,19489900,55.22
"2008-01-10",67.43,68.23,67.35,67.91,13043400,55.31
"2008-01-11",67.34,68.03,67.34,67.88,15541800,55.28
"2008-01-14",68.29,68.29,67.31,67.95,11661600,55.34
"2008-01-15",67.7,68.17,67.45,67.76,11545300,55.19
"2008-01-16",67.33,68.85,67.33,68.31,18310300,55.64
"2008-01-17",68.37,68.56,66,67.83,18336600,55.24
"2008-01-18",68.16,68.16,66.01,66.29,22716600,53.99
"2008-01-22",64.67,66.75,64.5,65.27,29488900,53.16
"2008-01-23",65,65.57,62.13,64.2,22843600,52.29
"2008-01-24",64.54,64.54,63.34,63.51,18084400,51.73
"2008-01-25",63.54,63.99,62.34,62.46,23938400,50.87
"2008-01-28",62.66,63.13,62.5,63.07,10182000,51.37
"2008-01-29",63.34,63.39,62.83,62.97,10074000,51.29
"2008-01-30",62.97,63,62,62.18,13653300,50.64
"2008-01-31",61.86,63.39,61.72,63.14,21274200,51.42
"2008-02-01",63.35,63.59,62.75,63.36,11780400,51.6
"2008-02-04",63.38,63.71,63,63.47,7976200,51.69
"2008-02-05",63.72,63.75,62.8,62.87,11320400,51.2
"2008-02-06",63.18,63.37,62.78,63.05,9556900,51.35
"2008-02-07",62.81,63.18,62.5,62.81,13693300,51.16
"2008-02-08",62.85,63.19,61.94,62.03,13338800,50.52
"2008-02-11",62.13,62.14,61.36,61.88,11133400,50.4
"2008-02-12",62.14,63.15,62.01,62.97,11421300,51.29
"2008-02-13",62.59,63.75,62.59,63.41,11190600,51.64
"2008-02-14",63.3,63.63,62.62,62.79,10864100,51.14
"2008-02-15",62.67,63.1,62.45,62.9,11916000,51.23
"2008-02-19",63.25,63.83,63.05,63.66,10392600,51.85
"2008-02-20",63.66,63.71,63.11,63.23,13772900,51.5
"2008-02-21",63.38,63.57,62.75,62.98,11085000,51.29
"2008-02-22",62.76,63.28,62.5,63.18,10142300,51.8
"2008-02-25",63.34,63.94,63.21,63.85,9979000,52.35
"2008-02-26",63.67,64.07,63.4,63.72,9219200,52.24
"2008-02-27",63.21,63.85,62.96,63.04,9569700,51.68
"2008-02-28",63.1,63.49,62.5,62.71,8545200,51.41
"2008-02-29",62.7,62.75,61.88,61.96,12028300,50.8
"2008-03-03",62,62.3,61.62,62.23,8841200,51.02
"2008-03-04",62.1,62.8,62.01,62.64,14347700,51.36
"2008-03-05",62.76,63.28,62.64,63.13,13654600,51.76
"2008-03-06",62.95,63.3,62.51,62.63,12137700,51.35
"2008-03-07",62.06,62.42,61.4,61.51,14935800,50.43
"2008-03-10",61.69,61.74,61.17,61.33,14229400,50.28
"2008-03-11",61.76,62.53,61.49,62.44,13635600,51.19
"2008-03-12",62.45,63.13,62.14,62.55,13132300,51.28
"2008-03-13",62.52,63.44,61.66,62.81,15810500,51.49
"2008-03-14",63.37,63.37,62.25,62.65,20835000,51.36
"2008-03-17",61.64,64.29,61.64,64.04,21927300,52.5
"2008-03-18",64.74,65.31,64.43,65.31,15062200,53.54
"2008-03-19",65.39,65.81,64.82,64.88,15845800,53.19
"2008-03-20",64.97,65.5,64.89,65.38,16276300,53.6
"2008-03-24",65.16,65.54,64.64,64.89,9887900,53.2
"2008-03-25",64.93,65.14,64.35,64.55,9511900,52.92
"2008-03-26",64.21,64.85,64.21,64.7,11354700,53.04
"2008-03-27",64.82,65.25,64.52,64.62,10772200,52.98
"2008-03-28",64.84,65,64.06,64.18,8755200,52.62
"2008-03-31",64.29,65.01,63.72,64.87,13668500,53.18
"2008-04-01",65.13,65.92,64.51,65.87,11204700,54
"2008-04-02",65.85,65.97,65.15,65.31,9791500,53.54
"2008-04-03",64.8,65.58,64.8,65.27,7651200,53.51
"2008-04-04",65.24,65.95,65.03,65.73,8079600,53.89
"2008-04-07",65.65,66.24,65.5,66.14,8901900,54.23
"2008-04-08",65.98,66.61,65.75,66.32,8861100,54.37
"2008-04-09",66.22,66.5,65.94,66.29,8589900,54.35
"2008-04-10",66.26,66.57,66.15,66.33,8272100,54.38
"2008-04-11",66.2,66.75,65.94,66,9234800,54.11
"2008-04-14",65.99,66.42,65.74,65.74,10326800,53.9
"2008-04-15",65.63,66.02,64.99,65.65,17362000,53.82
"2008-04-16",65.79,65.91,65.13,65.7,12617900,53.86
"2008-04-17",65.64,66,65.55,65.76,8841500,53.91
"2008-04-18",66.07,66.8,65.94,66.51,10741100,54.53
"2008-04-21",66.25,66.57,66.05,66.32,8975600,54.37
"2008-04-22",66.06,67.16,65.79,66.99,13185600,54.92
"2008-04-23",67.12,67.49,66.75,67.26,10643000,55.14
"2008-04-24",67.21,67.74,67.02,67.37,9613100,55.23
"2008-04-25",67.57,67.7,66.94,67.31,9182200,55.18
"2008-04-28",67.3,67.67,67.17,67.32,9071600,55.19
"2008-04-29",67.25,67.49,67.13,67.19,7706800,55.09
"2008-04-30",67.45,67.67,66.92,67.09,13098400,55
"2008-05-01",67.13,67.88,66.95,67.81,13165100,55.59
"2008-05-02",67.51,68.32,67.51,68.26,12562300,55.96
"2008-05-05",68.04,68.32,67.71,67.9,10550400,55.67
"2008-05-06",67.7,67.98,67.31,67.58,9487600,55.41
"2008-05-07",67.48,67.68,66.79,66.91,12628400,54.86
"2008-05-08",67.03,67.16,66.7,66.9,9444500,54.85
"2008-05-09",66.52,66.97,66.35,66.55,8758400,54.56
"2008-05-12",66.59,66.89,66.3,66.71,7707900,54.69
"2008-05-13",66.75,67,66.3,66.41,9532400,54.45
"2008-05-14",66.58,67.11,66.41,66.81,9022000,54.77
"2008-05-15",66.98,66.99,66.34,66.68,8407900,54.67
"2008-05-16",66.91,66.91,66.3,66.68,9764900,54.67
"2008-05-19",66.6,66.79,66.26,66.63,8748300,54.63
"2008-05-20",66.44,66.94,66.04,66.15,12612400,54.23
"2008-05-21",66.39,66.7,65.58,65.73,11216800,53.89
"2008-05-22",65.69,65.75,65.21,65.41,9882700,54
"2008-05-23",65.33,65.49,64.86,64.92,9073500,53.6
"2008-05-27",64.82,65.33,64.81,65.15,8358200,53.79
"2008-05-28",65.19,65.31,64.64,64.88,14779300,53.57
"2008-05-29",64.66,66.65,64.54,66.42,13264000,54.84
"2008-05-30",66.49,67.03,66.36,66.74,10995000,55.1
"2008-06-02",66.55,67,66.15,66.51,9630900,54.91
"2008-06-03",66.61,67.04,66.44,66.76,11363000,55.12
"2008-06-04",66.7,66.94,66.27,66.55,8962800,54.95
"2008-06-05",66.66,67.1,66.5,66.96,8679800,55.28
"2008-06-06",66.58,66.76,65.68,65.76,14267200,54.29
"2008-06-09",65.88,66.2,65.31,65.63,8695900,54.19
"2008-06-10",65.21,65.92,65.21,65.62,10170100,54.18
"2008-06-11",65.51,65.85,65.11,65.2,10392400,53.83
"2008-06-12",65.24,65.83,65.16,65.69,9743400,54.24
"2008-06-13",65.78,66.37,65.74,66.27,8938300,54.71
"2008-06-16",65.96,66.16,65.5,65.84,7984700,54.36
"2008-06-17",66.04,66.25,65.5,65.59,7304000,54.15
"2008-06-18",65.28,65.97,64.2,64.44,12845600,53.2
"2008-06-19",64.31,64.98,64.14,64.62,9089600,53.35
"2008-06-20",64.29,64.62,63.88,64.06,16435000,52.89
"2008-06-23",64.2,64.46,63.95,64.29,8689900,53.08
"2008-06-24",64.1,64.84,64.1,64.72,10692800,53.43
"2008-06-25",64.83,65.68,64.72,65.28,10391100,53.9
"2008-06-26",64.68,65.35,64.26,64.26,12412700,53.06
"2008-06-27",64.2,64.71,63.4,63.57,19081600,52.49
"2008-06-30",63.54,64.61,63.1,64.34,12516900,53.12
"2008-07-01",63.75,64.98,63.74,64.69,16637300,53.41
"2008-07-02",64.94,65.11,64.5,64.64,10708000,53.37
"2008-07-03",64.35,65.36,64.25,65.12,7714900,53.77
"2008-07-07",65.1,65.94,64.87,65.25,14506700,53.87
"2008-07-08",65.15,66.28,65.15,66.21,15476900,54.67
"2008-07-09",66.15,67,66.02,66.18,13940700,54.64
"2008-07-10",66.06,67.2,66.06,66.94,17399900,55.27
"2008-07-11",66.31,66.73,66,66.26,16631500,54.71
"2008-07-14",66.44,66.94,66.09,66.41,11114700,54.83
"2008-07-15",67.1,67.98,66.79,67.7,24203400,55.9
"2008-07-16",67.77,68.81,67.5,68.19,18883600,56.3
"2008-07-17",68.44,68.45,67,67.83,14217400,56
"2008-07-18",67.75,68.22,67.55,67.82,12903500,55.99
"2008-07-21",67.98,67.98,67,67.11,11279400,55.41
"2008-07-22",67.02,68.25,67.02,67.99,15551300,56.13
"2008-07-23",68.21,68.35,67.62,68.27,10256800,56.37
"2008-07-24",68.26,69.25,67.72,68.66,16543100,56.69
"2008-07-25",68.88,69.21,68.56,69.03,10504500,56.99
"2008-07-28",68.96,68.99,68.42,68.48,9814300,56.54
"2008-07-29",68.55,69,68.3,68.48,13012200,56.54
"2008-07-30",68.7,68.7,67.71,68.08,13523100,56.21
"2008-07-31",67.8,69.05,67.79,68.47,13798400,56.53
"2008-08-01",68.5,68.8,67.93,68.1,9052300,56.23
"2008-08-04",68.18,69.42,67.97,68.98,13694700,56.95
"2008-08-05",69.31,70.5,69.13,70.45,20179200,58.17
"2008-08-06",70.35,71.49,70.08,71.07,18729400,58.68
"2008-08-07",70.57,71.1,70.01,70.65,14181000,58.33
"2008-08-08",70.77,71.68,70.38,71.55,12071300,59.07
"2008-08-11",71.43,71.9,71.09,71.66,10231600,59.16
"2008-08-12",71.47,71.87,71.29,71.7,8696800,59.2
"2008-08-13",71.67,71.84,71,71.2,10600600,58.78
"2008-08-14",71.2,71.8,70.64,71.19,9459500,58.78
"2008-08-15",70.82,71.41,70.77,71.33,10790800,58.89
"2008-08-18",71.61,71.61,70.8,71.09,9846300,58.69
"2008-08-19",70.65,71.38,70.65,71.15,9133700,58.74
"2008-08-20",71.18,71.55,70.59,71.08,10278400,58.69
"2008-08-21",70.68,71.54,70.51,71.28,7840100,58.85
"2008-08-22",71.05,71.68,70.82,71.42,7717700,59.35
"2008-08-25",71.25,71.35,70.55,70.8,8205000,58.83
"2008-08-26",70.72,71.02,70.25,70.71,6439600,58.76
"2008-08-27",70.72,71.39,70.31,71.21,8399300,59.18
"2008-08-28",71.48,71.69,71.17,71.41,8148200,59.34
"2008-08-29",71.18,71.4,70.42,70.43,10368300,58.53
"2008-09-02",71.09,72.1,70.77,71.73,15122400,59.61
"2008-09-03",71.67,71.9,71.31,71.51,9844000,59.42
"2008-09-04",71.49,71.49,70.4,70.45,13676200,58.54
"2008-09-05",70.39,71.07,70.31,70.67,10746400,58.73
"2008-09-08",71.2,72.38,70.8,72.22,15226500,60.01
"2008-09-09",71.91,72.76,71.34,71.34,19050100,59.28
"2008-09-10",71.65,72.01,71.02,71.23,12611100,59.19
"2008-09-11",70.92,71.55,70.32,71.16,15725800,59.13
"2008-09-12",71.06,71.87,70.3,70.59,15141200,58.66
"2008-09-15",69.92,70.89,69.61,69.61,20929700,57.85
"2008-09-16",69.62,70.5,69.5,69.8,23336300,58
"2008-09-17",69.79,71,69.51,69.51,24167100,57.76
"2008-09-18",70.2,70.95,69.2,70.93,29279900,58.94
"2008-09-19",71.85,72.69,69.21,69.99,27446100,58.16
"2008-09-22",69.83,70.71,68.3,68.41,16067900,56.85
"2008-09-23",68.68,69.1,68.06,68.15,13635900,56.63
"2008-09-24",68.25,69,67.55,68.19,12469600,56.67
"2008-09-25",68.55,69.97,68.46,69.36,14577700,57.64
