"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2007-01-03",64.2,65.06,64.05,64.54,801100,52.43
"2007-01-04",64.65,64.71,64.01,64.52,721500,52.41
"2007-01-05",64.24,64.78,64.03,64.73,935100,52.58
"2007-01-08",64.65,64.65,64.11,64.3,760100,52.23
"2007-01-09",64.78,65.48,64.45,65.2,1109100,52.96
"2007-01-10",65.21,65.43,64.62,65.29,586700,53.04
"2007-01-11",65.29,66.57,65.29,66.43,920000,53.96
"2007-01-12",66.25,67.33,66.2,67.07,761100,54.48
"2007-01-16",67.07,67.56,67.07,67.29,572200,54.66
"2007-01-17",67.3,67.88,66.87,67.83,814800,55.1
"2007-01-18",67.65,67.69,65.8,66.01,1887300,53.62
"2007-01-19",66.51,66.7,65.59,66.15,1398700,53.74
"2007-01-22",65.89,66.08,65.24,65.47,668400,53.18
"2007-01-23",65.48,66.1,65.35,66.04,659600,53.65
"2007-01-24",66.03,66.49,65.76,66.24,797700,53.81
"2007-01-25",66.45,66.48,65.51,65.7,728000,53.37
"2007-01-26",65.47,65.48,64.55,65.13,960800,52.91
"2007-01-29",65.21,65.7,64.97,65.37,593900,53.1
"2007-01-30",65.62,65.67,65.03,65.67,499600,53.35
"2007-01-31",65.67,66.51,65.67,66.29,901300,53.85
"2007-02-01",66.22,68.18,66.21,67.82,1658000,55.09
"2007-02-02",67.85,68.03,67.21,67.71,808200,55
"2007-02-05",67.38,67.5,66.79,67.07,575400,54.48
"2007-02-06",67.07,68.02,67.07,67.92,818000,55.17
"2007-02-07",68,68.46,68,68.34,784100,55.51
"2007-02-08",68.07,68.31,67.56,67.6,531600,54.91
"2007-02-09",67.85,68.42,67.82,67.9,739300,55.16
"2007-02-12",67.99,68.81,67.9,67.95,814900,55.2
"2007-02-13",68.37,69.09,68.3,68.81,850100,55.9
"2007-02-14",68.46,68.8,68.07,68.61,606200,56.14
"2007-02-15",68.4,68.8,68.4,68.68,436200,56.2
"2007-02-16",68.79,69,68.08,68.21,818200,55.81
"2007-02-20",67.67,68.45,66.96,68.2,846900,55.81
"2007-02-21",68.08,68.35,67.69,68.27,699300,55.86
"2007-02-22",68.5,68.53,67.33,67.44,688400,55.18
"2007-02-23",67.44,67.85,66.91,67.74,788900,55.43
"2007-02-26",68.2,68.46,67.66,68,892100,55.64
"2007-02-27",67.57,67.57,64.84,66.09,1351600,54.08
"2007-02-28",66.09,67.13,66,66.25,1228200,54.21
"2007-03-01",65.69,66.46,64.7,65.99,867100,54
"2007-03-02",65.77,66.1,65.2,65.49,1309600,53.59
"2007-03-05",65.49,65.95,64.88,65.09,894800,53.26
"2007-03-06",65.43,66.23,65.26,65.9,856600,53.92
"2007-03-07",65.64,65.99,65.35,65.52,582700,53.61
"2007-03-08",65.75,66.81,65.66,66.5,701500,54.41
"2007-03-09",66.9,68.11,66.85,67.97,1161700,55.62
"2007-03-12",67.8,69.06,67.8,68.71,1410300,56.22
"2007-03-13",68.8,69.59,67.63,67.8,2356500,55.48
"2007-03-14",67.96,68.44,66.89,68.26,1139500,55.85
"2007-03-15",68.31,69.33,68.26,68.98,732300,56.44
"2007-03-16",68.96,69.5,68.34,69.04,1088300,56.49
"2007-03-19",69.04,70.39,68.88,70.31,1682300,57.53
"2007-03-20",70.5,71.46,70.5,71.22,1834600,58.28
"2007-03-21",70.87,72.26,70.68,72.14,976700,59.03
"2007-03-22",72.15,72.21,71.71,71.88,906000,58.82
"2007-03-23",71.62,72.4,71.51,72.28,786700,59.14
"2007-03-26",72.23,72.29,71.03,72.29,723600,59.15
"2007-03-27",71.75,72,71.3,71.58,660300,58.57
"2007-03-28",71.48,71.48,70.43,70.69,698200,57.84
"2007-03-29",71.23,71.41,69.96,70.61,921500,57.78
"2007-03-30",70.54,71.25,69.72,70.31,1093600,57.53
"2007-04-02",70.31,70.72,69.94,70.59,697900,57.76
"2007-04-03",70.84,71.46,70.42,71.2,631800,58.26
"2007-04-04",71.2,71.5,70.94,71.32,524700,58.36
"2007-04-05",71.03,71.25,70.82,71.06,629500,58.15
"2007-04-09",71.77,72.8,71.47,71.81,684000,58.76
"2007-04-10",71.61,71.66,70.6,70.89,856100,58.01
"2007-04-11",71.1,71.25,70.33,70.56,873000,57.74
"2007-04-12",70.62,71.36,70.19,71.36,613100,58.39
"2007-04-13",71.35,71.35,70.73,71,394000,58.1
"2007-04-16",71.28,72.19,71.15,72.11,674700,59.01
"2007-04-17",71.99,72,70.75,70.78,973600,57.92
"2007-04-18",70.78,71.12,70.28,70.92,1307300,58.03
"2007-04-19",71.52,75.89,70.92,75.5,2875200,61.78
"2007-04-20",75.57,75.57,74.72,75.25,1793800,61.57
"2007-04-23",74.91,75.45,74.76,75.02,1120000,61.39
"2007-04-24",74.82,75.1,73.84,74.23,996600,60.74
"2007-04-25",74.3,75.07,74.3,74.98,819200,61.35
"2007-04-26",74.61,74.93,74.1,74.4,733400,60.88
"2007-04-27",74.41,74.77,73.59,74.72,728200,61.14
"2007-04-30",74.72,74.78,73.58,73.59,1229600,60.22
"2007-05-01",73.61,73.7,72.87,73.26,910100,59.95
"2007-05-02",73.16,74.45,73.15,74.02,680800,60.57
"2007-05-03",73.95,75.04,73.95,75.02,964500,61.39
"2007-05-04",74.99,75.11,74.25,74.8,539400,61.21
"2007-05-07",75,75.87,74.85,75.8,650100,62.02
"2007-05-08",75.16,75.18,74.43,74.85,663100,61.65
"2007-05-09",74.75,75.62,74.69,75.62,704300,62.29
"2007-05-10",75.07,75.35,74.1,74.34,820000,61.23
"2007-05-11",74.53,74.86,74.1,74.64,812000,61.48
"2007-05-14",74.48,75.18,74.31,74.49,627700,61.36
"2007-05-15",74.78,75.59,74.48,74.68,644500,61.51
"2007-05-16",74.8,75.12,74.29,75.01,702000,61.79
"2007-05-17",74.91,75.7,74.9,75.5,748700,62.19
"2007-05-18",76.06,78.8,75.6,77.81,2331300,64.09
"2007-05-21",77.08,78.32,76.59,77.97,1887500,64.22
"2007-05-22",77.63,78.08,77.37,77.88,841400,64.15
"2007-05-23",77.88,78.6,77.28,77.36,758300,63.72
"2007-05-24",76.87,77.23,76.27,76.56,1437500,63.06
"2007-05-25",76.66,77.23,76.56,77.11,692400,63.52
"2007-05-29",77,77.2,76.1,76.4,722700,62.93
"2007-05-30",76.1,77.04,75.5,77.01,1067100,63.43
"2007-05-31",76.91,77.08,76.16,76.19,947600,62.76
"2007-06-01",76.19,77,75.94,76.37,844200,62.91
"2007-06-04",75.98,76.41,75.53,76.21,1050400,62.77
"2007-06-05",75.85,76.49,75.76,76.35,727300,62.89
"2007-06-06",76.36,76.36,75.5,75.77,1140400,62.41
"2007-06-07",75.3,75.77,73.79,73.79,1110400,60.78
