"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2007-01-03",112,113.1,110.99,112.09,1244600,84.71
"2007-01-04",111.84,112.22,111.25,111.68,1134400,84.4
"2007-01-05",111.47,111.47,109.45,109.72,567400,82.92
"2007-01-08",109.53,110.48,109.07,110.35,630900,83.4
"2007-01-09",110.7,112.1,110.65,111.75,848200,84.46
"2007-01-10",111.75,114.09,111.17,114.06,670900,86.2
"2007-01-11",114.3,116.9,114.3,115.21,1094300,87.07
"2007-01-12",115.05,116.84,115.01,115.87,748100,87.57
"2007-01-16",116.12,118.72,116.12,118.72,786200,89.72
"2007-01-17",118.72,119.15,116.92,118.52,796900,89.57
"2007-01-18",118.77,119.4,117.69,117.97,909200,89.16
"2007-01-19",118.4,119.95,117.79,119.93,681400,90.64
"2007-01-22",120.35,120.6,119.65,119.82,898100,90.55
"2007-01-23",119.82,121.11,119.3,120.4,699400,90.99
"2007-01-24",120.4,121.93,120.1,121.93,698600,92.15
"2007-01-25",122.95,124.26,122.27,122.73,1066500,92.75
"2007-01-26",123.25,123.3,121.59,122.68,755200,92.72
"2007-01-29",122.78,123.44,122.07,122.45,752100,92.54
"2007-01-30",122.45,123.8,121.65,123.8,897600,93.56
"2007-01-31",123.8,126.56,123.59,126.09,819200,95.29
"2007-02-01",123.51,126.12,123.14,126.09,5489900,95.29
"2007-02-02",126.5,127.08,125.36,126.88,1995300,95.89
"2007-02-05",127,127.58,126.35,126.42,1506300,95.54
"2007-02-06",126.95,128.56,126.6,128.38,1673700,97.02
"2007-02-07",128.44,131.48,127.81,130.75,3003900,98.82
"2007-02-08",130.75,133.02,129,129.48,3549900,97.86
"2007-02-09",129.73,130.29,124.05,127.04,3119600,96.01
"2007-02-12",127.03,127.03,122.59,123.5,3085400,93.34
"2007-02-13",123.52,125.87,121.43,125.8,1807000,95.07
"2007-02-14",125.37,126.12,124.5,124.99,1326600,94.46
"2007-02-15",124.99,127.92,124.94,127.1,1618400,96.06
"2007-02-16",126.77,127.35,124.43,125.88,2169900,95.13
"2007-02-20",125.89,127.46,125.06,127.41,1602800,96.29
"2007-02-21",127.41,127.41,125.9,126.74,632200,95.78
"2007-02-22",127.4,127.6,125.5,126,1358700,95.23
"2007-02-23",126,126.09,122.59,122.65,1381200,92.69
"2007-02-26",122.79,123.88,119.85,121.95,1737100,92.16
"2007-02-27",121.95,121.95,117,118.2,1859800,89.33
"2007-02-28",118.44,120.81,118.2,120.03,2119000,90.71
"2007-03-01",118,119.92,115.39,118.72,1837400,89.72
"2007-03-02",118.47,118.95,116.91,117.03,1180500,88.45
"2007-03-05",117.04,117.04,113.73,113.73,1456200,85.95
"2007-03-06",114.63,118.79,114.63,118.16,1435600,89.3
"2007-03-07",118.18,118.65,116.14,116.44,1012800,88
"2007-03-08",117,119.94,117,118.97,1587600,89.91
"2007-03-09",119.65,120.51,119,119.7,1012100,90.46
"2007-03-12",119.52,120.46,118.11,119.7,695200,90.46
"2007-03-13",119.5,119.5,116.51,117.18,1415400,88.56
"2007-03-14",117.18,118.19,115.15,117.66,1210800,88.92
"2007-03-15",117.62,119.1,117.62,118.17,783000,89.31
"2007-03-16",118.6,118.71,116.23,116.67,1151800,88.17
"2007-03-19",117.67,118.2,116.92,118.01,814000,89.19
"2007-03-20",117.88,118.11,116.7,117.72,792900,88.97
"2007-03-21",117.68,119.92,116.63,119.51,841300,90.32
"2007-03-22",119.75,120,118.22,118.91,619600,89.87
"2007-03-23",119.16,120.49,119,119.14,557900,90.04
"2007-03-26",119.14,119.49,116.71,117.05,1261200,88.46
"2007-03-27",117.05,117.05,115.01,115.78,1081600,87.5
"2007-03-28",114.9,116.24,113.16,115,1023500,87.43
"2007-03-29",115.9,116.09,114.31,114.65,837000,87.16
"2007-03-30",115.3,117.5,114.99,117.4,1655600,89.25
"2007-04-02",117.41,118.9,116.79,118.55,1657000,90.12
"2007-04-03",119.02,119.95,118.68,119.47,1046500,90.82
"2007-04-04",119.69,119.7,117.64,118.57,769500,90.14
"2007-04-05",118.82,118.85,117.97,118.09,512700,89.77
"2007-04-09",118.09,119.03,118,118.74,411100,90.27
"2007-04-10",118.86,119.3,117.7,118.07,819500,89.76
"2007-04-11",116.58,118.49,115.87,116.56,926400,88.61
"2007-04-12",114.87,116.46,114.87,115.65,691000,87.92
"2007-04-13",115.4,116.6,114.78,116.32,700700,88.43
"2007-04-16",116.8,116.95,115.1,115.87,907300,88.09
"2007-04-17",116.17,117.74,115.6,117.36,867000,89.22
"2007-04-18",117.36,117.7,116.47,116.57,668000,88.62
"2007-04-19",116.57,116.61,115.2,116.16,748500,88.31
"2007-04-20",117.02,117.6,116,116.35,759800,88.45
"2007-04-23",116.35,118.15,116.35,117.85,1136300,89.59
