"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2007-04-24",118.25,118.25,116.3,116.74,701900,88.75
"2007-04-25",117.21,118.28,116.06,117.22,753700,89.11
"2007-04-26",117.23,118.26,116.8,117.47,533200,89.3
"2007-04-27",117.94,119.45,117.02,118.92,921000,90.41
"2007-04-30",117.47,119.48,117.47,117.56,1006600,89.37
"2007-05-01",117.71,118,115.48,116.61,1093600,88.65
"2007-05-02",116.16,117.45,115.28,116.92,826700,88.89
"2007-05-03",117.33,117.69,115.43,117.27,635300,89.15
"2007-05-04",117.52,117.56,115.21,115.64,603300,87.91
"2007-05-07",116.92,117.33,115.8,116.21,715000,88.35
"2007-05-08",116.11,116.33,115.2,115.2,586400,87.58
"2007-05-09",115.42,117.91,115.33,117.83,892000,89.58
"2007-05-10",117,117.61,116.15,116.22,1078900,88.35
"2007-05-11",116.45,117.72,116.45,117.11,736300,89.03
"2007-05-14",117.24,117.95,115.48,116.11,623500,88.27
"2007-05-15",115.85,116.62,113.15,113.3,1229300,86.13
"2007-05-16",113.85,114.06,111.36,112.3,1060800,85.37
"2007-05-17",111.65,111.85,109.52,109.76,1357800,83.44
"2007-05-18",110.09,110.3,107.2,107.3,2107500,81.57
"2007-05-21",107.25,109.11,107.15,108.28,1444700,82.32
"2007-05-22",109.15,111.83,108.62,110.97,1800500,84.36
"2007-05-23",111.22,112.34,110.22,110.22,1053400,83.79
"2007-05-24",110.04,110.04,106.41,107.62,1390200,81.82
"2007-05-25",107.89,109.39,107.35,107.73,879500,81.9
"2007-05-29",108.78,111.46,108.78,111.16,1504700,84.51
"2007-05-30",111.15,115.07,110.99,115,2195200,87.43
"2007-05-31",115.07,115.87,113.85,115.68,1835200,87.94
"2007-06-01",115.68,117,115.36,116.7,1042200,88.72
"2007-06-04",116.69,118,116.28,117.45,904400,89.29
"2007-06-05",117.2,117.2,115.06,115.32,1433200,87.67
"2007-06-06",114.78,115.15,113.89,114.35,768500,86.93
"2007-06-07",113.81,113.81,110.02,110.05,1211300,83.66
"2007-06-08",108.33,111.26,108.33,111.26,983000,84.58
"2007-06-11",111.2,111.2,108.5,108.77,1238700,82.69
"2007-06-12",108.76,108.76,106.45,106.45,1434100,80.93
"2007-06-13",107.15,109.37,106.68,109.37,1240800,83.15
"2007-06-14",108.88,109.4,107.53,108.16,910100,82.23
"2007-06-15",108.71,109.68,108.21,109.44,1504700,83.2
"2007-06-18",109.44,109.59,107.32,107.82,1121400,81.97
"2007-06-19",106.86,107.74,106.51,107.74,974100,81.91
"2007-06-20",107.51,107.68,104.3,104.34,1403400,79.32
"2007-06-21",104.26,104.34,102.06,102.79,2e+06,78.14
"2007-06-22",102,103.19,100.82,101.59,2288400,77.23
"2007-06-25",101.59,102.42,99.41,100.1,1581100,76.1
"2007-06-26",101.59,101.59,98.55,100.07,1724600,76.08
"2007-06-27",99.75,103.18,97.94,103.18,1948000,78.98
"2007-06-28",102.79,104.25,101.88,102.31,1297700,78.31
"2007-06-29",102.44,104.5,101.02,102.13,1610600,78.17
"2007-07-02",102.46,105.01,101.75,104.92,1239200,80.31
"2007-07-03",105.08,105.62,104.16,104.49,545600,79.98
"2007-07-05",106.19,106.73,105.3,105.91,928500,81.07
"2007-07-06",105.73,106.64,104.52,106.02,752900,81.15
"2007-07-09",106.1,106.21,104.95,105.58,584100,80.81
"2007-07-10",104.78,105.44,102.82,103.17,1071400,78.97
"2007-07-11",102.85,103.68,101.94,103.41,1176400,79.15
"2007-07-12",103.52,105.84,103.03,105.84,764700,81.01
"2007-07-13",106.11,106.63,104.8,106.2,954300,81.29
"2007-07-16",106,108.25,105.05,105.12,2123600,80.46
"2007-07-17",105.55,105.97,104,104.5,750100,79.99
"2007-07-18",104.57,104.57,102.53,104.03,1412200,79.63
"2007-07-19",104.29,105.47,104.29,104.81,658900,80.22
"2007-07-20",104.9,105.27,102.93,103.42,1319200,79.16
"2007-07-23",103.14,103.16,100.78,100.78,1069500,77.14
"2007-07-24",100.25,100.95,98.23,98.25,1501000,75.2
"2007-07-25",98.25,100.7,97.05,98.5,1312500,75.39
"2007-07-26",98.5,98.5,94.34,96.95,2138800,74.21
"2007-07-27",95.24,97.28,92.82,92.82,2144300,71.05
"2007-07-30",94.02,95.45,92.19,94.98,1548800,72.7
"2007-07-31",96.05,97.38,94.11,94.49,1657600,72.32
"2007-08-01",93.53,94.95,91.25,94.68,2417200,72.47
"2007-08-02",95,98.95,94.53,97.54,1989200,74.66
"2007-08-03",96.8,98.25,94.48,95.32,2508100,72.96
"2007-08-06",94.24,99.53,94.06,99.53,1595500,76.18
"2007-08-07",98.75,100.76,97.26,99.4,1614700,76.08
"2007-08-08",99.4,103.39,99.4,102.88,1645500,78.75
"2007-08-09",97.01,105.5,96.99,104.86,1775900,80.26
"2007-08-10",103.85,104.49,100.89,101.26,1742400,77.51
"2007-08-13",101.72,102.41,98.51,98.51,996900,75.4
"2007-08-14",99.35,99.35,94.05,94.37,1608800,72.23
"2007-08-15",94.09,96.96,93.1,93.23,1347700,71.36
"2007-08-16",92.92,98,91.39,96.85,1607800,74.13
"2007-08-17",105.75,105.86,96.87,97.61,1508100,74.71
"2007-08-20",97.4,101.02,97.05,100.93,1500600,77.25
"2007-08-21",100.06,101.83,99.64,101.01,1299500,77.32
"2007-08-22",101.71,101.71,99.15,99.92,1265500,76.48
"2007-08-23",100.25,101,98.18,98.58,1341300,75.46
"2007-08-24",97.84,98.77,97.02,98.06,799200,75.06
"2007-08-27",98.5,98.5,96.36,96.47,583600,73.84
"2007-08-28",95.5,95.95,93.83,93.95,973000,71.91
"2007-08-29",94.68,96.42,93.98,96.42,694200,73.8
"2007-08-30",95.88,97.73,95.35,97.19,748700,74.39
"2007-08-31",98.62,101.25,97.74,100.07,1047400,76.6
"2007-09-04",99.5,102.14,99.37,101.09,1169700,77.38
"2007-09-05",99.98,100.16,98.09,98.47,915300,75.37
"2007-09-06",98.92,99.52,96.82,99.13,890900,75.88
"2007-09-07",97.98,97.98,96.01,96.76,927000,74.06
"2007-09-10",97.14,97.53,94.29,95.18,766300,72.85
"2007-09-11",95.35,96.11,94.92,95.66,926100,73.22
"2007-09-12",95.66,96,94.87,95.19,946300,72.86
"2007-09-13",95.68,98.52,95.35,97.5,818500,74.63
"2007-09-14",96.83,97.39,95.52,97.28,502500,74.46
"2007-09-17",97.18,97.91,96.39,97.3,394000,74.48
"2007-09-18",97.01,101.4,97.01,100.87,1159200,77.21
"2007-09-19",101.64,104.89,101.64,104.37,1577000,79.89
"2007-09-20",104.73,105,103.7,103.71,1318800,79.38
"2007-09-21",105,105.5,103.71,103.81,1601000,79.46
"2007-09-24",104.35,106.43,103.84,105.94,780300,81.09
"2007-09-25",105.36,105.46,102.1,102.29,770900,78.3
"2007-09-26",101.69,102.28,100.66,101.11,1300900,77.91
"2007-09-27",101.3,102.85,101.3,102.85,689000,79.25
"2007-09-28",102.55,103.9,102,103.9,922200,80.06
"2007-10-01",104.25,107.7,104.08,107.6,1116400,82.91
"2007-10-02",107.46,109.15,107.46,108.81,1248000,83.84
"2007-10-03",108.52,108.93,107.57,108.78,729700,83.82
"2007-10-04",108.83,110,108.29,109.89,1179300,84.68
"2007-10-05",110.01,113.6,109.17,113.6,1055000,87.53
"2007-10-08",112.02,112.66,111.01,111.96,661000,86.27
"2007-10-09",112.58,112.63,110.32,111.82,857700,86.16
"2007-10-10",112.21,112.24,110.52,111.22,726400,85.7
"2007-10-11",111.88,112.25,109.61,110.14,1002200,84.87
"2007-10-12",110.67,110.99,109.01,109.22,493500,84.16
"2007-10-15",109.45,109.57,105.65,105.9,769500,81.6
"2007-10-16",105.82,105.82,104.51,104.67,662200,80.65
"2007-10-17",105.27,105.64,101.49,103.9,1041400,80.06
"2007-10-18",103.5,105.14,101.93,103.68,856800,79.89
"2007-10-19",102.94,103.25,99.56,100.04,1198600,77.09
"2007-10-22",99.49,102.1,98,102.1,1007100,78.67
"2007-10-23",102.93,104.82,102.51,104.82,1153600,80.77
"2007-10-24",104.5,107.68,102.47,104.15,1379300,80.25
"2007-10-25",104.77,105.5,102.94,105.2,1212200,81.06
"2007-10-26",105.35,107.42,105,107.19,946600,82.59
"2007-10-29",107.03,108.54,106.37,107.04,762100,82.48
"2007-10-30",106.44,107.64,106.27,106.5,766600,82.06
"2007-10-31",107.2,108.34,105.75,108.34,1227500,83.48
"2007-11-01",107.64,107.8,104.98,105.21,1234300,81.07
"2007-11-02",105.43,105.45,101.27,103.08,1441200,79.43
"2007-11-05",101.81,103.22,100.76,102.15,902400,78.71
"2007-11-06",102.8,103.45,100.8,103.28,886800,79.58
"2007-11-07",102.37,102.37,99.04,99.26,1185300,76.48
"2007-11-08",99.26,100.8,97.76,99.64,1928900,76.78
"2007-11-09",98.49,101.5,97.96,100.2,1017700,77.21
"2007-11-12",100,103.15,99.39,99.83,1032500,76.92
"2007-11-13",99.73,104.04,99.73,104.04,1041600,80.17
"2007-11-14",104.04,104.95,99.58,99.89,1564100,76.97
"2007-11-15",99.6,100.13,96.58,98.2,1220400,75.67
"2007-11-16",98.49,98.89,95.32,96.19,1314000,74.12
"2007-11-19",95.44,96.2,94.09,94.17,1079900,72.56
"2007-11-20",94,95.99,90.4,91.9,1522100,70.81
"2007-11-21",90.09,91.81,89.46,91.04,1478600,70.15
"2007-11-23",91.15,93.64,91.15,93.25,431700,71.85
"2007-11-26",92.67,93.11,88.44,88.71,2145200,68.36
"2007-11-27",89.46,91.03,87.78,91.03,1532700,70.14
"2007-11-28",91.9,95.25,91.9,94.8,1302900,73.05
"2007-11-29",94.31,96.3,93.19,95.46,1091100,73.56
"2007-11-30",96.8,98.74,96.78,98.42,1682400,75.84
"2007-12-03",98.33,98.49,96.56,97.41,1000300,75.06
"2007-12-04",96.64,96.99,94.82,94.96,1009200,73.17
"2007-12-05",96.13,98.8,96.03,98.3,1127100,75.74
"2007-12-06",98.11,101.73,97.8,101.63,1606100,78.31
"2007-12-07",101.56,104.24,101.15,102.39,1406200,78.9
"2007-12-10",102.47,105.11,101.69,104.63,975400,80.62
"2007-12-11",105,105,98.33,98.33,1497600,75.77
"2007-12-12",100.74,101.97,96.92,98.05,1387800,75.55
"2007-12-13",97.37,97.8,94.83,96.37,1352600,74.26
"2007-12-14",96.48,96.86,92.72,92.72,1204000,71.45
"2007-12-17",92.22,92.96,90.5,90.9,1230800,70.04
"2007-12-18",91.87,94.25,91.5,93.7,1486900,72.2
"2007-12-19",93.9,96.44,93.87,95.95,1742700,73.93
"2007-12-20",97.49,97.99,96.01,97.68,1378900,75.27
"2007-12-21",98.63,100.4,98.63,100.05,1473600,77.09
"2007-12-24",100.05,103.3,100.05,103.29,410600,79.59
"2007-12-26",102.87,102.88,100.93,101.81,880900,78.45
"2007-12-27",96.7,96.7,92.85,93.07,921800,76.73
"2007-12-28",94.08,94.35,90.41,91.28,1148100,75.26
"2007-12-31",91.04,92.84,90.79,91.81,1068700,75.7
"2008-01-02",91.57,93.57,90.56,92.77,1310300,76.49
"2008-01-03",92.77,93.25,89.27,89.67,1485800,73.93
"2008-01-04",89.1,89.1,85.91,86.12,2404000,71
"2008-01-07",86.59,86.75,83.02,85.42,1763200,70.43
"2008-01-08",86.17,88.1,81.89,82.1,2092400,67.69
"2008-01-09",82.11,84.5,79.88,84.21,1876100,69.43
"2008-01-10",83.74,88.11,82.1,86.99,2114000,71.72
"2008-01-11",86.36,90.54,84.83,89.3,2257000,73.63
"2008-01-14",89.84,90.9,86.45,89.05,1510200,73.42
"2008-01-15",87.47,88.37,86,87.07,1818300,71.79
"2008-01-16",85.95,90.21,85.95,88.59,2037500,73.04
"2008-01-17",88.68,89.35,86.33,87.04,2007700,71.76
"2008-01-18",87.94,89.17,84.16,85.18,2603100,70.23
"2008-01-22",81.4,88.73,81.4,88.72,3648400,73.15
"2008-01-23",88.67,94.88,86.81,94.26,3000900,77.72
"2008-01-24",94.57,94.59,90.28,91.8,2201100,75.69
"2008-01-25",93.1,93.45,89.19,89.66,1464100,73.92
"2008-01-28",89.67,93.33,88.01,93.33,1404700,76.95
"2008-01-29",93.15,94.63,91.61,93.15,1408600,76.8
"2008-01-30",93.15,93.63,89,89.32,2829500,73.64
"2008-01-31",89.74,92.86,87.78,91.71,2260400,75.61
"2008-02-01",90.91,96.39,90.91,96.09,2393500,79.22
"2008-02-04",94.67,96.53,93.57,95.02,1708900,78.34
"2008-02-05",93.03,94.9,91.98,91.98,2077300,75.84
"2008-02-06",92.22,93.15,89.6,89.61,1329100,73.88
"2008-02-07",89.29,91.31,88.46,90.7,1762100,74.78
"2008-02-08",89.97,90.52,85.95,87.23,1503800,71.92
"2008-02-11",87.92,87.92,85.28,85.72,1246200,70.67
"2008-02-12",85.6,87.98,85.6,87.79,1433000,72.38
"2008-02-13",88.1,89.6,86,87.38,1401000,72.04
"2008-02-14",87.23,87.95,84.62,85.35,1034800,70.37
"2008-02-15",85.34,86.63,83.79,86.63,1474400,71.42
"2008-02-19",87.45,87.99,84.77,85.29,1277400,70.32
"2008-02-20",84.58,86.99,84.33,86.75,1260400,71.52
"2008-02-21",87.15,88,84.7,84.94,1256900,70.03
"2008-02-22",85.25,88.06,84.01,88.06,1596900,72.6
"2008-02-25",87.67,90.48,86.76,90.47,1749000,74.59
"2008-02-26",90,91.11,89.1,91.07,1560600,75.09
"2008-02-27",90.53,91.47,89.51,90.26,907500,74.42
"2008-02-28",89.55,89.66,88.13,88.43,740300,72.91
"2008-02-29",87.15,87.67,85.61,86.17,1290300,71.05
"2008-03-03",85.11,87.16,84.58,87.06,1310200,71.78
"2008-03-04",86.43,88.43,85.79,87.93,1409000,72.5
"2008-03-05",88.07,89.55,87.21,88.57,969700,73.02
"2008-03-06",89.99,91.07,85.73,85.99,1296500,70.9
"2008-03-07",85.48,88.86,84.96,88.2,1693300,72.72
"2008-03-10",87.93,88.12,86.01,86.16,1756300,71.04
"2008-03-11",88.66,92.65,88.12,92.44,1793200,76.22
"2008-03-12",92.43,93.9,90.29,90.38,1232200,74.52
"2008-03-13",89.3,90.92,86.34,90.41,2082200,74.54
"2008-03-14",90.46,91.09,85.67,87.23,2363500,71.92
"2008-03-17",84.96,85.96,82.45,85.38,2703900,70.39
"2008-03-18",86.79,90.81,86.33,90.81,2260400,74.87
"2008-03-19",91.07,93.15,90,90.18,1812500,74.35
"2008-03-20",89.85,94.3,89.69,93.97,1758000,77.48
"2008-03-24",94.17,97.78,94.17,96.9,2721900,79.89
"2008-03-25",96.74,98.72,95.92,98.39,2058800,81.12
"2008-03-26",97.7,98.2,94.34,94.53,1764800,77.94
"2008-03-27",95.5,95.78,92.63,92.92,1852200,77.17
"2008-03-28",93,93.59,91.86,92.12,1409300,76.5
"2008-03-31",92.28,94.26,91.7,92.07,1399800,76.46
"2008-04-01",92.35,97.93,92.35,97.82,1722900,81.24
"2008-04-02",98.25,99.5,96.57,98,1403600,81.38
"2008-04-03",97.42,100,96.39,99.51,1068200,82.64
"2008-04-04",98.65,99.82,97.29,97.53,1105200,80.99
"2008-04-07",97.55,98.15,96.01,97.08,1207000,80.62
"2008-04-08",96.65,97.02,94.95,95.18,1160700,79.04
"2008-04-09",95.6,96.17,93.06,93.44,982600,77.6
"2008-04-10",93.4,95.67,93.26,95.05,2518700,78.93
"2008-04-11",94.12,96.46,93.98,94.61,966600,78.57
"2008-04-14",95.02,95.73,93.75,93.81,832500,77.91
"2008-04-15",94.67,95.01,92.81,94.29,1186900,78.3
"2008-04-16",95.61,98.46,93.9,98.24,1330400,81.58
"2008-04-17",97.65,99.33,96.62,99.24,767300,82.41
"2008-04-18",100.12,100.45,97.3,98.01,926400,81.39
"2008-04-21",97.5,99.15,97.43,98.63,584000,81.91
"2008-04-22",98.82,100.24,98.4,99.28,952800,82.45
"2008-04-23",100.06,101.68,98.85,101.05,865400,83.92
"2008-04-24",100.95,103.4,100.61,103.06,977300,85.59
"2008-04-25",103.06,103.9,102.17,103.28,510100,85.77
"2008-04-28",103.75,103.89,102.26,102.9,783700,85.45
"2008-04-29",102.39,103.37,100.27,100.56,901600,83.51
"2008-04-30",100.71,103.66,100.49,100.49,1005900,83.45
"2008-05-01",101.52,105.04,100.88,105.04,1104500,87.23
"2008-05-02",105,106.53,102.61,103.01,1397000,85.55
"2008-05-05",102.17,103.39,101.8,102.37,873900,85.01
"2008-05-06",101.75,103.84,101.11,103.84,1090300,86.23
"2008-05-07",104.03,104.62,100.37,100.52,949200,83.48
"2008-05-08",101.66,103.43,98.81,99.58,981000,82.7
"2008-05-09",98.54,99.33,97.11,97.76,832500,81.19
"2008-05-12",98.14,99.72,97.8,99.49,761400,82.62
"2008-05-13",100.16,100.25,98.72,99.74,846400,82.83
"2008-05-14",100.43,102.08,99.74,101.6,775300,84.37
"2008-05-15",101.04,102.9,100.27,102.9,609700,85.45
"2008-05-16",102.79,102.79,99.86,100.25,995900,83.25
"2008-05-19",100.64,101.1,99.49,100.14,812300,83.16
"2008-05-20",99.62,100.07,98.15,99.01,605900,82.22
"2008-05-21",99.47,100.13,96.8,96.94,1276300,80.5
"2008-05-22",96.66,97.59,96.25,97.01,957100,80.56
"2008-05-23",96.49,96.92,95.71,96.11,910000,79.82
"2008-05-27",96.86,97.94,96.02,97.58,794100,81.04
"2008-05-28",97.79,98.28,95.89,96.68,850700,80.29
"2008-05-29",96.93,98.45,96.7,98.42,1201100,81.73
"2008-05-30",98.76,99,96.92,97.74,1826200,81.17
"2008-06-02",97.1,97.31,94.26,94.92,1559100,78.83
"2008-06-03",95.3,96.79,95.04,96.6,1378200,80.22
"2008-06-04",96.55,98.25,95.88,97.76,853400,81.19
"2008-06-05",97.83,100.72,97.79,100.66,834200,83.59
"2008-06-06",98.99,99.75,95.76,96.05,1365400,79.77
"2008-06-09",97,97.55,94.47,94.62,1012200,78.58
"2008-06-10",94.12,95.29,92.7,95.02,1274700,78.91
"2008-06-11",94.68,95.57,92.37,92.47,1188100,76.79
"2008-06-12",93.38,94.88,92.45,94,1205600,78.06
"2008-06-13",94.69,97.42,93.78,97.42,1130900,80.9
"2008-06-16",97.46,100.11,97.24,100.05,1288200,83.09
"2008-06-17",100.96,101,97.45,97.5,1020400,80.97
"2008-06-18",96.97,97.85,96.21,96.41,1439900,80.06
"2008-06-19",96.49,99,96.04,98.89,1127700,82.12
"2008-06-20",97.7,98.5,95.5,95.7,1294100,79.47
"2008-06-23",96.71,96.77,93.48,93.61,1107300,77.74
"2008-06-24",93.56,95.5,92.59,94.17,955600,78.2
"2008-06-25",94.54,96.61,93.91,95.07,1092400,78.95
"2008-06-26",92.41,93.6,90.6,90.85,1316400,75.99
"2008-06-27",90.46,91.85,89.04,90.07,2052000,75.34
"2008-06-30",90,91.28,89.32,90.22,1302900,75.46
"2008-07-01",89.49,91.2,88.16,91.17,1282300,76.26
"2008-07-02",91.9,91.95,88.74,88.76,1368000,74.24
"2008-07-03",89.99,90.53,88.13,89.01,1075800,74.45
"2008-07-07",89.37,90.06,87.07,87.47,1548600,73.16
"2008-07-08",87.71,95.79,86.72,93.58,1986500,78.27
"2008-07-09",93.72,94.23,88.15,88.25,1919900,73.82
"2008-07-10",88.43,92.95,88.43,91.81,2237200,76.79
"2008-07-11",89.93,93.5,89.2,90.94,2788100,76.07
"2008-07-14",92.41,92.5,89,89.33,2150300,74.72
"2008-07-15",88.33,92.1,87.57,89.21,3212200,74.62
"2008-07-16",89.83,94.54,88.25,93.82,2481500,78.47
"2008-07-17",95.42,96.18,92.27,95.75,2945900,80.09
"2008-07-18",95.74,96.81,94.1,96.58,1589300,80.78
"2008-07-21",96.48,98.22,95.63,96.72,1469400,80.9
"2008-07-22",95.12,100,95.12,99.88,1505100,83.54
"2008-07-23",99.03,102.8,98.26,100,2228600,83.64
"2008-07-24",97.5,103.27,92.34,93.12,2756300,77.89
"2008-07-25",93.59,96.38,92.92,94.87,1604600,79.35
"2008-07-28",93.65,96.94,92.56,93.02,1707400,77.81
"2008-07-29",93.29,99.65,93.14,99.21,2071600,82.98
"2008-07-30",99.25,99.25,94.41,97.03,1949100,81.16
"2008-07-31",95.87,97.85,94.8,96.19,1402700,80.46
"2008-08-01",96.86,96.86,93.65,96.23,1127600,80.49
"2008-08-04",96,96.96,94.46,94.6,1004700,79.13
"2008-08-05",95.78,99.93,95.04,99.22,1651600,82.99
"2008-08-06",99.21,99.99,97.61,99.19,1270300,82.97
"2008-08-07",98.52,99.7,96.76,98.08,1814100,82.04
"2008-08-08",98.28,103.38,97.83,102.37,1492400,85.63
"2008-08-11",101.88,105.13,101,103.42,1546600,86.5
"2008-08-12",103,104.63,101.12,101.89,1661900,85.22
"2008-08-13",99.25,100.12,97,97.98,4034800,81.95
"2008-08-14",97,99.5,97,99.13,3431100,82.92
"2008-08-15",99.72,100,97.45,99.44,1103300,83.18
"2008-08-18",99.94,101.13,98.03,99.02,1525900,82.82
"2008-08-19",98.25,98.25,96.85,97.53,1494000,81.58
"2008-08-20",97.71,98.6,96,98.22,1364500,82.15
"2008-08-21",96.86,98.63,96.86,98.02,1241600,81.99
"2008-08-22",98.84,102.38,98.56,101.61,1501900,84.99
"2008-08-25",102,102,98.75,99.05,1023900,82.85
"2008-08-26",99.19,100.04,98.13,100.01,856200,83.65
"2008-08-27",98.14,102.61,98.14,102.06,1523300,85.37
"2008-08-28",102.55,104.34,102.03,103.94,1789400,86.94
"2008-08-29",102.58,104.35,102.47,102.47,1219800,85.71
"2008-09-02",104.48,104.97,102.07,104.35,1116600,87.28
"2008-09-03",103.72,104.63,102.56,103.79,2571300,86.81
"2008-09-04",103.45,103.52,100.54,101,1610200,84.48
"2008-09-05",99.84,101.09,98.5,101.05,1718500,84.52
"2008-09-08",104.49,105.54,101.34,103.91,3404400,86.91
"2008-09-09",103.56,104.98,99.79,100.42,2259700,84
"2008-09-10",101.63,103.42,99.74,102.63,1928400,85.84
"2008-09-11",101.89,103.39,99.6,103.18,1937800,86.3
"2008-09-12",101.47,103.54,101.1,103.15,1094100,86.28
"2008-09-15",96.42,97.86,89,89,4609000,74.44
"2008-09-16",88.93,94.74,88.5,94.16,3686300,78.76
"2008-09-17",92.93,93.2,85.98,87,2777600,72.77
"2008-09-18",88.6,98.89,82.4,97,4686800,81.13
"2008-09-19",104,105.8,82,95.29,4280800,79.7
"2008-09-22",94.64,99.14,86.42,87.25,2850100,72.98
"2008-09-23",87.6,92.67,87.41,89,2529000,74.44
"2008-09-24",88.82,89.98,87.07,89.54,1740600,74.89
"2008-09-25",89.61,92.91,88.67,91.98,2407600,76.94
"2008-09-26",89.89,94.94,89.5,94.71,2045300,79.81
"2008-09-29",91.85,94.09,87.87,89.26,3133900,75.22
"2008-09-30",92.25,94.63,89.13,93.66,2230900,78.92
"2008-10-01",92,92.41,87.84,89.3,1553100,75.25
"2008-10-02",86.54,87.35,80.55,81.01,2635000,68.26
"2008-10-03",82,85.21,79.11,81.19,3809800,68.42
