"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2007-04-04",61.32,61.95,61.27,61.53,624000,51.93
"2007-04-05",60.25,60.26,57.57,58.07,8210000,49.01
"2007-04-09",58.12,58.61,57.9,58.16,1638100,49.08
"2007-04-10",58.3,58.82,57.95,58.09,1699800,49.02
"2007-04-11",58.01,58.4,57.47,57.72,1699700,48.71
"2007-04-12",57.84,58.44,57.5,58.3,1394800,49.2
"2007-04-13",59.2,59.2,57.3,57.69,1972500,48.69
"2007-04-16",57.94,58.78,57.93,58.6,1291200,49.45
"2007-04-17",58.55,59.7,58.32,59.53,1616000,50.24
"2007-04-18",59.15,59.93,59.01,59.65,924500,50.34
"2007-04-19",60.4,60.4,58.28,58.33,1861800,49.23
"2007-04-20",58.53,59.11,58.42,58.57,2192200,49.43
"2007-04-23",58.88,60.4,58.86,59.92,1203400,50.57
"2007-04-24",59.84,60.26,58.82,59.11,1642300,49.89
"2007-04-25",59.3,59.97,58.5,59.93,1950700,50.58
"2007-04-26",59.5,60.74,58.51,59.12,4017400,49.89
"2007-04-27",59.1,60.46,58.6,60.23,1919900,50.83
"2007-04-30",60.11,60.78,59.5,59.54,1419800,50.25
"2007-05-01",59.54,61.09,59.44,60.76,1668300,51.28
"2007-05-02",60.94,62.22,60.65,61.56,1559500,51.95
"2007-05-03",61.67,62.09,61.29,61.55,3550000,51.94
"2007-05-04",62.95,63.37,62.29,62.98,2594600,53.15
"2007-05-07",63.1,63.85,62.94,63.02,1834900,53.19
"2007-05-08",63,63.55,62.75,63.46,1272200,53.56
"2007-05-09",63.65,64.43,63.5,64.23,845600,54.21
"2007-05-10",63.72,64.16,63.24,63.24,1198000,53.61
"2007-05-11",63.4,64.4,63.32,64.4,838900,54.6
"2007-05-14",64.25,64.42,63.33,63.46,1466700,53.8
"2007-05-15",64.15,64.27,63.31,63.5,879300,53.83
"2007-05-16",63.44,63.9,63.19,63.87,763500,54.15
"2007-05-17",63.62,64.09,63.45,63.79,826500,54.08
"2007-05-18",63.83,63.97,63.28,63.85,944200,54.13
"2007-05-21",63.9,64.3,63.7,64.29,849500,54.5
"2007-05-22",64.35,64.73,64.18,64.33,975000,54.54
"2007-05-23",64.17,66.62,63.87,66.05,3386000,56
"2007-05-24",66.07,66.89,65.71,66,2234700,55.95
"2007-05-25",65.9,66.73,65.5,66.24,916900,56.16
"2007-05-29",66.44,66.9,66.17,66.69,754000,56.54
"2007-05-30",66.35,67.89,66.25,67.81,1046400,57.49
"2007-05-31",68.08,68.57,67.75,68.05,1700100,57.69
"2007-06-01",68.05,68.86,68.02,68.3,691800,57.9
"2007-06-04",68.05,68.77,67.88,68.58,794900,58.14
"2007-06-05",68.39,68.9,68.12,68.66,776700,58.21
"2007-06-06",68.25,68.55,67.72,67.72,1151400,57.41
"2007-06-07",67.17,67.5,66.03,66.03,1305600,55.98
"2007-06-08",66.03,66.64,65.51,66.64,1245900,56.5
"2007-06-11",66.46,67.18,66.02,66.74,785800,56.58
"2007-06-12",66.45,67.51,66.15,66.5,1157100,56.38
"2007-06-13",66.95,68.1,66.71,67.99,1181400,57.64
"2007-06-14",67.76,68.9,67.59,68.57,1086600,58.13
"2007-06-15",68.98,70.13,68.85,69.83,1654300,59.2
"2007-06-18",70.25,70.71,69.6,70.01,804300,59.35
"2007-06-19",69.9,69.95,69.17,69.23,1139800,58.69
