"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2008-09-18",35.93,37.04,32.83,36.36,3784900,31.6
"2008-09-19",37.01,40.37,35.59,39.15,3665800,34.03
"2008-09-22",38.79,39.22,37.81,37.93,2165400,32.97
"2008-09-23",37.98,38.47,37.13,37.52,1771200,32.61
"2008-09-24",37.75,38.12,36.45,36.69,1817300,31.89
"2008-09-25",37.18,37.85,36.45,37.68,1227200,32.75
"2008-09-26",36.98,37.48,36.35,37.29,941500,32.41
"2008-09-29",36.71,36.71,34.06,34.99,2676700,30.41
"2008-09-30",35.34,37.4,35.15,37.34,1772500,32.45
"2008-10-01",36.96,37.21,36.21,36.69,1999900,31.89
"2008-10-02",36.58,36.58,33.61,33.69,2191500,29.28
"2008-10-03",34.35,35.19,32.68,32.77,1516000,28.48
"2008-10-06",32,32.62,30.25,32.23,2441000,28.01
"2008-10-07",32.91,32.91,30.03,30.07,3078900,26.14
"2008-10-08",29.67,30.53,28.4,29.25,4215400,25.42
"2008-10-09",29.76,30.03,27.25,27.25,3149600,23.68
"2008-10-10",26.45,27.44,23.9,25.71,4508700,22.35
"2008-10-13",26.8,29.95,26.02,29.95,3623600,26.03
"2008-10-14",31.17,31.63,28.53,29.51,2453000,25.65
"2008-10-15",28.66,29.07,26.27,26.36,1758300,22.91
"2008-10-16",25.94,27.36,24.52,27.28,1901200,23.71
"2008-10-17",26.57,28.91,26.09,27.5,1621100,23.9
"2008-10-20",27.86,28.58,27.05,28.23,1235800,24.54
"2008-10-21",27.79,28.17,26.85,27.14,1059700,23.59
"2008-10-22",26.38,27.14,24.13,25,1475800,21.73
"2008-10-23",24.75,25.47,22.5,23.72,2569900,20.62
"2008-10-24",21.96,23.3,21.51,22.87,1410700,19.88
"2008-10-27",22.19,23.72,22.19,22.63,1482700,19.67
"2008-10-28",23.43,25.71,22.38,25.71,1681000,22.35
"2008-10-29",25.69,27.65,25.16,26.09,1890900,22.68
"2008-10-30",27.09,27.75,26.03,26.91,1356300,23.39
"2008-10-31",27.07,28.14,26.44,27.67,1283300,24.05
"2008-11-03",27.51,28.47,27.42,28.21,1248100,24.52
"2008-11-04",28.9,30.33,28.9,29.86,1476200,25.95
"2008-11-05",29.41,30.21,27.62,27.71,2155100,24.08
"2008-11-06",27.77,27.88,24.52,24.65,2188300,21.43
"2008-11-07",24.96,25.73,24.59,25.5,1858200,22.16
"2008-11-10",25.85,26.65,24.42,24.88,1290100,21.63
"2008-11-11",24.4,27.83,24.4,25.95,2777800,22.56
"2008-11-12",25.58,27.24,24.74,25.87,2397300,22.49
"2008-11-13",26,27.67,24.54,27.67,2453500,24.32
"2008-11-14",26.96,27.8,25.76,26.08,1722300,22.93
"2008-11-17",26.07,26.46,25.06,25.6,1192900,22.5
"2008-11-18",25.29,26.28,25.06,26.27,2044800,23.09
"2008-11-19",26.44,26.71,25.16,25.18,2117200,22.13
"2008-11-20",24.55,26.43,23.29,23.48,1990400,20.64
"2008-11-21",24.13,25.25,22.94,25.14,2446900,22.1
"2008-11-24",25.62,28.06,24.99,27.33,1948500,24.02
"2008-11-25",27.24,29.04,26.91,28.86,1882900,25.37
"2008-11-26",27.88,31.81,27.53,31.63,1778000,27.8
"2008-11-28",31.12,31.5,30.57,31.15,935500,27.38
"2008-12-01",30.24,30.24,27.16,27.17,1767500,23.88
"2008-12-02",27.64,28.84,27.24,28.35,2117800,24.92
"2008-12-03",27.6,29.49,27.17,29.37,1527100,25.82
"2008-12-04",29.64,29.77,27.06,27.67,1164800,24.32
"2008-12-05",27.11,28.67,26.04,28.61,1399900,25.15
"2008-12-08",29.36,30.28,28.86,29.21,2074500,25.68
"2008-12-09",29.29,30.47,28.21,29.76,2110200,26.16
"2008-12-10",29.9,30.84,29.32,29.94,887800,26.32
"2008-12-11",29.72,30.15,28.12,28.39,754600,24.96
"2008-12-12",27.72,29.13,27.35,29.05,887200,25.54
"2008-12-15",29.04,29.71,27.99,28.38,994900,24.95
"2008-12-16",29.38,30.91,28.4,30.87,1694900,27.14
"2008-12-17",30.25,31.78,30.22,31.35,1277200,27.56
"2008-12-18",31.26,31.36,29.58,30.13,1079400,26.49
"2008-12-19",30.52,31.84,30.41,30.79,1824100,27.07
"2008-12-22",30.55,30.81,29.45,30.04,694100,26.41
"2008-12-23",30.23,30.9,29.57,29.8,712900,26.2
"2008-12-24",30.08,30.91,29.91,30.79,330500,27.07
"2008-12-26",30.97,31.1,30.44,30.95,399200,27.21
"2008-12-29",30.74,30.98,29.72,30.31,800600,26.64
"2008-12-30",30.49,31.36,30.17,31.33,942600,27.54
"2008-12-31",31.37,32.61,31.23,32.24,717600,28.34
"2009-01-02",33,34.19,32.14,34.04,698800,29.92
"2009-01-05",33.9,34.45,33.09,34.06,991100,29.94
"2009-01-06",34.45,35,34.17,34.55,1431800,30.37
"2009-01-07",34.11,34.16,31.77,32.1,1653400,28.22
"2009-01-08",31.6,32.35,31.41,32.02,1839500,28.15
"2009-01-09",32.24,32.31,31.07,31.41,763700,27.61
"2009-01-12",31.6,31.83,30.09,30.26,1767800,26.6
"2009-01-13",30.16,30.61,29.24,29.84,1645800,26.23
"2009-01-14",29.46,29.55,27.76,28.3,2014000,24.88
"2009-01-15",28.21,28.66,27.12,28.48,1320800,25.03
"2009-01-16",29.07,29.33,27.44,28.57,1338900,25.11
"2009-01-20",28.48,28.57,26.73,27.11,1983600,23.83
"2009-01-21",27.13,29.13,27.08,28.99,2526600,25.48
"2009-01-22",28.77,28.79,27.18,28.34,2129800,24.91
"2009-01-23",27.45,28.64,27.13,27.93,1260300,24.55
"2009-01-26",27.95,29.1,27.75,28.03,1345400,24.64
"2009-01-27",28.07,28.61,27.86,28.17,1667300,24.76
"2009-01-28",28.52,29.44,28.45,29.19,1605700,25.66
"2009-01-29",28.75,28.84,27.15,27.22,1465700,23.93
"2009-01-30",27.3,27.63,25.63,26.04,3808600,22.89
"2009-02-02",20.47,23.67,20.29,23.16,8267500,20.36
"2009-02-03",23.37,25.25,22.87,24.69,5695000,21.7
"2009-02-04",24.53,25.16,24.29,24.5,3216100,21.54
"2009-02-05",24.31,25.69,24,25.13,1912100,22.09
"2009-02-06",24.9,26.33,24.9,26.12,1919600,22.96
"2009-02-09",26.15,26.56,25.35,25.4,2157100,22.33
"2009-02-10",25.09,25.4,23.92,24.2,3043900,21.27
"2009-02-11",24.27,24.77,23.79,24.37,2491700,21.42
"2009-02-12",24,24.53,23.41,24.37,3792000,21.68
"2009-02-13",24.23,24.99,23.88,24.1,1650700,21.44
"2009-02-17",23.13,23.55,22.7,22.9,3850500,20.37
"2009-02-18",22.86,23.25,22.15,22.95,3292200,20.42
"2009-02-19",23.14,23.28,21.93,22.08,2148300,19.64
"2009-02-20",21.6,22.51,21.04,22.07,2705100,19.63
"2009-02-23",22.18,22.48,20.82,20.89,2079600,18.58
"2009-02-24",20.99,21.83,20.65,21.66,1822100,19.27
"2009-02-25",21.44,21.75,20.66,21.19,1955900,18.85
"2009-02-26",21.44,21.68,20.45,20.72,2286300,18.43
"2009-02-27",20.25,21,20.07,20.1,2671900,17.88
"2009-03-02",19.62,19.77,18.49,18.74,2841300,16.67
"2009-03-03",19.02,19.23,18.55,18.73,1844400,16.66
"2009-03-04",19.21,20.06,18.68,19.72,2707800,17.54
"2009-03-05",18.27,18.91,17.5,17.73,2659800,15.77
"2009-03-06",18.13,18.65,17.77,18.4,5068100,16.37
"2009-03-09",17.91,18.78,17.91,18.34,2376000,16.32
"2009-03-10",18.77,20.23,18.65,19.98,2880800,17.77
"2009-03-11",20.02,20.58,19.79,20.33,2539500,18.09
"2009-03-12",20.25,21.6,19.92,21.57,1776000,19.19
"2009-03-13",21.66,21.85,20.89,21.19,1253700,18.85
"2009-03-16",21.46,22.56,21.3,21.68,2317600,19.29
"2009-03-17",21.72,23.14,21.55,23.03,3430600,20.49
"2009-03-18",22.72,24.26,22.31,23.85,1858100,21.22
"2009-03-19",24.15,24.63,23.5,23.6,1934300,20.99
"2009-03-20",23.6,23.86,22.15,22.42,1454000,19.95
"2009-03-23",22.94,24.75,22.77,24.7,1655200,21.97
"2009-03-24",24.27,25.34,24.03,24.54,1937300,21.83
"2009-03-25",24.83,25.48,22.81,23.78,4583900,21.16
"2009-03-26",23.99,24.96,23.77,24.85,2562800,22.11
"2009-03-27",24.52,24.65,23.37,23.66,2177800,21.05
"2009-03-30",23,23,21.55,21.82,2064100,19.41
"2009-03-31",22.08,22.5,21.59,21.84,2242100,19.43
"2009-04-01",21.51,22.29,20.97,22.15,2493300,19.7
"2009-04-02",22.8,24.41,22.57,23.91,2204900,21.27
"2009-04-03",23.9,24.32,23.7,24.3,1646200,21.62
"2009-04-06",24.07,24.31,23.69,24.21,1635300,21.54
"2009-04-07",23.76,24.08,23.39,23.63,1564600,21.02
"2009-04-08",23.7,27.15,23.59,26.87,8355000,23.9
"2009-04-09",27.18,28.83,26.29,28.83,4688900,25.65
"2009-04-13",28.68,28.77,27.57,28.37,2359500,25.24
"2009-04-14",27.98,28.52,27.38,27.86,1543200,24.78
"2009-04-15",27.73,28.03,27.07,27.63,1937800,24.58
"2009-04-16",27.91,29.53,27.63,29.21,1923200,25.99
"2009-04-17",29.28,30.64,29.08,30.31,2182900,26.96
"2009-04-20",29.53,29.69,28.1,28.14,2378600,25.03
"2009-04-21",27.86,29.14,27.81,29.03,2086600,25.83
"2009-04-22",28.76,30.8,28.6,29.83,2115400,26.54
"2009-04-23",29.76,30.52,29.38,30.43,1993600,27.07
"2009-04-24",30.41,31.93,30.28,31.31,2258900,27.85
"2009-04-27",30.79,31.24,29.89,30.15,2347600,26.82
"2009-04-28",29.31,30.27,29.28,29.91,3315600,26.61
"2009-04-29",29.35,33.8,29.35,33.06,5122000,29.41
"2009-04-30",32.69,33.21,30.61,31.59,4734200,28.1
"2009-05-01",31.41,32.64,31.29,31.93,1742700,28.41
"2009-05-04",32.46,33.39,31.95,33.39,1502300,29.7
"2009-05-05",33.5,35.23,33.23,35.08,3537900,31.21
"2009-05-06",35.56,35.56,33.85,35.13,2203000,31.25
"2009-05-07",35.44,35.44,33.1,33.8,2777800,30.07
"2009-05-08",34.14,34.88,33.38,34.68,1698900,30.85
"2009-05-11",33.35,34.13,32.71,32.82,1939600,29.2
"2009-05-12",33.3,33.41,31.82,32.5,2011100,28.91
"2009-05-13",31.98,32.35,30.93,31.14,1743000,27.7
"2009-05-14",31.13,31.94,30.59,31.27,1414600,28.08
"2009-05-15",31.28,32,30.97,31.2,1268600,28.02
"2009-05-18",31.68,32.88,31.6,32.83,1316900,29.48
"2009-05-19",32.64,33.38,31.93,32.91,2039800,29.55
"2009-05-20",33.19,33.71,31.84,31.97,2044000,28.71
"2009-05-21",31.42,31.42,30.13,30.47,2157800,27.36
"2009-05-22",30.49,31.02,30,30.49,845400,27.38
"2009-05-26",30,31.52,29.88,31.32,1543400,28.12
"2009-05-27",30.96,31.27,29.98,30.09,1732400,27.02
"2009-05-28",29.85,30.48,29.06,29.69,1762200,26.66
"2009-05-29",29.92,30.69,29.49,30.69,1937500,27.56
"2009-06-01",31.61,32.83,30.75,32.71,1673600,29.37
"2009-06-02",32.87,33.3,32.16,32.81,1288300,29.46
"2009-06-03",32.51,32.66,31.57,31.86,1605300,28.61
"2009-06-04",32.12,32.9,31.8,32.78,982700,29.44
"2009-06-05",33.49,33.74,32.7,33.58,2340500,30.15
"2009-06-08",33.49,33.49,32.16,32.94,1131800,29.58
"2009-06-09",33.11,33.5,32.81,33.1,1327400,29.72
"2009-06-10",33.81,33.81,32.38,33.03,1521400,29.66
"2009-06-11",33.18,33.8,33.13,33.34,1415400,29.94
"2009-06-12",32.99,33.44,32.61,33.44,791800,30.03
"2009-06-15",32.48,32.78,31.59,31.85,1117300,28.6
"2009-06-16",32.06,32.33,30.98,31.05,699100,27.88
"2009-06-17",30.99,31.4,29.99,30.34,1586500,27.24
"2009-06-18",30.3,30.58,29.84,30.35,745000,27.25
"2009-06-19",31.02,31.02,30.43,30.64,1388000,27.51
"2009-06-22",30.37,30.49,29.72,29.83,1571400,26.79
"2009-06-23",29.82,30.18,29.12,29.79,1064200,26.75
"2009-06-24",29.97,30.93,29.89,30.59,1645900,27.47
"2009-06-25",30.47,31.61,30,31.39,1448700,28.19
"2009-06-26",31.3,32.06,31.15,31.93,2805900,28.67
"2009-06-29",32.05,32.62,31.93,32.53,1017000,29.21
"2009-06-30",32.4,32.68,31.81,32.12,1350300,28.84
"2009-07-01",32.28,33.4,32.03,32.52,1217600,29.2
"2009-07-02",32.07,32.08,31.48,31.54,1395500,28.32
"2009-07-06",31.3,31.43,30.71,31.26,1110900,28.07
"2009-07-07",31.1,31.38,30.26,30.32,1053900,27.23
"2009-07-08",30.57,30.63,29.55,30.22,1976600,27.14
"2009-07-09",30.39,30.86,30.27,30.7,857500,27.57
"2009-07-10",30.47,31.26,30.33,31.14,1650400,27.96
"2009-07-13",31.91,32.79,31.5,32.52,2547600,29.2
"2009-07-14",32.64,32.95,32.3,32.69,1217200,29.35
"2009-07-15",33.17,34.4,32.97,34.35,1319300,30.85
"2009-07-16",34.06,35.25,33.86,35.1,1325500,31.52
"2009-07-17",35,35.22,34.58,35.02,957100,31.45
"2009-07-20",35.11,36.45,35.05,36.45,1162900,32.73
"2009-07-21",36.44,37.46,36.05,36.18,1565100,32.49
"2009-07-22",36.21,36.9,35.76,36.71,1039100,32.96
"2009-07-23",36.87,39.27,36.87,39.15,1584800,35.16
"2009-07-24",39.04,39.77,38.69,39.76,1602600,35.7
"2009-07-27",39.63,40.35,39.43,39.61,2397900,35.57
"2009-07-28",38.07,39.83,37.29,39.62,2843700,35.58
"2009-07-29",40.74,41.65,40.09,40.81,3726300,36.65
"2009-07-30",41.56,42.19,40.49,40.72,2191200,36.57
"2009-07-31",40.87,42.01,40.83,41.41,1702200,37.19
"2009-08-03",41.77,42.32,41.65,41.79,1854300,37.53
"2009-08-04",41.48,42.18,41.48,42.12,1891700,37.82
"2009-08-05",41.85,42.63,41.12,41.23,1382300,37.02
"2009-08-06",41.85,41.98,41.05,41.55,1300900,37.31
"2009-08-07",42.26,42.72,41.73,42.38,885700,38.06
"2009-08-10",42.02,42.14,41.1,41.37,1514500,37.15
"2009-08-11",41.11,41.27,40.29,40.71,1513300,36.56
"2009-08-12",40.8,41.93,40.75,41.51,1233900,37.28
"2009-08-13",41.83,41.83,40.53,41.15,1466000,37.21
"2009-08-14",41.13,41.24,39.52,40,1007900,36.17
"2009-08-17",39.43,39.5,38.36,38.55,871400,34.86
"2009-08-18",38.67,39.14,38.45,39.02,1280100,35.29
"2009-08-19",38.75,39.49,38.52,39.34,889800,35.57
"2009-08-20",39.37,39.61,39,39.1,994200,35.36
"2009-08-21",39.61,40.39,39.18,40.25,1278200,36.4
"2009-08-24",40.52,40.79,39.83,39.93,781100,36.11
"2009-08-25",39.99,41.21,39.99,40.91,1350500,36.99
"2009-08-26",40.73,41.27,40.45,41,863100,37.08
"2009-08-27",41.18,41.29,40.22,41.04,781000,37.11
"2009-08-28",41.44,42.09,41.17,41.86,1797500,37.85
"2009-08-31",41.44,42,41.02,41.85,1746800,37.84
"2009-09-01",41.81,42.74,41.09,41.2,2708600,37.26
"2009-09-02",40.31,41.15,40.13,40.93,3458300,37.01
"2009-09-03",41.08,41.43,40.21,40.54,1749200,36.66
"2009-09-04",40.02,41.15,40.02,41.1,1167400,37.17
"2009-09-08",41.5,41.89,41.07,41.5,1507800,37.53
"2009-09-09",41.4,42.31,41.16,42.19,1277600,38.15
"2009-09-10",41.89,43.18,41.55,43.15,1385000,39.02
"2009-09-11",43.71,43.92,43.16,43.5,1463400,39.34
"2009-09-14",43.18,43.83,42.89,43.72,1198800,39.54
"2009-09-15",43.74,44.34,43.38,44.06,1295500,39.84
"2009-09-16",44.48,44.87,43.81,44.51,1196400,40.25
"2009-09-17",44.22,44.83,43.92,44.12,1203200,39.9
"2009-09-18",44.37,44.51,43.79,44.19,990500,39.96
"2009-09-21",43.71,43.92,43.2,43.74,791600,39.55
"2009-09-22",43.95,44.68,43.81,44.4,1165200,40.15
"2009-09-23",44.43,45.12,44.01,44.06,1064800,39.84
"2009-09-24",44.21,44.35,42.59,42.74,1558600,38.65
"2009-09-25",42.56,42.89,41.88,42.24,1684600,38.2
"2009-09-28",42.54,42.86,42.05,42.85,922900,38.75
"2009-09-29",44.39,44.75,42.74,42.82,1910700,38.72
"2009-09-30",42.86,43.48,41.69,42.6,1389300,38.52
"2009-10-01",42.43,42.64,41.06,41.12,1163300,37.18
"2009-10-02",40.48,41.23,40.18,40.75,1408100,36.85
"2009-10-05",40.91,41.54,40.58,41.29,1014400,37.34
"2009-10-06",41.63,42.24,41.39,41.85,1289700,37.84
"2009-10-07",41.78,41.78,40.91,41.26,1744300,37.31
"2009-10-08",41.53,42.2,41.53,41.81,1096000,37.81
"2009-10-09",41.66,41.75,40.94,41.33,1672300,37.37
"2009-10-12",41.63,42.02,41.38,41.61,553600,37.63
"2009-10-13",41.42,41.63,41,41.43,653300,37.46
"2009-10-14",42.03,42.7,41.46,42.57,1125800,38.5
"2009-10-15",42.29,43.07,42.24,42.89,1124400,38.79
"2009-10-16",42.44,42.5,41.83,42.33,941900,38.28
"2009-10-19",42.64,43.23,42.11,42.74,667000,38.65
"2009-10-20",42.89,42.89,42.08,42.42,646600,38.36
"2009-10-21",42.35,43.97,42.35,43.3,1663000,39.16
"2009-10-22",43.35,44,42.54,43.87,861900,39.67
"2009-10-23",43.88,44.1,42.92,43.26,838600,39.12
"2009-10-26",43.21,44.04,42.47,42.84,666700,38.74
"2009-10-27",42.8,43.14,42.32,42.65,953900,38.57
"2009-10-28",42.46,42.54,41.2,41.23,1331100,37.28
"2009-10-29",41.55,43.11,41.43,42.92,1163400,38.81
"2009-10-30",42.77,43.06,40.79,40.95,2430700,37.03
"2009-11-02",41.02,41.48,39.39,40.28,2621800,36.42
"2009-11-03",39.87,42.15,39.84,42.07,2367800,38.04
"2009-11-04",42.33,42.99,42.01,42.05,1305100,38.03
"2009-11-05",42.57,44.24,42.56,44.2,1221400,39.97
"2009-11-06",44.1,44.14,42.22,43.32,3185600,39.17
"2009-11-09",43.75,44.18,41.68,43.3,3199100,39.16
"2009-11-10",43.39,44.78,43.24,43.51,2610100,39.35
"2009-11-11",44.11,44.74,43.57,43.79,1718500,39.6
"2009-11-12",43.8,43.82,42.81,43.04,1491500,39.18
"2009-11-13",43.15,43.98,42.71,43.63,1038200,39.72
"2009-11-16",43.88,45.59,43.88,45.25,1760000,41.19
"2009-11-17",45.18,45.31,44.34,45.19,924100,41.14
"2009-11-18",46.39,46.72,45.08,45.52,1488100,41.44
"2009-11-19",45.14,45.35,44.17,44.6,1010800,40.6
"2009-11-20",44.58,44.59,43.26,44.1,1076000,40.15
"2009-11-23",44.56,45.12,44.06,44.29,733700,40.32
"2009-11-24",44.29,44.79,43.41,44.61,1474600,40.61
"2009-11-25",44.66,44.75,44.05,44.15,1164300,40.19
"2009-11-27",42.99,43.62,42.44,43.51,809800,39.61
"2009-11-30",43.19,43.54,42.78,43.49,1333700,39.59
"2009-12-01",43.79,44.5,43.49,44.06,1112900,40.11
"2009-12-02",43.96,44.48,43.71,44.15,804100,40.19
"2009-12-03",44.15,44.72,43.92,44,986000,40.05
"2009-12-04",44.8,45.76,44.52,45.66,2127200,41.57
"2009-12-07",45.51,46.2,45.32,45.96,1455400,41.84
"2009-12-08",45.42,45.64,44.79,45.32,1125400,41.26
"2009-12-09",45.37,46.4,44.9,46.16,1653400,42.02
"2009-12-10",47.29,47.47,46.76,47.13,2718400,42.9
"2009-12-11",47.22,47.74,47.08,47.56,1218100,43.29
"2009-12-14",48.14,49.25,47.93,48.12,2003900,43.8
"2009-12-15",47.78,48.3,46.36,46.62,3421000,42.44
"2009-12-16",46.78,46.95,46.2,46.5,1254000,42.33
"2009-12-17",46.08,46.35,45.65,45.71,981500,41.61
"2009-12-18",45.99,46.09,45.09,45.4,1805000,41.33
"2009-12-21",45.79,47.35,45.74,47.1,1121700,42.88
"2009-12-22",47.33,47.77,47.17,47.46,728300,43.2
"2009-12-23",47.39,47.81,47.06,47.38,690800,43.13
"2009-12-24",47.57,48.18,47.44,48.15,327800,43.83
"2009-12-28",48.27,48.27,47.18,47.4,505800,43.15
"2009-12-29",47.39,47.74,46.97,47.05,390500,42.83
"2009-12-30",46.94,47.25,46.73,47.18,711100,42.95
"2009-12-31",47.23,47.68,46.97,46.98,643200,42.77
"2010-01-04",47.61,47.96,47.01,47.73,904000,43.45
"2010-01-05",47.65,47.82,47.14,47.35,964900,43.1
"2010-01-06",47.35,48.28,47.23,48.25,893200,43.92
"2010-01-07",48.22,48.87,47.8,48.78,673800,44.41
"2010-01-08",48.63,49.51,48.35,49.46,664400,45.02
"2010-01-11",48.36,49.03,48.24,49,1416900,44.61
"2010-01-12",48.47,48.8,48.01,48.22,1765400,43.9
"2010-01-13",48.31,48.64,47.97,48.45,777400,44.11
"2010-01-14",48.2,48.86,48.2,48.6,627400,44.24
"2010-01-15",48.5,48.53,47.26,47.69,877200,43.41
"2010-01-19",47.73,49.17,47.45,49.17,1150700,44.76
"2010-01-20",48.48,48.5,47.96,48.36,1094300,44.02
"2010-01-21",48.2,48.7,47.5,47.68,1406400,43.4
"2010-01-22",47.42,47.57,45.92,46.02,989900,41.89
"2010-01-25",46.62,46.87,46.09,46.63,687500,42.45
"2010-01-26",46.34,46.89,45.72,46.16,1920600,42.02
"2010-01-27",50.25,51.86,49.03,50.84,8160200,46.28
"2010-01-28",51.09,51.36,49.73,49.94,3284300,45.46
"2010-01-29",50.2,50.41,48.24,48.24,2637200,43.91
"2010-02-01",48.46,49.75,48.44,49.75,1363300,45.29
"2010-02-02",50,50.6,49.58,49.68,2382200,45.22
"2010-02-03",49.59,49.93,48.93,49.23,1512400,44.82
"2010-02-04",48.7,48.7,47.15,47.91,1962700,43.61
"2010-02-05",48,48.55,47.51,48.51,3071100,44.16
"2010-02-08",48.2,48.34,47.25,47.71,2016000,43.43
"2010-02-09",48.89,50.07,48.3,49.5,1899100,45.06
"2010-02-10",49.27,49.99,48.84,49.71,1867700,45.25
"2010-02-11",49.44,50.84,49.05,50.72,1303700,46.44
"2010-02-12",49.74,51.48,49.36,51.43,1826700,47.09
"2010-02-16",51.72,53,51.72,52.83,1509800,48.37
"2010-02-17",52.96,53.58,52.86,53.09,1191100,48.61
"2010-02-18",53.08,53.8,53.01,53.78,726400,49.24
"2010-02-19",53.52,54.52,53.29,54.31,1207900,49.73
"2010-02-22",54.38,54.49,53.64,54.04,737000,49.48
"2010-02-23",53.97,54.26,52.81,53.25,926700,48.76
"2010-02-24",53.36,53.8,53,53.78,785500,49.24
"2010-02-25",53.1,53.63,52.11,53.52,1060500,49.01
"2010-02-26",53.48,54.21,53.24,54.09,790700,49.53
"2010-03-01",54.45,55.22,54.41,55.13,864300,50.48
"2010-03-02",55.5,55.91,55.3,55.65,765700,50.96
"2010-03-03",55.71,56.14,55.1,55.26,993700,50.6
"2010-03-04",55.46,55.62,54.86,55,684400,50.36
"2010-03-05",55.31,56.05,55.31,55.98,2167200,51.26
"2010-03-08",56.13,56.88,55.95,56.14,1171200,51.41
"2010-03-09",56.01,56.26,55.71,56.05,804400,51.32
"2010-03-10",56.03,56.49,55.85,56.16,858500,51.42
"2010-03-11",56.03,56.05,55.41,55.84,1240400,51.13
"2010-03-12",56.09,56.09,55.2,55.36,1413700,50.69
"2010-03-15",55.47,55.47,54.51,54.99,1045500,50.35
"2010-03-16",55.08,55.5,54.79,55.33,1228000,50.66
"2010-03-17",55.32,55.82,55.16,55.23,852800,50.57
"2010-03-18",55.4,55.4,54.94,55.13,797300,50.48
"2010-03-19",55.24,55.58,54.9,55.37,1785400,50.7
"2010-03-22",55.07,56.17,54.86,55.86,1201500,51.15
"2010-03-23",55.92,57,55.8,56.78,1913300,51.99
"2010-03-24",56.72,56.77,55.77,55.82,796600,51.11
"2010-03-25",56.14,56.7,55.86,55.92,1108400,51.2
"2010-03-26",56.19,56.65,55.29,55.43,1276600,50.76
"2010-03-29",55.72,56.11,55.52,55.55,1078000,50.87
"2010-03-30",55.74,56.5,55.5,56.16,1121000,51.42
"2010-03-31",55.83,56.75,55.63,56.36,1057700,51.61
"2010-04-01",56.64,57.28,56.28,56.64,876600,51.86
"2010-04-05",56.87,57.72,56.6,57.32,696400,52.49
"2010-04-06",57.11,58.05,56.94,58.04,1085600,53.15
"2010-04-07",57.86,58.06,57.3,57.61,976100,52.75
"2010-04-08",57.3,59.01,57.27,58.98,1257600,54.01
"2010-04-09",59,59.35,58.86,59.14,842300,54.15
"2010-04-12",59.29,59.75,59.21,59.61,891700,54.58
"2010-04-13",59.56,59.68,58.81,59.13,1586000,54.14
"2010-04-14",59.29,60.41,59.16,60.38,821500,55.29
"2010-04-15",59.94,60.88,59.94,60.8,824300,55.67
"2010-04-16",60.56,60.75,59.49,60.01,1287400,54.95
"2010-04-19",59.79,59.94,58.58,59.27,998600,54.27
"2010-04-20",59.83,60.73,59.83,60.69,827900,55.57
"2010-04-21",60.63,60.83,59.85,60.42,1061500,55.32
"2010-04-22",59.87,62.2,59.42,62.07,1530000,56.84
"2010-04-23",62.21,62.72,61.58,62.71,663300,57.42
"2010-04-26",62.94,63.84,62.7,62.83,662100,57.53
"2010-04-27",62.42,63.11,61.07,61.27,1094300,56.1
"2010-04-28",63.79,63.9,61,61.17,2339900,56.01
"2010-04-29",61.88,62.26,61.36,61.9,2015100,56.68
"2010-04-30",61.81,61.98,60.23,60.72,2014700,55.6
"2010-05-03",61.21,62.74,61.18,62.62,841200,57.34
"2010-05-04",61.6,61.6,59.5,59.93,1261900,54.88
"2010-05-05",59.45,60.7,58.54,59.55,1345100,54.53
"2010-05-06",58.94,60.16,53.62,57.35,1896900,52.51
"2010-05-07",57.41,58.19,55.63,56.54,1724300,51.77
"2010-05-10",59.25,60.64,58.72,60.04,1760200,54.98
"2010-05-11",59.25,60.72,58.77,60.08,1332000,55.01
"2010-05-12",60.52,62.47,60.43,62.38,1105800,57.12
"2010-05-13",61.84,62.34,60.9,61.15,832600,56.25
"2010-05-14",60.28,61,58.71,59.3,1118400,54.55
"2010-05-17",59.44,59.83,58.03,59.31,1529100,54.56
"2010-05-18",59.78,60.26,57.82,57.97,1069400,53.33
"2010-05-19",57.71,58.05,55.46,56.7,1366900,52.16
"2010-05-20",54.19,54.62,51.66,52.16,2691300,47.98
"2010-05-21",51.15,53.72,50.8,53.45,2180400,49.17
"2010-05-24",52.95,54.08,52.73,52.82,1022000,48.59
"2010-05-25",51.18,52.02,50.7,51.84,2630300,47.69
"2010-05-26",52.26,53.67,52.17,52.45,1494000,48.25
"2010-05-27",53.3,54.28,53.3,54.27,973900,49.93
"2010-05-28",53.96,54.23,52.9,53.43,987300,49.15
"2010-06-01",52.92,53.93,52.15,52.22,776600,48.04
"2010-06-02",52.41,54.11,51.96,54.1,774100,49.77
"2010-06-03",53.82,54.88,53.82,54.75,991900,50.37
"2010-06-04",53.2,53.75,51.05,51.46,1084500,47.34
"2010-06-07",51.4,51.54,49.5,49.59,1511800,45.62
"2010-06-08",49.6,50.58,48.87,50.43,1511600,46.39
"2010-06-09",50.6,51.95,50.18,50.28,1411500,46.25
"2010-06-10",51.27,52.83,51.27,52.7,1302600,48.48
"2010-06-11",52.01,53.16,51.99,52.88,1467600,48.65
"2010-06-14",53.22,53.63,51.57,51.76,1575400,47.62
"2010-06-15",52.48,54.17,52.16,54.1,1077000,49.77
"2010-06-16",53.67,54.51,53.56,54.04,658800,49.71
"2010-06-17",54.22,54.22,53.03,53.82,712200,49.51
"2010-06-18",53.98,54.08,53.54,53.83,826200,49.52
