"","KRFT.Open","KRFT.High","KRFT.Low","KRFT.Close","KRFT.Volume","KRFT.Adjusted"
"2012-09-17",44,45.57,43.06,45.1,1300600,42.9
"2012-09-18",45.82,45.99,45,45.67,1161500,43.44
"2012-09-19",45.74,46.38,45.5,46,2803500,43.76
"2012-09-20",45.94,46.9,45.5,46.45,4425700,44.19
"2012-09-21",47.3,47.3,45.16,45.98,3876800,43.74
"2012-09-24",46.5,46.5,45.08,46,1702400,43.76
"2012-09-25",46,46.13,45.2,45.25,1135400,43.04
"2012-09-26",45.8,45.91,44.75,44.75,1608500,42.57
"2012-09-27",44.94,45.14,44.01,44.78,2144200,42.6
"2012-09-28",45.05,46.5,44.2,44.63,3148600,42.45
"2012-10-01",45.57,45.62,42,44.1,12031400,41.95
"2012-10-02",44.45,46.14,44.44,45.42,12314500,43.21
"2012-10-03",45.55,47.76,44.83,44.87,26426900,42.68
"2012-10-04",45.5,46.68,45.5,46.63,7550100,44.36
"2012-10-05",46.55,47.76,46.5,47.57,8998600,45.25
"2012-10-08",47.92,48,46.5,46.59,6450000,44.32
"2012-10-09",46.7,47.29,45.95,47,7724400,44.71
"2012-10-10",47.28,47.53,46.2,46.35,9671700,44.09
"2012-10-11",47,47.04,45.44,46.46,12664700,44.2
"2012-10-12",46.67,47.41,46.05,47.1,7384000,44.8
"2012-10-15",47.17,47.68,46.78,46.96,7890200,44.67
"2012-10-16",46.9,47.26,46.32,47.25,5934900,44.95
"2012-10-17",47.4,47.74,46.55,46.65,3948700,44.38
"2012-10-18",46.67,46.78,45.91,46.4,5681500,44.14
"2012-10-19",46.42,46.5,45.9,46.03,4863600,43.79
"2012-10-22",46.2,46.85,46.15,46.62,4607700,44.35
"2012-10-23",46.22,46.43,45.94,46.21,4141800,43.96
"2012-10-24",46.08,46.62,45.21,45.52,4924400,43.3
"2012-10-25",45.84,46.17,45.42,45.91,2825100,43.67
"2012-10-26",45.84,45.84,45.11,45.3,3235900,43.09
"2012-10-31",45.62,46.2,44.8,45.46,3979000,43.24
"2012-11-01",45.38,45.65,45.02,45.13,3277400,42.93
"2012-11-02",45.22,45.39,44.53,44.56,3751300,42.39
"2012-11-05",44.47,44.82,44.4,44.77,2746300,42.59
"2012-11-06",45.2,45.29,44.69,44.7,3821300,42.52
"2012-11-07",45.5,45.57,44.31,44.57,4212600,42.4
"2012-11-08",44.8,45.09,43.69,43.77,4163500,41.64
"2012-11-09",43.82,44.28,43.4,43.66,3350200,41.53
"2012-11-12",43.62,44.28,43.25,43.94,3004800,41.8
"2012-11-13",43.81,44.26,43.65,43.96,3198800,41.82
"2012-11-14",44.15,44.96,43.67,44.34,4481900,42.18
"2012-11-15",44.08,44.46,43.5,43.92,2993300,41.78
"2012-11-16",43.81,44.31,43.46,44.19,3576800,42.04
"2012-11-19",44.47,45,44.28,44.89,2864400,42.7
"2012-11-20",44.9,44.9,44.45,44.88,1751500,42.69
"2012-11-21",44.81,45.14,44.4,44.51,1885600,42.34
"2012-11-23",44.41,45.3,44.41,45.28,806000,43.07
"2012-11-26",45,45.18,44.06,44.31,3627800,42.15
"2012-11-27",44.31,45.47,44.1,45.33,3829900,43.12
