"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2007-01-03",94.39,97.85,94.05,96.27,1899300,66.03
"2007-01-04",96.48,96.76,94.45,96.31,1073300,66.06
"2007-01-05",96.27,97.75,95.76,96.88,1676600,66.45
"2007-01-08",97.52,100,96.73,98.71,1809700,67.7
"2007-01-09",99.4,100.23,97.12,99.1,1372700,67.97
"2007-01-10",98.59,102.93,96.7,102.45,2746500,70.27
"2007-01-11",101.74,104.49,99.61,103.92,2998700,71.28
"2007-01-12",103.92,105,102.52,104.49,1601200,71.67
"2007-01-16",104.15,107.94,104.1,107.75,2427200,73.91
"2007-01-17",107.33,107.64,105.38,105.76,2034300,72.54
"2007-01-18",106.6,107.1,102.77,103.75,1695500,71.16
"2007-01-19",103.54,106.25,102.27,105.62,2079400,72.44
"2007-01-22",105.97,106.96,104.14,106.5,1467400,73.05
"2007-01-23",106.6,108.16,105.45,106.81,1589300,73.26
"2007-01-24",107.56,111.34,106.5,110.45,1865800,75.76
"2007-01-25",110.35,110.8,106.66,106.99,1299300,73.38
"2007-01-26",107.49,108.84,105.48,107.9,1303800,74.01
"2007-01-29",109.36,109.98,107.18,108.56,1389000,74.46
"2007-01-30",108.76,109.19,107.05,108.29,917000,74.28
"2007-01-31",107.83,112.4,107.42,111.74,1983500,76.64
"2007-02-01",112.54,113.25,110.85,112.17,1325500,76.94
"2007-02-02",112.11,112.74,110.84,111.44,966500,76.44
"2007-02-05",111.57,114.6,111.47,114.07,1344200,78.24
"2007-02-06",113.3,113.4,109.69,112.73,2014600,77.32
"2007-02-07",113.05,114.2,111.7,112.52,955500,77.18
"2007-02-08",112.65,112.65,110.97,111.29,916500,76.33
"2007-02-09",111.3,111.81,104,104.19,2623500,71.46
"2007-02-12",104.7,105.2,101,102.49,2623000,70.3
"2007-02-13",103.62,103.66,102.2,102.43,1371800,70.26
"2007-02-14",102.86,104.33,102.49,103.36,1621400,70.89
"2007-02-15",103.6,104.22,101.79,102.95,940300,70.61
"2007-02-16",103.09,103.2,101.5,101.71,1114500,69.76
"2007-02-20",102.65,102.85,99.83,102.29,1428800,70.16
"2007-02-21",101.87,102.56,100.54,102.19,1367700,70.09
"2007-02-22",102.6,106.24,102.06,106.1,2074100,72.77
"2007-02-23",105.62,106.63,103.29,103.81,1274100,71.2
"2007-02-26",104.7,104.99,99.27,100.38,2113800,68.85
"2007-02-27",97.98,98.51,95.65,95.9,2840700,65.78
"2007-02-28",97.05,99.63,96.05,98.02,2826900,67.23
"2007-03-01",95.78,98.31,93.72,97.03,2334600,66.55
"2007-03-02",96.69,97.3,93.47,93.63,1530600,64.22
"2007-03-05",92.51,92.8,89.06,89.37,3088500,61.3
"2007-03-06",91.49,93.18,91.35,92.42,2478500,63.39
"2007-03-07",92.45,92.91,90.92,91.35,1508400,62.66
"2007-03-08",92.89,95.11,92.24,94.18,1691300,64.6
"2007-03-09",95.16,95.94,92.82,94.24,1527500,64.64
"2007-03-12",93.28,94.2,90.83,92.42,1364500,63.39
"2007-03-13",92,93.59,90.54,90.8,1475500,62.28
"2007-03-14",90.85,92.93,89.5,92.62,1671300,63.53
"2007-03-15",92.4,94.08,91.75,93.64,1572500,64.23
"2007-03-16",93.13,94.02,91.95,92.74,1365100,63.61
"2007-03-19",93.63,95.1,93.01,95.02,1078200,65.17
"2007-03-20",95.19,98.33,94.52,97.68,2240700,67
"2007-03-21",96.5,99.5,95.9,99.5,2288000,68.25
"2007-03-22",100.05,100.47,99.19,99.9,1602200,68.52
"2007-03-23",99.75,100.9,99.71,100.65,1053700,69.04
"2007-03-26",100.8,101,99.01,100.93,1160300,69.23
"2007-03-27",99.94,100.45,97.6,98.01,1293300,67.22
"2007-03-28",97.51,97.86,95.5,95.8,1645400,65.71
"2007-03-29",96.23,97.4,94.64,96,1156000,65.85
"2007-03-30",95.99,96.33,94.1,94.86,959100,65.06
"2007-04-02",95,96.55,95,96.06,796100,65.89
"2007-04-03",96.98,99.49,96.96,98.32,1250100,67.44
"2007-04-04",98.44,98.68,97.24,98.16,824600,67.33
"2007-04-05",98,99.47,97.55,98.69,743400,67.69
"2007-04-09",99.72,101.68,99.66,101.08,1550000,69.33
"2007-04-10",101.08,101.43,99.48,100.15,844200,68.69
"2007-04-11",100,100.24,98.25,98.78,764700,67.75
"2007-04-12",98.27,100.64,97.63,100.17,850100,68.71
"2007-04-13",99.86,103,99.09,102.44,1435800,70.26
"2007-04-16",103.04,103.47,101.25,102,1079200,69.96
"2007-04-17",101.8,101.99,100.28,100.79,843400,69.13
"2007-04-18",100.5,104.12,100.5,103.34,1177500,70.88
"2007-04-19",102.79,102.79,101.01,102.01,852300,69.97
"2007-04-20",103.22,103.69,102.02,102.51,738100,70.31
"2007-04-23",102.28,103.52,101.81,103.44,806800,70.95
"2007-04-24",103.62,103.77,102.26,102.81,745200,70.52
"2007-04-25",102.81,105.55,102.45,105.47,956900,72.34
"2007-04-26",105.5,106.4,105,105.93,727500,72.66
"2007-04-27",105.73,105.73,103.61,104.52,742900,71.69
"2007-04-30",104.23,105.6,102.03,102.21,1464300,70.11
"2007-05-01",102.11,102.87,100.7,102.17,2057500,70.08
"2007-05-02",101.5,107.98,101.39,107.05,3658400,73.43
"2007-05-03",104.2,105.98,102.59,103.63,2569600,71.08
"2007-05-04",104.25,105.2,101.53,102.52,1513800,70.32
"2007-05-07",102.57,103.41,99.75,101.85,3787100,69.86
"2007-05-08",105.39,105.88,99.17,99.91,3857100,68.53
"2007-05-09",99.2,100.34,98.8,99.26,1398000,68.08
"2007-05-10",99.21,99.42,95.72,96,1654900,65.85
"2007-05-11",96.25,97.94,94.85,96.52,1388900,66.2
"2007-05-14",96.92,97.78,95.44,95.84,1162800,65.74
"2007-05-15",96.38,97.76,94.74,94.95,1225600,65.13
"2007-05-16",95.84,97.31,95.61,96.28,1322600,66.04
"2007-05-17",95.9,97.19,94.96,95.03,904000,65.18
"2007-05-18",95.08,95.89,93.22,93.74,1641700,64.3
"2007-05-21",93.66,95,93.6,94.19,1184800,64.6
"2007-05-22",98.64,101.54,97.25,101.15,3284400,69.38
"2007-05-23",101.73,101.78,99.25,99.35,1070600,68.14
"2007-05-24",100.35,100.66,96.16,96.7,1195000,66.33
"2007-05-25",96.25,96.5,94.63,94.75,1703600,64.99
"2007-05-29",94.96,96.17,94.83,95.1,1763600,65.23
"2007-05-30",94.15,95.23,93.49,94.25,1616600,64.65
"2007-05-31",94.72,96.62,94.01,96.5,1768600,66.19
"2007-06-01",97,99.27,97,98.43,2213600,67.51
"2007-06-04",97.66,99.3,97.51,97.99,1442400,67.21
"2007-06-05",98,98.98,97.37,98.67,1064500,67.68
"2007-06-06",98.4,98.74,95.85,96.25,1133200,66.02
"2007-06-07",99.65,99.78,92.85,93.46,4996200,64.1
"2007-06-08",92.95,95.98,92.95,95.51,2205000,65.51
"2007-06-11",95.07,95.25,93.35,94.33,1916400,64.7
"2007-06-12",93.73,95.4,93.63,94.05,1689200,64.51
"2007-06-13",94.77,96.18,94.06,96.18,1378000,65.97
"2007-06-14",96.02,96.38,94.11,94.67,1570600,64.93
"2007-06-15",96.4,96.64,94.89,95.06,1901000,65.2
"2007-06-18",95.11,95.26,93.86,93.86,1142700,64.38
"2007-06-19",92.86,92.92,91.3,92.45,2659400,63.41
"2007-06-20",92.29,92.39,90.77,90.97,1352500,62.4
"2007-06-21",91.21,91.23,89.07,90.98,2101300,62.4
"2007-06-22",90.93,91.23,89.44,89.55,821200,61.42
"2007-06-25",89.8,90.11,88.52,89.34,1303000,61.28
"2007-06-26",89.26,89.46,86.73,87.34,1470800,59.91
"2007-06-27",86.7,88.65,85.53,88.57,1438900,60.75
"2007-06-28",88.7,89.75,87.22,89.07,1541800,61.09
"2007-06-29",89.17,91.88,89.02,89.65,1615200,61.49
"2007-07-02",90.25,90.26,88.41,89.56,1238500,61.43
"2007-07-03",89.37,90.68,88.51,88.81,744500,60.91
"2007-07-05",89.8,93.09,89.15,92.76,2144000,63.62
"2007-07-06",92.88,94.25,92.31,94.24,1117600,64.64
"2007-07-09",94.25,94.79,93.45,94.78,1525400,65.01
"2007-07-10",94.1,94.25,92.55,92.62,2108400,63.53
"2007-07-11",92.62,94.57,92.26,94.3,1356400,64.68
"2007-07-12",94.27,97.45,94.17,96.98,2127600,66.52
"2007-07-13",97.19,98.75,96,98.39,1076200,67.49
"2007-07-16",97.97,98.85,97.77,97.79,1431600,67.07
"2007-07-17",97.7,98.43,96.7,98.27,2073600,67.4
"2007-07-18",97.59,99.42,96.65,98.74,2263100,67.73
"2007-07-19",99.05,99.9,98.31,99.42,2558100,68.19
"2007-07-20",99.06,99.31,96.54,98.68,2879600,67.68
"2007-07-23",98.7,101.85,98.38,101.27,1839100,69.46
"2007-07-24",101,101.49,98.93,99.32,1241100,68.12
"2007-07-25",100.02,103.07,99.27,101.64,1948400,69.71
"2007-07-26",100.02,100.38,94.63,97.66,2817100,66.98
"2007-07-27",98.1,100.99,96.57,100.35,1516900,68.83
"2007-07-30",100.4,101.13,96.55,99.21,1820500,68.05
"2007-07-31",99.3,100.83,96.16,96.56,1723600,66.23
"2007-08-01",96.53,97.21,94.05,96.91,1322100,66.47
"2007-08-02",98.2,101.47,98,101.33,1727400,69.5
"2007-08-03",101.32,104.62,100.3,101.06,2847200,69.32
"2007-08-06",103.45,107.91,99.73,107.39,3210100,73.66
"2007-08-07",116.05,123.71,115.77,118.2,10229500,81.07
"2007-08-08",117.75,125.58,114.81,116.68,4393700,80.03
"2007-08-09",113.93,118.7,113.24,115.59,2889300,79.28
"2007-08-10",111.61,113.88,109.05,111.53,3110900,76.5
"2007-08-13",113.74,115.98,110.95,112.15,1960700,76.92
"2007-08-14",113.62,116,113.28,113.99,1736200,78.19
"2007-08-15",112.26,117.69,111.41,114.47,2211500,78.51
"2007-08-16",113.45,114.88,106,110.98,3228200,76.12
"2007-08-17",112.16,114.19,109.14,112.34,1778800,77.05
"2007-08-20",113.62,115.45,110.58,114.08,1402900,78.25
"2007-08-21",115.22,118.86,113.01,116.75,1743600,80.08
"2007-08-22",118.92,120,116.9,118.7,1321200,81.42
"2007-08-23",119,119.29,115.92,116.87,1139100,80.16
"2007-08-24",116.65,124.14,116.34,123.13,2225000,84.45
"2007-08-27",123.07,125.86,120.84,121.38,1479200,83.25
"2007-08-28",120.41,121,117,117.8,1536100,80.8
"2007-08-29",116.51,121.26,114.6,120.75,2800700,82.82
"2007-08-30",119.33,121.7,118.5,121.06,1243600,83.03
"2007-08-31",122.94,124.61,121.08,123.73,1249600,84.87
"2007-09-04",123.71,127.9,121.94,126.65,1550500,86.87
"2007-09-05",126.84,126.89,124.76,126.47,1137200,86.75
"2007-09-06",127.01,128.9,125.38,127.45,898900,87.42
"2007-09-07",125.34,125.91,123.35,124.28,1292700,85.24
"2007-09-10",125.39,125.91,120.25,123.81,1409700,84.92
"2007-09-11",124.15,131.86,124.15,131.7,2314600,90.33
"2007-09-12",130.52,138.22,130.22,137.56,3185900,94.35
"2007-09-13",137.86,140.34,136.25,139.99,2184000,96.02
"2007-09-14",139,143.44,137.76,139.86,2255700,95.93
"2007-09-17",139.27,143,138.81,142.23,1581000,97.56
"2007-09-18",142.25,150.61,140.67,148.86,2491700,102.1
"2007-09-19",150.15,151,145.18,146.58,2348800,100.54
"2007-09-20",144.13,147.46,143.51,144.94,2013000,99.41
"2007-09-21",145.16,147.1,143.55,143.55,2451900,98.46
"2007-09-24",144.88,157.14,144.5,156.01,3792600,107.01
"2007-09-25",154.51,158.22,152.57,155,2855300,106.31
"2007-09-26",155,157.9,152.43,157.27,2248700,107.87
"2007-09-27",157,168.8,156.08,166.98,6065300,114.53
"2007-09-28",160.73,162.14,155.4,157.56,6743200,108.07
"2007-10-01",159.45,165.58,157.05,163.99,2840200,112.48
"2007-10-02",165.78,169.38,163.11,165.83,2424100,113.74
"2007-10-03",154.51,157,148.79,149.4,8208100,102.47
"2007-10-04",147.77,152.18,144,149.96,3775000,102.86
"2007-10-05",152,154.96,148.66,151.07,2292500,103.62
"2007-10-08",152,153.2,148.9,152.7,1913000,104.74
"2007-10-09",153.34,153.35,150.05,151.34,1580500,103.8
"2007-10-10",151.85,157.09,151.03,155.79,2384400,106.86
"2007-10-11",159.02,163.8,154,156.96,3558200,107.66
"2007-10-12",157.95,159.74,154.15,158.18,1792600,108.5
"2007-10-15",158.51,161,150.57,153.69,2245100,105.42
"2007-10-16",153.19,158.25,151.55,156.45,1978300,107.31
"2007-10-17",159.25,160.28,153.63,158.17,1751800,108.49
"2007-10-18",157.01,157.68,153.75,156.26,1597600,107.18
"2007-10-19",157.07,157.54,149.5,150.03,1956200,102.91
"2007-10-22",147.53,155.48,147,154.24,1654300,105.79
"2007-10-23",156.55,158.5,155.05,158.5,1542900,108.71
"2007-10-24",158.26,161.37,151.81,155.54,2383800,106.68
"2007-10-25",158,160.39,153.73,156.68,1508500,107.47
"2007-10-26",159,164.87,157.81,164.65,1851300,112.93
"2007-10-29",167.68,176.14,165.89,172.9,3104700,118.59
"2007-10-30",170.81,175.41,164.46,167.9,3738600,115.16
"2007-10-31",157.34,162.75,155,161.43,4882400,110.72
"2007-11-01",160.22,161.38,154.81,154.94,2803300,106.27
"2007-11-02",148,151.4,142.58,149.4,3435200,102.47
"2007-11-05",145.2,147.81,142.43,145.4,1974200,99.73
"2007-11-06",147.16,148.06,139.71,142.9,2040400,98.01
"2007-11-07",140.2,141.29,137.7,138.43,1621800,94.95
"2007-11-08",139.8,139.8,131.82,136.06,2293300,93.32
"2007-11-09",133.89,140.07,130.86,136.38,2243800,93.54
"2007-11-12",135.71,137.82,128.07,129.55,1970200,88.86
"2007-11-13",130.69,138.29,130.53,137.72,1797100,94.46
"2007-11-14",138.7,139.75,130,130.76,2132400,89.69
"2007-11-15",130.15,134.22,127.71,130.35,2038300,89.41
"2007-11-16",131.71,135.96,131.23,134.5,1690200,92.25
"2007-11-19",130,131.19,124.78,124.98,2236700,85.72
"2007-11-20",129.12,135,127.84,132.16,4153700,90.65
"2007-11-21",131,137.93,129.9,135.3,2406200,92.8
"2007-11-23",135.89,136,132.34,135.05,878400,92.63
"2007-11-26",136.32,136.39,130.02,130.6,1755400,89.58
"2007-11-27",130.81,131.82,128.25,130.6,3043800,89.58
"2007-11-28",128.94,134.74,128.05,131.76,2250100,94.73
"2007-11-29",131.57,132.5,126.52,127.04,1850200,91.33
"2007-11-30",128.77,130,125.52,126.94,1715300,91.26
"2007-12-03",126.7,126.7,119.54,120.67,2260800,86.75
"2007-12-04",120.67,124.77,119,121.99,1769500,87.7
"2007-12-05",124.29,124.74,120.75,122.06,1538800,87.75
"2007-12-06",121.21,123.98,119.86,123.85,1270400,89.04
"2007-12-07",123.9,127,123.9,124.6,1071100,89.58
"2007-12-10",125.74,126.95,124,124.42,1123900,89.45
"2007-12-11",124.8,125.4,119,119.57,1530900,85.96
"2007-12-12",120.72,122.77,116.59,118.12,1984200,84.92
"2007-12-13",117.98,119.69,117.57,119.13,1059400,85.65
"2007-12-14",117.05,120.38,117.05,117.87,1296300,84.74
"2007-12-17",116.64,119.16,114,114.26,1731900,82.14
"2007-12-18",115.02,116.12,111.53,112.35,1561000,80.77
"2007-12-19",111.24,119.69,110.5,117.98,2775600,84.82
"2007-12-20",120.86,121.96,114.39,116.39,2307500,83.68
"2007-12-21",116.6,117.48,113.51,115.25,2309300,82.86
"2007-12-24",114.55,115.2,113.26,113.28,653200,81.44
"2007-12-26",113.02,117.85,112.38,117.67,1363800,84.6
"2007-12-27",118.07,121.42,114.02,114.59,1477900,82.38
"2007-12-28",116.94,116.94,114.15,115.71,977700,83.19
"2007-12-31",115.22,115.33,112.09,112.13,1093300,80.61
"2008-01-02",112.77,114.98,108.37,109.38,1629800,78.64
"2008-01-03",109.5,109.5,103.77,105.68,2432900,75.98
"2008-01-04",103.7,108.5,101.63,105.2,3068700,75.63
"2008-01-07",106.76,106.93,102.52,104.22,2366800,74.93
"2008-01-08",105.25,109.95,103.01,104.5,2795800,75.13
"2008-01-09",106.86,108.54,103.5,108.26,2303600,77.83
"2008-01-10",108.37,110.64,105.01,108.99,2639700,78.36
"2008-01-11",107.38,108.4,102.31,102.54,1995300,73.72
"2008-01-14",103.49,104.27,99.12,100.95,2671500,72.58
"2008-01-15",99.39,100.54,95.88,97.65,2629800,70.2
"2008-01-16",97.85,105.35,97.44,102.67,3428200,73.81
"2008-01-17",103.72,104.61,96.52,96.89,3210100,69.66
"2008-01-18",97.05,102.32,95.34,101.43,4005900,72.92
"2008-01-22",96.44,101.94,96.36,101.38,2226000,72.88
"2008-01-23",99.7,112.5,98,109.96,2998200,79.05
"2008-01-24",110.36,110.85,105.66,108.85,2077500,78.26
"2008-01-25",109.28,112.5,103.71,104.02,1883900,74.78
"2008-01-28",104.5,111.27,103,110.33,1842000,79.32
"2008-01-29",112.24,113.86,109.12,111.96,1494400,80.49
"2008-01-30",111.18,113.2,109.39,109.73,1468700,78.89
"2008-01-31",108.1,116.67,106,114.98,1997800,82.66
"2008-02-01",115.88,119.78,114.11,116.83,1852900,83.99
"2008-02-04",116.93,116.96,111.25,111.47,1322600,80.14
"2008-02-05",115,123,112.66,119.36,4366300,85.81
"2008-02-06",119.64,120.2,114.5,115.37,2539600,82.94
"2008-02-07",114.01,121.55,113.48,120.59,2064000,86.7
"2008-02-08",119.99,121.73,116.48,119,1576700,85.55
"2008-02-11",119.18,122.22,118.8,119.88,1809500,86.18
"2008-02-12",121.86,124.77,119.12,119.84,2723400,86.16
"2008-02-13",116.59,118.55,108.13,110.91,5595600,79.74
"2008-02-14",111.05,113.94,106.92,107.4,3147900,77.21
"2008-02-15",106.85,106.93,103.72,104.62,2026900,75.21
"2008-02-19",105.77,108.42,103.3,105.51,2228500,75.85
"2008-02-20",105.25,108.93,103.5,107.2,1758300,77.07
"2008-02-21",106.96,107.36,102.01,102.36,1706400,73.59
"2008-02-22",103.12,104.15,101.65,104.11,1193300,74.85
