"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2008-02-25",103.52,106.09,102.66,105.62,1297400,75.93
"2008-02-26",105.41,107.88,104.26,107.17,1570100,77.05
"2008-02-27",106.33,107.53,104,104.53,1790200,75.15
"2008-02-28",104.7,106.87,102.73,103.29,1719700,74.26
"2008-02-29",101.9,104.99,99.54,100.7,2490600,72.4
"2008-03-03",100.2,100.68,97.8,98.97,1868200,71.15
"2008-03-04",98.4,99.01,94.8,97.28,2725200,69.94
"2008-03-05",97.69,99.75,97.23,99.19,2087000,71.31
"2008-03-06",98.37,100.23,95,95,2422900,68.3
"2008-03-07",94.27,95.34,90.9,92.82,3116700,66.73
"2008-03-10",92.75,94.25,91.24,91.41,1652300,65.72
"2008-03-11",92.14,96.59,91.56,96.45,2509500,69.34
"2008-03-12",97.56,98.4,94.9,97.05,1970700,69.77
"2008-03-13",96.49,98.2,92.58,97.26,2360300,69.92
"2008-03-14",98,98.25,92.49,96.67,2336800,69.5
"2008-03-17",93.46,97.77,92.29,96.94,3469600,69.69
"2008-03-18",98.99,100.44,97.58,99.01,2053700,71.18
"2008-03-19",99.65,102.25,97,97.53,2149700,70.12
"2008-03-20",98,102.28,96.02,101.39,1941600,72.89
"2008-03-24",101.54,108.36,101.24,107.28,1696700,77.13
"2008-03-25",108.05,109.21,105.06,108.87,1401600,78.27
"2008-03-26",107.81,108.83,104.8,108.32,1836300,77.87
"2008-03-27",108.28,109.27,103.7,103.78,1546000,74.61
"2008-03-28",105.67,105.67,100,100.23,1471000,72.06
"2008-03-31",100.23,102.79,99.76,100.64,1338500,72.35
"2008-04-01",103,111.19,101.14,111.19,2144200,79.94
"2008-04-02",110.55,116,110.55,112.48,1964800,80.86
"2008-04-03",111.9,116.54,111.71,116.43,2121800,83.7
"2008-04-04",115.67,115.98,111.59,112.87,1457800,81.15
"2008-04-07",113.64,116.43,111.09,112.36,1423900,80.78
"2008-04-08",111.28,112.16,109.85,110.72,1086600,79.6
"2008-04-09",111.15,112.74,107.22,108.83,1235500,78.24
"2008-04-10",108.07,110.28,106.58,107.97,1117800,77.62
"2008-04-11",106.54,106.74,101.62,102.85,1827100,73.94
"2008-04-14",103.26,106.04,100.55,100.69,977000,72.39
"2008-04-15",103.1,103.67,97.3,98.06,2161100,70.5
"2008-04-16",99.34,100.94,96.31,100.13,2222200,71.99
"2008-04-17",99.35,99.35,93.47,96.06,3758700,69.06
"2008-04-18",98.67,99.45,97.55,98.46,2476600,70.79
"2008-04-21",98.8,99.29,95.36,95.54,2143000,68.69
"2008-04-22",95.81,106.96,95.6,102.64,4015600,73.79
"2008-04-23",104.78,106.99,103.29,105.95,2568800,76.17
"2008-04-24",105.51,112.3,102.5,109.85,2638400,78.97
"2008-04-25",109.63,110.12,106.1,108.01,1313000,77.65
"2008-04-28",108.28,108.84,106.81,107.75,1385000,77.46
"2008-04-29",107.69,110.7,106.75,109.22,1623900,78.52
"2008-04-30",109.87,110,105.34,105.34,1732300,75.73
"2008-05-01",100.01,109,99.61,108.19,4597000,77.78
"2008-05-02",106.81,112.48,106.81,108.03,2891900,77.67
"2008-05-05",108.82,109.17,104.22,105.65,1297100,75.95
"2008-05-06",105,108.25,103.5,107.95,1243000,77.61
"2008-05-07",107.05,107.4,101.67,102.02,1598500,73.34
"2008-05-08",102.49,103.78,101.52,102.15,1075700,73.44
"2008-05-09",101.3,103.08,100.31,103.02,1252800,74.06
"2008-05-12",102.72,104.58,101.93,103.85,959700,74.66
"2008-05-13",104.07,104.3,101.31,102.62,1307300,73.78
"2008-05-14",102.82,106.18,102.75,105.3,1449700,75.7
"2008-05-15",104.81,109.18,104.02,108.97,1360500,78.34
"2008-05-16",109.44,109.95,107.36,109.52,1426000,78.74
"2008-05-19",108.88,110.99,107.49,108.42,1160400,77.95
"2008-05-20",108,108.41,104.6,105.08,1321200,75.54
"2008-05-21",104.5,110.23,100.15,101.62,2498800,73.06
"2008-05-22",101.91,104.83,101.69,102.63,993700,73.78
"2008-05-23",102.49,103,98.75,99.74,1754600,71.71
"2008-05-27",99.51,102.33,99.07,100,1599300,71.89
"2008-05-28",98.67,100.59,98.19,99.84,1734500,71.78
"2008-05-29",100.1,102.88,99.29,102.03,1035100,73.35
"2008-05-30",101.84,102.61,100.03,100.03,1245600,71.91
"2008-06-02",100.96,100.96,98.68,99.79,1572800,71.74
"2008-06-03",100.4,100.4,98.06,99.54,2321900,71.56
"2008-06-04",99.57,103,98.12,99.21,1836400,71.32
"2008-06-05",99.28,101.33,98.6,99.73,1229800,71.7
"2008-06-06",99,99.3,94.58,94.79,2713400,68.15
"2008-06-09",94.74,96.29,89.62,90.95,2569300,65.39
"2008-06-10",89.66,90.2,86.7,87.96,3507200,63.24
"2008-06-11",87.96,90.18,87,88.51,3812000,63.63
"2008-06-12",88.76,91.02,88.32,89,2270200,63.98
"2008-06-13",90.38,92.19,90.04,92.19,1461900,66.28
"2008-06-16",91.1,95.78,90.74,94.41,2363000,67.87
"2008-06-17",94.44,95.33,93.15,95.08,2131500,68.36
"2008-06-18",94.35,95.77,92.98,93.41,3083200,67.15
"2008-06-19",92.53,93.3,89.37,92.71,2896400,66.65
"2008-06-20",91.6,92.06,87.06,88.4,4211700,63.55
"2008-06-23",89.5,89.5,86.69,86.73,2093300,62.35
"2008-06-24",86.41,86.41,83.62,85,3470100,61.11
"2008-06-25",85.1,88.46,84.92,87.49,2095100,62.9
"2008-06-26",85.56,86.28,83.15,83.5,3188400,60.03
"2008-06-27",82.01,82.56,78.66,79.81,4771400,57.38
"2008-06-30",79.01,82.43,77.66,81.35,3467100,58.48
"2008-07-01",78.5,82.28,77.12,82.1,3976000,59.02
"2008-07-02",81.84,85.14,78.8,79.26,3558800,56.98
"2008-07-03",79.09,80.73,74.47,78.94,3411100,56.75
"2008-07-07",79.5,82.4,78.47,82.01,3725000,58.96
"2008-07-08",82.06,83.95,78.9,83.5,3508600,60.03
"2008-07-09",84.66,84.66,77.07,77.56,3563600,55.76
"2008-07-10",78.44,78.44,69.27,69.94,7920800,50.28
"2008-07-11",78.76,79.86,72.17,78.14,9585000,56.18
"2008-07-14",79.58,81.09,75.34,77.29,3841600,55.57
"2008-07-15",74.65,77.8,71.87,75.61,2793900,54.36
"2008-07-16",75.4,79.89,74.04,79.54,2275300,57.18
"2008-07-17",79.54,84.18,78.5,84.07,3367300,60.44
"2008-07-18",85.07,90.3,81.99,88.03,2672300,63.29
"2008-07-21",89.88,96.59,89,93.43,3486900,67.17
"2008-07-22",92.2,98.21,90.67,97.81,2693300,70.32
"2008-07-23",97.06,106.95,95.94,99.81,4837100,71.76
"2008-07-24",98.87,99.78,90.54,91.59,3144000,65.85
"2008-07-25",92.9,94.6,87.23,90.04,2506300,64.73
"2008-07-28",90.61,92.95,88.99,91.67,1615700,65.9
"2008-07-29",92.54,100,91.9,99,2354700,71.17
"2008-07-30",99.4,102,94.93,97.39,1422900,70.02
"2008-07-31",95.98,100.2,94.13,97.48,2115400,70.08
"2008-08-01",98.05,99.58,94,95.58,1333500,68.71
"2008-08-04",95.68,96.21,91.82,94.35,1253300,67.83
"2008-08-05",95.75,101.5,95.12,99.15,2772500,71.28
"2008-08-06",99.7,105.9,96.32,105.24,1891000,75.66
"2008-08-07",102.73,104.9,100.52,101.82,2213000,73.2
"2008-08-08",101.68,108.75,100.68,107.6,2184200,77.36
"2008-08-11",108.19,119.74,107,114.67,3627800,82.44
"2008-08-12",111.65,115.5,106.71,108.35,2875900,77.9
"2008-08-13",106.69,107.7,100.88,102.73,2311100,73.86
"2008-08-14",102.49,108,101.5,107.15,2012700,77.03
"2008-08-15",106.25,109.87,105.27,105.96,1514900,76.18
"2008-08-18",106.24,107.26,99,100.39,1590000,72.17
"2008-08-19",96.9,97,91.54,96.05,3847300,69.05
"2008-08-20",96.2,97.48,91.25,91.82,2511700,66.01
"2008-08-21",92.89,94.11,90.01,90.21,2249100,64.85
"2008-08-22",92,95.92,91.2,95.64,1971600,68.76
"2008-08-25",93.78,94.68,90.68,91.8,1914900,66
"2008-08-26",91.51,95.11,90.8,91.77,1096000,65.98
"2008-08-27",91.78,93.89,90.1,91.98,1279900,66.13
"2008-08-28",93.23,97,92.6,96,1267800,69.02
"2008-08-29",94.78,96.78,93.49,95.42,1101900,68.6
"2008-09-02",99.46,101,94.39,95.24,1313300,68.47
"2008-09-03",94.91,97.81,93.1,94.85,1188600,68.19
"2008-09-04",94,94.99,89.11,90.37,1601900,64.97
"2008-09-05",89.88,89.96,85.13,89.17,2125800,64.11
"2008-09-08",92.2,93.49,86.73,90.19,1736600,64.84
"2008-09-09",89.78,90.19,85.14,85.22,1694000,61.27
"2008-09-10",87.28,87.28,80.52,82.16,3513800,59.07
"2008-09-11",80.62,88.84,79.18,87.32,3087200,62.78
"2008-09-12",86.26,89.52,85,87.49,1486600,62.9
"2008-09-15",83.6,88.31,83.08,83.67,1901800,60.15
"2008-09-16",84.84,87.19,80.2,85.34,2902100,61.35
"2008-09-17",83.36,85.62,80.41,80.56,2251100,57.92
"2008-09-18",83.5,95.35,79.37,92.47,3997000,66.48
"2008-09-19",97.09,104.03,88.81,94.99,3716100,68.29
"2008-09-22",93.14,95,88.93,89.18,1405900,64.11
"2008-09-23",89.54,91.31,86.81,88.14,1353000,63.37
"2008-09-24",88.14,92.01,86.28,88.1,1320800,63.34
"2008-09-25",89.95,90.88,86.01,86.23,1244900,61.99
"2008-09-26",85.81,86,81,84.97,2080800,61.09
"2008-09-29",82.2,86.19,77.66,77.93,2282400,56.03
"2008-09-30",78.75,83.74,78.75,81.64,1542600,58.69
"2008-10-01",80.26,83.69,79.52,80.19,1514400,57.65
