"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume","CELG.Adjusted"
"2007-01-03",58.1,58.29,56,57.2,5379500,57.2
"2007-01-04",57.24,58.6,56.5,58.04,4256800,58.04
"2007-01-05",58,58.14,56.9,57.58,2967700,57.58
"2007-01-08",57.28,57.77,56.5,57.3,3698900,57.3
"2007-01-09",54.55,55.06,53.8,54.85,13069400,54.85
"2007-01-10",54.48,55.31,53.91,55.25,3577500,55.25
"2007-01-11",55.35,56.25,55.03,56,3130500,56
"2007-01-12",56.2,56.5,55.32,55.88,3069700,55.88
"2007-01-16",56.01,56.17,55.35,55.73,3686200,55.73
"2007-01-17",55.69,55.83,55.08,55.34,3504300,55.34
"2007-01-18",55.56,55.99,54.81,54.98,3041900,54.98
"2007-01-19",54.79,55.19,54.6,54.98,3241800,54.98
"2007-01-22",54.98,55.05,53.81,54.17,3284200,54.17
"2007-01-23",54.04,54.58,53.38,53.94,3474600,53.94
"2007-01-24",54.2,55.19,53.75,55.17,2601200,55.17
"2007-01-25",55,55.17,53.56,53.93,3244900,53.93
"2007-01-26",53.93,54.15,52.69,53.96,3580200,53.96
"2007-01-29",53.38,54.25,53.19,53.59,2730900,53.59
"2007-01-30",53.64,54.4,53.25,54.25,2450300,54.25
"2007-01-31",54.12,54.3,53.1,53.68,4262000,53.68
"2007-02-01",54.26,56.44,54.01,56.1,5311700,56.1
"2007-02-02",55.66,56.21,55.1,55.41,2902600,55.41
"2007-02-05",55.12,55.5,54.41,54.85,2251900,54.85
"2007-02-06",54.72,55.25,53.7,54.71,2596400,54.71
"2007-02-07",54.79,55.68,54.57,54.97,2929300,54.97
"2007-02-08",55.54,55.71,54.9,55.42,2137000,55.42
"2007-02-09",55.7,55.95,54.76,55.33,2594200,55.33
"2007-02-12",55.43,55.43,54.04,54.26,2243300,54.26
"2007-02-13",54.39,54.59,53.05,53.23,3726300,53.23
"2007-02-14",53.3,54.01,53.14,53.95,3009100,53.95
"2007-02-15",53.95,54.42,53.36,54.38,2272100,54.38
"2007-02-16",54.12,54.5,53.44,53.44,2711100,53.44
"2007-02-20",53.12,53.76,52.84,53.46,2347400,53.46
"2007-02-21",53.7,54.13,53.43,54.12,2589300,54.12
"2007-02-22",54.55,54.88,54.05,54.87,3487500,54.87
"2007-02-23",54.99,56.73,54.7,56.28,4875800,56.28
"2007-02-26",56.73,57.41,56.33,57.22,4757900,57.22
"2007-02-27",56.25,56.75,53.01,53.17,7645300,53.17
"2007-02-28",52.8,54.25,52.3,53.3,4692300,53.3
"2007-03-01",52.4,53.03,50.6,52.29,6509200,52.29
"2007-03-02",51.8,52.61,51.04,51.3,4035000,51.3
"2007-03-05",50.55,51.78,50.25,50.56,4321100,50.56
"2007-03-06",51,51.65,50.35,51.24,4151200,51.24
"2007-03-07",50.97,51.3,50.56,50.67,2604900,50.67
"2007-03-08",51.38,52.07,51.01,51.35,2938300,51.35
"2007-03-09",51.8,52.17,50.79,51.16,3092500,51.16
"2007-03-12",51.07,51.88,50.47,51.87,2679100,51.87
"2007-03-13",51.31,51.76,50.18,50.19,3952500,50.19
"2007-03-14",50.48,52.24,49.46,52.15,5070500,52.15
"2007-03-15",52.3,52.54,50.81,51.15,4640100,51.15
"2007-03-16",51,52.15,50.99,52.02,6357900,52.02
"2007-03-19",52.34,53.3,52.25,53.29,4037700,53.29
"2007-03-20",53.05,53.24,52.18,52.91,3996900,52.91
"2007-03-21",53.03,54.64,52.16,54.64,4224000,54.64
"2007-03-22",54.2,54.57,53.16,54.47,6163900,54.47
"2007-03-23",54.74,55.49,54.02,55.02,5128800,55.02
"2007-03-26",54.87,55.1,53.71,54,3464000,54
"2007-03-27",53.91,54.06,53,53.04,2900500,53.04
"2007-03-28",52.85,53.63,52.73,52.87,3152100,52.87
"2007-03-29",53.18,53.35,51.95,52.7,3851700,52.7
"2007-03-30",52.75,52.97,51.72,52.46,3333000,52.46
"2007-04-02",52.45,53.85,52.4,53.8,3858100,53.8
"2007-04-03",54.13,55.71,54,55.63,4257000,55.63
"2007-04-04",56.57,56.91,55.3,55.5,4960500,55.5
"2007-04-05",55.6,58.14,55.6,58.03,4881900,58.03
"2007-04-09",58.49,59.1,58.28,58.9,4120400,58.9
