"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2007-05-07",90.45,91.1,90.42,90.75,740700,88.86
"2007-05-08",90.3,91.21,89.89,90.94,1299300,89.05
"2007-05-09",90.6,91.17,90.04,90.99,1009100,89.1
"2007-05-10",90.37,90.76,89.59,90.35,1284600,88.47
"2007-05-11",90.15,90.22,89.54,89.97,768400,88.1
"2007-05-14",89.9,90.8,89.08,89.3,1782100,87.44
"2007-05-15",89.6,90.35,89.37,89.43,1086300,87.57
"2007-05-16",89.49,90.59,89.29,90.59,819700,88.71
"2007-05-17",90.43,90.52,89.62,89.9,1062400,88.03
"2007-05-18",90.01,90.45,89.33,90.05,1257400,88.18
"2007-05-21",90.1,91.03,89.7,90.08,1319300,88.21
"2007-05-22",90.67,91.48,89.76,90.24,1688400,88.36
"2007-05-23",90.13,91.09,89.83,89.92,739500,88.05
"2007-05-24",90.2,91,89.48,89.57,710000,87.71
"2007-05-25",89.79,90.06,89.63,89.72,556200,87.86
"2007-05-29",89.97,90.25,88.97,89.61,990400,87.75
"2007-05-30",89.57,89.58,88.76,89,1717400,87.15
"2007-05-31",89.21,89.5,87.8,88.06,1898000,86.23
"2007-06-01",88.06,88.62,87.6,88.11,1307400,86.28
"2007-06-04",87.28,88.83,87.28,88.36,2129600,86.52
"2007-06-05",87.03,88.31,86.37,87.34,1943100,85.52
"2007-06-06",86.85,87.05,85.8,86.78,2836300,84.98
"2007-06-07",86.15,86.57,84.29,84.53,2314400,82.77
"2007-06-08",84.54,85.22,84.19,85.14,2078600,83.37
"2007-06-11",85.16,85.22,84.72,85,1416400,83.23
"2007-06-12",84.6,85.11,83.67,84.37,1457300,82.62
"2007-06-13",84.39,85.57,84,85.41,1601800,83.63
"2007-06-14",85.51,86.31,85.4,85.85,1793600,84.07
"2007-06-15",86.53,86.95,85.82,86.12,1934000,84.33
"2007-06-18",86.05,87.35,85.96,86.9,2162100,85.09
"2007-06-19",86.5,87.52,86.26,87.14,1123800,85.33
"2007-06-20",87.39,87.4,86.07,86.12,1528000,84.33
"2007-06-21",85.66,86.5,85.5,85.93,1521700,84.14
"2007-06-22",85.76,85.95,84.93,85.13,2053400,83.36
"2007-06-25",85.5,85.71,83.8,84.04,1586800,82.29
"2007-06-26",84.4,84.9,84.16,84.4,1783000,82.65
"2007-06-27",83.75,84.69,83.75,84.57,1113700,82.81
"2007-06-28",84.41,85.34,84,84.93,1234100,83.16
"2007-06-29",84.93,85.86,84.68,84.89,1514900,83.13
"2007-07-02",85.07,85.65,84.94,85.44,1015300,83.66
