"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"2007-01-03",30.17,30.29,28.2,28.5,487000,28.5
"2007-01-04",28.11,28.84,28,28.75,325500,28.75
"2007-01-05",28.65,28.65,27.73,28.15,524300,28.15
"2007-01-08",28.26,29,28.26,28.9,317000,28.9
"2007-01-09",29,29.77,28.95,29.27,232800,29.27
"2007-01-10",29.22,29.67,29.09,29.16,267700,29.16
"2007-01-11",29.19,29.73,28.75,29.34,362400,29.34
"2007-01-12",29.27,29.61,29.27,29.53,176400,29.53
"2007-01-16",29.56,30.47,29,29.27,214600,29.27
"2007-01-17",29.26,29.26,28.85,29.02,256800,29.02
"2007-01-18",29.27,29.56,28.05,28.32,258300,28.32
"2007-01-19",28.24,28.32,27.7,27.71,353000,27.71
"2007-01-22",27.75,28.13,27.54,27.88,400700,27.88
"2007-01-23",28,29.38,27.87,28.85,504100,28.85
"2007-01-24",29.07,29.15,28.42,29.15,211200,29.15
"2007-01-25",29.25,30.3,29.24,29.43,472400,29.43
"2007-01-26",29.71,29.73,28.89,29.14,211000,29.14
"2007-01-29",29.15,31.44,29,31.14,569100,31.14
"2007-01-30",31.1,33.89,30.86,32.72,990200,32.72
"2007-01-31",32.65,33.14,32.06,32.37,460500,32.37
"2007-02-01",32.53,33.03,32.09,32.66,142700,32.66
"2007-02-02",32.79,33.19,31.16,31.2,461100,31.2
"2007-02-05",31.2,33.99,31.14,32.78,456100,32.78
"2007-02-06",33.11,33.93,32.5,32.81,246400,32.81
"2007-02-07",32.79,33.73,32.55,33.44,241900,33.44
"2007-02-08",33.73,34.47,32.96,33.79,350400,33.79
"2007-02-09",33.91,33.99,32.6,32.86,478000,32.86
"2007-02-12",32.91,33.77,32.6,33.1,344500,33.1
"2007-02-13",33.52,34.74,33,34.28,1109700,34.28
"2007-02-14",40.38,44.85,40.01,43.72,5903700,43.72
"2007-02-15",44.08,46.86,42.87,44.98,2143800,44.98
"2007-02-16",45.05,45.75,44.53,45.26,432000,45.26
"2007-02-20",44.97,49.95,44.9,49.21,1228600,49.21
"2007-02-21",49.15,51.89,48.34,51.19,1788000,51.19
"2007-02-22",51.2,51.57,48.25,49.2,1057400,49.2
"2007-02-23",49.01,49.97,47.26,49.43,936000,49.43
"2007-02-26",49.7,52.7,49.7,51.85,1293800,51.85
"2007-02-27",49.5,51.19,48.27,49.01,1729900,49.01
"2007-02-28",49.55,51,46.89,47.75,1582900,47.75
"2007-03-01",46.15,48.86,45.2,47.88,939500,47.88
"2007-03-02",47.53,48.82,45.85,46.27,786900,46.27
"2007-03-05",45,45.21,42.6,44.13,1155300,44.13
"2007-03-06",45.36,46.44,45,46.3,1133800,46.3
"2007-03-07",46.24,47.96,45.77,47.62,761800,47.62
"2007-03-08",49.73,52.07,49.64,51.87,1892500,51.87
"2007-03-09",52.69,54.1,51.94,52.06,1499400,52.06
"2007-03-12",51.99,57.94,51.61,57.91,2414100,57.91
"2007-03-13",57.59,57.59,52.73,53.72,2632800,53.72
"2007-03-14",53.53,55.45,51.4,54.46,2063300,54.46
"2007-03-15",55.65,55.65,52.1,52.69,1656400,52.69
"2007-03-16",52.83,52.83,50.23,51.52,1734200,51.52
"2007-03-19",53.21,53.75,52,52.5,1144200,52.5
"2007-03-20",52.49,54.14,51.71,52.3,1159600,52.3
"2007-03-21",52.3,54.71,52,54.5,1404900,54.5
"2007-03-22",55.4,59.23,55.28,58.14,3087000,58.14
"2007-03-23",58.98,59.88,57.9,58.25,1642800,58.25
"2007-03-26",59.09,59.58,55.74,57.01,1356900,57.01
"2007-03-27",58.18,58.48,54.89,55.44,2643900,55.44
"2007-03-28",54.9,55.65,54.06,54.5,1287000,54.5
"2007-03-29",55.87,56.25,53,53.2,1643400,53.2
"2007-03-30",53.2,54.02,51.5,52.01,1334400,52.01
"2007-04-02",52.1,55.9,52.08,55.89,1700900,55.89
"2007-04-03",55.88,56.75,54.49,55.75,1175100,55.75
"2007-04-04",55.43,57.7,55.01,57.29,1205300,57.29
"2007-04-05",57.09,58.46,56.3,56.46,882800,56.46
"2007-04-09",57.43,58.4,56,57.51,958900,57.51
"2007-04-10",57.47,61.2,57.04,60.15,2578400,60.15
"2007-04-11",61.28,63.19,60.72,62.23,3055800,62.23
"2007-04-12",61.73,63.5,60.85,62.91,1352000,62.91
"2007-04-13",63.29,63.7,60.9,61.26,1646200,61.26
"2007-04-16",61.87,65.13,61.34,64.94,2134700,64.94
"2007-04-17",64.24,64.24,62.12,62.39,1993100,62.39
"2007-04-18",61.8,63.24,60.63,61.76,1710900,61.76
"2007-04-19",60.55,62.3,59.25,60.17,1528000,60.17
"2007-04-20",61.92,62,59.93,60.91,1156300,60.91
"2007-04-23",61.16,64,61.02,63.14,1369200,63.14
"2007-04-24",63.66,64.1,62.2,63.67,1052700,63.67
"2007-04-25",64,65.6,63.1,64.89,1731400,64.89
"2007-04-26",65.06,65.56,63.48,63.95,1093100,63.95
"2007-04-27",63,63.74,61.77,63.64,821300,63.64
"2007-04-30",63.68,63.8,59.47,59.99,1576100,59.99
"2007-05-01",58.99,58.99,54.2,55.56,3315500,55.56
"2007-05-02",56.57,59.49,56.28,58.9,2191100,58.9
"2007-05-03",59.28,59.62,57.1,57.95,1998500,57.95
"2007-05-04",61.54,67.5,61.48,66.7,6099600,66.7
"2007-05-07",66.95,70.44,65.77,69.63,4185400,69.63
"2007-05-08",68.85,70.09,67.92,68.82,2035700,68.82
"2007-05-09",68.01,69,67.68,68.58,1422500,68.58
"2007-05-10",68,72.48,67.95,68.7,2975600,68.7
"2007-05-11",69.17,69.95,66.92,67.87,2043500,67.87
"2007-05-14",67.96,68.95,64.99,65.26,1937600,65.26
"2007-05-15",64.93,66.7,62.98,63.37,2245300,63.37
"2007-05-16",63.62,64.83,61.9,64.13,2283600,64.13
"2007-05-17",63.86,65.99,63.46,65.17,1572400,65.17
"2007-05-18",63.96,64.4,62.31,63.42,3615300,63.42
