"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume","LLL.Adjusted"
"2007-01-03",83.13,83.13,81.05,81.7,1183900,70.72
"2007-01-04",81.46,81.87,80.02,80.18,1769600,69.4
"2007-01-05",79.85,81.47,79.65,81.04,955500,70.14
"2007-01-08",80.76,81.4,80.62,81.22,676600,70.3
"2007-01-09",81.03,81.33,80.18,80.7,1090300,69.85
"2007-01-10",80.29,81.53,80.1,81.43,997700,70.48
"2007-01-11",81.42,82.44,81.41,82.17,1191700,71.12
"2007-01-12",82.04,82.58,81.35,82.58,825500,71.48
"2007-01-16",82.58,83.25,82.45,83.17,797300,71.99
"2007-01-17",82.77,83.23,82.04,82.18,1263500,71.13
"2007-01-18",82.18,82.34,81.58,81.98,1013900,70.96
"2007-01-19",81.99,82.32,81.5,82.2,1118900,71.15
"2007-01-22",81.86,81.99,81,81.27,1044200,70.34
"2007-01-23",81.28,82.58,81.11,82.31,820700,71.24
"2007-01-24",82.35,82.42,81.29,81.5,902900,70.54
"2007-01-25",81.3,81.6,80.3,80.43,1231200,69.62
"2007-01-26",80.5,80.64,79.26,80.02,1310300,69.26
"2007-01-29",80,80.25,79.58,80.08,1010800,69.31
"2007-01-30",79.85,81.84,79.8,81.65,1627000,70.67
"2007-01-31",81.94,82.84,81.06,82.34,1200700,71.27
"2007-02-01",82.99,85.96,82.75,85.74,2375800,74.21
"2007-02-02",85.05,87.01,85.05,86.39,1708200,74.77
"2007-02-05",86.47,86.61,85.47,85.9,876400,74.35
"2007-02-06",86.27,86.27,85.48,85.91,961800,74.36
"2007-02-07",86.35,87.75,86.31,87.06,1217100,75.35
"2007-02-08",86.84,86.97,86.21,86.82,512800,75.15
"2007-02-09",87,87.12,85.63,86.03,591300,74.46
"2007-02-12",85.65,86.26,85.22,85.35,658800,73.87
"2007-02-13",85.5,86.1,85.25,85.92,524700,74.37
"2007-02-14",86.17,87.73,86.05,87.62,807800,75.84
"2007-02-15",87.79,88.16,87.61,87.8,568800,76
"2007-02-16",87.1,88.01,86.8,87.8,610800,76.21
"2007-02-20",87.99,89.16,87.81,88.99,741000,77.25
"2007-02-21",88.57,89.08,88.41,88.75,898000,77.04
"2007-02-22",88.6,89.42,88.25,88.48,817300,76.8
"2007-02-23",87.28,87.4,85.81,87.11,977900,75.61
"2007-02-26",87.14,87.33,85.25,85.64,1148800,74.34
"2007-02-27",85.64,86.3,83.65,84.38,1741800,73.24
"2007-02-28",87.5,88.19,86.62,86.96,2023800,75.48
"2007-03-01",86,87.02,85.11,86.38,1152100,74.98
"2007-03-02",85.87,86.93,85.17,85.17,861900,73.93
"2007-03-05",84.25,85.85,84.19,84.9,1130800,73.69
"2007-03-06",85.34,85.71,85.16,85.57,780300,74.28
"2007-03-07",85.32,85.48,84.8,84.81,935900,73.62
"2007-03-08",85.06,86,84.81,85.5,972100,74.22
"2007-03-09",85.9,86.45,84.91,85.2,594500,73.96
"2007-03-12",85.26,85.57,85.14,85.24,831500,73.99
"2007-03-13",84.55,85.08,82.47,82.56,1558800,71.66
"2007-03-14",82.58,83.38,81.81,82.65,1757000,71.74
"2007-03-15",82.4,83.29,82.32,83.29,529600,72.3
"2007-03-16",83.28,84.08,83.28,83.84,945600,72.77
"2007-03-19",85,85.23,84.46,85.11,788400,73.88
"2007-03-20",85.12,85.35,84.54,84.9,784100,73.69
"2007-03-21",84.91,86.28,84.76,86.15,501700,74.78
"2007-03-22",85.95,86,85.27,85.46,790500,74.18
"2007-03-23",85.33,86.59,85.33,86.29,389000,74.9
"2007-03-26",86.29,86.52,85.13,86.45,598900,75.04
"2007-03-27",86.26,87.58,86.02,87.31,1090300,75.79
"2007-03-28",87.2,87.27,86.15,86.34,717500,74.94
"2007-03-29",88.22,88.22,87.04,87.6,939600,76.04
"2007-03-30",87.81,88.49,87,87.47,835300,75.93
"2007-04-02",88.37,88.37,87.18,87.81,583900,76.22
"2007-04-03",88.08,88.74,87.7,88.44,621300,76.77
"2007-04-04",88.47,89.42,88.14,89.3,830400,77.51
"2007-04-05",88.86,90.34,88.86,90.15,1322200,78.25
"2007-04-09",90.24,90.64,89.08,89.15,763600,77.38
"2007-04-10",89.24,89.62,88.93,89.36,665500,77.57
"2007-04-11",89.48,89.5,88.36,88.73,704800,77.02
"2007-04-12",88.4,89.15,88.17,89.07,712100,77.31
"2007-04-13",90.97,90.97,89.51,89.92,1025600,78.05
"2007-04-16",90.15,90.47,89.99,90.24,694100,78.33
"2007-04-17",90.24,90.79,90.08,90.44,725300,78.5
"2007-04-18",90.41,91.89,90.22,91.56,846300,79.48
"2007-04-19",90.91,91.58,90.42,91.1,601300,79.08
"2007-04-20",91.5,92.52,91.36,92.52,1098700,80.31
"2007-04-23",92.53,93.12,91.28,91.63,1174100,79.54
"2007-04-24",90.66,91.17,89.45,89.78,1402900,77.93
"2007-04-25",90.05,91.67,89.89,90.95,888600,78.95
"2007-04-26",90.88,91.3,89.87,89.89,902600,78.03
"2007-04-27",89.09,90.75,88.8,90.52,1174400,78.57
"2007-04-30",90.52,90.96,89.92,89.93,915800,78.06
"2007-05-01",89.94,91.31,89.94,91.08,756900,79.06
"2007-05-02",91.29,91.96,90.86,90.9,762100,78.9
"2007-05-03",90.99,91.86,90.96,91.68,817400,79.58
"2007-05-04",91.93,93.08,91.93,92.48,869500,80.27
"2007-05-07",92.45,94.04,92.45,93.79,799400,81.41
"2007-05-08",93.8,94,92.85,93.91,582800,81.52
"2007-05-09",94.81,95.5,94.56,95.44,1092300,82.84
"2007-05-10",95.44,95.67,94.45,94.6,712200,82.11
"2007-05-11",94.85,95.03,94.36,94.74,527400,82.24
"2007-05-14",94.63,94.95,93.33,93.82,658800,81.65
"2007-05-15",94.05,94.62,93.01,93.43,723100,81.31
"2007-05-16",93.9,94.6,93.78,94.3,480300,82.07
"2007-05-17",94.3,94.92,93.8,94.74,475100,82.45
"2007-05-18",94.79,95.19,93.82,94.3,738800,82.07
"2007-05-21",94.33,94.93,94.15,94.46,599000,82.21
"2007-05-22",94.61,95,94.05,94.71,483000,82.43
"2007-05-23",94.23,94.43,93.36,93.85,690400,81.68
"2007-05-24",94.1,94.79,92.77,92.8,503900,80.77
"2007-05-25",92.63,93.44,92.53,93.22,351500,81.13
"2007-05-29",93.15,93.95,92.99,93.79,412400,81.63
"2007-05-30",93.55,94.34,93.17,94.34,386700,82.11
"2007-05-31",94.3,95.33,94.25,95.26,714700,82.91
"2007-06-01",95.61,95.8,94.83,95.79,512600,83.37
"2007-06-04",94.38,95.79,94.38,95.38,658500,83.01
"2007-06-05",94.88,95.72,94.76,95.63,775700,83.23
"2007-06-06",95.45,95.67,95.11,95.43,729600,83.05
"2007-06-07",95.18,95.27,94.31,94.31,880800,82.08
"2007-06-08",93.79,95.26,93.21,95.14,541600,82.8
"2007-06-11",95.15,95.58,94.98,94.98,476600,82.66
"2007-06-12",94.8,95.3,94.47,94.52,823600,82.26
"2007-06-13",94.77,96.74,94.77,96.65,674300,84.12
"2007-06-14",98.34,99.95,97.71,98.11,1376400,85.39
"2007-06-15",98.75,99.13,98.34,98.54,745000,85.76
"2007-06-18",98.98,98.98,97.8,98.16,512100,85.43
"2007-06-19",98.16,99.09,98.03,98.93,554700,86.1
"2007-06-20",99.05,99.72,98.23,98.23,761300,85.49
"2007-06-21",98.04,99.56,97.59,99.2,657600,86.34
"2007-06-22",99,99.01,96.83,97.15,816500,84.55
"2007-06-25",97.4,98.16,96.75,97.31,688300,84.69
"2007-06-26",97.56,98.17,96.99,97.28,578500,84.66
"2007-06-27",97.04,98.62,97.01,98.62,650700,85.83
"2007-06-28",98.62,98.62,96.65,96.71,1042000,84.17
"2007-06-29",97.41,98.07,96.73,97.39,848200,84.76
"2007-07-02",97.56,98.23,97.52,98.03,516100,85.32
"2007-07-03",97.9,98.36,97.44,98.2,196900,85.47
"2007-07-05",98.63,99.6,98.35,99.49,791700,86.59
"2007-07-06",99.5,99.5,98.77,98.91,418100,86.08
"2007-07-09",98.86,98.9,97.83,98.76,635600,85.95
"2007-07-10",98.11,98.85,97.73,97.74,932600,85.06
"2007-07-11",97.74,98.55,97.5,98.55,727000,85.77
"2007-07-12",99,100.16,98.55,100.15,1122400,87.16
"2007-07-13",100.15,100.61,99.56,99.98,956800,87.01
"2007-07-16",100,100.25,99.65,99.87,916400,86.92
"2007-07-17",99.85,100.94,99.66,100.52,1173300,87.48
"2007-07-18",100,100.5,99.3,100.26,970200,87.26
"2007-07-19",100.19,100.72,99.95,100.55,493600,87.51
"2007-07-20",100.43,101.12,99.9,99.91,742100,86.95
"2007-07-23",101.8,102.97,100.07,101.69,1066500,88.5
"2007-07-24",100.88,101.79,100.03,100.3,796800,87.29
"2007-07-25",101.3,101.9,99.95,100.86,862000,87.78
"2007-07-26",100.01,100.18,96.82,97.12,1591700,84.53
"2007-07-27",97.47,100.2,97.45,97.73,1375400,85.06
"2007-07-30",98,99.3,97.5,99.22,822200,86.35
"2007-07-31",99.68,100.4,97.56,97.56,820100,84.91
"2007-08-01",100.5,100.5,97.46,99.58,969800,86.67
"2007-08-02",99.61,100.13,99.13,99.81,1001100,86.87
"2007-08-03",101,101.69,98.68,98.68,1438700,85.88
"2007-08-06",99.44,99.92,98.73,99.92,1194900,86.96
"2007-08-07",99.11,102.6,99,101.6,1248500,88.42
"2007-08-08",102.16,102.32,98.59,100.19,1296200,87.2
"2007-08-09",98.98,100.19,96.25,98.03,1958000,85.32
"2007-08-10",97.9,100.86,97.06,99.58,1676400,86.67
"2007-08-13",100.13,100.22,97.57,97.94,1138400,85.24
"2007-08-14",98,98,95.51,95.51,1093700,83.34
"2007-08-15",95.03,95.72,92.26,92.52,1315000,80.73
"2007-08-16",91.88,93.24,90.11,92.11,1524600,80.37
"2007-08-17",94,95.48,91.6,93.17,1130400,81.29
"2007-08-20",94.4,97.62,94.25,97.07,1397000,84.7
"2007-08-21",96.49,97.81,96.1,97.1,700800,84.72
"2007-08-22",98.53,99,97.09,98.03,894300,85.54
"2007-08-23",98.66,98.87,96.51,97.58,590600,85.14
"2007-08-24",97.37,99.92,97.37,99.92,522400,87.18
"2007-08-27",100,100,98.5,98.81,612200,86.22
"2007-08-28",98.42,98.92,96.22,96.48,768500,84.18
