"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2007-05-14",138.84,139.59,134.59,135.35,39195000,13.26
"2007-05-15",134.63,138.41,134,135.44,23010000,13.27
"2007-05-16",135.44,136.77,133.53,136.19,21332000,13.34
"2007-05-17",136.29,138,135.2,136.09,15159000,13.33
"2007-05-18",136.53,138.29,134.89,138.05,24626000,13.53
"2007-05-21",137.25,141.27,136.85,139.51,27556000,13.67
"2007-05-22",140.92,140.96,138.24,138.73,16378000,13.59
"2007-05-23",140.98,143.56,139.38,140.13,43780000,13.73
"2007-05-24",140.9,141.62,137.58,138.98,29119000,13.62
"2007-05-25",139.43,140.17,138.26,139.07,14528000,13.63
"2007-05-29",141.95,145.99,141.02,144.06,58825000,14.11
"2007-05-30",143.69,147.66,142.51,147.13,46089000,14.41
"2007-05-31",148.54,153.31,148.01,149.55,54012000,14.65
"2007-06-01",151.01,152.23,149.66,151.1,31536000,14.8
"2007-06-04",150.02,151.72,149.66,151.25,14693000,14.82
"2007-06-05",150.95,150.95,146.61,149.2,37777000,14.62
"2007-06-06",148.4,148.4,145.81,147.02,22644000,14.4
"2007-06-07",147.02,149.18,138.1,139.41,62604000,13.66
"2007-06-08",139.06,147.14,135.18,143.58,66562000,14.07
"2007-06-11",144.16,146.32,140.07,141.6,47441000,13.87
"2007-06-12",141.7,146.24,140.7,145.31,50805000,14.24
"2007-06-13",146.65,151.5,145.61,150.3,51915000,14.73
"2007-06-14",150.1,152.69,148.09,150.29,30468000,14.72
"2007-06-15",152.2,158.24,152.16,157.65,47955000,15.45
"2007-06-18",159.41,164.82,158.23,164.62,61167000,16.13
"2007-06-19",164.25,167.21,161.51,165.27,54075000,16.19
"2007-06-20",166.09,169.4,162.78,163.46,59046000,16.01
"2007-06-21",162.4,164.91,158.18,164.69,57840000,16.14
"2007-06-22",165.21,168.43,164.21,168.43,46219000,16.5
"2007-06-25",169,169,160.65,161.95,38693000,15.87
"2007-06-26",163.5,165.37,160.01,161.82,44164000,15.85
"2007-06-27",161.85,164.52,157.8,163.03,32075000,15.97
"2007-06-28",163.13,165.73,161.24,164.78,19710000,16.14
"2007-06-29",166.09,167.19,163.74,165.87,25935000,16.27
"2007-07-02",165.5,167.49,165,166.18,27866000,16.3
"2007-07-03",166.98,167.47,161.92,162.21,13224000,15.91
"2007-07-05",162.76,163.95,160.63,161.71,17590000,15.86
"2007-07-06",162,162.84,159.55,161.9,19056000,15.88
"2007-07-09",162,164.37,160.1,161.22,19613000,15.81
"2007-07-10",160.25,160.75,156.7,158.35,24125000,15.53
"2007-07-11",158.99,159.85,155.58,156.35,30506000,15.33
"2007-07-12",157.99,168.51,157.31,167.87,58223000,16.46
"2007-07-13",167.8,174.6,166.03,169.21,63705000,16.59
"2007-07-16",168,172.82,168,169.71,28161000,16.64
"2007-07-17",171.59,172.36,168.03,169.24,19898000,16.6
"2007-07-18",167.81,169.59,166.56,168.83,21465000,16.56
"2007-07-19",170.89,172.5,167.37,167.43,38193000,16.42
"2007-07-20",167,168.91,162.65,165.28,37079000,16.21
"2007-07-23",165.5,169,165.42,167.6,16295000,16.44
