"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2007-01-03",77.9,80.42,77.9,79.67,1937500,76.4
"2007-01-04",79.63,80.75,79.05,80.63,404900,77.32
"2007-01-05",80.36,80.5,79.13,79.9,480800,76.62
"2007-01-08",80.05,80.34,79.59,79.93,698500,76.65
"2007-01-09",80.1,82.37,80.1,81.91,659200,78.55
"2007-01-10",81.38,82.53,81.24,82,472900,78.63
"2007-01-11",82.25,83.75,82.23,82.77,312700,79.37
"2007-01-12",82.37,82.76,81.98,82.71,291900,79.31
"2007-01-16",82.95,84.1,82.88,83.81,512000,80.37
"2007-01-17",83.5,83.71,82.55,82.96,365400,79.55
"2007-01-18",83.16,83.67,81.98,81.98,345900,78.61
"2007-01-19",82.11,82.28,81.4,82.23,582500,78.85
"2007-01-22",82.73,82.73,80.52,80.52,479900,77.21
"2007-01-23",80.65,81.2,80.15,80.62,595200,77.31
"2007-01-24",80.87,81.85,80.85,81.32,650900,77.98
"2007-01-25",80.91,81.13,79.2,79.42,718900,76.16
"2007-01-26",79.51,79.7,78.3,78.8,684900,75.56
"2007-01-29",78.9,80.57,78.9,80.33,1006200,77.03
"2007-01-30",80.58,80.98,80,80.4,374700,77.1
"2007-01-31",80.4,82.3,80.18,82.05,503400,78.68
"2007-02-01",84.97,85,83.04,83.67,9450700,80.23
"2007-02-02",81.9,84.31,81.66,83.53,1639200,80.1
"2007-02-05",84.25,84.31,83.15,83.69,932700,80.25
"2007-02-06",83.73,85.15,83.64,85.07,1008800,81.58
"2007-02-07",82.57,84.58,82.09,83.6,1446700,80.17
"2007-02-08",83.05,84.16,83.01,83.57,814500,80.14
"2007-02-09",83.3,83.97,82.97,83.52,896800,80.09
"2007-02-12",83.15,83.25,82.01,82.95,1108200,79.54
"2007-02-13",83.5,83.85,83.15,83.57,611100,80.14
"2007-02-14",83.31,84.14,83.08,83.83,660500,80.39
"2007-02-15",83.88,85.48,83.64,85.3,607400,81.8
"2007-02-16",84.85,85.89,84.68,85.8,585400,82.28
"2007-02-20",86.6,88.9,85.97,88.59,1104800,84.95
"2007-02-21",88.01,89.07,87.71,88.22,784700,84.6
"2007-02-22",88.22,88.8,86.97,87.7,455100,84.1
"2007-02-23",87.75,88.09,86.83,87.54,590400,83.94
"2007-02-26",87.59,88,86.59,87.26,419100,83.68
"2007-02-27",85.28,86.1,82.51,84.27,1084000,80.81
"2007-02-28",84.42,87.23,84.01,86.98,1100300,83.41
"2007-03-01",85.55,86.33,84.33,84.75,1440400,81.27
"2007-03-02",84.6,84.9,83.41,83.42,880800,79.99
"2007-03-05",82.91,83.5,81.65,81.75,1044600,78.39
"2007-03-06",82.4,83.42,82.07,83.42,1076400,79.99
"2007-03-07",83.37,84.63,82.9,84.2,796500,80.74
"2007-03-08",84.95,85.97,84.66,85.53,717800,82.02
"2007-03-09",86.1,86.1,84.9,85.11,614300,81.61
"2007-03-12",85.13,86.08,85.03,85.56,556900,82.05
"2007-03-13",85.01,85.49,83.74,83.87,891700,80.43
"2007-03-14",84.3,84.5,82.23,83.9,804200,80.45
"2007-03-15",84.1,85.24,83.74,84.45,431000,80.98
"2007-03-16",84.69,84.69,83.54,83.82,644200,80.38
"2007-03-19",84.17,85.54,83.73,85.5,723700,81.99
"2007-03-20",85.6,86.73,85.35,86.69,522900,83.13
"2007-03-21",86.69,87.16,85.59,86.87,591700,83.3
"2007-03-22",87.12,87.2,86.35,87.13,417200,83.55
"2007-03-23",89.25,90.12,88.54,89.57,1125700,85.89
"2007-03-26",89.35,89.64,88.25,89.64,511100,85.96
"2007-03-27",89.53,89.55,88.14,88.23,568500,84.61
"2007-03-28",87.88,88.45,87.25,87.63,443100,84.08
"2007-03-29",88.15,88.44,86.6,87.53,376800,83.98
"2007-03-30",87.81,88.8,86.94,88.15,550500,84.58
"2007-04-02",88.21,89.1,87.7,89.1,433600,85.49
"2007-04-03",89.88,91.5,89.5,91.46,817000,87.75
"2007-04-04",91.6,91.88,91.05,91.87,791500,88.15
"2007-04-05",91.6,92.68,91.45,92.6,389000,88.85
"2007-04-09",92.92,93.22,92.35,92.97,442000,89.2
"2007-04-10",92.95,93.03,92.33,92.6,819300,88.85
"2007-04-11",92.49,93.16,92.26,92.8,778000,89.04
"2007-04-12",93.05,94.1,91.23,93.89,607000,90.09
