"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2007-07-12",218.47,220.29,216.72,220.29,6072900,203.73
"2007-07-13",220.06,222.82,219.2,222.18,5605300,205.48
"2007-07-16",221.87,223.45,219.46,220.4,4654500,203.83
"2007-07-17",221.74,222.12,218.65,219.4,5582200,202.91
"2007-07-18",216.03,218.52,212.34,214.99,11664000,198.83
"2007-07-19",217.08,217.5,210.03,211.69,9461900,195.78
"2007-07-20",211.17,211.97,204.79,205.94,14540900,190.46
"2007-07-23",207.16,207.88,204.07,205.04,7760400,189.63
"2007-07-24",202.63,204.56,196.77,198.15,12344500,183.25
"2007-07-25",199.8,203.75,197.78,203.16,13933200,187.89
"2007-07-26",198,199.89,189,195.12,22690900,180.45
"2007-07-27",194.67,196.84,190.51,192.65,17054700,178.49
"2007-07-30",194.52,197.6,192.45,195.74,12195100,181.35
"2007-07-31",198.55,198.99,187.25,188.34,14744900,174.49
"2007-08-01",187.03,189.1,182.85,189,16282600,175.11
"2007-08-02",189.15,192.48,185,187.46,13133400,173.68
"2007-08-03",185.41,186.84,179.68,179.68,19828300,166.47
"2007-08-06",179.2,187.86,175,187.79,18867300,173.99
"2007-08-07",186.58,194.64,185.39,191.25,22763100,177.19
"2007-08-08",192.04,198.5,188.76,193.3,20622000,179.09
"2007-08-09",186.16,190.65,180.79,182.25,20868400,168.85
"2007-08-10",178.65,184.41,175.57,180.5,20278700,167.23
"2007-08-13",185.01,187.25,176.61,177.5,15296400,164.45
"2007-08-14",178.6,178.78,169,169.75,26255900,157.27
"2007-08-15",169,173.52,163.83,164.9,22268000,152.78
"2007-08-16",163.1,171.41,157.38,169.85,31328800,157.36
"2007-08-17",178.12,180.86,170.5,175,26741100,162.14
"2007-08-20",176.02,176.39,170.12,172.76,13174400,160.06
"2007-08-21",172.5,177.3,170,175.48,11796100,162.58
"2007-08-22",177.52,180.05,174.29,177.89,13427000,164.81
"2007-08-23",179.79,180.88,175.92,177.5,10549400,164.45
"2007-08-24",176.77,180.26,175.6,179.73,8935300,166.52
"2007-08-27",179.33,180.05,177.26,177.95,6664000,164.87
"2007-08-28",175.01,176.13,170.25,170.95,11610600,158.38
"2007-08-29",172.38,174.45,167.92,173.72,12797500,160.95
"2007-08-30",169.96,173.43,169.79,171.38,9559600,158.78
"2007-08-31",175.65,178.1,173.87,176.01,11023700,163.07
"2007-09-04",176.18,183.7,176.18,180.8,10161800,167.51
"2007-09-05",179.68,179.79,176.9,177.81,8987600,164.74
"2007-09-06",178.5,179.71,175.36,179.18,9250600,166.01
"2007-09-07",176.6,181.05,175,178.98,15144300,165.82
"2007-09-10",180.5,186.07,178.5,183.61,12989300,170.11
"2007-09-11",185.5,187,182.5,183.5,11334500,170.01
"2007-09-12",183.14,184.25,181.7,182.53,7737700,169.11
"2007-09-13",183.75,196.04,183.72,188.47,11292300,174.62
"2007-09-14",186.95,191,185.59,190.59,9337600,176.58
"2007-09-17",189,189.5,186.34,187.61,7751300,173.82
"2007-09-18",190.8,200.76,187.41,200.5,22107700,185.76
"2007-09-19",203.49,207,203,205.5,23115400,190.39
"2007-09-20",210.94,211,203.44,203.53,27435100,188.57
"2007-09-21",205.56,210.35,203.53,209.98,18187700,194.54
"2007-09-24",210.99,214.9,207.71,210.43,13439800,194.96
"2007-09-25",209,213.07,208.81,210.9,11727900,195.4
"2007-09-26",212.42,216.27,210.8,214.61,10681000,198.83
"2007-09-27",215.45,218.38,214.19,216.78,8330100,200.84
"2007-09-28",215.76,218.67,215.25,216.74,6156400,200.81
"2007-10-01",215.41,223.62,215.4,222.98,9905600,206.59
"2007-10-02",223.25,228.5,222.11,228.02,9419800,211.26
"2007-10-03",226.25,230.63,225.67,227.35,10121400,210.64
"2007-10-04",227.55,229.25,223.89,225.95,10039900,209.34
"2007-10-05",227.11,229.72,225.96,228.5,7327700,211.7
"2007-10-08",227.51,229.35,226.26,226.96,4142600,210.28
"2007-10-09",227.8,239.7,226.2,239.2,15123700,221.62
"2007-10-10",237.11,239.03,234.9,235.94,9685200,218.6
"2007-10-11",239.02,239.02,226.05,229.01,12887100,212.18
"2007-10-12",230.67,234.2,229.73,233.56,6544800,216.39
"2007-10-15",233.25,234.31,227.42,229.34,7024200,212.48
"2007-10-16",227.76,228,223.2,224.83,7415500,208.3
"2007-10-17",228.25,230.48,223.08,227.62,9189000,210.89
"2007-10-18",224.9,228.31,224.22,227.85,6499200,211.1
"2007-10-19",226.15,227.47,217.6,217.69,13106800,201.69
"2007-10-22",216.52,224.25,213,222.18,12163500,205.85
"2007-10-23",223.63,225.87,220.91,223.76,8176600,207.31
"2007-10-24",222.76,225.82,215.8,225.12,12650800,208.57
"2007-10-25",224.11,230,221.81,226.66,12088700,210.33
"2007-10-26",232.86,236.99,229.36,235.92,9389300,218.92
"2007-10-29",236.22,244.98,235.07,243.81,9892400,226.24
"2007-10-30",241.25,246.4,239.45,240.33,10453400,223.01
"2007-10-31",240.36,250.7,240,247.92,14384600,230.05
"2007-11-01",243.55,244.41,238.75,240.21,12579000,222.9
"2007-11-02",241.8,241.8,223.44,229.6,25177900,213.05
"2007-11-05",220,224.9,212.8,218.39,21377900,202.65
"2007-11-06",221.74,224.07,213.59,223.16,15570500,207.08
"2007-11-07",218.9,221.79,213.16,214.18,13210300,198.74
"2007-11-08",213.67,218,201.57,209.94,20301400,194.81
"2007-11-09",202.57,218.59,202.57,211.33,16979700,196.1
"2007-11-12",210.9,221.19,208.24,214.71,14406900,199.24
"2007-11-13",220.94,233.04,218.34,233.04,17393800,216.25
"2007-11-14",239.75,240.05,231.04,233.31,13919000,216.5
"2007-11-15",230.11,233.69,223.74,227.02,10224600,210.66
"2007-11-16",228.26,229.57,222.57,225.25,10083400,209.02
"2007-11-19",223.52,228.4,216.62,220.54,11007900,204.65
"2007-11-20",220.4,226.23,213.5,217.48,13433000,201.81
"2007-11-21",213.41,215.27,206.44,209.5,14874300,194.4
"2007-11-23",212.52,216.48,211.8,216.48,4737100,200.88
"2007-11-26",214.65,217.45,205.42,207.45,9815200,192.5
"2007-11-27",210,213.98,206.19,213.33,11946400,197.96
"2007-11-28",217.58,227.86,217.08,227.52,15710600,211.12
"2007-11-29",226.02,228.31,222.5,224.38,9774200,208.21
"2007-11-30",232.65,234.22,224.77,226.64,11878600,210.31
"2007-12-03",226.09,229.35,223.6,226.89,6800300,210.54
"2007-12-04",221.06,223.46,215.22,215.22,10734100,199.71
"2007-12-05",219.46,220,214.23,218.26,12954700,202.53
"2007-12-06",214.5,223.35,214.29,222.51,9987100,206.47
"2007-12-07",223.01,224.04,217.03,217.89,7797700,202.19
"2007-12-10",219.19,224.31,218.01,224.21,8412400,208.05
"2007-12-11",224.11,227.45,210.69,211.15,12783500,195.93
"2007-12-12",217.05,220.85,208.5,212.58,18041100,197.26
"2007-12-13",209.85,214.24,204.94,208.48,17143300,193.46
"2007-12-14",208.74,215.2,207.7,210.67,10348500,195.49
"2007-12-17",209.76,211.81,207,208.63,13323900,193.59
"2007-12-18",209.8,210.53,196.9,201.51,30016700,186.99
"2007-12-19",202.68,206.1,200.64,204.16,11895100,189.45
"2007-12-20",206.06,206.72,200.65,202.67,10108000,188.06
"2007-12-21",205.85,210.25,205.02,209.6,10853800,194.49
"2007-12-24",211,214.95,210.7,214.32,3419400,198.87
"2007-12-26",214.09,217.37,211.55,216.69,4290500,201.07
"2007-12-27",214.88,217.8,211.95,211.95,5304600,196.68
"2007-12-28",214.45,214.77,211.81,211.94,4209500,196.67
"2007-12-31",211.59,216.79,209.5,215.05,5834300,199.55
"2008-01-02",214.8,215.05,206.6,207.6,9573500,192.64
"2008-01-03",208.92,209.04,204.14,204.84,7751700,190.08
"2008-01-04",201,204,198.29,199.93,10157900,185.52
"2008-01-07",200.23,200.25,189.99,194.73,16044400,180.7
"2008-01-08",195.81,199.5,189,189.5,13553700,175.84
"2008-01-09",189.04,192.2,183.7,191.75,15901200,177.93
"2008-01-10",189.35,199.4,187.04,196.91,14830500,182.72
"2008-01-11",196.96,200.68,194.57,198.74,12400600,184.42
"2008-01-14",200.17,202.22,199.03,201.65,9400200,187.12
"2008-01-15",199.55,199.55,192.36,193.29,11292700,179.36
"2008-01-16",193.31,201.78,192.4,197.5,13026600,183.27
"2008-01-17",198.29,199.5,189.66,190.98,12283800,177.22
"2008-01-18",192.17,193.39,184.6,187.21,14975700,173.72
"2008-01-22",178.17,192.83,175.42,190.69,19029400,176.95
"2008-01-23",186.04,199.97,184.59,199.39,17635700,185.02
"2008-01-24",200.1,201,194.2,199.2,11987200,184.84
"2008-01-25",201.51,202,189.91,191.37,14019500,177.89
"2008-01-28",190.62,196.46,190.62,196.25,10216000,182.43
"2008-01-29",197.04,198.36,194.07,196.05,7164500,182.24
"2008-01-30",195.27,205.97,193.4,198.55,17597900,184.57
"2008-01-31",196.45,203.21,195,199.55,14803500,185.49
"2008-02-01",199.15,208.78,198,207.78,12207400,193.15
"2008-02-04",207.84,208,199.2,200.8,9071300,186.66
"2008-02-05",194.66,197.31,189.61,189.86,13276400,176.49
"2008-02-06",191.48,192.85,186.25,187.17,9955500,173.99
"2008-02-07",185.77,193.77,185.32,190.46,10839200,177.04
"2008-02-08",189,190.64,185.7,187.07,7869300,173.89
"2008-02-11",187.87,190,185.5,185.87,8875800,172.78
"2008-02-12",186.18,186.25,178.5,180.65,18397200,167.93
"2008-02-13",180.29,181.73,176.5,180.18,13933900,167.49
"2008-02-14",178.5,181.1,176.5,176.56,10996700,164.12
"2008-02-15",175.1,178.79,173.37,178.41,12449300,165.84
"2008-02-19",180.31,181.37,172.68,173.8,10366600,161.56
"2008-02-20",171.97,178.85,171.82,177.25,10793700,164.77
"2008-02-21",178.5,179.2,174.72,175.17,8204800,162.83
"2008-02-22",175.55,178,171.39,177.71,9631400,165.19
"2008-02-25",175.35,178,172.07,177.36,12849200,164.87
"2008-02-26",175.48,178,171.87,172.7,11517900,160.54
"2008-02-27",171.84,181.28,171.51,180.8,15903400,168.07
"2008-02-28",180.28,180.28,175.57,176.7,8828200,164.25
"2008-02-29",174.39,175.54,169,169.63,11113300,157.68
"2008-03-03",169.29,169.29,164.31,165.08,11920800,153.45
"2008-03-04",163.61,166.44,160.2,163.6,17887900,152.08
"2008-03-05",163.91,168.31,162.67,164.97,13270000,153.35
"2008-03-06",162.95,163.59,158.13,158.65,15129200,147.48
"2008-03-07",157,163.32,157,160.07,15228600,148.8
"2008-03-10",159.99,164.78,155.23,155.58,13725600,144.62
"2008-03-11",161.9,164.84,157.5,163.07,20415300,151.58
"2008-03-12",164.03,170.06,162.61,163.01,14444900,151.53
"2008-03-13",160.44,167.3,156.76,165.44,18617600,153.79
"2008-03-14",167,167.8,155,156.86,27102300,145.81
"2008-03-17",142.03,154.12,140.27,151.02,38648800,140.38
"2008-03-18",164.96,175.88,159.76,175.59,43276100,163.22
"2008-03-19",177.94,178.46,165.4,166.49,24176100,154.76
"2008-03-20",166.3,180.36,166.21,179.63,20801800,166.98
"2008-03-24",179,184.52,176.15,178.88,15643700,166.28
"2008-03-25",177.51,182.65,177.14,179.63,11666800,166.98
"2008-03-26",178.49,179.05,174.33,175.48,11610600,163.12
"2008-03-27",176.61,177.24,167.38,168.14,15195800,156.3
"2008-03-28",169.57,170.5,163.39,164.45,11978700,152.87
"2008-03-31",164.17,168.49,162.85,165.39,8977400,153.74
"2008-04-01",171.49,176.99,170.21,176.86,14694100,164.4
"2008-04-02",177,181.62,176.1,176.87,12058300,164.41
"2008-04-03",174.79,179.15,172.88,176.53,10755800,164.1
"2008-04-04",176.55,179.33,174,175.4,8496700,163.05
"2008-04-07",178.56,181.75,176.93,178.73,10276200,166.14
"2008-04-08",177.3,181.5,176.76,178.9,8629400,166.3
"2008-04-09",178.25,178.9,173.15,174.14,11425400,161.87
"2008-04-10",173.9,173.9,168.87,170.55,14744400,158.54
"2008-04-11",168,171.87,166.87,167.3,11355300,155.52
"2008-04-14",166.45,167.55,163.35,163.59,9857900,152.07
"2008-04-15",165.06,165.95,161.68,164.2,9134700,152.63
"2008-04-16",166.15,169.17,165.91,169.05,9340800,157.14
"2008-04-17",167.74,173.5,167.1,172.1,8730300,159.98
"2008-04-18",176.91,183.03,176.91,179.93,16882100,167.26
"2008-04-21",179.57,181.75,178.29,180.4,7820700,167.69
"2008-04-22",179.78,181.37,178.5,179.76,6127000,167.1
"2008-04-23",180.84,183.2,178,179.35,7435900,166.72
"2008-04-24",180.34,189.39,179.36,188.79,13182700,175.49
"2008-04-25",190.26,192.49,188.37,192,12187400,178.81
"2008-04-28",192.49,192.5,189.89,190.24,6252600,177.17
"2008-04-29",190.25,192.68,188.25,192.68,7127200,179.44
"2008-04-30",193.38,194.93,189.82,191.37,10352600,178.22
"2008-05-01",191.77,199.19,190.85,199.05,9483200,185.37
"2008-05-02",203.39,203.39,198,200.27,9437100,186.51
"2008-05-05",198.61,201.12,196.15,197.12,6389900,183.58
"2008-05-06",194.6,199.25,193.11,197.61,7508600,184.03
"2008-05-07",197.6,198.44,189.54,189.76,7075600,176.72
"2008-05-08",190.75,191.39,185.26,187.72,9867500,174.82
"2008-05-09",186.02,189.98,185.69,188.09,6467800,175.17
"2008-05-12",189.45,192.7,187.34,192.08,5655000,178.88
"2008-05-13",191.18,193,189.02,190.33,5776700,177.25
"2008-05-14",190.6,192.49,189.34,190.13,5031700,177.07
"2008-05-15",189.78,189.8,185.32,188.62,8015600,175.66
"2008-05-16",189.55,189.61,186,187.14,6144400,174.28
"2008-05-19",185.67,189.32,183.47,184.4,7009200,171.73
"2008-05-20",183.33,184.9,181.25,182.43,6889900,169.9
"2008-05-21",182.55,183.66,178.01,178.6,9068500,166.33
"2008-05-22",176.2,179.92,175,177.2,8684100,165.02
"2008-05-23",176.01,176.5,171.23,172.64,8145500,160.78
"2008-05-27",171.76,174.7,170.8,173.92,8420000,161.97
"2008-05-28",174.76,175.93,172.21,174.83,7238500,162.82
"2008-05-29",174.49,179.5,174,176.24,7755200,164.13
"2008-05-30",177.8,178.86,175.85,176.41,5697400,164.29
"2008-06-02",177,177.7,170.81,172.34,9847400,160.5
"2008-06-03",173.35,173.66,167.6,170.58,13187400,158.86
"2008-06-04",170,175.56,169.55,172.1,10777500,160.28
"2008-06-05",173.21,177.44,173.19,176.6,9721900,164.47
"2008-06-06",175.07,175.07,169.44,169.44,10559000,157.8
"2008-06-09",170.85,172.68,163.35,165.76,12998400,154.37
"2008-06-10",163.75,169.43,163.21,167.21,11014600,155.72
"2008-06-11",167,167.25,161.21,162.4,16468500,151.24
"2008-06-12",163.24,169.69,163.24,166.75,11767100,155.29
"2008-06-13",169.47,178.56,169.4,178.29,14343000,166.04
"2008-06-16",177.74,184.75,176.61,182.09,16376300,169.58
"2008-06-17",185.04,185.89,179.14,179.44,24422900,167.11
"2008-06-18",176.66,185.35,175.56,182.77,16222400,170.21
"2008-06-19",183.69,186.98,181.11,186.93,10588800,174.09
"2008-06-20",185.02,186.7,182.85,183.77,11331400,171.14
"2008-06-23",184.6,184.6,177.01,178.59,9840000,166.32
"2008-06-24",177.62,184.6,177.34,181.98,12663400,169.48
"2008-06-25",183.11,187.01,183.09,183.65,10838800,171.03
"2008-06-26",179.01,180.5,175.2,176.26,13603700,164.15
"2008-06-27",177.01,178.28,172.29,174.56,12670600,162.57
"2008-06-30",175.56,178.26,173.29,174.9,9373300,162.88
"2008-07-01",173.13,177.06,170.23,175.33,13940400,163.28
"2008-07-02",176.77,182.64,175.19,178.79,16256600,166.51
"2008-07-03",180.3,182.36,178.26,178.89,6185400,166.6
"2008-07-07",180.69,181.91,167.39,169.82,17013300,158.15
"2008-07-08",171.37,176,166.74,174.9,16790500,162.88
"2008-07-09",175.85,177.47,167.5,169.02,12909300,157.41
"2008-07-10",167.51,173.3,166.25,170.16,14106200,158.47
"2008-07-11",166.35,167.88,158.5,162.48,24827400,151.32
"2008-07-14",167.92,168,158.57,158.67,15944800,147.77
"2008-07-15",157.04,163.61,152.25,157.8,25593100,146.96
"2008-07-16",161.21,173.27,159.15,172.86,19366400,160.98
"2008-07-17",175.62,184.45,174.85,181.24,24819100,168.79
"2008-07-18",183.08,183.5,178.06,182.84,11722200,170.28
"2008-07-21",184.16,184.65,179.05,180.78,8841300,168.36
"2008-07-22",178.46,188.04,177.3,188.04,11268100,175.12
"2008-07-23",187.98,190.04,184.69,187.87,9871900,174.96
"2008-07-24",188.49,188.49,179.77,180.26,8828100,167.87
"2008-07-25",181.26,182,176.17,178.66,7233900,166.71
"2008-07-28",178.94,182.28,172.23,172.9,9264500,161.33
"2008-07-29",174.63,181.88,173.36,181.63,11149700,169.48
"2008-07-30",184,186.83,180.96,186.17,9864200,173.72
"2008-07-31",183.06,186.07,182.4,184.04,6062900,171.73
"2008-08-01",185,186,178.66,182,7495400,169.82
"2008-08-04",179.66,180.59,176.2,177.86,7551900,165.96
"2008-08-05",178.89,180.83,175.5,180.77,8772200,168.68
"2008-08-06",179,180.9,177.5,179.55,5832700,167.54
"2008-08-07",177.22,178.5,171.15,172.33,9103100,160.8
"2008-08-08",172.76,178.45,172.02,175.95,6634600,164.18
"2008-08-11",176.38,183.2,175.07,178,8798500,166.09
"2008-08-12",173.3,173.48,166.56,167.3,14023800,156.11
"2008-08-13",167,169.4,162.4,164.9,12391300,153.87
"2008-08-14",164.61,168.9,164.11,166.59,8660000,155.45
"2008-08-15",167.4,167.69,162.34,163.18,8386200,152.26
"2008-08-18",162.26,162.68,159.7,160.04,7421100,149.33
"2008-08-19",158.49,161.75,156.9,158,8966300,147.43
"2008-08-20",158.13,160.44,155.3,158.25,9443400,147.66
"2008-08-21",155.79,158,152.59,156.42,14534400,145.96
"2008-08-22",159.99,160.81,156.8,159.81,8321000,149.12
"2008-08-25",158.59,158.66,155.11,155.71,6122500,145.29
"2008-08-26",155.51,157.86,153.38,155.91,5995500,145.48
"2008-08-27",154.71,155.88,153.41,155.48,6660200,145.08
"2008-08-28",157.24,161.83,156.67,161.83,8565800,151
"2008-08-29",160.56,165,160.27,163.97,7586300,153
"2008-09-02",167.5,168.91,162.7,165.32,8212100,154.26
"2008-09-03",163.97,167.92,162.03,167.61,6673500,156.4
"2008-09-04",166.15,167.5,160,160.9,7788700,150.14
"2008-09-05",157.77,163.71,157.72,163.24,7539000,152.32
"2008-09-08",171,172.45,162.51,169.73,14981500,158.38
"2008-09-09",167.3,168.38,160.5,161.67,12437500,150.85
"2008-09-10",159.9,161,155.73,157.59,12939000,147.05
"2008-09-11",151.36,159.42,149.87,157.03,20752800,146.53
"2008-09-12",154.38,161.77,152.35,154.21,15622500,143.89
"2008-09-15",142.28,151.4,130.43,135.5,42202300,126.44
"2008-09-16",118,135.29,116.13,133.01,48296400,124.11
"2008-09-17",120.8,126.6,97.78,114.5,112060400,106.84
"2008-09-18",106,120,86.31,108,114590700,100.78
"2008-09-19",142.51,144.98,116,129.8,43208300,121.12
"2008-09-22",132.78,135.64,120.43,120.78,21938700,112.7
"2008-09-23",118.89,125.95,113.01,125.05,20037600,116.68
"2008-09-24",128.44,133.7,126.02,133,46611300,124.1
"2008-09-25",134.25,137.99,128.76,135.5,19172100,126.44
"2008-09-26",132.49,137.99,129.51,137.99,15806400,128.76
"2008-09-29",134.49,134.62,105,120.7,24147600,112.63
"2008-09-30",126.89,130,124.5,128,13129900,119.44
"2008-10-01",127.32,135.35,124.99,134.5,13837100,125.5
"2008-10-02",132.17,133.21,128.05,131.54,10894700,122.74
