"","DO.Open","DO.High","DO.Low","DO.Close","DO.Volume","DO.Adjusted"
"2008-03-20",114,115.24,110.5,113.27,2347800,76.99
"2008-03-24",112.74,116.92,112.74,116.11,1128500,78.92
"2008-03-25",115.25,119.51,114.03,117.48,1475400,79.86
"2008-03-26",117.58,121.6,117.58,119.13,1717400,80.98
"2008-03-27",119.99,122.33,118.76,119.31,1464000,81.1
"2008-03-28",120.62,120.62,116.53,117.94,1182300,80.17
"2008-03-31",119.11,120.72,114,116.4,2494700,79.12
"2008-04-01",115.41,118.38,113.29,117.7,1696700,80
"2008-04-02",116.89,121.21,114.72,120.02,1813600,81.58
"2008-04-03",119.01,121.4,118.36,119.46,2252700,81.2
"2008-04-04",119.95,122.7,119.9,121.51,1653500,82.59
"2008-04-07",122.36,126.76,122.36,123.62,2025500,84.03
"2008-04-08",123.33,125.67,122.01,123.36,1421000,83.85
"2008-04-09",124.44,126.89,123.67,126,2028600,85.65
"2008-04-10",126,126.15,123.61,125.67,1745000,85.42
"2008-04-11",126.92,127.17,124.33,124.77,1862200,84.81
"2008-04-14",126.81,132.46,125.29,131.52,3763300,89.4
"2008-04-15",130.1,131,127.27,129.83,2578600,88.25
"2008-04-16",129.98,134.93,126.89,134.4,2696700,91.36
"2008-04-17",133.34,134.3,130.11,133.21,2214200,90.55
"2008-04-18",133.54,140.34,130.32,138.75,2903000,94.31
"2008-04-21",139.96,139.96,137.07,139.61,1633100,94.9
"2008-04-22",139.85,140.49,137.46,140.28,1715000,95.35
"2008-04-23",140.06,140.78,135.59,135.96,2206100,92.42
"2008-04-24",130.34,136.41,130.34,132.65,3003400,90.17
"2008-04-25",133,134.99,130.42,132.7,2040000,90.2
"2008-04-28",133.45,133.45,130.02,131.13,1581300,89.13
"2008-04-29",129.17,130.18,127.05,127.88,2363800,86.92
"2008-04-30",127.48,128.52,122.69,125.41,3026900,86.17
"2008-05-01",123.43,125.28,121.43,123.8,2059700,85.07
"2008-05-02",123.66,128.5,123.66,127.99,1340600,87.94
"2008-05-05",129.21,130.91,127.74,129.64,1106000,89.08
"2008-05-06",130.76,134.32,129.87,132.82,2255100,91.26
"2008-05-07",134.21,134.56,130.25,130.59,1903100,89.73
"2008-05-08",131.43,131.99,127.19,130.45,1675400,89.64
"2008-05-09",130.51,132.8,128.56,131.82,2142700,90.58
"2008-05-12",131.21,132.49,130.08,130.73,1420800,89.83
"2008-05-13",130.74,132.84,128,130.46,2498300,89.64
"2008-05-14",131,133.3,128.08,129.29,2044900,88.84
"2008-05-15",130.9,135.56,128.33,135.3,3097400,92.97
"2008-05-16",138.17,141.21,137.5,140.42,3031000,96.49
"2008-05-19",141.47,145.21,140.08,143.8,2609700,98.81
"2008-05-20",146.67,146.67,143.26,145.68,1841000,100.1
"2008-05-21",146.27,147.77,140.77,141.21,2725600,97.03
"2008-05-22",141.74,142.16,137.2,139.28,2076700,95.7
"2008-05-23",139.9,140.53,134.67,136.86,1378900,94.04
"2008-05-27",136.23,137.8,133.48,136.28,2512000,93.64
"2008-05-28",135.5,140.54,133.98,140.18,1954000,96.32
"2008-05-29",138.19,139.98,135.5,136.3,2554800,93.65
"2008-05-30",137.05,139.15,135.23,136.44,1872600,93.75
"2008-06-02",138.55,140.04,135.3,137.55,2111200,94.51
"2008-06-03",135.86,138.5,132.83,132.95,3120000,91.35
"2008-06-04",132.3,135.5,129.82,130.46,3177200,89.64
"2008-06-05",131.94,137.64,131.52,137.64,2086400,94.58
"2008-06-06",139.88,140.86,133.54,133.82,2069100,91.95
"2008-06-09",134.69,139.19,133.61,135.42,2261900,93.05
"2008-06-10",135.57,135.57,130.03,131.48,2299400,90.34
"2008-06-11",132.27,134.76,131.8,133.53,2119400,91.75
"2008-06-12",132.01,132.21,129.02,130.97,1675300,89.99
"2008-06-13",130.92,134.14,130,132.44,2035600,91
"2008-06-16",132.13,134.19,131.45,133.12,1871100,91.47
"2008-06-17",133.09,136.77,132.71,136.25,1727500,93.62
"2008-06-18",135.49,137.76,133.78,135.75,2180400,93.28
"2008-06-19",137.41,137.78,130.54,130.73,2301800,89.83
"2008-06-20",131.22,133.93,130.06,130.86,1731500,89.92
"2008-06-23",132.18,137.3,131.12,137.09,1922800,94.2
"2008-06-24",136.36,136.95,132.85,133.4,2196900,91.66
"2008-06-25",134.2,136.85,131.54,135.03,2492900,92.78
"2008-06-26",135.02,137.48,132.78,135.52,2012300,93.12
"2008-06-27",135.35,138.95,135.28,137.88,1408100,94.74
"2008-06-30",138.99,141.94,138.99,139.14,1925100,95.61
"2008-07-01",139.8,139.93,136.03,139.7,2335900,95.99
"2008-07-02",140.88,143.31,134.01,134.78,2161300,92.61
"2008-07-03",134.56,136.06,130.5,132.27,1835100,90.89
"2008-07-07",131.36,133.63,127.77,130.61,1883900,89.75
"2008-07-08",129.99,131.61,126.09,131.4,2436000,90.29
"2008-07-09",133,133.58,127.25,127.71,2165300,87.75
"2008-07-10",130.08,131.37,125.73,131.37,1369800,90.27
"2008-07-11",131.79,134.27,129.17,131.86,1339200,90.6
"2008-07-14",131.89,137.37,131.89,134.9,2051100,92.69
"2008-07-15",135.88,136,128.42,129.8,1813800,89.19
"2008-07-16",129.41,129.57,123.26,126.45,2871300,86.89
"2008-07-17",126.53,130.98,119.75,122.3,2555800,84.04
"2008-07-18",122.72,125.28,120.41,123.62,2402500,84.94
"2008-07-21",125.43,127.79,121.66,127.47,1684600,87.59
"2008-07-22",126.35,132.21,123.48,124.21,2989800,85.35
"2008-07-23",124.04,124.72,116.36,116.61,4402900,80.13
"2008-07-24",120.09,120.25,112.89,116.51,4239300,80.06
"2008-07-25",115.86,117.35,113.35,115.86,2214300,79.61
"2008-07-28",116.75,119.79,115.41,117.78,2021800,80.93
"2008-07-29",117.45,119.5,116.08,117.48,2739200,80.72
"2008-07-30",116.04,123.1,115.71,122.66,2256000,85.28
"2008-07-31",121.89,122.19,118.3,119.3,2021000,82.94
"2008-08-01",119.84,123.57,119.08,120.28,2018800,83.63
"2008-08-04",120.17,120.17,111.5,112.97,2185900,78.54
"2008-08-05",113.25,114.97,110.03,112.48,2742800,78.2
"2008-08-06",112.99,117.93,112,117.48,2075900,81.68
"2008-08-07",118.54,120.35,115.97,116.59,1564200,81.06
"2008-08-08",115.01,115.34,110.43,111.83,2277800,77.75
"2008-08-11",112.24,112.98,104.46,106.96,3111700,74.37
"2008-08-12",107.94,109.82,106.93,107.84,1787400,74.98
"2008-08-13",107.95,111.89,106.79,111.41,2045700,77.46
"2008-08-14",110.86,112.13,107.14,109.72,1537300,76.28
"2008-08-15",108.8,109.72,107,108.06,1571200,75.13
"2008-08-18",109.14,109.76,106.1,106.43,1241400,74
"2008-08-19",106.12,110.02,106.12,109.1,1585400,75.85
"2008-08-20",111.32,112.9,108.63,111.86,1968700,77.77
"2008-08-21",113.89,114.67,112.01,112.96,1598600,78.54
"2008-08-22",112.71,112.71,108.18,109.89,1076600,76.4
"2008-08-25",110.34,111.26,107.69,108.42,967600,75.38
"2008-08-26",109.21,111.43,108.8,111.2,1081400,77.31
"2008-08-27",112.4,113.9,111.71,112.35,1124700,78.11
"2008-08-28",113.31,113.69,109.96,111.94,1268300,77.83
"2008-08-29",112.61,113.27,109.85,109.91,800500,76.42
"2008-09-02",107.25,107.25,104.87,105.32,1542200,73.22
"2008-09-03",104.49,106.13,101.23,103.28,1855000,71.81
"2008-09-04",102.68,105.34,101.61,104.52,2513100,72.67
"2008-09-05",104.54,107.11,102.01,106.9,1853100,74.32
"2008-09-08",107.99,109.98,102.92,104.02,1995000,72.32
"2008-09-09",102.46,103.32,98.55,98.63,2517700,68.57
"2008-09-10",99.6,101.11,95.94,98.71,3126600,68.63
"2008-09-11",97.49,103.01,97.49,102.9,2492100,71.54
"2008-09-12",103.75,108.38,103.38,107.7,2586400,74.88
"2008-09-15",102.59,105.48,101,101.59,2279600,70.63
"2008-09-16",98.25,107.07,96.71,106.61,3047200,74.12
"2008-09-17",107.54,107.85,101.64,104.33,2372800,72.54
"2008-09-18",105.72,107.93,101.45,105,2655700,73
"2008-09-19",110.68,114.78,108.45,112.49,2304700,78.21
"2008-09-22",114.42,117.37,111,114.16,1763800,79.37
"2008-09-23",113.94,116.38,110.79,111.97,1555100,77.85
"2008-09-24",113.15,115.06,112.42,113.67,1288600,79.03
"2008-09-25",113.99,115.58,113.02,114.78,1082000,79.8
"2008-09-26",111.89,111.99,107.25,111.94,1460900,77.83
"2008-09-29",106.87,107.23,95.18,99.25,2858400,69
