"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2007-01-03",48.83,48.86,46.5,46.72,6840500,40.06
"2007-01-04",46.51,46.51,45.36,45.76,7434300,39.24
"2007-01-05",45.56,45.85,44.93,45.45,8682000,38.97
"2007-01-08",46.01,46.19,44.93,45.33,6893700,38.87
"2007-01-09",44.5,44.64,43.51,43.66,11074300,37.44
"2007-01-10",43.1,43.45,42.06,43.13,13877600,36.98
"2007-01-11",42.99,44.24,42.92,43.08,10113800,36.94
"2007-01-12",43.15,44.6,43.06,44.4,9168000,38.07
"2007-01-16",44.1,44.34,43.4,43.57,6381300,37.36
"2007-01-17",43.82,44.6,43.32,44.01,7936600,37.74
"2007-01-18",44.35,44.76,43.43,43.61,8070600,37.39
"2007-01-19",44.45,44.92,43.85,44.75,9126700,38.37
"2007-01-22",45.42,45.48,43.81,43.81,8780300,37.56
"2007-01-23",44.25,45.56,44.14,45.09,7208100,38.66
"2007-01-24",45.7,46.33,45.12,46.2,8065800,39.61
"2007-01-25",46.2,46.42,45.33,45.4,6955300,38.93
"2007-01-26",45.56,46.04,45.2,45.64,6543800,39.13
"2007-01-29",45.88,45.97,44.99,45.17,7213800,38.73
"2007-01-30",45.27,46.09,45.03,45.85,7462200,39.31
"2007-01-31",45.85,46.75,45.6,46.36,6991100,39.75
"2007-02-01",46.48,47.1,46.31,46.8,9794600,40.13
"2007-02-02",47.4,47.49,46.42,47.29,4257900,40.55
"2007-02-05",47.04,47.45,46.49,46.66,5460800,40.01
"2007-02-06",46.97,47,46.48,46.65,4602500,40
"2007-02-07",46.66,47.07,46.42,46.63,5899200,39.98
"2007-02-08",46.72,47.55,46.12,47.23,6050600,40.5
"2007-02-09",47.01,47.44,46.4,46.52,4688500,39.89
"2007-02-12",46.2,46.28,45.6,45.99,5973500,39.43
"2007-02-13",46.06,46.73,46.06,46.6,4390700,39.96
"2007-02-14",46.73,48.46,46.67,48.1,11720400,41.24
"2007-02-15",48.1,48.27,47.13,47.62,8132500,40.83
"2007-02-16",47.6,48.13,47.4,47.52,6880400,40.75
"2007-02-20",47.12,47.5,46.84,47.15,4372100,40.43
"2007-02-21",46.93,48.07,46.75,47.77,6732900,40.96
"2007-02-22",47.68,48.02,47.08,48,6321000,41.16
"2007-02-23",48.25,48.6,47.87,48.25,5900900,41.37
"2007-02-26",48.24,48.75,47.72,47.94,5146500,41.11
"2007-02-27",47.85,47.85,45.74,46.29,9389200,39.69
"2007-02-28",46.2,46.84,45.83,46.12,7801100,39.55
"2007-03-01",46,46.94,45.5,46.51,8621500,39.88
