"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2007-10-05",243.56,247.36,241.25,247.03,718500,247.03
"2007-10-08",247.9,256.99,247.28,256.76,1277600,256.76
"2007-10-09",258.36,261.99,253.55,258.48,988000,258.48
"2007-10-10",258.94,264.51,256.38,258.87,825400,258.87
"2007-10-11",261.01,263.49,242.03,247.65,1728900,247.65
"2007-10-12",249.45,253.29,245.55,249.39,872100,249.39
"2007-10-15",250.6,254.25,246.11,250.73,685600,250.73
"2007-10-16",246.54,251.73,240.58,244.6,1148900,244.6
"2007-10-17",248.2,248.4,234.08,236.72,1584600,236.72
"2007-10-18",239.36,258.47,237.82,256.44,2566900,256.44
"2007-10-19",268.74,279.52,265.9,269.34,5358500,269.34
"2007-10-22",267.82,287.1,265,285.86,2134300,285.86
"2007-10-23",296.5,304.35,290.5,304.3,2668900,304.3
"2007-10-24",302.8,317.58,298.25,317.37,2719400,317.37
"2007-10-25",323.91,334.88,318.62,329.45,3667100,329.45
"2007-10-26",333.33,339.63,328,329.09,2222700,329.09
"2007-10-29",332.48,332.64,316.16,321.29,2152700,321.29
"2007-10-30",317.42,330.27,316,323.59,1821400,323.59
"2007-10-31",324.5,329.49,321.09,326.87,1153300,326.87
"2007-11-01",322.24,329.4,318.98,322.02,1379500,322.02
"2007-11-02",323.52,325.88,303.86,311.8,1661400,311.8
"2007-11-05",304.21,313.77,300.06,309.41,1119400,309.41
"2007-11-06",313.78,319.38,307.25,317.07,1027600,317.07
"2007-11-07",310.53,320.5,306.53,309.46,1377800,309.46
"2007-11-08",310.56,313.86,284,293.88,1782900,293.88
"2007-11-09",284,292,280,282.27,1299200,282.27
"2007-11-12",276.06,284.9,264,266.46,1656800,266.46
"2007-11-13",268.56,277.32,264,275.55,1387100,275.55
"2007-11-14",282.45,291.92,277.57,281.24,1522300,281.24
"2007-11-15",279.35,288.73,279.18,282.92,1131200,282.92
"2007-11-16",285.21,286.86,274.4,280.65,1107800,280.65
"2007-11-19",278.91,287.67,277.04,284.23,1016600,284.23
"2007-11-20",286.03,297.93,280,287.9,1187800,287.9
"2007-11-21",285,288.9,278.05,279.87,769700,279.87
"2007-11-23",281.83,286.5,279.5,283.71,271900,283.71
"2007-11-26",286.87,295,282.5,283.41,780500,283.41
"2007-11-27",288.72,297.39,284,296.48,1048600,296.48
"2007-11-28",301.5,325.99,301,324.5,1994400,324.5
"2007-11-29",325,331.99,318.7,321.98,1288300,321.98
"2007-11-30",330.72,330.97,315.36,327.68,1804300,327.68
"2007-12-03",329.68,334.75,323.02,328.2,1172800,328.2
"2007-12-04",324.87,332.88,320.02,325.65,910000,325.65
"2007-12-05",330,333.8,325.71,332.93,925900,332.93
"2007-12-06",332.9,347.58,330.51,344.79,1708400,344.79
"2007-12-07",347,354.74,345,353,1146400,353
"2007-12-10",358.29,359.59,346.36,347.58,1386200,347.58
"2007-12-11",350.2,354.48,333.14,336.1,1267600,336.1
"2007-12-12",345.02,346.5,325.83,335.24,1531200,335.24
"2007-12-13",330.45,335.24,321.01,328.6,1288600,328.6
"2007-12-14",324.16,334.42,321.3,324.89,870600,324.89
"2007-12-17",324.58,329,303.77,305.55,1298700,305.55
"2007-12-18",310.03,311.99,289.53,307.6,1890200,307.6
"2007-12-19",306.53,318.86,305.11,312.95,1238700,312.95
"2007-12-20",315.22,322.32,315.21,321.63,811600,321.63
"2007-12-21",328,328.5,319.6,325.44,1561400,325.44
"2007-12-24",324.23,333.99,323.27,333.8,402500,333.8
"2007-12-26",334.27,337.9,329.17,335.24,553700,335.24
"2007-12-27",334.01,338.81,327.41,329.56,611100,329.56
"2007-12-28",331.25,333.3,322.03,325.14,531700,325.14
"2007-12-31",322.73,329.24,322.61,323,588000,323
"2008-01-02",323.64,330.47,315,323.95,835600,323.95
"2008-01-03",323.81,325.98,320.75,321.75,710200,321.75
"2008-01-04",315.55,318.33,302.27,305,1028400,305
"2008-01-07",306.32,312.67,296.45,299.98,1171100,299.98
"2008-01-08",286,292.63,270.65,271.73,2180300,271.73
"2008-01-09",265.65,274.55,253.21,263.64,2362200,263.64
"2008-01-10",257.47,270.78,254.32,267.63,1773900,267.63
"2008-01-11",264.2,270.72,258.99,262.19,1172800,262.19
"2008-01-14",266.59,268.74,262.32,265.69,891800,265.69
"2008-01-15",259.06,264.4,250.5,256.22,1309400,256.22
"2008-01-16",250.55,269.99,249.22,265.05,1803500,265.05
"2008-01-17",266.99,270.91,254.92,261.34,1122400,261.34
"2008-01-18",261.01,266.09,256.01,262.07,1113300,262.07
"2008-01-22",240.13,265,235.53,261.84,1115000,261.84
"2008-01-23",254.98,271.14,245.08,270.86,1244500,270.86
"2008-01-24",273,279.58,265.11,270,1059400,270
"2008-01-25",274.97,278.52,268.22,269,755300,269
"2008-01-28",270,277.86,262.09,277.57,833100,277.57
"2008-01-29",273.95,273.95,243.99,244.3,1859200,244.3
"2008-01-30",244.6,248.66,233.56,235,1939100,235
"2008-01-31",229.05,255,227.26,254,2124700,254
"2008-02-01",292.73,314.43,291,305.61,3992700,305.61
"2008-02-04",306.94,315.8,303.51,307.5,1583700,307.5
"2008-02-05",306.92,314.99,305.18,307.88,1437500,307.88
"2008-02-06",309.81,312,293,293.78,1230600,293.78
"2008-02-07",290,304.64,287.98,298.65,1295400,298.65
"2008-02-08",300,303.36,295.2,300.68,658600,300.68
"2008-02-11",299.53,303.88,297,301.82,706200,301.82
"2008-02-12",303.99,304,293.29,296.68,866900,296.68
"2008-02-13",299,308.98,297.52,308.54,1103800,308.54
"2008-02-14",310,312.9,300.08,300.08,912700,300.08
"2008-02-15",298.75,307.46,296.01,303.27,1168800,303.27
"2008-02-19",308.31,309.44,287.12,290.5,1189300,290.5
"2008-02-20",288.52,294.11,281.84,291.43,860700,291.43
"2008-02-21",293.5,294.99,285.03,286.26,497100,286.26
"2008-02-22",287.14,292.04,283.44,291.57,516900,291.57
"2008-02-25",291.02,294.49,285.57,293.58,553300,293.58
"2008-02-26",292.84,300,287.09,296.23,534800,296.23
"2008-02-27",294.75,297.4,290.04,294.92,546700,294.92
"2008-02-28",287.5,294.48,287.17,289.91,534000,289.91
"2008-02-29",286,288.51,280.41,281.92,767100,281.92
"2008-03-03",281,284.98,275.25,283.71,836700,283.71
"2008-03-04",281.88,286.88,273.36,280.08,630300,280.08
"2008-03-05",282.17,288.91,280.19,286.32,597400,286.32
"2008-03-06",283.33,288.65,269.82,270.76,1429700,270.76
"2008-03-07",265.28,274.54,260,264.75,933500,264.75
"2008-03-10",262.81,269.08,254.37,255.58,1103300,255.58
"2008-03-11",266.03,269.52,260.86,267.17,1232200,267.17
"2008-03-12",266.99,279.99,265.01,274.38,1073900,274.38
"2008-03-13",269.9,286.28,265.25,284.98,1092300,284.98
"2008-03-14",290,291.1,275.77,283.07,994600,283.07
"2008-03-17",271.51,286.82,271.5,279.87,803200,279.87
"2008-03-18",287.3,297.18,283.56,294.75,769800,294.75
"2008-03-19",293.11,301.88,290,291.66,697300,291.66
"2008-03-20",291.45,301.42,288.45,300.69,809100,300.69
"2008-03-24",302.74,335,301.8,327.24,1486900,327.24
"2008-03-25",329.91,330.88,321.79,325.93,846000,325.93
"2008-03-26",325.77,326.25,317,323.97,532600,323.97
"2008-03-27",325.01,327.92,321.02,321.86,560100,321.86
"2008-03-28",324.43,332,322.16,322.71,653100,322.71
"2008-03-31",325.95,331,320.29,324.35,737600,324.35
"2008-04-01",329,347.93,326,346.94,1473800,346.94
"2008-04-02",346.34,349.89,338,340.02,860000,340.02
"2008-04-03",340.53,341.52,334.06,336.99,752600,336.99
"2008-04-04",340.56,341.99,332.21,338.44,828500,338.44
"2008-04-07",342.99,357.89,341.18,345.14,1354100,345.14
"2008-04-08",344.93,351.42,341.25,347.1,730600,347.1
"2008-04-09",348.9,349.21,331.89,336.07,1294800,336.07
"2008-04-10",342.84,357.98,339.76,353.88,1563800,353.88
"2008-04-11",346.25,347.21,330.23,333.58,1993900,333.58
"2008-04-14",332.25,332.99,315.78,324.84,1373300,324.84
"2008-04-15",327.99,339.8,325.35,339.8,1441900,339.8
"2008-04-16",343.4,346.55,339.13,345.99,1032200,345.99
"2008-04-17",346.1,355.98,343.16,348.5,2085900,348.5
"2008-04-18",310.54,311.95,285.2,288.5,5100200,288.5
"2008-04-21",289.08,293,275.62,291.48,2337900,291.48
"2008-04-22",285.02,286.98,275,275.52,1408200,275.52
"2008-04-23",276.96,284.47,271.86,282.95,1329000,282.95
"2008-04-24",281.01,287.5,274.07,278.6,1004400,278.6
"2008-04-25",279.89,281.81,275.04,279.78,845600,279.78
"2008-04-28",282.95,289.69,282.17,285.5,1136100,285.5
"2008-04-29",285,293.21,283,291.01,1107500,291.01
"2008-04-30",289.1,295.85,286.28,289.26,1011400,289.26
"2008-05-01",291.9,295.85,287.4,294.45,689500,294.45
"2008-05-02",297.03,298.5,288.66,290.03,558600,290.03
"2008-05-05",290,297.7,288,294.75,761700,294.75
"2008-05-06",293.57,294.92,286.61,293.34,559100,293.34
"2008-05-07",292.62,294.99,287.72,288.79,772600,288.79
"2008-05-08",289.78,290.72,282.75,287.57,715500,287.57
"2008-05-09",284.44,289.83,282.28,289.1,454500,289.1
"2008-05-12",288.5,291.6,285.56,291.24,432500,291.24
"2008-05-13",291.61,291.61,286.25,290.39,367800,290.39
"2008-05-14",290.35,293.89,285.68,285.85,548800,285.85
"2008-05-15",285.69,293.8,285.62,292.98,782800,292.98
"2008-05-16",292.98,304.28,292.3,299.75,1322800,299.75
"2008-05-19",301.42,308.73,297.61,298.5,938300,298.5
"2008-05-20",298.01,299.67,293.91,298.34,481400,298.34
"2008-05-21",297.15,300.93,288.26,288.65,648400,288.65
"2008-05-22",283.11,284.79,272.81,274.75,1598200,274.75
"2008-05-23",282.76,287.46,279.37,284.77,1069100,284.77
"2008-05-27",286,286.44,281.26,286.08,446500,286.08
"2008-05-28",288.5,288.85,284.18,288.85,367200,288.85
"2008-05-29",286.25,295,286.25,291.47,569500,291.47
"2008-05-30",292.97,297,290.1,293.59,6212900,293.59
"2008-06-02",293.35,296.55,286,288.58,991400,288.58
"2008-06-03",289.75,289.79,279.19,283.75,1005700,283.75
"2008-06-04",284.39,289.54,282.16,286.07,815800,286.07
"2008-06-05",287.02,291.44,283.39,291.41,666900,291.41
"2008-06-06",289,289.74,278.67,280.91,777800,280.91
"2008-06-09",282.59,282.59,271.62,275.09,815300,275.09
"2008-06-10",271.27,271.48,263.27,270.26,1165000,270.26
"2008-06-11",273.98,274,265.29,265.92,614700,265.92
"2008-06-12",267,274.55,263.51,269.66,729100,269.66
"2008-06-13",272.51,281,270,281,728200,281
"2008-06-16",277.04,281.15,274.56,280.5,643700,280.5
"2008-06-17",281.58,283.86,279.28,282.03,527500,282.03
"2008-06-18",279.51,284.77,279.06,283.12,729000,283.12
"2008-06-19",284.84,287.78,280.9,287.14,591300,287.14
"2008-06-20",282.98,284.67,280.72,282.51,810200,282.51
"2008-06-23",286.98,286.98,276.01,279.93,986500,279.93
"2008-06-24",276.15,278.7,270.11,275.33,810800,275.33
"2008-06-25",279.86,280.93,273.5,278.85,701000,278.85
"2008-06-26",273.05,276.48,270.05,270.78,838000,270.78
"2008-06-27",270.03,272.94,267.03,269.59,784400,269.59
"2008-06-30",268.51,274.83,268,269.4,494700,269.4
"2008-07-01",264.59,264.62,252.98,259.98,1036100,259.98
"2008-07-02",261.26,265.98,249.84,250.16,777100,250.16
"2008-07-03",251,255.8,249.01,250.34,492800,250.34
"2008-07-07",257,260.77,247.76,253.2,821400,253.2
"2008-07-08",250.63,264.63,250.63,264.15,716300,264.15
"2008-07-09",264.15,275,262.11,262.51,916200,262.51
"2008-07-10",263.05,267.89,260,265.57,622900,265.57
"2008-07-11",263.45,273.33,262.3,269.98,677100,269.98
"2008-07-14",273.32,275,268.91,271.79,547500,271.79
"2008-07-15",269.4,274.29,264.55,270.49,673800,270.49
"2008-07-16",271.32,283.01,271.32,280.79,660700,280.79
"2008-07-17",284.63,284.63,277.58,282.25,613900,282.25
"2008-07-18",281.04,289.68,280,288.49,763100,288.49
"2008-07-21",288.03,289.72,282.8,284.71,553600,284.71
"2008-07-22",278.52,285.56,277,280.23,1457100,280.23
"2008-07-23",313.49,333.25,313,331.13,2645200,331.13
"2008-07-24",330.1,332.8,320.03,323.67,1084000,323.67
"2008-07-25",319.56,325.84,318.71,322.07,787600,322.07
"2008-07-28",314.33,319.8,307.54,308.23,1102200,308.23
"2008-07-29",310,314.86,308.42,311.94,7e+05,311.94
"2008-07-30",308.36,316,307.32,312.86,519900,312.86
"2008-07-31",309.51,316,308.51,311.29,525300,311.29
"2008-08-01",310.35,312.67,299.28,300.43,697900,300.43
"2008-08-04",299.84,305.79,295,299.88,749100,299.88
"2008-08-05",303.4,308.33,300.76,308.06,585200,308.06
"2008-08-06",305.42,314.63,302.55,310.79,798400,310.79
"2008-08-07",309.33,309.33,301.6,303,704000,303
"2008-08-08",303.2,309.75,301.85,308.26,483500,308.26
"2008-08-11",302.21,309.93,301.96,308.25,433000,308.25
"2008-08-12",309.06,309.2,304.56,305.99,351800,305.99
"2008-08-13",306.94,307.96,300.24,304.37,407300,304.37
"2008-08-14",302.57,307.7,301.35,304.26,425300,304.26
"2008-08-15",303.81,304.24,296.33,299.17,534000,299.17
"2008-08-18",300.94,301,288.53,293.01,586600,293.01
"2008-08-19",292.86,305.19,292.51,301.33,744800,301.33
"2008-08-20",301.49,302.42,297.14,301.07,395700,301.07
"2008-08-21",299.84,306.38,298.51,300.72,322000,300.72
"2008-08-22",302.55,306.99,301.22,303.32,398900,303.32
"2008-08-25",300.38,302.98,296.92,298.41,325800,298.41
"2008-08-26",298,301.34,294.67,297.75,329300,297.75
"2008-08-27",296.8,301.87,295.53,298.62,315800,298.62
"2008-08-28",297.56,302.52,297.45,299.42,324900,299.42
"2008-08-29",296.69,300.24,294.81,295.27,377100,295.27
"2008-09-02",299.33,304,293.33,293.58,789800,293.58
"2008-09-03",291.88,294.7,286.34,290.44,581900,290.44
"2008-09-04",288.27,289.99,273.24,273.49,870400,273.49
"2008-09-05",268.46,271.29,259.5,268.86,911700,268.86
"2008-09-08",278.97,280.47,267.96,271.48,636700,271.48
"2008-09-09",271.48,279.69,268.11,268.11,751000,268.11
"2008-09-10",272.99,277.8,267.81,273.94,766200,273.94
"2008-09-11",269,278,264.33,277.67,589500,277.67
"2008-09-12",275.03,279.3,274.73,278.19,436600,278.19
"2008-09-15",270.85,277.98,268.1,269.67,784600,269.67
"2008-09-16",265.13,278.69,265.13,277.77,615500,277.77
"2008-09-17",272.67,282.56,269.83,273.02,739400,273.02
"2008-09-18",277.85,281.77,265.72,275.53,1016900,275.53
"2008-09-19",284.99,293.01,278.56,290.71,1125900,290.71
"2008-09-22",287.38,290.2,280.05,280.5,485100,280.5
"2008-09-23",281.06,285.28,277.29,278.58,521700,278.58
"2008-09-24",279.97,283.96,276.5,282.46,285300,282.46
"2008-09-25",284,287,276.82,281.53,534200,281.53
"2008-09-26",274.5,277.97,269,275.01,809000,275.01
"2008-09-29",270.09,271.9,250,251.4,817900,251.4
"2008-09-30",256.1,259.47,226.17,240.98,1700000,240.98
"2008-10-01",237.96,246.25,233.73,236.55,939800,236.55
"2008-10-02",234.26,238.5,227.82,228.65,904400,228.65
"2008-10-03",232.94,242.74,222.53,225.7,799400,225.7
"2008-10-06",216.95,216.95,186.55,197.12,1993600,197.12
"2008-10-07",200.51,201.27,183.63,184.26,1442200,184.26
"2008-10-08",179,195.69,170.61,190.63,1403300,190.63
"2008-10-09",195.98,197,170.06,172.85,1056300,172.85
"2008-10-10",157.98,186.26,153.3,175.01,1967400,175.01
"2008-10-13",194,213.26,190.19,212.34,1189100,212.34
"2008-10-14",228.27,231.66,218.54,224.32,1832500,224.32
"2008-10-15",213.11,223.71,190,190.12,1606200,190.12
"2008-10-16",195.28,215.05,186.37,214.8,1935300,214.8
"2008-10-17",193.9,199.99,173.14,189.13,3613300,189.13
