"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2007-01-03",73.3,74.24,72.94,73.1,1519600,73.1
"2007-01-04",73.12,73.99,72.75,73.75,1094100,73.75
"2007-01-05",73.5,73.79,73.21,73.49,1464300,73.49
"2007-01-08",73.55,74.85,73,74.7,1415400,74.7
"2007-01-09",74.7,74.77,73.28,73.47,1189400,73.47
"2007-01-10",73.28,73.47,73.12,73.34,937800,73.34
"2007-01-11",73.29,73.76,72.9,73.26,1118300,73.26
"2007-01-12",73.26,73.59,72.93,73,956900,73
"2007-01-16",73.25,73.76,72.48,72.7,1187100,72.7
"2007-01-17",72.7,73.01,72.42,72.83,1585900,72.83
"2007-01-18",73.08,73.51,72.85,73.06,1215900,73.06
"2007-01-19",73.21,73.46,72.92,73.08,719100,73.08
"2007-01-22",73.2,73.56,73.06,73.24,748200,73.24
"2007-01-23",73.07,73.08,72.5,72.89,819100,72.89
"2007-01-24",72.82,73.17,72.49,73.13,1035800,73.13
"2007-01-25",73.12,73.19,71.93,72.07,1186000,72.07
"2007-01-26",72.28,72.45,70.94,71.46,1186500,71.46
"2007-01-29",71.46,72.4,71.26,72.19,908200,72.19
"2007-01-30",72.21,73,72.19,72.94,790600,72.94
"2007-01-31",72.84,73.56,72.57,73.44,808500,73.44
"2007-02-01",73.45,73.51,72.89,73.41,815800,73.41
"2007-02-02",73.41,74,73.11,73.53,565400,73.53
"2007-02-05",73.29,73.66,72.71,72.82,827400,72.82
"2007-02-06",72.97,73.42,72.9,73.27,782700,73.27
"2007-02-07",73.4,73.99,73.3,73.59,802200,73.59
"2007-02-08",73.69,74.31,73.59,74.07,922000,74.07
"2007-02-09",74.25,74.5,73.57,73.84,555100,73.84
"2007-02-12",74.09,74.24,73.66,73.85,592400,73.85
"2007-02-13",74.05,74.54,73.9,74.23,778200,74.23
"2007-02-14",74.25,74.68,73.9,74.44,761500,74.44
"2007-02-15",78,80.72,78,80,5475600,80
"2007-02-16",80,81,79.99,80.37,1365800,80.37
"2007-02-20",80.01,80.86,78.55,80.26,1821400,80.26
"2007-02-21",79.94,80.49,79.73,80.06,666100,80.06
"2007-02-22",80.22,80.81,80.01,80.25,821500,80.25
"2007-02-23",80,80.44,79.75,80.38,893900,80.38
"2007-02-26",80.37,80.37,79.74,80.04,620200,80.04
"2007-02-27",80,80.02,78.88,79,1833800,79
"2007-02-28",79.01,79.91,78.6,79.68,1404300,79.68
"2007-03-01",74.1,75,70.07,70.17,9507700,70.17
"2007-03-02",69.7,70.56,67.6,68.36,5958400,68.36
"2007-03-05",66.06,68.4,66.06,66.95,2836600,66.95
"2007-03-06",66.4,67.52,65.6,67.1,4418700,67.1
"2007-03-07",67.19,67.87,66.86,67.46,5701700,67.46
"2007-03-08",67.86,68.88,67.74,68.48,2906200,68.48
"2007-03-09",69,69.13,68.41,68.75,2689100,68.75
"2007-03-12",68.75,69.86,68.6,69.6,2402900,69.6
"2007-03-13",69.98,70.74,69.56,70.35,2749400,70.35
"2007-03-14",70.75,71.08,69.64,70.25,2435100,70.25
"2007-03-15",70.25,71.59,69.93,71.42,2108900,71.42
"2007-03-16",71.48,72.33,70.56,70.86,1965100,70.86
"2007-03-19",70.5,71.57,70.15,71.3,1130300,71.3
"2007-03-20",71.42,71.71,71.09,71.19,924200,71.19
"2007-03-21",71.25,72,70.67,71.75,817000,71.75
"2007-03-22",71.9,72.58,71.58,71.73,1082200,71.73
"2007-03-23",71.83,72.25,71.46,71.83,677700,71.83
"2007-03-26",71.99,72.58,71.67,72.55,1080500,72.55
"2007-03-27",72.35,72.39,71.85,72.13,869300,72.13
"2007-03-28",72.22,72.41,71.68,72.04,1123900,72.04
"2007-03-29",72.64,72.87,71.98,72.79,1127400,72.79
"2007-03-30",72.9,73.42,72,72.63,1075200,72.63
"2007-04-02",72.62,73.17,71.96,72.33,1058200,72.33
"2007-04-03",72.38,72.86,72.31,72.86,692700,72.86
"2007-04-04",72.96,73.04,72.63,72.79,713900,72.79
"2007-04-05",72.85,73.32,72.66,73.2,463800,73.2
"2007-04-09",73.18,74.03,73.18,73.68,696900,73.68
"2007-04-10",73.68,73.91,73.38,73.39,837900,73.39
"2007-04-11",73.55,73.55,72.11,72.4,1115400,72.4
"2007-04-12",72.46,72.46,71.55,72.34,1147000,72.34
"2007-04-13",72.51,73.25,72.35,73.11,935700,73.11
"2007-04-16",73.11,73.26,72.67,73.05,617900,73.05
"2007-04-17",73,73.35,72.88,73.16,1064800,73.16
"2007-04-18",73.17,73.71,72.75,73.63,1223200,73.63
"2007-04-19",73.63,73.64,72.75,73.58,723500,73.58
"2007-04-20",74,74.77,73.5,74.07,1036000,74.07
"2007-04-23",75.57,75.57,73.45,73.6,670700,73.6
"2007-04-24",73.51,73.71,72.03,72.53,1102700,72.53
"2007-04-25",72.78,72.78,72.11,72.48,1276600,72.48
"2007-04-26",76.8,79.92,76.5,78.95,5044500,78.95
"2007-04-27",78.91,79.14,77.97,78.92,1402600,78.92
"2007-04-30",78.96,79.47,78.26,78.94,1071800,78.94
"2007-05-01",78.8,78.88,77.82,78.59,2123500,78.59
