"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2007-05-09",68.2,68.8,68.06,68.77,3240400,58.48
"2007-05-10",68.6,68.79,67.99,68.02,3213000,57.84
"2007-05-11",68.09,68.5,68.07,68.39,2450900,58.16
"2007-05-14",68.38,68.6,68,68.25,3020800,58.04
"2007-05-15",68.52,69.44,68.37,68.5,5641500,58.25
"2007-05-16",68.52,68.98,67.96,68.48,3279900,58.46
"2007-05-17",68.52,69.56,68.37,69.37,4238900,59.22
"2007-05-18",69.65,69.85,69,69.19,4731900,59.07
"2007-05-21",68.91,69.1,68.56,68.92,5071400,58.84
"2007-05-22",69,69.3,68.7,69.21,4175500,59.08
"2007-05-23",69.25,69.3,68.69,68.85,3798100,58.78
"2007-05-24",69,69.5,68.22,68.26,4000200,58.27
"2007-05-25",68.07,68.95,68,68.62,2918100,58.58
"2007-05-29",68.82,69.28,68.56,68.99,3278900,58.9
"2007-05-30",68.56,69.43,68.3,69.43,3603600,59.27
"2007-05-31",69.62,70.68,69.62,70.55,5412800,60.23
"2007-06-01",70.9,71.62,70.52,70.78,4572900,60.42
"2007-06-04",70.33,71.17,70.14,70.82,3013300,60.46
"2007-06-05",70.55,70.99,70.33,70.75,4392000,60.4
"2007-06-06",70.25,70.64,69.63,69.92,3606900,59.69
"2007-06-07",69.91,69.98,68.85,68.87,4266600,58.79
"2007-06-08",68.98,70.29,68.85,70.23,5808200,59.95
"2007-06-11",69.85,70.3,69.51,70.18,3202400,59.91
"2007-06-12",69.99,70.4,69.52,69.67,4509700,59.48
"2007-06-13",69.88,70.73,69.6,70.73,4972100,60.38
"2007-06-14",70.33,71.38,70.33,71.28,3381300,60.85
"2007-06-15",71.9,72.3,71.69,72.01,6134600,61.47
"2007-06-18",72.49,72.5,71.72,72.19,3543400,61.63
"2007-06-19",72.19,72.3,71.41,71.72,4273000,61.23
"2007-06-20",72.19,72.64,71.73,71.83,4363800,61.32
"2007-06-21",71.69,72.29,71.43,71.95,4031400,61.42
"2007-06-22",72.05,72.17,71.06,71.38,6117000,60.94
"2007-06-25",71.32,71.88,70.91,71.27,4342400,60.84
"2007-06-26",71.36,71.52,70.37,70.57,4106300,60.24
"2007-06-27",70.24,71.56,70.13,71.5,3912500,61.04
"2007-06-28",71.28,71.51,70.93,71.09,3380500,60.69
"2007-06-29",71.58,71.71,70.5,70.93,4027400,60.55
"2007-07-02",71.47,72.5,71.4,72.46,4087100,61.86
"2007-07-03",72.5,72.86,72.21,72.47,1724300,61.87
"2007-07-05",72.39,72.72,72.06,72.12,3189100,61.57
"2007-07-06",72.29,72.88,72.03,72.6,2498100,61.98
"2007-07-09",72.32,72.7,72,72.52,3453900,61.91
"2007-07-10",71.88,72.45,71.69,72.07,5336200,61.53
"2007-07-11",72.06,73,71.99,73,4394400,62.32
"2007-07-12",73.06,74,73,73.99,3958400,63.16
"2007-07-13",74.25,75.21,73.71,75,4905800,64.03
"2007-07-16",75.86,76.98,75.51,76.67,7356800,65.45
"2007-07-17",77.55,77.82,76.69,76.84,8750800,65.6
"2007-07-18",76,76.2,74.85,75.56,8716700,64.5
"2007-07-19",76.18,77.4,75.09,77.18,8376000,65.89
"2007-07-20",77.19,77.23,75.84,76.03,6738500,64.91
"2007-07-23",76.57,76.84,75.97,76.22,5153000,65.07
"2007-07-24",75.74,76.31,74.7,74.74,5904000,63.8
"2007-07-25",75.08,75.74,74.71,75.19,4735900,64.19
"2007-07-26",74.76,76.43,73.81,74.45,9314600,63.56
"2007-07-27",74.74,74.85,73.1,73.29,7375200,62.57
"2007-07-30",72.92,74.13,72.92,73.63,4969800,62.86
"2007-07-31",75,75,72.97,72.97,5920000,62.29
"2007-08-01",73.05,74.74,72.45,74.65,7022000,63.73
"2007-08-02",74.37,74.97,73.83,74.76,4871900,63.82
"2007-08-03",74.97,75.41,73.84,73.93,6266000,63.11
"2007-08-06",76.58,76.71,73.22,74.85,6103400,63.9
"2007-08-07",74.84,74.85,73.52,74.15,5499600,63.3
"2007-08-08",74.07,75.23,73.5,74.05,5338600,63.22
"2007-08-09",74.04,74.92,72.37,72.37,6197500,61.78
"2007-08-10",71.46,73.68,71.07,73.08,5874500,62.39
"2007-08-13",73.08,74.39,73.05,74.01,3852700,63.18
"2007-08-14",74.05,74.25,72.58,72.78,3950200,62.13
"2007-08-15",72.61,72.81,71.44,71.63,4539900,61.42
