"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2007-01-03",66.03,66.25,64.24,64.86,6297900,60.02
"2007-01-04",64.87,64.87,63.24,63.7,6471600,58.95
"2007-01-05",63.76,65.73,63.75,65.32,6938100,60.45
"2007-01-08",66.75,66.89,64.56,65.62,4900700,60.72
"2007-01-09",64.62,66.21,64.06,65.65,6362300,60.75
"2007-01-10",65.6,67.55,63.85,64.67,4381900,59.84
"2007-01-11",64.99,66.27,63.69,63.99,5287100,59.22
"2007-01-12",64.33,65.96,64.07,65.63,5243200,60.73
"2007-01-16",65.2,66,64.56,64.89,4402700,60.05
"2007-01-17",64.98,66.49,64.73,65.7,4532700,60.8
"2007-01-18",65.78,66.39,64.9,65.74,4984900,60.83
"2007-01-19",66.2,67.9,65.89,67.66,4503300,62.61
"2007-01-22",68.14,68.51,66.96,67.28,4593600,62.26
"2007-01-23",67.7,70,67.7,69.43,5248300,64.25
"2007-01-24",69,70.01,68.25,69.91,4192100,64.69
"2007-01-25",69.83,69.94,68.05,68.23,3782200,63.14
"2007-01-26",68.65,69.19,67.8,68.08,2956100,63
"2007-01-29",68.25,69.25,67.86,68.04,3094500,62.96
"2007-01-30",68.44,70.35,68.39,70.18,4249900,64.94
"2007-01-31",70,70.91,69.52,70.09,4625100,64.86
"2007-02-01",69.57,70.8,69.42,70.19,3884500,64.95
"2007-02-02",70.6,70.69,69.72,70.4,2533000,65.15
"2007-02-05",70.75,71.24,70.2,70.37,2760800,65.12
"2007-02-06",70.78,70.86,69.57,69.8,3466500,64.59
"2007-02-07",69.6,70.19,68.7,69.14,3220700,63.98
"2007-02-08",68.77,69.23,68.02,68.73,4019000,63.6
"2007-02-09",68.73,69.16,67.77,68.25,3219600,63.16
"2007-02-12",67.75,67.96,66.4,66.81,4018600,61.83
"2007-02-13",67,67.32,66.6,67.09,4659800,62.08
"2007-02-14",67.34,68.44,67.14,67.35,4867300,62.32
"2007-02-15",67.21,67.35,66.04,66.7,3631300,61.72
"2007-02-16",66.35,67.4,66.29,66.69,3941300,61.71
"2007-02-20",66.3,66.3,65.42,65.73,3780600,60.83
"2007-02-21",65.63,66.25,65.05,66.09,3718000,61.16
"2007-02-22",66.39,66.95,65.91,66.42,3715300,61.46
"2007-02-23",66.9,66.97,65.82,66.15,3455200,61.21
"2007-02-26",66.46,67.65,66.46,67.11,4237200,62.1
"2007-02-27",65.83,67.29,64.78,65.57,5248800,60.68
"2007-02-28",66.71,66.73,64.9,65.7,5061800,60.8
"2007-03-01",64.85,66.36,64.4,65.54,4823900,60.65
"2007-03-02",65.54,65.67,64.11,64.45,4359100,59.64
"2007-03-05",63,64.66,62.95,63.51,4836300,58.77
"2007-03-06",64.15,64.8,63.69,64.53,5624800,59.72
"2007-03-07",64.6,66.27,64.3,65.24,4542600,60.37
"2007-03-08",65.65,65.88,64.5,64.74,4377600,59.91
"2007-03-09",65.3,65.59,64.5,64.74,3065400,59.91
"2007-03-12",64.38,64.53,63.77,64.35,4405200,59.55
"2007-03-13",64.03,64.94,63.03,63.28,4673200,58.69
"2007-03-14",63.3,64.18,62.8,64.01,4127000,59.36
"2007-03-15",64.1,64.81,63.58,64.23,3520800,59.57
"2007-03-16",64.48,65.25,64.11,64.39,4939900,59.72
"2007-03-19",64.96,65.52,64.63,65.18,3527500,60.45
"2007-03-20",65.18,65.8,64.92,65.75,2993000,60.98
"2007-03-21",65.95,66.8,65.59,66.36,3745600,61.54
"2007-03-22",66.88,68.13,66.65,67.64,4954500,62.73
"2007-03-23",67.93,68.14,67.04,67.65,3130100,62.74
"2007-03-26",68.01,69.3,67.48,69.26,6269600,64.23
"2007-03-27",69.26,69.82,68.81,69.75,4702800,64.69
"2007-03-28",70.04,70.44,69.03,69.34,5690100,64.31
"2007-03-29",69.95,70.22,69.39,70.05,4796200,64.96
"2007-03-30",69.77,70.13,69.04,69.22,3762900,64.19
"2007-04-02",69.31,70.39,69.3,70.11,2964700,65.02
"2007-04-03",69.96,70.78,69.38,70.59,3364000,65.47
"2007-04-04",70.33,71.57,69.92,71.46,4437500,66.27
"2007-04-05",71.37,72.12,70.9,71.88,4122700,66.66
"2007-04-09",73,74.08,72.43,72.95,5965500,67.65
"2007-04-10",73.03,74.32,72.95,74.2,4254600,68.81
"2007-04-11",74.05,74.56,73.34,73.45,5481900,68.12
"2007-04-12",73.89,75.2,73.53,74.95,4122400,69.51
"2007-04-13",74.85,75.14,74.1,75.1,3004900,69.65
"2007-04-16",75.13,75.29,73.84,74.69,3061600,69.27
"2007-04-17",74.89,75.11,73.08,73.54,3912200,68.2
"2007-04-18",73.29,73.36,72.65,73.3,4542100,67.98
"2007-04-19",73.01,73.05,71.63,71.98,3462100,66.75
"2007-04-20",72.49,73.63,72.49,73.55,4873700,68.21
"2007-04-23",73.56,74.23,72.98,73.31,3847500,67.99
"2007-04-24",73.33,73.67,72.56,72.93,3019300,67.64
"2007-04-25",73.7,75.29,73.39,74.81,3963600,69.38
"2007-04-26",74.38,74.71,73.33,73.56,3883900,68.22
"2007-04-27",73.17,73.98,72.9,73.49,2323500,68.15
"2007-04-30",73.34,74.32,72.75,72.87,3228400,67.58
"2007-05-01",72.87,73.35,72.21,73.09,2653400,67.78
"2007-05-02",73.53,74.85,73.5,74.26,3122700,68.87
"2007-05-03",74.1,76.27,73.95,75.96,4378100,70.45
"2007-05-04",76.39,77.13,75.8,75.93,3867500,70.42
"2007-05-07",75.93,76.38,75.41,75.85,2086200,70.34
"2007-05-08",75.2,75.5,74.33,75.4,2711600,69.93
