"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2007-01-03",68.43,69.48,67.85,68.4,12908400,64.88
"2007-01-04",69.48,71.87,68.97,71.33,16000900,67.66
"2007-01-05",71.34,72.08,71.01,71.5,10462000,67.82
"2007-01-08",71.63,71.89,70.79,70.93,6747100,67.28
"2007-01-09",71.17,71.68,70.67,71.27,7165200,67.6
"2007-01-10",70.9,71.24,70.7,71.04,5780600,67.38
"2007-01-11",71.16,72.21,70.74,71.91,6872600,68.21
"2007-01-12",72.02,73.57,72,73.27,10115000,69.5
"2007-01-16",73.4,73.58,72.77,73.5,5465400,69.72
"2007-01-17",73.5,74.08,73.2,73.93,6535100,70.12
"2007-01-18",74.1,74.35,73.36,73.69,7544100,69.9
"2007-01-19",73.94,74.56,73.75,74.25,6791700,70.43
"2007-01-22",75.75,76.95,75.51,75.85,16810600,71.95
"2007-01-23",75.24,75.85,74.35,74.6,11220700,70.76
"2007-01-24",74.45,75.14,74,75.14,7198900,71.27
"2007-01-25",74.83,75.01,74.32,74.85,10974200,71
"2007-01-26",71.69,71.89,70.92,71.5,30276300,67.82
"2007-01-29",71.2,71.3,69.86,69.97,13797900,66.37
"2007-01-30",70.68,71.13,70.23,70.33,11686000,66.71
"2007-01-31",70.4,70.57,69.9,70.37,8537800,66.75
"2007-02-01",70.19,70.25,69.02,69.49,13779600,65.91
"2007-02-02",69.68,70.01,69.4,69.45,10115500,65.87
"2007-02-05",69.44,70.21,69.05,69.84,9181200,66.24
"2007-02-06",70.33,70.49,69.23,69.66,9683100,66.07
"2007-02-07",69.3,70.25,69.3,70,7881100,66.4
"2007-02-08",69.59,70.39,69.55,69.78,8879900,66.19
"2007-02-09",69.95,70.09,69,69.05,10375300,65.5
"2007-02-12",69.41,69.53,68.42,68.49,6831800,64.96
"2007-02-13",68.73,68.98,68.5,68.8,6197000,65.26
"2007-02-14",68.72,69.11,68.68,68.8,10553100,65.26
"2007-02-15",68.7,68.92,67.91,68.28,11571400,64.77
"2007-02-16",68.22,68.49,65.94,66.73,30258500,63.29
"2007-02-20",66.65,67.18,66.25,66.35,17507200,62.93
"2007-02-21",66.01,67.62,65.72,67.41,16658300,63.94
"2007-02-22",66.84,67.41,66.62,66.74,14397900,63.3
"2007-02-23",66.5,67.5,65.96,66.23,19424100,62.82
"2007-02-26",66.15,66.5,65.96,66.2,10838300,62.79
"2007-02-27",65.35,65.52,63.86,64.25,22702700,60.94
"2007-02-28",65,65.22,64.15,64.26,16460200,60.95
"2007-03-01",62.4,62.89,61.41,61.7,38347100,58.52
"2007-03-02",62.11,62.45,61.4,61.75,21136500,58.57
"2007-03-05",61.62,63.15,61.1,62.16,17479100,58.96
"2007-03-06",62.29,62.66,61.7,62.3,12493100,59.09
"2007-03-07",62.08,62.55,61.72,62.02,13249900,58.83
"2007-03-08",62.21,62.41,61.63,62.17,11067900,58.97
"2007-03-09",62.24,62.32,60.05,60.86,24677400,57.73
"2007-03-12",59.83,60.72,59.03,60.68,28068400,57.56
"2007-03-13",60.04,61.62,60.01,60.39,21774000,57.28
"2007-03-14",60.36,60.69,59.64,60.69,14261600,57.57
"2007-03-15",60.55,60.94,59.79,60.01,11285600,56.92
"2007-03-16",60.02,60.46,59.21,59.3,14396900,56.25
"2007-03-19",59.75,59.75,59,59.14,12355200,56.1
"2007-03-20",59.04,59.73,59.03,59.43,11421000,56.37
"2007-03-21",59.52,60.64,59.23,60.6,12648300,57.48
"2007-03-22",60.6,60.9,60.31,60.47,9148300,57.36
"2007-03-23",58.2,58.48,57.11,58.02,35312700,55.03
"2007-03-26",58.31,58.34,57.04,57.14,16085500,54.2
"2007-03-27",57.18,57.41,56.21,56.21,20009900,53.32
"2007-03-28",56.08,56.23,55.52,55.72,18710800,52.85
"2007-03-29",56.06,56.4,55.13,55.83,16787700,52.96
"2007-03-30",56,56.11,55.3,55.88,10749500,53
"2007-04-02",56.19,56.55,55.45,55.55,11103300,52.69
"2007-04-03",55.83,56.25,55.59,55.73,10570600,52.86
"2007-04-04",55.85,57,55.75,56.68,12822200,53.76
"2007-04-05",56.94,58.81,56.85,58.33,19402800,55.33
"2007-04-09",58.38,58.5,57.15,57.19,10966100,54.25
"2007-04-10",57.36,57.67,56.66,57.12,11953200,54.18
"2007-04-11",56.98,57.17,56.3,56.34,17349400,53.44
"2007-04-12",56.49,57.79,56.49,57.64,17438700,54.67
"2007-04-13",58.12,59.62,58.03,59.03,21311300,55.99
"2007-04-16",59.83,60.23,59.49,59.65,18793400,56.58
"2007-04-17",60.1,60.15,59.66,60.1,12305700,57.01
"2007-04-18",59.89,60.45,59.81,60.01,11365600,56.92
"2007-04-19",63.53,64.4,62.14,62.32,48739900,59.11
"2007-04-20",62.64,62.86,61.56,61.97,14551700,58.78
"2007-04-23",62.23,63,61.85,62.19,18939600,58.99
"2007-04-24",62.05,62.33,60.61,61.22,18770300,58.07
"2007-04-25",61.61,62.36,60.65,61.69,16095100,58.51
"2007-04-26",62.05,62.73,61.99,62.55,13934700,59.33
