"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2007-04-19",66.27,66.27,62.22,65.52,1678900,57.52
"2007-04-20",65.9,66.03,65.17,65.58,1281700,57.58
"2007-04-23",65.5,65.94,65.14,65.29,835200,57.32
"2007-04-24",65.51,65.53,64.35,64.64,1647500,56.75
"2007-04-25",65.52,66.19,64.57,64.73,1155100,56.83
"2007-04-26",64.21,65.19,63.7,65.01,1889300,57.08
"2007-04-27",64.74,65.73,64.24,65.65,1172500,57.64
"2007-04-30",65.53,65.94,63.62,63.77,1184400,55.99
"2007-05-01",63.75,63.75,62.91,63.43,1871600,55.69
"2007-05-02",63.24,64.55,63.24,64.4,929600,56.54
"2007-05-03",64.91,65.71,64.13,64.63,2368600,56.74
"2007-05-04",64.88,64.94,63.42,64.9,1751300,56.98
"2007-05-07",64.9,65.34,64.5,65.2,687500,57.24
"2007-05-08",64.9,65,64.25,64.82,660600,56.91
"2007-05-09",64.91,66.02,64.8,65.99,1069600,57.94
"2007-05-10",65.74,66.2,65.07,65.7,1720000,57.68
"2007-05-11",66.12,66.65,65.84,66.6,1526500,58.47
"2007-05-14",66.44,67.17,66.27,67.09,1496500,58.9
"2007-05-15",67.13,68.47,66.68,67.23,2184100,59.03
"2007-05-16",67.31,67.43,66.67,67.22,1161000,59.29
"2007-05-17",67.1,67.49,66.76,67.24,781000,59.31
"2007-05-18",67.37,67.89,67.1,67.53,964100,59.57
"2007-05-21",67.25,67.62,66.96,67.4,1373300,59.45
"2007-05-22",67.39,68.02,67.26,67.51,1282100,59.55
"2007-05-23",67.72,68.32,67.35,67.4,1014800,59.45
"2007-05-24",67.4,68.48,66.46,66.69,1424500,58.83
"2007-05-25",66.83,67.25,66.62,66.9,750200,59.01
"2007-05-29",67.1,67.79,67,67.26,787300,59.33
"2007-05-30",66.66,67.64,66.43,67.64,1158900,59.66
"2007-05-31",67.3,67.99,67.26,67.64,1196900,59.66
"2007-06-01",67.75,67.85,67.11,67.31,995600,59.37
"2007-06-04",67.3,68.5,67.24,68.5,772700,60.42
"2007-06-05",68.39,68.39,67.2,67.51,785100,59.55
"2007-06-06",67.39,67.52,66.19,66.19,827500,58.39
"2007-06-07",66.2,66.42,64.74,64.74,1244700,57.11
"2007-06-08",64.74,66.06,64.61,65.95,933300,58.17
"2007-06-11",65.95,66.13,65.26,65.84,696900,58.08
"2007-06-12",65.59,65.93,64.81,64.82,757800,57.18
"2007-06-13",65.03,65.99,64.83,65.97,834800,58.19
"2007-06-14",65.96,66.59,65.61,66.15,700600,58.35
"2007-06-15",66.52,69.33,66.39,67.67,2911700,59.69
"2007-06-18",68.23,68.76,67.05,67.4,807700,59.45
"2007-06-19",67.73,67.73,66.59,67.46,906200,59.51
"2007-06-20",67.64,68.4,67.35,67.71,1183600,59.73
"2007-06-21",65.9,67.87,65.9,67.38,836400,59.44
"2007-06-22",67.29,68.05,66.38,66.56,1298500,58.71
"2007-06-25",66.5,67.1,65.81,66.1,790000,58.31
"2007-06-26",66.94,67.45,65.95,66.06,1180200,58.27
"2007-06-27",65.96,66.46,65.36,66.24,967300,58.43
"2007-06-28",66.88,68.57,66.01,66.38,761400,58.55
"2007-06-29",66.06,67.74,66.06,66.47,1136500,58.63
"2007-07-02",67.03,67.5,66.65,67.03,815500,59.13
"2007-07-03",67.42,67.99,67.24,67.47,243100,59.51
"2007-07-05",67.24,67.58,66.92,67.34,471400,59.4
"2007-07-06",67.22,68.5,67.13,68.46,563800,60.39
"2007-07-09",68.48,68.58,67.29,67.34,812400,59.4
"2007-07-10",66.85,66.96,65.5,65.53,1001700,57.8
"2007-07-11",65.54,66.51,65.26,66.13,800900,58.33
"2007-07-12",66.73,67.01,66.13,67.01,979300,59.11
"2007-07-13",67.12,67.74,66.9,67.6,668300,59.63
"2007-07-16",67.27,67.43,66.71,66.71,560600,58.84
"2007-07-17",66.61,68.94,66.6,67.69,1167300,59.71
"2007-07-18",67,67.6,65.62,67.01,1790400,59.11
"2007-07-19",67.98,73.96,67.98,72.99,3085700,64.38
"2007-07-20",73.78,73.78,71.21,71.76,1860300,63.3
"2007-07-23",72.46,73.33,71.41,71.57,1004300,63.13
"2007-07-24",70.79,72.99,70.79,71.35,1660200,62.94
"2007-07-25",71.8,72.32,70.85,71.78,1835600,63.32
"2007-07-26",70.8,71,67.61,69.42,3141000,61.24
"2007-07-27",69.15,70.59,68.27,69.03,1941000,60.89
"2007-07-30",68.7,70.95,68.01,70.77,1360000,62.43
"2007-07-31",70.99,72.69,69.58,69.69,1348600,61.47
"2007-08-01",69.36,70.44,68.21,70.31,1417300,62.02
"2007-08-02",70.81,71.26,69.61,70.01,1784400,61.76
"2007-08-03",70.28,70.5,68.86,69.06,1209400,60.92
"2007-08-06",69.3,69.55,68,69.5,1147000,61.31
"2007-08-07",68.95,69.86,67.8,68.57,1427600,60.49
"2007-08-08",68.93,69.78,67.97,69.06,1253600,60.92
"2007-08-09",70.3,70.66,66.03,66.05,2130700,58.26
"2007-08-10",65.62,69.76,63.8,69.14,2067500,60.99
"2007-08-13",68.6,70.34,68.6,69.19,1304500,61.03
"2007-08-14",69.25,69.29,65.4,65.52,1732300,57.79
"2007-08-15",64.99,66.45,64.86,65.28,1517100,57.58
"2007-08-16",65.05,65.05,62.4,64.27,2285700,56.69
"2007-08-17",66.01,69.03,65.38,66.59,1671500,58.74
"2007-08-20",66.59,68.27,66.36,67.83,1195700,59.83
"2007-08-21",67.25,69.08,67.25,68.84,1501700,60.72
"2007-08-22",69.25,70,68.54,69.57,1022400,61.65
"2007-08-23",69.53,70,68.93,69.34,737300,61.45
"2007-08-24",69.26,70.27,69,70.26,556600,62.26
"2007-08-27",70.2,70.95,69.38,69.38,637200,61.48
"2007-08-28",70.15,70.15,67.39,67.41,1224300,59.74
"2007-08-29",67.76,68.54,67.33,68.54,1082500,60.74
"2007-08-30",67.97,68.74,67.83,68.4,867200,60.61
"2007-08-31",68.74,69.81,68.63,69.01,822500,61.15
"2007-09-04",69.08,69.63,68.68,68.82,754800,60.98
"2007-09-05",68.6,69.14,67.61,68.96,1527000,61.11
"2007-09-06",69.21,69.33,68.3,68.74,868100,60.91
"2007-09-07",67.63,67.95,66.26,66.53,1086200,58.96
"2007-09-10",66.7,66.98,65.45,66.14,1081500,58.61
"2007-09-11",66.33,67.5,66.13,66.84,868500,59.23
"2007-09-12",66.31,67.2,66.06,66.35,1187100,58.8
"2007-09-13",67.16,68.4,66.8,67.56,746200,59.87
"2007-09-14",67.55,67.55,66.43,67.02,722600,59.39
"2007-09-17",66.8,67.02,65.16,66.21,845100,58.67
"2007-09-18",66.5,69.07,66.01,69,1038700,61.14
"2007-09-19",69.5,70.2,68.32,68.71,923000,60.89
"2007-09-20",68.61,68.61,66.91,67.24,702200,59.58
"2007-09-21",67.5,67.76,65.87,65.87,1460100,58.37
"2007-09-24",65.74,65.74,64.29,64.66,1329100,57.3
"2007-09-25",63.97,64.87,62.76,64.72,1708800,57.35
"2007-09-26",64.87,66.91,64.55,66.91,1697500,59.29
"2007-09-27",67.33,67.85,66.76,67.38,982200,59.71
"2007-09-28",67.06,67.25,65.44,65.71,1021800,58.23
"2007-10-01",65.71,66.57,65.33,66.21,727800,58.67
"2007-10-02",65.6,65.72,64.2,64.44,1744300,57.1
"2007-10-03",64.27,65.08,64,64.47,1135900,57.13
"2007-10-04",64.52,66.73,64.52,65.67,1121500,58.19
"2007-10-05",65.83,66.52,65.31,66.13,719700,58.6
"2007-10-08",66.51,66.61,65.75,66.4,667800,58.84
"2007-10-09",66.7,66.7,65.5,66.15,560100,58.62
"2007-10-10",66.31,66.36,65.48,65.92,723100,58.42
"2007-10-11",66.2,67.6,64.8,65.01,1031000,57.61
"2007-10-12",65.2,65.55,64.42,65.07,661000,57.66
"2007-10-15",65.8,65.81,62.78,63.06,1294200,55.88
"2007-10-16",63,63.69,62.72,63.23,942500,56.03
"2007-10-17",63.5,63.95,61.93,62.59,1090100,55.46
"2007-10-18",62.5,63.46,62,62.66,1074200,55.53
"2007-10-19",62.36,64.88,62,63.34,2161100,56.13
"2007-10-22",62.71,65.47,62.39,65.41,1900200,57.96
"2007-10-23",67.42,68.03,64.49,66.3,2778600,58.75
"2007-10-24",66.58,67.59,64.42,66.86,2215800,59.25
"2007-10-25",67,67.25,64.78,64.98,2245900,57.58
"2007-10-26",65.19,65.53,63.88,64.09,1577100,56.79
"2007-10-29",64.59,65.48,63.7,63.99,1618900,56.7
"2007-10-30",63.73,64.32,63.43,63.48,1288100,56.25
"2007-10-31",63.5,64.12,63.12,63.92,1687600,56.64
"2007-11-01",63.23,63.92,62.18,62.68,1472800,55.54
"2007-11-02",63.22,63.28,61.2,61.3,1914600,54.32
"2007-11-05",62.17,63.7,58.53,60.15,2861400,53.3
"2007-11-06",60.2,60.25,59.02,60,2366800,53.17
"2007-11-07",59.98,60.67,59.56,59.58,2736200,52.8
"2007-11-08",59.27,62.61,59.27,62.26,2513600,55.17
"2007-11-09",62.04,62.96,60.74,61.84,1841000,54.8
"2007-11-12",62.2,62.54,60.5,60.74,1256700,53.82
"2007-11-13",60.6,63.1,60.6,62.99,1586100,55.82
"2007-11-14",63.62,63.62,62.4,62.91,1154000,56.03
"2007-11-15",63.07,63.36,61.68,61.97,828500,55.19
"2007-11-16",62.38,62.58,60.85,61.61,1418800,54.87
"2007-11-19",60.75,61.12,59.3,59.79,1776800,53.25
"2007-11-20",59.84,60.97,59.05,60.14,1489800,53.56
"2007-11-21",59.29,60.6,59.03,60,1216900,53.44
"2007-11-23",60.85,61.1,59.66,60.62,523100,53.99
"2007-11-26",60.33,60.89,59.3,59.3,1428400,52.81
"2007-11-27",59.24,60.17,58.63,59.39,1369100,52.89
"2007-11-28",59.47,62.39,59.46,62.17,1883800,55.37
"2007-11-29",62.2,62.66,61.4,61.65,976400,54.91
"2007-11-30",62.5,63.16,62.26,62.83,1215600,55.96
"2007-12-03",63.1,63.1,61.9,62.06,695600,55.27
"2007-12-04",61.44,61.89,59.54,59.77,1572200,53.23
"2007-12-05",60.08,61.07,59.95,60.98,1059500,54.31
"2007-12-06",61.23,62.97,60.42,62.82,973800,55.95
"2007-12-07",62.44,62.85,61.81,62.23,926300,55.42
"2007-12-10",61.79,63.85,61.79,63.85,764800,56.87
"2007-12-11",63.42,64.6,59.96,60.11,1496700,53.53
"2007-12-12",61.69,62.42,60.31,60.96,906400,54.29
"2007-12-13",60.8,61,59.59,60.81,1028900,54.16
"2007-12-14",59.99,60.65,59.75,59.79,1160800,53.25
"2007-12-17",59.68,60.13,58.82,59.19,2219300,52.71
"2007-12-18",59.29,59.85,58.54,59.06,2100400,52.6
"2007-12-19",59.26,59.48,56.75,58.96,1808700,52.51
"2007-12-20",59.03,59.64,57.94,58.83,1032800,52.39
"2007-12-21",59.2,59.5,58.2,58.69,1312600,52.27
"2007-12-24",58.9,59.6,58.65,59.09,278400,52.63
"2007-12-26",59.18,59.37,58.25,58.7,493400,52.28
"2007-12-27",58.11,58.71,57.8,57.93,545900,51.59
"2007-12-28",58.3,59.09,57.57,57.65,746500,51.34
"2007-12-31",57.55,58.39,57.55,58.04,394500,51.69
"2008-01-02",57.59,58.19,56.14,56.55,1194200,50.36
"2008-01-03",56.79,57.91,56.4,56.52,990200,50.34
"2008-01-04",56.1,56.1,54.03,54.08,1394000,48.16
"2008-01-07",54.8,55.91,54.55,55.51,1185200,49.44
"2008-01-08",55.85,56.1,53.89,53.99,1128200,48.08
"2008-01-09",54.1,56.7,53.38,56.51,2505400,50.33
"2008-01-10",55.97,57.22,55.09,56.72,2118300,50.52
"2008-01-11",56.24,56.87,55.17,55.49,1582600,49.42
"2008-01-14",56.13,56.13,55.06,55.46,1279200,49.39
"2008-01-15",55.27,55.27,53.43,53.47,1522500,47.62
"2008-01-16",53.26,54.54,52.51,53.35,1577400,47.51
"2008-01-17",53.38,54.13,50.77,51.18,2879400,45.58
"2008-01-18",51.96,53.48,51.15,53.25,2543800,47.42
"2008-01-22",51.26,54.5,50.61,53.97,2441400,48.07
"2008-01-23",50.65,59.97,50.65,59.25,4223300,52.77
"2008-01-24",58.59,60.24,56.71,57.31,2610700,51.04
"2008-01-25",57.51,59,55.37,56.11,2456300,49.97
"2008-01-28",56.25,57.88,54.72,57.39,2764100,51.11
"2008-01-29",55.28,57.05,54.15,55.61,3495200,49.53
"2008-01-30",55.7,57.82,55,56.19,1854800,50.04
"2008-01-31",55.63,57.89,55,57.1,2092000,50.85
"2008-02-01",56.81,58.42,56.65,58.21,1588300,51.84
"2008-02-04",58.65,58.65,56.16,56.16,1120400,50.02
"2008-02-05",55.2,56.31,54.2,55.36,2175500,49.3
"2008-02-06",55.46,55.82,54.05,54.18,2284800,48.25
"2008-02-07",53.61,55.96,53.61,55.5,1954200,49.43
"2008-02-08",54.94,55.84,53.96,54.95,1662200,48.94
"2008-02-11",54.84,55.37,53.83,54.96,1124600,48.95
"2008-02-12",55.57,55.69,54.54,54.94,1420500,48.93
"2008-02-13",55.4,55.5,54.41,54.68,1575800,48.7
"2008-02-14",54.26,55,53.53,53.73,2073700,47.85
"2008-02-15",53.69,53.96,52.65,53.83,2717300,47.94
"2008-02-19",54.29,54.65,52.98,53.03,1971800,47.23
"2008-02-20",52.45,53.48,52.45,53.19,2991300,47.37
"2008-02-21",56,56.52,53.97,54.65,3864200,48.67
"2008-02-22",54.74,54.83,53.6,54.6,2755100,48.63
"2008-02-25",54.7,55.66,54.16,55.26,2765400,49.21
"2008-02-26",55.1,55.63,54.58,54.92,1977400,48.91
"2008-02-27",54.43,56,54.2,54.95,1662000,49.25
"2008-02-28",54.46,54.58,52.95,53.21,2275900,47.69
"2008-02-29",52.86,53.17,51.52,51.78,2383800,46.41
"2008-03-03",51.8,52.73,51.2,52.38,1328700,46.95
"2008-03-04",51.95,52.01,50.67,51.14,2342700,45.84
"2008-03-05",51.22,52.35,51.08,51.5,1667300,46.16
"2008-03-06",51.25,51.32,50.56,50.58,1355800,45.34
"2008-03-07",50.34,51.16,49.99,50.13,1661800,44.93
"2008-03-10",50.03,51.39,50,50.47,2157200,45.24
"2008-03-11",51.67,51.86,50.41,51.36,1750100,46.03
"2008-03-12",51.17,52.49,51,51.03,1210100,45.74
"2008-03-13",50.84,52.4,50.29,52.08,1683800,46.68
"2008-03-14",52.22,53.58,51.43,52.28,2101800,46.86
"2008-03-17",51.75,52.27,50.05,51.03,2228200,45.74
"2008-03-18",52.4,54.16,51.77,53.94,2140000,48.35
"2008-03-19",53.91,54.46,52.2,52.28,1691400,46.86
"2008-03-20",52.52,54.3,52.38,53.82,1893700,48.24
"2008-03-24",50.43,53.76,50.35,52.87,4224200,47.39
"2008-03-25",53.2,53.2,51.52,52.25,2719200,46.83
"2008-03-26",52.1,52.15,50.48,50.97,2629400,45.69
"2008-03-27",51.43,51.67,50.37,50.68,1813400,45.43
"2008-03-28",50.79,50.83,50.12,50.5,1577300,45.26
"2008-03-31",50.82,51.48,50.48,51.04,1162700,45.75
"2008-04-01",51.51,54.38,51.38,54.37,1781800,48.73
"2008-04-02",54.5,55.96,54.5,55.27,1783500,49.54
"2008-04-03",55.23,55.23,54.43,54.69,2314000,49.02
"2008-04-04",55.04,55.35,54.5,54.76,1540700,49.08
"2008-04-07",55.01,55.49,54.71,54.76,2143400,49.08
"2008-04-08",54.77,55.02,54.3,54.5,2338600,48.85
"2008-04-09",54.67,54.93,54.16,54.19,1889000,48.57
"2008-04-10",53.59,55.79,53.19,55.12,1553900,49.4
"2008-04-11",53.71,54.49,53.71,53.97,1021700,48.37
"2008-04-14",54,54.33,53.28,53.53,1267100,47.98
"2008-04-15",53.49,53.74,52.88,53.48,1286300,47.93
"2008-04-16",54.11,55.71,53.74,55.71,1059700,49.93
"2008-04-17",55.71,55.71,54.4,54.7,1075400,49.03
"2008-04-18",55.08,56.68,55.08,56.16,976100,50.34
"2008-04-21",56.22,56.95,55.24,56.25,1082500,50.42
"2008-04-22",57.25,58.3,55.32,55.92,1909500,50.12
"2008-04-23",56.02,56.02,54.62,54.88,1159300,49.19
"2008-04-24",55.1,55.58,53.97,55.02,1488800,49.32
"2008-04-25",55.37,56.14,54.81,56,672600,50.19
"2008-04-28",55.72,55.84,55,55.41,1057500,49.66
"2008-04-29",55.43,55.68,54.6,55.11,1159600,49.4
"2008-04-30",55.49,56.01,54.79,55.32,1266200,49.58
"2008-05-01",55.5,57.18,55.07,57.18,1733300,51.25
"2008-05-02",58.11,58.42,56.73,57.32,1431300,51.38
"2008-05-05",57.23,57.26,56.13,56.53,1035500,50.67
"2008-05-06",56.37,56.65,55.95,56.37,1689700,50.53
"2008-05-07",56.05,57.52,56.01,56.18,1133100,50.36
"2008-05-08",56.2,56.51,55.48,56.24,1184800,50.41
"2008-05-09",55.56,56.99,55.32,56.57,1267500,50.7
"2008-05-12",56.5,57.35,55.75,57.31,1112500,51.37
"2008-05-13",57.17,57.5,55.99,56.76,935600,50.87
"2008-05-14",57.04,58.44,56.76,58.11,1630200,52.41
"2008-05-15",57.85,60.37,57.85,60.01,1735200,54.12
"2008-05-16",60.15,60.15,59.09,59.6,1347800,53.75
"2008-05-19",59.64,60.25,59.13,59.6,1087500,53.75
"2008-05-20",59.06,59.07,58.2,58.53,1122900,52.79
"2008-05-21",58.41,58.64,57.34,57.52,1007400,51.88
"2008-05-22",57.69,58.55,57.63,58.1,853100,52.4
"2008-05-23",57.53,57.64,55.98,56.11,1571700,50.6
"2008-05-27",56.37,56.49,55.6,55.95,2356800,50.46
"2008-05-28",55.98,56.55,55.91,56.34,1496300,50.81
"2008-05-29",56,56.93,55.94,56.42,1405000,50.88
"2008-05-30",56.51,56.64,56,56.15,796200,50.64
"2008-06-02",56.07,56.28,55.33,55.69,1809200,50.23
"2008-06-03",51.73,55,51.68,54.53,6631600,49.18
"2008-06-04",53.77,54.37,51.85,51.98,5383000,46.88
"2008-06-05",52.06,52.15,51.15,51.81,2674400,46.73
"2008-06-06",51.26,51.57,49.91,50.19,2577300,45.27
"2008-06-09",50.14,50.8,49.73,50.05,2244300,45.14
"2008-06-10",49.7,51.28,49.7,50.78,2085200,45.8
"2008-06-11",50.7,50.71,47.94,48.26,2972200,43.52
"2008-06-12",48.81,50.24,48.76,49.48,3166500,44.62
"2008-06-13",50.05,50.41,49.13,50.41,1670300,45.46
"2008-06-16",50,50.63,49.79,49.9,1288500,45
"2008-06-17",50.18,50.57,49.53,49.6,1180400,44.73
"2008-06-18",49.48,49.66,48.86,49.48,1809600,44.62
"2008-06-19",49.21,50.37,49.15,50.19,2042400,45.27
"2008-06-20",50.18,50.22,49.6,49.91,2609900,45.01
"2008-06-23",50.38,50.54,49.87,50.13,2230700,45.21
"2008-06-24",49.79,50.55,49.08,49.86,3485700,44.97
"2008-06-25",49.75,50.17,48.32,48.65,4256900,43.88
"2008-06-26",47.82,47.88,46.66,46.74,3627200,42.15
"2008-06-27",47.06,47.41,46.38,46.87,2080000,42.27
"2008-06-30",46.63,46.85,45.89,45.93,1869900,41.42
"2008-07-01",48.29,49.08,45.82,48.86,6209500,44.07
"2008-07-02",48.69,48.94,46.47,46.7,3191900,42.12
"2008-07-03",47.11,48.02,46.74,47.53,1382200,42.87
"2008-07-07",47.51,48.84,47.17,47.61,2223900,42.94
"2008-07-08",47.61,49.17,46.86,49.15,2443600,44.33
"2008-07-09",49.37,49.37,47.65,47.86,1943600,43.16
"2008-07-10",48.41,49.49,47.25,47.99,2501900,43.28
"2008-07-11",47.53,48.01,45.79,47.19,2753900,42.56
"2008-07-14",47.6,47.95,45.05,45.06,3156900,40.64
"2008-07-15",44.8,47.58,44.51,46.45,2981200,41.89
"2008-07-16",46.24,48.21,45.91,47.95,2335500,43.25
"2008-07-17",49.51,54.12,49.51,53.86,4812900,48.58
"2008-07-18",53.61,54.64,52.88,54.12,1867300,48.81
"2008-07-21",52.45,52.45,50.04,50.45,4285400,45.5
"2008-07-22",50.36,53.04,50.3,52.82,2913700,47.64
"2008-07-23",52.28,55.13,52.23,54.45,2963000,49.11
"2008-07-24",54.18,54.58,51.8,51.9,1641300,46.81
"2008-07-25",52.74,54.39,52.3,52.95,1484700,47.75
"2008-07-28",53.01,53.43,51.9,52.01,753200,46.91
"2008-07-29",52.27,54.35,49.88,53.93,1405700,48.64
"2008-07-30",54.16,55.09,53.67,54.81,1733500,49.43
"2008-07-31",54.14,55.02,53.01,53.25,1438300,48.02
"2008-08-01",53.6,53.68,51.85,52.36,1572800,47.22
"2008-08-04",52.01,53.14,51.66,52.71,1065500,47.54
"2008-08-05",53.48,54.89,52.91,54.89,1113900,49.5
"2008-08-06",54.51,54.69,53.57,54.48,825500,49.13
"2008-08-07",53.92,55.07,53.31,53.84,1282400,48.56
"2008-08-08",54.03,57.73,53.96,57.45,2235600,51.81
"2008-08-11",57.03,60.33,56.93,59.8,3328800,53.93
"2008-08-12",59.25,60.48,58.57,58.85,3323400,53.08
"2008-08-13",58.65,59,57.68,58.22,1463400,52.51
"2008-08-14",57.81,59.35,57.68,58.8,1455100,53.03
"2008-08-15",58.79,59.79,58.69,59.59,1213300,53.74
"2008-08-18",59.43,60,58.05,58.5,1324200,52.76
"2008-08-19",58.07,58.08,56.93,57.49,1538500,51.85
"2008-08-20",57.02,57.61,55.78,56.76,1633900,51.5
"2008-08-21",55.9,57.66,54.38,57.56,1205100,52.23
"2008-08-22",58.43,59.02,57.34,58.33,996100,52.93
"2008-08-25",56.9,58.26,56.71,57.31,947600,52
"2008-08-26",57.26,57.98,56.4,57.87,1602900,52.51
"2008-08-27",56.73,58.71,56.73,57.79,843000,52.44
"2008-08-28",58.43,59.55,58.18,59.27,858600,53.78
"2008-08-29",58.87,59.7,58.49,58.55,883300,53.13
"2008-09-02",59.97,61.51,58.7,60.77,1908000,55.14
"2008-09-03",60.85,62.19,60.33,61.91,1460100,56.18
"2008-09-04",61.09,61.56,59.01,59.37,1897300,53.87
"2008-09-05",59.1,60.3,57.98,60.21,1192600,54.63
"2008-09-08",61.01,62.48,60.92,61.89,1883800,56.16
"2008-09-09",61.87,63.65,59.45,59.97,2568500,54.42
"2008-09-10",60.28,60.66,58.77,59.56,1865000,54.04
"2008-09-11",59.01,61.95,58.32,61.71,1665700,56
"2008-09-12",60.99,62.2,60.32,61.76,1452300,56.04
"2008-09-15",59.08,63.79,59.07,61.85,4161300,56.12
"2008-09-16",60.68,62.24,59.25,62.09,2358300,56.34
"2008-09-17",60.36,61.76,59.22,59.31,3130800,53.82
"2008-09-18",59.69,61.85,56.08,61.37,2712800,55.69
"2008-09-19",62.01,65,60.84,63.36,2934600,57.49
"2008-09-22",63.24,63.24,59.4,59.92,1586900,54.37
"2008-09-23",60.45,60.99,57.96,60,1108800,54.44
"2008-09-24",60.01,60.17,58.15,59.32,1694700,53.83
"2008-09-25",59.72,61.5,59.29,60.64,1207600,55.02
"2008-09-26",60.56,61.76,59.8,61.72,2245200,56
"2008-09-29",60.41,60.62,55.94,57.09,2516500,51.8
"2008-09-30",57.6,58.71,56.53,57.16,1501900,51.87
"2008-10-01",56.25,58.77,55.69,57.63,2047100,52.29
"2008-10-02",57.48,58,53.83,54.46,2633700,49.42
