"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2007-03-28",44.99,45.27,44.25,44.41,1179000,44.41
"2007-03-29",44.3,44.56,43.89,44.36,1398400,44.36
"2007-03-30",44.54,45.51,43.82,43.9,1663000,43.9
"2007-04-02",43.85,44.22,43.31,43.63,1765800,43.63
"2007-04-03",43.62,44.39,43.62,44.32,1560800,44.32
"2007-04-04",44.42,44.71,43.65,44.13,1069000,44.13
"2007-04-05",44.23,44.59,44.16,44.39,1250100,44.39
"2007-04-09",44.35,44.71,43.24,43.25,1245800,43.25
"2007-04-10",43.2,43.67,42.87,42.92,2177400,42.92
"2007-04-11",43,43.13,42.59,43.05,1790300,43.05
"2007-04-12",43.17,43.55,42.8,43.51,877000,43.51
"2007-04-13",43.35,43.94,43.35,43.82,1364200,43.82
"2007-04-16",44.5,47.78,44.44,47.51,4275900,47.51
"2007-04-17",47.28,47.31,46.63,46.98,1365400,46.98
"2007-04-18",46.68,47.23,46.32,46.65,1428600,46.65
"2007-04-19",46.57,48.06,46.24,47.63,2864800,47.63
"2007-04-20",48.38,48.81,47.47,48.66,2584800,48.66
"2007-04-23",48.81,48.89,47.81,48.7,1711400,48.7
"2007-04-24",48.79,48.79,48.49,48.59,1284800,48.59
"2007-04-25",48.57,49.09,48.51,48.66,2832000,48.66
"2007-04-26",47.89,49,47.85,48.78,2123500,48.78
"2007-04-27",48.77,48.9,48.14,48.53,1541200,48.53
"2007-04-30",48.63,48.98,47.15,47.3,1523600,47.3
"2007-05-01",47.65,48.05,47.41,47.8,2254800,47.8
"2007-05-02",47.82,48.06,47.38,47.65,1275200,47.65
"2007-05-03",47.76,47.76,46.55,46.9,1387300,46.9
"2007-05-04",47.28,48.04,46.56,46.65,1962900,46.65
"2007-05-07",46.9,47.37,46.56,46.83,1330300,46.83
"2007-05-08",46.88,46.88,46.21,46.84,1500800,46.84
"2007-05-09",47.01,48.83,46.49,48.25,2240300,48.25
"2007-05-10",48.06,48.06,47.2,47.32,1061900,47.32
"2007-05-11",47.69,47.75,47.1,47.41,627500,47.41
"2007-05-14",48.83,49.57,47.69,47.98,1615500,47.98
"2007-05-15",47.86,49.68,47.86,48.28,1975200,48.28
"2007-05-16",48.2,49.4,47.61,49.19,2269600,49.19
"2007-05-17",48.97,49.67,48.83,49.06,2169500,49.06
"2007-05-18",49.05,49.2,48.7,49.14,2165700,49.14
"2007-05-21",49,49.23,48.42,48.99,1752700,48.99
"2007-05-22",49.17,49.75,47.65,48.91,2841000,48.91
"2007-05-23",49.05,49.25,48.54,49.22,1929900,49.22
"2007-05-24",49.25,49.27,48.46,48.84,3594500,48.84
"2007-05-25",49,49.06,48.37,48.47,2552200,48.47
"2007-05-29",48.31,48.43,47.94,48.28,1441000,48.28
"2007-05-30",48.12,48.23,47.31,48.2,1884000,48.2
"2007-05-31",48.08,48.44,47.61,47.97,2615800,47.97
"2007-06-01",48.2,48.8,47.73,48.08,1629500,48.08
"2007-06-04",47.56,47.84,46.95,47.44,2274400,47.44
"2007-06-05",47.12,47.74,46.7,47.6,3097100,47.6
"2007-06-06",47.54,47.59,46.84,47.41,3323600,47.41
"2007-06-07",47.03,47.7,47,47.23,2230200,47.23
"2007-06-08",46.81,48.24,46.71,48.13,1499100,48.13
"2007-06-11",48.13,49.03,48.05,48.68,1908000,48.68
"2007-06-12",48.44,48.59,47.47,47.47,1814300,47.47
"2007-06-13",47.61,48.71,47.26,48.48,2270100,48.48
"2007-06-14",48.49,49.05,48.36,48.93,1429000,48.93
"2007-06-15",49.35,49.35,48.75,49.1,2082900,49.1
"2007-06-18",49,49.14,48.33,48.37,1362200,48.37
"2007-06-19",48.24,48.33,47.69,48.03,2067300,48.03
"2007-06-20",48.15,48.49,48.03,48.13,1200200,48.13
"2007-06-21",48.26,49.58,48.03,49.54,1933500,49.54
"2007-06-22",49.49,49.62,48.99,49.03,1881200,49.03
"2007-06-25",49.03,50.43,48.89,49.97,2878300,49.97
"2007-06-26",50.06,51.73,49.98,51.46,3842000,51.46
"2007-06-27",51.5,51.95,50.28,50.47,2994800,50.47
"2007-06-28",50.77,51.38,50.28,50.78,2253500,50.78
"2007-06-29",54.87,58.45,54.66,58.43,12705800,58.43
"2007-07-02",58.4,58.61,57.73,58.1,4494100,58.1
"2007-07-03",58.21,58.71,57.95,58.03,2983700,58.03
"2007-07-05",57.98,58.72,57.8,58.5,6807500,58.5
"2007-07-06",58.38,60.65,58.35,60.6,5135800,60.6
"2007-07-09",60.81,61.12,60.17,60.82,4606100,60.82
"2007-07-10",60.98,61.49,60.65,60.82,3244500,60.82
"2007-07-11",60.95,61.44,60.74,61.32,2849400,61.32
"2007-07-12",61.44,62.67,61.23,62.67,1619200,62.67
"2007-07-13",62.45,63.04,62.24,62.78,2133300,62.78
"2007-07-16",62.86,62.95,62.45,62.5,1761100,62.5
"2007-07-17",62.39,63,62.31,62.42,2096500,62.42
"2007-07-18",62.36,63.09,61.99,63,2864800,63
"2007-07-19",63.1,63.4,62.52,62.82,3753300,62.82
"2007-07-20",63.02,64.75,62.82,63.58,3350200,63.58
"2007-07-23",63.74,64.23,63.37,64.01,3657300,64.01
"2007-07-24",65.21,65.5,63.41,63.63,4670400,63.63
"2007-07-25",63.64,64.01,62.51,63.21,3550900,63.21
"2007-07-26",62.66,64.35,62.51,63.37,4987300,63.37
"2007-07-27",63.48,63.48,60.72,60.75,4385200,60.75
"2007-07-30",60.47,61.4,60.32,60.97,4819100,60.97
"2007-07-31",61.73,61.8,59.07,59.11,4520500,59.11
"2007-08-01",59.07,59.59,57.41,58.23,3168400,58.23
"2007-08-02",58.46,60,58.27,59.01,1869700,59.01
"2007-08-03",59.11,60.28,58.5,58.5,2520900,58.5
"2007-08-06",59.37,61.5,59.04,61.12,3892100,61.12
"2007-08-07",61,63.25,60.66,62.88,2454200,62.88
"2007-08-08",63.55,63.93,57.89,60.81,3208800,60.81
"2007-08-09",60.51,60.81,54.1,58.25,5004700,58.25
"2007-08-10",58.21,59.5,56.6,57.43,2086600,57.43
"2007-08-13",57.57,58.48,56.6,57.96,1670100,57.96
"2007-08-14",58,58.07,56.81,57.42,1203000,57.42
"2007-08-15",57.38,58.15,56.26,56.35,1442200,56.35
"2007-08-16",55.67,56.52,54.01,55.39,2041600,55.39
"2007-08-17",55.81,56.74,53.5,55.78,1788900,55.78
"2007-08-20",55.78,56.25,54.39,55.26,1650000,55.26
"2007-08-21",55.26,55.88,54.62,55.65,1352600,55.65
"2007-08-22",56.23,58.06,55.5,57.73,1764100,57.73
"2007-08-23",57.7,58.11,56.65,57.75,1606400,57.75
"2007-08-24",59.44,59.88,58.14,59.02,3331300,59.02
"2007-08-27",58.49,58.99,58,58.28,1346100,58.28
"2007-08-28",57.71,58.65,57.3,57.33,964800,57.33
"2007-08-29",57.56,59.11,56.8,58.87,1280400,58.87
"2007-08-30",58.66,59.08,57.65,58.51,1048900,58.51
"2007-08-31",59.3,59.88,57.84,58.67,1186600,58.67
"2007-09-04",58.46,59.24,58.12,59,1623100,59
"2007-09-05",58.81,58.96,58.21,58.92,1761200,58.92
"2007-09-06",59.56,59.75,58.65,58.81,1361000,58.81
"2007-09-07",58.18,59.69,58,58.88,1593100,58.88
"2007-09-10",59.34,61.03,59.14,59.56,1685800,59.56
"2007-09-11",59.74,60.24,58.5,59.1,1481900,59.1
"2007-09-12",58.86,59.49,56.92,57.07,1985500,57.07
"2007-09-13",57.53,57.53,55.6,55.87,1767500,55.87
"2007-09-14",55.83,56.01,55.05,55.1,1780600,55.1
"2007-09-17",55.05,55.11,53.71,53.82,1752500,53.82
"2007-09-18",54.71,56.99,54.39,56.86,2858200,56.86
"2007-09-19",56.6,58.39,56.58,57.54,2433900,57.54
"2007-09-20",57.25,57.36,56.52,57.11,1192700,57.11
"2007-09-21",57.82,59.1,57.02,58.72,2946100,58.72
"2007-09-24",58.5,59.25,57.7,58.92,2310400,58.92
"2007-09-25",58.83,60.38,58.62,60.38,2253600,60.38
"2007-09-26",60.4,60.95,59.83,60.93,1461200,60.93
"2007-09-27",61,61.39,60.36,60.81,1788700,60.81
"2007-09-28",60.95,60.99,59.87,60.15,1433700,60.15
"2007-10-01",60.5,60.95,60.03,60.84,2196300,60.84
"2007-10-02",60.98,61.41,60.16,61.34,991000,61.34
"2007-10-03",61.23,61.37,60.29,60.73,1295400,60.73
"2007-10-04",60.66,62.24,60.22,62.16,1509500,62.16
"2007-10-05",62.2,64.4,62,63.67,2684000,63.67
"2007-10-08",63.34,63.59,62.17,62.32,1524500,62.32
"2007-10-09",62.28,63.61,61.51,63.25,2005700,63.25
"2007-10-10",63.12,63.47,61.85,63.42,2033500,63.42
"2007-10-11",62.94,66,62.91,64.38,2941500,64.38
"2007-10-12",64.9,66.22,63.99,66.13,1601000,66.13
"2007-10-15",65.79,66.16,64.63,65.7,1579000,65.7
"2007-10-16",65.64,67.32,65.55,66.79,2441800,66.79
"2007-10-17",67.5,67.82,64.25,65.48,2793600,65.48
"2007-10-18",65.39,68.1,65.11,67.93,2599000,67.93
"2007-10-19",67.41,67.92,64.89,65.2,2813000,65.2
"2007-10-22",65.13,66.1,63.72,65.93,2352900,65.93
"2007-10-23",69.5,73.41,69.45,72.45,5341600,72.45
"2007-10-24",71.99,75.12,71.5,74,3661100,74
"2007-10-25",74.78,77.46,73.12,76.38,3988700,76.38
"2007-10-26",76.83,77.33,73.9,75.22,3333800,75.22
"2007-10-29",74.69,75.63,73.84,74.65,2121700,74.65
"2007-10-30",74.97,76,74.14,75.53,1600100,75.53
"2007-10-31",75.29,79.34,75.25,79.26,2947300,79.26
"2007-11-01",77.47,79.6,77.38,79.03,2531800,79.03
"2007-11-02",79.23,80.49,78.34,80.25,2744200,80.25
"2007-11-05",79.92,80.25,77.83,78,3142200,78
"2007-11-06",78.23,80.45,77.51,80.38,1996500,80.38
"2007-11-07",78.5,79.59,77.82,77.96,1725300,77.96
"2007-11-08",77.8,80.75,77.51,80.33,3676300,80.33
"2007-11-09",78.96,79.69,76.83,77.02,2433400,77.02
"2007-11-12",76.73,77,71.2,71.23,3581700,71.23
"2007-11-13",71.27,72.97,70.04,72.64,2497800,72.64
"2007-11-14",72.69,73.73,71.47,72.46,2049300,72.46
"2007-11-15",71.96,74.1,71.91,73.42,2110400,73.42
