"","PCP.Open","PCP.High","PCP.Low","PCP.Close","PCP.Volume","PCP.Adjusted"
"2007-01-03",77.51,81.82,77.51,81.4,1768000,80.82
"2007-01-04",81.48,82.13,80.71,81.59,1342400,81.01
"2007-01-05",81.59,81.59,80.19,81.23,1064700,80.66
"2007-01-08",82.84,83.21,81.7,82.9,1297700,82.31
"2007-01-09",82.96,83,81,81.8,8e+05,81.22
"2007-01-10",81.55,83.25,80.75,83.01,766500,82.42
"2007-01-11",83.16,83.5,81.45,81.79,1110100,81.21
"2007-01-12",81.75,81.91,80.71,81.12,1233800,80.55
"2007-01-16",82.48,83.46,82.15,82.5,1212400,81.92
"2007-01-17",82.5,83.23,81.92,82.26,760500,81.68
"2007-01-18",82.45,82.45,80,81.02,916700,80.45
"2007-01-19",80.75,81.01,79.02,81.01,1476500,80.44
"2007-01-22",81.5,81.57,80.03,80.5,891000,79.93
"2007-01-23",83.24,87.14,83.24,85.45,2553200,84.85
"2007-01-24",85.75,86.67,84.26,86.61,1286900,86
"2007-01-25",86.61,86.9,85.14,85.48,741600,84.88
"2007-01-26",85.53,86.06,84.14,85.97,872500,85.36
"2007-01-29",85.97,87.39,85.79,87.05,1033100,86.43
"2007-01-30",87.8,90.01,87.5,89.14,1549800,88.51
"2007-01-31",89.16,89.47,88.18,88.89,995800,88.26
"2007-02-01",90.11,91.18,89.73,91.1,1239200,90.46
"2007-02-02",91.37,91.37,89.25,89.66,1236700,89.03
"2007-02-05",90.64,90.65,89.42,89.83,1034500,89.19
"2007-02-06",90,90.84,89.57,90.83,598000,90.19
"2007-02-07",91,92.51,90.99,92.37,1021300,91.72
"2007-02-08",92.01,92.28,91.31,91.77,779800,91.12
"2007-02-09",92.4,92.43,90.74,91.26,903800,90.61
"2007-02-12",91.5,91.7,89.79,90.49,729500,89.85
"2007-02-13",90.82,92.31,90.82,92.25,719000,91.6
"2007-02-14",92.3,94.43,92.3,94.43,1091800,93.76
"2007-02-15",95.31,95.31,92.99,93.72,708600,93.06
"2007-02-16",93.73,94.84,92.39,94.74,635200,94.07
"2007-02-20",94.75,97.67,94.68,97.3,1403800,96.61
"2007-02-21",97.2,97.5,96,97.31,969500,96.62
"2007-02-22",97.51,98.86,96.56,97.47,989800,96.78
"2007-02-23",97.22,98.22,97.22,98.21,647200,97.52
"2007-02-26",98.55,98.73,94.49,94.72,1252800,94.05
"2007-02-27",92.25,92.25,80.02,90.31,3905100,89.67
"2007-02-28",90.72,92.05,90.11,90.87,1443100,90.23
"2007-03-01",90.49,91.94,87.12,91.27,1383500,90.62
"2007-03-02",91.29,92.65,90.36,90.6,1055900,89.96
"2007-03-05",89.6,91.34,88.75,90.07,963800,89.43
"2007-03-06",90.48,92.75,90.25,92.21,720900,91.56
"2007-03-07",92.18,94.02,91.14,93.58,1064100,92.95
"2007-03-08",94.85,96.62,94.15,95.25,1181600,94.61
"2007-03-09",96.45,97.58,95.95,96.7,855800,96.05
"2007-03-12",97.52,97.82,96.82,97.67,1236500,97.01
"2007-03-13",97.67,97.75,96.5,97.05,1367500,96.39
"2007-03-14",97.3,98.66,95.56,98.17,1423900,97.51
"2007-03-15",98.21,100.33,98.2,99.97,1395600,99.29
"2007-03-16",100.25,101.69,99.75,99.84,1171900,99.17
"2007-03-19",101,101.69,99.54,101.2,797800,100.52
"2007-03-20",101.4,102.03,100.18,102.03,771100,101.34
"2007-03-21",101.95,103.99,100.7,103.84,1123600,103.14
"2007-03-22",103.84,104.31,102.82,103.82,892100,103.12
"2007-03-23",103.93,104.67,103.51,103.76,692200,103.06
"2007-03-26",103.9,104.37,102.01,103.83,871500,103.13
"2007-03-27",103.35,104.89,102.52,104.8,984400,104.09
"2007-03-28",104.02,104.49,103.32,103.88,1187400,103.18
"2007-03-29",103.88,104.58,103.2,104.23,1047100,103.53
"2007-03-30",104.5,105.8,103.49,104.05,788400,103.35
"2007-04-02",103.1,104.19,102.6,103.87,1113400,103.17
"2007-04-03",104.26,106.97,104.26,105.69,930100,104.98
"2007-04-04",104,107.66,104,107.15,685200,106.43
"2007-04-05",106.9,107.2,105.56,106.91,543200,106.19
"2007-04-09",107.46,107.64,105.51,106.29,834400,105.57
"2007-04-10",106.59,107.1,106.06,106.57,528000,105.85
"2007-04-11",106.76,107.25,104.08,104.99,844300,104.28
"2007-04-12",104.8,105.13,103.76,104.75,785900,104.04
"2007-04-13",105.02,105.44,101.32,102.69,1521400,102
"2007-04-16",103.3,104.45,102.59,102.75,1462600,102.06
"2007-04-17",103.06,103.45,101.59,102.45,1213400,101.76
"2007-04-18",102.25,103.26,101.57,102.91,778100,102.22
"2007-04-19",102.85,102.85,100.29,101.02,1182500,100.34
"2007-04-20",101.89,103.77,101.3,102.08,966800,101.39
"2007-04-23",102.58,104.48,102.2,103.86,634700,103.16
"2007-04-24",104.21,105.5,103.9,105.08,940400,104.37
"2007-04-25",105.21,106,103.83,104.57,688100,103.86
"2007-04-26",104.75,105.5,103.65,104.8,541400,104.09
"2007-04-27",105.3,106.42,104.25,105.38,702000,104.67
"2007-04-30",105.9,106.95,103.84,104.11,661800,103.41
"2007-05-01",103.98,105,103.12,104,673600,103.3
"2007-05-02",104.26,107.5,104.02,107.01,805400,106.29
"2007-05-03",107.62,108.9,106.89,107.77,951600,107.04
"2007-05-04",107.77,108.41,107,108.1,625300,107.37
"2007-05-07",108.58,110.15,108.58,109.27,770600,108.53
"2007-05-08",108,111.23,107.08,111,1357800,110.25
"2007-05-09",114.5,114.74,108.66,110.41,2006000,109.66
"2007-05-10",108.71,111.37,108.02,108.46,1411400,107.73
"2007-05-11",109.22,110.91,108.96,110.91,839500,110.16
"2007-05-14",109.99,111.28,109.41,111.13,1002100,110.38
"2007-05-15",111.36,114.72,110.7,112.81,1444400,112.05
"2007-05-16",113.4,115.58,113.18,115.04,1422800,114.26
"2007-05-17",114.34,114.41,113.26,113.98,952800,113.21
"2007-05-18",114.59,114.92,113.66,114.3,1042500,113.53
"2007-05-21",114.72,116.85,114.54,116.43,1433600,115.64
"2007-05-22",116,116.35,114.46,115.42,1165400,114.64
"2007-05-23",115.71,117.19,115.62,116.57,1113600,115.78
"2007-05-24",117.55,118.89,114.71,114.99,1488300,114.21
"2007-05-25",114,116.49,112.17,114.93,1418100,114.15
"2007-05-29",115.75,117.53,114.5,115.7,1350100,114.92
"2007-05-30",115.35,116.26,114.16,116.26,1300500,115.47
"2007-05-31",118,120.42,117.42,119.56,17093900,118.75
"2007-06-01",121,122.29,116.91,117.45,3398800,116.66
"2007-06-04",117.44,119.32,117.44,118.06,2000200,117.26
"2007-06-05",118.09,120.1,118.09,120.1,1587400,119.29
"2007-06-06",120.05,120.2,117.52,119.53,1603400,118.75
"2007-06-07",120.14,120.14,115.68,115.78,1490900,115.03
"2007-06-08",115.13,116.74,113.18,116.74,1701700,115.98
"2007-06-11",117.09,118.02,115.63,117.24,988300,116.48
"2007-06-12",117.24,117.54,115.25,115.53,1111800,114.78
"2007-06-13",116.3,117.85,115.56,117.76,1372100,116.99
"2007-06-14",117.76,119.56,117.14,119.5,1072500,118.72
"2007-06-15",120.04,120.62,119.04,119.51,1423000,118.73
"2007-06-18",119.44,120.79,118.11,118.49,1056900,117.72
"2007-06-19",119.23,120.22,118.93,120.11,1448200,119.33
"2007-06-20",120.21,120.89,118.5,118.51,874600,117.74
"2007-06-21",118.01,120.21,117.5,119.6,1492300,118.82
"2007-06-22",119.64,120.21,117.47,118.1,1161200,117.33
"2007-06-25",118.11,119.36,117.12,118.35,1353900,117.58
"2007-06-26",118.72,119.67,117.33,117.48,1290500,116.72
"2007-06-27",117.49,117.84,115.51,116.92,1954200,116.16
"2007-06-28",117.32,118.4,116.44,118.03,1600500,117.26
"2007-06-29",118.99,122.18,118.81,121.36,1445500,120.57
"2007-07-02",124,125.63,122.93,125.5,1566300,124.68
"2007-07-03",125.94,126.77,124.42,124.63,733000,123.82
"2007-07-05",125.88,127.03,124.52,126.93,926200,126.1
"2007-07-06",127.1,128.21,126.64,127.82,722800,126.99
"2007-07-09",129.29,129.34,127.53,128.31,735000,127.48
"2007-07-10",128.1,128.7,126.15,126.34,870100,125.52
"2007-07-11",127,128.38,125.4,128.32,826700,127.49
"2007-07-12",129.1,131.65,128.32,131.65,1181200,130.79
"2007-07-13",132.08,132.6,130.6,131.76,566700,130.9
"2007-07-16",131.27,132.86,131.04,132.44,878300,131.58
"2007-07-17",132.1,134,131.48,133.41,1049100,132.54
"2007-07-18",133.4,134.47,132.16,133.47,755600,132.6
"2007-07-19",134.5,139.66,134.25,138.42,1418400,137.52
"2007-07-20",138.51,138.7,131.8,133.8,1907900,132.93
"2007-07-23",133.8,136.17,132.84,135.35,1242300,134.47
"2007-07-24",141.49,141.5,130.48,132,2325800,131.14
"2007-07-25",134.88,137.89,132.77,136.07,2198500,135.18
"2007-07-26",136.07,136.55,131.35,132.67,1791600,131.81
"2007-07-27",133.07,135.24,131.55,132,1299700,131.14
"2007-07-30",132.8,136.2,132,136.03,1365200,135.15
"2007-07-31",138,140.23,136.79,137.06,1834100,136.17
"2007-08-01",137.08,138.15,132.67,136.42,2000400,135.53
"2007-08-02",134.73,141.56,134.73,140.75,1836200,139.83
"2007-08-03",141.65,144.16,137.7,137.7,1907200,136.8
"2007-08-06",137.6,139.11,134.5,138.04,1671000,137.14
"2007-08-07",139.76,139.9,135.25,138.65,1750400,137.75
"2007-08-08",138.7,144.89,138.68,143.66,1904000,142.73
"2007-08-09",139.59,144,135,137.11,1933000,136.22
