"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2007-01-03",86.29,86.58,81.9,83.8,44225700,80.54
"2007-01-04",84.05,85.95,83.82,85.66,30259300,82.33
"2007-01-05",85.77,86.2,84.4,85.05,29812200,81.75
"2007-01-08",85.96,86.53,85.28,85.47,28468100,82.15
"2007-01-09",86.45,92.98,85.15,92.57,119617800,88.97
"2007-01-10",94.75,97.8,93.45,97,105460000,93.23
"2007-01-11",95.94,96.78,95.1,95.8,51437600,92.08
"2007-01-12",94.59,95.06,93.23,94.62,46881800,90.94
"2007-01-16",95.68,97.25,95.45,97.1,44431300,93.33
"2007-01-17",97.56,97.6,94.82,94.95,58795000,91.26
"2007-01-18",92.1,92.11,89.05,89.07,84450200,85.61
"2007-01-19",88.63,89.65,88.12,88.5,48731200,85.06
"2007-01-22",89.14,89.16,85.65,86.79,51929500,83.42
"2007-01-23",85.73,87.51,85.51,85.7,43122300,82.37
"2007-01-24",86.68,87.15,86.08,86.7,33136200,83.33
"2007-01-25",87.11,88.5,86.03,86.25,32356200,82.9
"2007-01-26",87.11,87.37,84.99,85.38,35245500,82.06
"2007-01-29",86.3,86.65,85.53,85.94,32202300,82.6
"2007-01-30",86.43,86.49,85.25,85.55,20641800,82.23
"2007-01-31",84.86,86,84.35,85.73,30573900,82.4
"2007-02-01",86.23,86.27,84.74,84.74,23726500,81.45
"2007-02-02",84.12,85.25,83.7,84.75,22197500,81.46
"2007-02-05",84.3,85.23,83.94,83.94,20673300,80.68
"2007-02-06",84.45,84.47,82.86,84.15,30871200,80.88
"2007-02-07",84.48,86.38,83.55,86.15,38100900,82.8
"2007-02-08",85.43,86.51,85.41,86.18,24251100,82.83
"2007-02-09",85.88,86.2,83.21,83.27,30733600,80.04
"2007-02-12",84.43,85.18,83.63,84.88,25859700,81.58
"2007-02-13",85.16,85.29,84.3,84.7,20749500,81.41
"2007-02-14",84.63,85.64,84.57,85.3,18142200,81.99
"2007-02-15",85.44,85.62,84.78,85.21,12987900,81.9
"2007-02-16",85.25,85.41,84.66,84.83,14281000,81.53
"2007-02-20",84.65,86.16,84.16,85.9,22060800,82.56
"2007-02-21",85.98,89.49,85.96,89.2,41261200,85.73
"2007-02-22",90.8,90.81,88.53,89.51,29936600,86.03
"2007-02-23",89.16,90.34,88.85,89.07,18496200,85.61
"2007-02-26",89.84,90,87.61,88.51,21994600,85.07
"2007-02-27",86.3,87.08,83.41,83.93,40921900,80.67
"2007-02-28",83,85.6,83,84.61,32838400,81.32
"2007-03-01",84.03,88.31,83.75,87.06,50554600,83.68
"2007-03-02",86.77,87.54,85.21,85.41,30714300,82.09
"2007-03-05",85.89,88.65,85.76,86.32,29960700,82.97
"2007-03-06",87.8,88.31,87.4,88.19,25828100,84.76
"2007-03-07",88.05,88.97,87.45,87.72,22367300,84.31
"2007-03-08",88.59,88.72,87.46,88,18250400,84.58
"2007-03-09",88.8,88.85,87.4,87.97,16137000,84.55
"2007-03-12",88.07,89.99,87.99,89.87,26050300,86.38
"2007-03-13",89.41,90.6,88.4,88.4,30996100,84.97
"2007-03-14",88.6,90,87.92,90,28449500,86.5
"2007-03-15",89.96,90.36,89.31,89.57,19982100,86.09
"2007-03-16",89.54,89.99,89.32,89.59,20418000,86.11
"2007-03-19",90.24,91.55,89.59,91.13,25462900,87.59
"2007-03-20",91.35,91.84,91.06,91.48,17461300,87.93
"2007-03-21",91.99,94,91.65,93.87,24532000,90.22
"2007-03-22",93.73,94.36,93,93.96,20053300,90.31
"2007-03-23",93.35,94.07,93.3,93.52,16103000,89.89
"2007-03-26",93.99,95.9,93.3,95.85,30892400,92.13
"2007-03-27",95.71,96.83,95,95.46,33287600,91.75
"2007-03-28",94.88,95.4,93.15,93.24,33654900,89.62
"2007-03-29",94.19,94.19,92.23,93.75,25918700,90.11
"2007-03-30",94.28,94.68,92.75,92.91,21448500,89.3
"2007-04-02",94.14,94.25,93.02,93.65,17928300,90.01
"2007-04-03",94.14,95.23,93.76,94.5,20854800,90.83
"2007-04-04",94.94,95.14,94.13,94.27,17028000,90.61
"2007-04-05",94.12,94.68,93.52,94.68,12697000,91
"2007-04-09",95.21,95.3,93.04,93.65,14762200,90.01
"2007-04-10",93.67,94.26,93.41,94.25,12588100,90.59
"2007-04-11",93.9,93.95,92.33,92.59,19607800,88.99
"2007-04-12",92.04,92.31,90.72,92.19,23452700,88.61
"2007-04-13",90.9,91.4,90.06,90.24,25712200,86.73
"2007-04-16",90.57,91.5,90.25,91.43,21751200,87.88
"2007-04-17",92,92.3,89.7,90.35,26854300,86.84
"2007-04-18",90.16,90.85,89.6,90.4,16573000,86.89
"2007-04-19",90.19,91.25,89.83,90.27,15211200,86.76
"2007-04-20",90.89,91.18,90.55,90.97,18670700,87.44
"2007-04-23",91.59,93.8,91.42,93.51,27867500,89.88
"2007-04-24",93.96,96.39,91.3,93.24,37687600,89.62
"2007-04-25",94.23,95.4,93.8,95.35,42398000,91.65
"2007-04-26",101.58,102.5,98.3,98.84,62063500,95
"2007-04-27",98.18,99.95,97.69,99.92,24978700,96.04
