"","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume","BEN.Adjusted"
"2008-01-29",100.64,101.43,98.43,101.16,4526400,30.33
"2008-01-30",100.69,103.66,99.73,101.07,7166700,30.31
"2008-01-31",99.2,105,98.73,104.09,7045200,31.21
"2008-02-01",104.89,106.74,104.37,106.65,4550400,31.98
"2008-02-04",106.25,106.51,104.28,104.9,2520000,31.45
"2008-02-05",101.84,102.63,99.2,99.33,5038200,29.78
"2008-02-06",99.25,101.4,97.18,97.36,4087200,29.19
"2008-02-07",97.01,100.85,96.22,99.53,3672000,29.84
"2008-02-08",98.53,99,97.1,97.68,4072800,29.29
"2008-02-11",97.55,98.08,95.2,97.39,6257100,29.2
"2008-02-12",97.79,99.28,96.14,97.18,4573500,29.14
"2008-02-13",97.18,99.54,96.63,99.14,5290500,29.73
"2008-02-14",99.14,99.53,97.06,97.42,3803400,29.21
"2008-02-15",96.79,97.36,95.03,96.92,3866100,29.06
"2008-02-19",98.13,99.48,96.25,96.78,5051100,29.02
"2008-02-20",96.13,97.91,94.74,97.63,5714100,29.27
"2008-02-21",97.77,98.72,95.8,96.03,3602100,28.8
"2008-02-22",96.24,97.14,93.94,97.14,5267100,29.13
"2008-02-25",97.01,99.65,96,99.4,5064900,29.81
"2008-02-26",98.77,102.25,98.5,100.78,4562100,30.22
"2008-02-27",99.93,104.21,99.61,102.43,4730700,30.71
"2008-02-28",101.36,101.56,98.68,99.04,4159200,29.7
"2008-02-29",98.14,98.16,94.05,94.37,5505300,28.3
"2008-03-03",94.08,94.86,93.19,94.1,6922200,28.22
"2008-03-04",93.15,94.36,91.77,93.97,6128100,28.18
"2008-03-05",95.03,95.79,93.43,94.39,6419400,28.3
"2008-03-06",93.47,93.95,90.12,90.2,5119500,27.05
"2008-03-07",89.27,92.46,88.12,89.73,5259900,26.91
"2008-03-10",89.51,90.91,87.19,87.22,6859800,26.15
"2008-03-11",91.51,94.62,89.51,94.46,8400000,28.32
"2008-03-12",94.25,96.59,92.85,93.25,5838600,27.96
"2008-03-13",91.78,94.49,89.54,93.33,7630200,27.99
"2008-03-14",93.71,94.5,88.93,90.45,6617400,27.12
"2008-03-17",83.27,90.84,83.27,89.45,8133600,26.82
"2008-03-18",91.34,95.79,91.16,95.73,9124800,28.71
"2008-03-19",97.27,97.52,92.97,93.11,5459100,27.92
"2008-03-20",93.61,99.3,93.03,99.14,6835800,29.73
"2008-03-24",99.73,105,98.75,102.7,6957300,30.8
"2008-03-25",102.57,105.71,101.96,103.92,5304000,31.16
"2008-03-26",102.78,102.78,99.19,100.43,6247200,30.17
