"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2007-09-27",57.74,58.35,57.47,57.68,1069700,54.47
"2007-09-28",57.4,58.82,57.4,58.79,1683100,55.52
"2007-10-01",59,59.05,56.3,58.03,4850600,54.8
"2007-10-02",58.38,58.86,58.15,58.37,1743100,55.12
"2007-10-03",58.05,59,58,58.58,1859900,55.32
"2007-10-04",58.95,59.8,58.67,59.3,2278500,56
"2007-10-05",59.52,60.26,58.83,59.7,1645100,56.38
"2007-10-08",60,60,58.9,59.22,1162800,55.93
"2007-10-09",59,59.88,57.32,59.86,1082300,56.53
"2007-10-10",59.85,61.02,59.59,60.55,1997000,57.18
"2007-10-11",60.9,60.9,59.41,59.8,1340600,56.47
"2007-10-12",59.57,59.79,58.75,59.1,1297400,55.81
"2007-10-15",59.64,59.68,58.41,58.83,1089100,55.56
"2007-10-16",58.83,58.87,57.63,57.94,1487000,54.72
"2007-10-17",58.19,59.37,57.99,58.44,1104900,55.19
"2007-10-18",57.9,58.89,57.78,58.3,771700,55.06
"2007-10-19",58.01,58.51,57.21,57.38,1854400,54.19
"2007-10-22",56.99,57.1,56.44,57.05,1051900,53.88
"2007-10-23",57.15,57.82,56.6,57.8,1115900,54.59
"2007-10-24",57.66,57.66,56.35,56.72,1340000,53.57
"2007-10-25",58.19,58.26,57.07,57.55,1520200,54.35
"2007-10-26",57.9,58.71,57.02,58.46,1177100,55.21
"2007-10-29",58.7,59,57.51,57.99,1309700,54.76
"2007-10-30",58.09,59.17,57.94,58.55,1533600,55.29
"2007-10-31",62.63,66.47,62.54,66.1,7843500,62.42
"2007-11-01",64.01,65.9,64.01,64.27,3009900,60.7
"2007-11-02",64.07,64.83,63.25,64.4,1923100,60.82
"2007-11-05",63.17,65,63.16,64.82,2215200,61.21
"2007-11-06",64.77,65,63.88,64.91,1557400,61.3
"2007-11-07",64.56,64.74,63.41,63.41,1521900,59.88
"2007-11-08",63.31,64.59,63,64.5,2200600,60.91
"2007-11-09",63.78,64.67,63.59,63.83,1674700,60.28
"2007-11-12",63.51,64.88,63.51,63.76,1376900,60.21
"2007-11-13",63.82,64.61,63.32,64.53,1723300,60.94
"2007-11-14",64.4,64.64,63.73,63.74,1538500,60.19
"2007-11-15",63.36,65.16,63.31,64.79,3014100,61.19
"2007-11-16",65.36,66.83,65.15,66.83,2950900,63.11
"2007-11-19",66.3,66.98,65.87,66.16,3005800,62.48
"2007-11-20",66.13,66.98,65.8,66.53,2513800,62.83
"2007-11-21",65.85,66.8,65.66,66.11,1792900,62.43
"2007-11-23",66.96,67,66.34,67,457500,63.27
"2007-11-26",66.87,68.43,66.59,66.85,1511400,63.13
"2007-11-27",66.81,67.32,66.05,66.66,1902900,62.95
"2007-11-28",67.3,67.3,66.4,67.06,2177300,63.33
"2007-11-29",66.71,66.92,65.68,66.52,2221300,62.88
"2007-11-30",67.45,67.45,65.76,66.73,1884900,63.08
"2007-12-03",66.3,66.73,65,65.58,2345200,61.99
"2007-12-04",65.32,66.46,65.32,65.55,1703900,61.96
"2007-12-05",66.03,67.25,65.86,66.37,1498800,62.73
"2007-12-06",66.35,66.72,65.16,65.51,2159600,61.92
"2007-12-07",65.6,66.62,65.6,66.37,1702700,62.73
"2007-12-10",66.37,67.19,65.67,65.89,1181200,62.28
"2007-12-11",66.12,66.12,63.9,64.08,1923000,60.57
"2007-12-12",65.64,65.64,64.43,64.83,1828100,61.28
"2007-12-13",66,66.01,63.6,63.99,2700800,60.49
"2007-12-14",63.59,63.81,62.87,63.21,1478700,59.75
"2007-12-17",63.26,64.19,62.77,63.79,1365300,60.3
"2007-12-18",64.12,65.46,63.55,64.55,1632700,61.01
"2007-12-19",65,65.66,63.55,64.79,1453300,61.24
"2007-12-20",65.13,65.64,65,65.2,940500,61.63
"2007-12-21",65.84,66.2,65.2,65.94,1703500,62.33
"2007-12-24",66.71,66.8,65.87,66.71,398500,63.06
"2007-12-26",66.44,66.88,65.97,66.7,669000,63.05
"2007-12-27",66.53,66.95,66.34,66.74,1156700,63.08
"2007-12-28",67.39,67.39,65.82,65.94,937900,62.33
"2007-12-31",65.59,66.13,65.06,65.51,845000,61.92
"2008-01-02",65.21,65.69,63.68,63.91,2237300,60.41
"2008-01-03",64.11,64.11,63.39,63.94,1290300,60.44
"2008-01-04",63.56,64.09,63.04,63.25,1969300,59.79
"2008-01-07",63.62,64.97,63.12,64.6,2109000,61.06
"2008-01-08",64.79,67.09,64.7,66.08,2561400,62.46
"2008-01-09",66.03,67.73,66.03,67.73,2063300,64.02
"2008-01-10",67.1,67.56,66.35,67.37,1457200,63.68
"2008-01-11",66.65,67.97,66.25,67.8,1365800,64.09
"2008-01-14",68,68.4,66.73,67.1,1467600,63.42
"2008-01-15",66.4,66.4,65.37,65.62,1684000,62.03
"2008-01-16",65.88,68.36,65.6,67.92,2190900,64.2
"2008-01-17",68.26,68.26,66.51,66.63,1935400,62.98
"2008-01-18",67.22,68.4,64.15,64.8,2651600,61.25
"2008-01-22",63.51,65.2,62.23,63.05,2212900,59.6
"2008-01-23",60.97,63.5,60.72,63.35,3280500,59.88
"2008-01-24",63.38,63.38,61.43,62.41,2917400,58.99
"2008-01-25",62.57,64.63,60.22,60.4,3502000,57.09
"2008-01-28",60.12,61.14,59.81,60.14,2557000,56.85
"2008-01-29",60.4,62.69,59.54,62.25,3162700,58.84
"2008-01-30",62.42,64.64,62.35,63.26,2734400,59.8
"2008-01-31",61.98,63.92,61.51,62.84,3242100,59.4
"2008-02-01",61.37,62.15,60.25,61.41,4884700,58.05
"2008-02-04",61.43,62.46,61.15,61.82,2075400,58.43
"2008-02-05",60.87,61.22,59.82,59.82,3492200,56.54
"2008-02-06",60.1,60.25,57.39,57.64,4821000,54.48
"2008-02-07",57.56,58.16,56.72,57.7,4753100,54.54
"2008-02-08",57.11,58.61,56.59,57.68,2615100,54.52
"2008-02-11",57.56,57.85,57.02,57.71,2429200,54.55
"2008-02-12",57.95,58.48,57.47,57.91,2732700,54.74
"2008-02-13",58.24,58.73,57.52,57.81,3243700,54.64
"2008-02-14",57.91,58.51,57.39,58.24,3399700,55.05
"2008-02-15",58.18,58.56,57.76,58.56,2721800,55.35
"2008-02-19",58.73,59.45,58.59,59.08,2888100,55.84
"2008-02-20",59.05,59.56,58.64,59.5,2913500,56.24
"2008-02-21",59.6,59.64,58.94,59.02,1999400,55.79
"2008-02-22",58.81,60,58.81,59.89,2266700,56.61
"2008-02-25",60.04,61.37,59.95,61.14,2512700,57.79
"2008-02-26",60.77,61.2,60.4,60.75,2406400,57.42
"2008-02-27",60.53,61.11,60.38,60.73,1440500,57.4
"2008-02-28",60.41,60.41,59.76,59.97,1381000,56.74
"2008-02-29",59.84,59.84,58.54,58.76,1960800,55.6
"2008-03-03",58.57,58.8,58.36,58.8,2006100,55.63
"2008-03-04",58.26,58.42,57.86,57.99,3511500,54.87
"2008-03-05",58.35,59.02,58.33,58.92,1720000,55.75
"2008-03-06",58.75,58.88,57.96,58,2299000,54.88
"2008-03-07",57.59,58.06,57.1,57.4,2164800,54.31
"2008-03-10",57.57,57.57,55.48,55.72,3211200,52.72
"2008-03-11",56.84,56.84,53.66,55.3,4828200,52.32
"2008-03-12",55.7,56.47,54.95,55.15,2999900,52.18
"2008-03-13",54.5,54.98,52.69,52.96,6166900,50.11
"2008-03-14",52.97,54.32,52.05,52.89,4813000,50.04
"2008-03-17",51.75,52.96,51.75,52.05,2419900,49.25
"2008-03-18",52.87,54.32,52.87,54.25,2826100,51.33
"2008-03-19",54.52,55.37,54.39,54.44,2229500,51.51
"2008-03-20",54.44,55.24,54.01,55.24,2480500,52.27
"2008-03-24",55,55.07,53.49,53.71,1676900,50.82
"2008-03-25",53.62,53.86,51.71,51.84,3491800,49.05
"2008-03-26",51.51,52.66,51.51,52.55,3416500,49.72
"2008-03-27",52.41,53.05,52,52.3,1749500,49.48
"2008-03-28",52.14,52.95,51.5,51.66,1380600,48.88
"2008-03-31",51.72,52.44,51.08,52.37,2397900,49.55
"2008-04-01",52.51,53.97,51.74,53.87,1678100,50.97
"2008-04-02",53.44,53.95,52.51,53.2,2025000,50.34
"2008-04-03",52.95,53.56,52.79,52.81,1138900,49.97
"2008-04-04",52.79,54.73,52.79,54.3,2551800,51.38
"2008-04-07",54.8,54.95,52.83,53.01,2232600,50.16
"2008-04-08",52.75,53.06,52.67,53.02,1724000,50.17
"2008-04-09",53.4,54.1,53.13,53.91,1708600,51.01
"2008-04-10",52.71,53.27,52.34,52.72,3536200,49.88
"2008-04-11",52.21,52.85,52.04,52.38,1845700,49.56
"2008-04-14",52.21,52.34,51.27,51.96,1858400,49.16
"2008-04-15",52,52.92,51.85,52.04,2460300,49.24
"2008-04-16",52.59,52.96,51.73,52.69,1794600,49.85
"2008-04-17",52.43,52.96,52.14,52.93,1448900,50.08
"2008-04-18",55.15,55.45,53.34,54.53,3772000,51.59
"2008-04-21",54.62,54.66,53.49,54.1,2164400,51.19
"2008-04-22",53.76,54.33,52.3,52.68,4899000,49.84
"2008-04-23",52.85,54.18,52.32,53.39,3155300,50.52
"2008-04-24",53.51,55.1,52.74,54.64,2064900,51.7
"2008-04-25",54.69,54.85,53.88,54.5,2123500,51.57
"2008-04-28",54.31,54.59,53.21,53.65,2423700,50.76
"2008-04-29",53.38,53.81,52.95,53.05,2138600,50.19
"2008-04-30",52.9,53.42,52.08,52.12,2033700,49.31
"2008-05-01",52.15,54.21,52.15,53.84,2657000,50.94
"2008-05-02",54.24,54.96,53.91,54.3,1999200,51.38
"2008-05-05",52.87,54.22,52.87,54.09,2832500,51.18
"2008-05-06",58,59,56.68,58.25,9403800,55.11
"2008-05-07",58.18,58.3,57.15,57.36,3524000,54.27
"2008-05-08",57.64,58.06,57.02,57.35,1937700,54.26
"2008-05-09",56.64,57.65,56.38,57.37,1743600,54.28
"2008-05-12",57.29,57.86,57.14,57.84,1192100,54.73
"2008-05-13",58.68,58.68,57.32,58.15,1617400,55.02
"2008-05-14",58.4,59.12,58.15,58.59,1444800,55.44
"2008-05-15",58.37,58.99,58,58.78,1525100,55.62
"2008-05-16",58.39,59.05,58.22,58.57,3090300,55.42
"2008-05-19",58.31,58.79,58.09,58.39,1380200,55.25
"2008-05-20",58.54,58.6,57.57,57.89,2396900,54.77
"2008-05-21",57.93,58.23,56.91,57,2092900,53.93
"2008-05-22",57,58.08,56.8,57.98,1692800,54.86
"2008-05-23",57.41,57.69,57.18,57.22,1604800,54.14
"2008-05-27",57.1,57.62,56.64,57.61,1590300,54.51
"2008-05-28",57.75,58,57.26,57.5,1326000,54.4
"2008-05-29",57.5,57.88,57.09,57.56,1239500,54.46
"2008-05-30",57.51,57.79,56.91,57.65,2010200,54.55
"2008-06-02",57.5,57.58,56.9,57.36,1451500,54.27
"2008-06-03",57.4,57.97,57.28,57.53,2416900,54.43
"2008-06-04",57.15,57.95,57.01,57.81,1019500,54.81
"2008-06-05",57.85,58.33,57.62,58.07,1519400,55.06
"2008-06-06",57.23,57.79,56.64,57.02,1997500,54.06
"2008-06-09",57.09,57.49,56.52,56.79,1607400,53.84
"2008-06-10",56.62,56.8,56.02,56.4,2217100,53.48
"2008-06-11",56.19,56.4,55.01,55.01,2650200,52.16
"2008-06-12",55.3,56.18,55.19,55.55,2511100,52.67
"2008-06-13",55.7,56.39,55.28,56.01,2021900,53.11
"2008-06-16",55.76,57.03,55.34,56.9,1881700,53.95
"2008-06-17",55.29,57.64,55.26,56.35,1581200,53.43
"2008-06-18",55.79,56.13,54.95,55.26,2229900,52.39
"2008-06-19",55.34,56.38,55.05,56.05,2160300,53.14
"2008-06-20",57.19,57.66,56.35,57.09,5192800,54.13
"2008-06-23",57.1,57.66,56.95,57.19,1612500,54.22
"2008-06-24",56.86,56.89,55.53,55.68,2617100,52.79
"2008-06-25",55.99,57.44,55.78,56.84,2203800,53.89
"2008-06-26",56.8,56.8,55.33,55.43,1381200,52.56
"2008-06-27",55.7,57,55.54,56.71,3234600,53.77
"2008-06-30",56.27,57.24,55.76,55.91,1871300,53.01
"2008-07-01",55.67,55.67,54.01,54.85,2721000,52.01
"2008-07-02",54.85,56.06,54.85,54.91,1306100,52.06
"2008-07-03",55.25,55.51,54.16,54.59,895300,51.76
"2008-07-07",54.57,55.41,53.79,54.24,1933700,51.43
"2008-07-08",54.16,56.42,53.88,56.35,2036600,53.43
"2008-07-09",56.49,56.65,55.3,55.43,1381300,52.56
"2008-07-10",55.37,55.82,54.54,55.64,1505600,52.75
"2008-07-11",54.9,55.45,54.35,54.56,1809300,51.73
"2008-07-14",55.08,55.4,54.12,54.59,1348400,51.76
"2008-07-15",53.59,54.4,53.09,53.81,1896400,51.02
"2008-07-16",53.44,53.85,52.5,53.59,2290800,50.81
"2008-07-17",53.6,54.59,52.79,53.98,1596300,51.18
"2008-07-18",54,54.66,53.35,53.61,1722500,50.83
"2008-07-21",53.59,54.85,53.31,54.56,1317800,51.73
"2008-07-22",54.21,56.38,53.77,55.92,1899800,53.02
"2008-07-23",55.53,58.85,54.73,58.85,1817500,55.8
"2008-07-24",58,58,55.59,56,4137200,53.1
"2008-07-25",56.29,57.13,56.07,56.32,1579400,53.4
"2008-07-28",56.06,56.21,54.87,54.99,1042100,52.14
"2008-07-29",55.02,55.93,54.61,55.47,1703700,52.59
"2008-07-30",55.72,56.32,55.12,55.76,1178100,52.87
"2008-07-31",55.56,56.74,55.36,55.99,1723200,53.09
"2008-08-01",55.95,56.68,55.95,55.99,1522000,53.09
"2008-08-04",55.84,57.06,55.84,56.54,1755300,53.61
"2008-08-05",57.14,57.53,56.58,57.46,1945800,54.48
"2008-08-06",57.42,57.66,55.92,56,3023700,53.1
"2008-08-07",55.5,56.03,54.93,54.95,2251800,52.1
"2008-08-08",54.79,57.15,54.45,57.02,2582600,54.06
"2008-08-11",56.77,56.93,55.94,56.24,1952000,53.32
"2008-08-12",56.16,56.46,55.71,55.95,1312600,53.05
"2008-08-13",56.04,56.62,55.72,56.27,1251900,53.35
"2008-08-14",55.97,56.74,55.62,56.4,1437900,53.48
"2008-08-15",56.51,57.92,56.49,57.31,2143500,54.34
"2008-08-18",57.43,57.92,56.18,56.46,1628200,53.53
"2008-08-19",55.76,57.29,55.26,56.54,2055500,53.61
"2008-08-20",57.05,57.27,56.32,56.84,1831300,53.89
"2008-08-21",56.69,57.54,56.21,57.34,1195100,54.37
"2008-08-22",57.42,58.7,57.4,58.44,1234200,55.41
"2008-08-25",58.43,59.29,57.7,57.82,1204800,54.82
"2008-08-26",57.86,58.26,57.36,57.97,955600,54.96
"2008-08-27",57.97,58.29,57.65,58.02,1382000,55.01
"2008-08-28",58.16,58.81,58.1,58.81,2019800,55.88
"2008-08-29",58.85,59.06,57.78,57.78,2176500,54.9
"2008-09-02",58.45,59.25,58.27,58.68,2292700,55.75
"2008-09-03",58.69,58.8,58.01,58.66,1254200,55.73
"2008-09-04",57.84,58.78,57.05,57.36,3515300,54.5
"2008-09-05",57,57.58,56.6,56.92,1649100,54.08
"2008-09-08",58.1,58.36,57.32,58.29,2528400,55.38
"2008-09-09",58.5,59.17,57.84,57.86,2161200,54.97
"2008-09-10",58.19,58.5,57.56,57.9,1467300,55.01
"2008-09-11",57.21,57.95,56.74,57.93,1943800,55.04
"2008-09-12",57.64,58,57.17,57.49,2023200,54.62
"2008-09-15",56.7,58,56.18,56.63,2583200,53.8
"2008-09-16",55.72,57.03,55.58,56.99,2334500,54.15
"2008-09-17",56.01,57.15,54.34,54.34,2965900,51.63
"2008-09-18",54.71,55.53,53.81,55.27,3112900,52.51
"2008-09-19",58.49,60.45,53.07,57.03,2752100,54.18
"2008-09-22",56.69,56.69,50.05,54.77,2109200,52.04
"2008-09-23",54.98,56.21,54.1,54.27,1405500,51.56
"2008-09-24",54.31,54.89,52.8,54.02,1663900,51.32
"2008-09-25",54.46,55.09,53.39,54.81,1392800,52.08
"2008-09-26",54.81,55.48,53.64,55.31,1867800,52.55
