"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2007-01-03",50.86,51.84,50.8,51.43,2186700,48.42
"2007-01-04",51.35,51.6,51.15,51.3,1842900,48.3
"2007-01-05",51.3,51.68,51.05,51.31,2034600,48.31
"2007-01-08",51.21,51.89,50.82,51.66,2231700,48.64
"2007-01-09",51.67,51.87,51.01,51.13,2117700,48.14
"2007-01-10",52,52.47,51.65,51.85,2484100,48.82
"2007-01-11",52.1,52.94,51.91,52.63,2250700,49.55
"2007-01-12",52.73,54.46,52.4,54.42,4273500,51.24
"2007-01-16",54.27,54.74,54.18,54.71,2483400,51.51
"2007-01-17",54.75,55.66,54.59,55.32,3067900,52.08
"2007-01-18",55.2,55.4,54.76,55.18,2138900,51.95
"2007-01-19",55.45,55.45,54.86,55.13,2061400,51.91
"2007-01-22",54.97,55.23,53.57,54.33,2647800,51.15
"2007-01-23",54.25,54.53,54.14,54.46,1435100,51.27
"2007-01-24",54.35,55.5,54.11,55.17,3465900,51.94
"2007-01-25",55.5,56.66,55.33,55.37,3524700,52.13
"2007-01-26",56.7,56.93,55.4,55.94,3510000,52.67
"2007-01-29",55.45,55.93,55.03,55.58,2317000,52.33
"2007-01-30",56.48,56.48,55.24,55.5,2013000,52.25
"2007-01-31",55.5,55.84,55.29,55.75,1854300,52.49
"2007-02-01",55.74,56.16,55.6,55.99,2098400,52.72
"2007-02-02",56.44,56.45,55.61,55.77,1897000,52.51
"2007-02-05",55.77,56.38,55.77,56.02,1621300,52.74
"2007-02-06",55.77,56.11,55.46,55.81,3122300,52.55
"2007-02-07",55.8,56,55.54,55.57,983600,52.32
"2007-02-08",55.4,55.86,55.06,55.65,1801800,52.4
"2007-02-09",55.8,56.07,55.55,55.71,1341800,52.45
"2007-02-12",55.41,55.95,55.4,55.61,1526200,52.36
"2007-02-13",55.84,56.45,55.67,56.21,1202400,52.92
"2007-02-14",56.48,56.9,56.19,56.31,1417400,53.02
"2007-02-15",56.74,56.99,56.61,56.95,1378300,53.62
"2007-02-16",56.98,57.3,56.68,57.22,1737100,53.87
"2007-02-20",57.15,57.58,57.13,57.48,1633300,54.12
"2007-02-21",57.28,57.61,57.14,57.44,1015400,54.08
"2007-02-22",57.45,57.73,57.08,57.19,1150400,53.85
"2007-02-23",57.26,57.57,56.76,57.39,1185400,54.03
"2007-02-26",57.4,58.07,57.12,57.13,2014900,53.79
"2007-02-27",57.1,57.15,55.11,56.06,1763900,52.84
"2007-02-28",56,56.55,55.57,55.72,2405200,52.52
"2007-03-01",56.66,56.66,54.67,55.36,2345700,52.18
"2007-03-02",55.11,55.39,54.51,54.65,1832400,51.51
"2007-03-05",55.27,55.27,53.99,54.01,1355900,50.9
"2007-03-06",54.14,55.09,54,55.09,2743800,51.92
"2007-03-07",54.8,55.59,54.66,55.11,1400000,51.94
"2007-03-08",55.33,56,55.29,55.88,1832200,52.67
"2007-03-09",56.12,56.32,55.87,56.07,1350800,52.85
"2007-03-12",56.1,56.78,55.88,56.34,2012400,53.1
"2007-03-13",55.71,55.87,54.32,54.42,1939900,51.29
"2007-03-14",54.43,54.95,53.97,54.81,1503900,51.66
"2007-03-15",54.6,55.07,54.35,55.01,1450900,51.85
"2007-03-16",55.24,55.46,54.47,55.23,1996400,52.05
"2007-03-19",56.21,56.63,55.44,56.6,1723400,53.35
"2007-03-20",56.47,56.69,55.89,56.65,1575300,53.39
"2007-03-21",56.5,57.51,56.18,57.46,1441500,54.16
"2007-03-22",57.28,57.54,56.91,57.19,1779000,53.9
"2007-03-23",59.53,59.53,57.08,57.82,980100,54.5
"2007-03-26",59.45,59.45,57,57.92,1158000,54.59
"2007-03-27",57.92,58.56,57.54,58.5,1904300,55.14
"2007-03-28",58.3,58.95,58.16,58.82,2413700,55.44
"2007-03-29",59.15,59.31,57.77,58.13,2298400,54.79
"2007-03-30",58.44,58.6,57.68,58.54,1366400,55.17
"2007-04-02",58.59,59.35,58.54,59,1417300,55.61
"2007-04-03",59.07,59.3,58.68,59.06,1721500,55.66
"2007-04-04",58.83,59.24,58.37,58.47,1575000,55.11
"2007-04-05",58.93,59.22,58.68,58.92,1269000,55.53
"2007-04-09",58.77,58.84,58.21,58.56,1452900,55.19
"2007-04-10",58.49,58.91,58.3,58.48,987700,55.12
"2007-04-11",58.42,59.11,58.42,58.73,1130400,55.35
"2007-04-12",58.33,59.15,58.33,59.01,1136400,55.62
"2007-04-13",59.24,59.75,59.1,59.57,1136000,56.14
"2007-04-16",59.89,59.98,59.59,59.91,1125300,56.47
"2007-04-17",59.91,59.93,59.37,59.63,1103500,56.2
"2007-04-18",59.33,60.18,59.2,60.02,2001100,56.57
"2007-04-19",60.49,60.49,59.3,60.04,1928700,56.59
"2007-04-20",60.46,60.47,60,60.22,1643200,56.76
"2007-04-23",60.25,60.69,60.06,60.48,784100,57
"2007-04-24",60.38,60.9,59.78,60.77,1922900,57.28
"2007-04-25",60.86,60.95,59.79,60.63,1761500,57.14
"2007-04-26",60.63,61,57.99,58.98,4419400,55.59
"2007-04-27",59,59.17,57.72,58.24,2716700,54.89
"2007-04-30",58.45,59.21,58.26,58.83,1895400,55.45
"2007-05-01",59.05,59.28,58.62,59.12,1089300,55.72
"2007-05-02",59.12,59.69,59.01,59.41,997500,55.99
"2007-05-03",59.68,59.95,59.18,59.41,1262700,55.99
"2007-05-04",59.75,60.13,59.49,60,1561300,56.55
"2007-05-07",59.59,60.02,59.18,59.77,1470600,56.33
"2007-05-08",60.53,61.22,59.25,60.6,3802300,57.12
"2007-05-09",60.4,60.64,59.59,59.78,2879700,56.34
"2007-05-10",59.49,59.7,58.87,59.01,3415300,55.62
"2007-05-11",59.18,59.87,59.18,59.68,1903600,56.25
"2007-05-14",59.78,60.73,59.75,60.67,2258400,57.18
"2007-05-15",60.56,61.09,60.33,60.51,1815200,57.03
"2007-05-16",60.61,61.34,60.58,61.01,1827200,57.5
"2007-05-17",60.86,61.59,60.68,61.45,1536900,57.92
"2007-05-18",61.62,61.96,61.31,61.92,1756300,58.36
"2007-05-21",61.8,62.52,61.79,62.44,2018900,58.85
"2007-05-22",62.2,62.47,62,62.21,1490700,58.63
"2007-05-23",62.32,62.94,61.99,62.86,1681400,59.25
"2007-05-24",62.6,62.94,62.24,62.53,2130700,58.93
"2007-05-25",62.54,62.8,62.24,62.36,1341300,58.77
"2007-05-29",62.31,62.78,62.19,62.55,1442800,58.95
"2007-05-30",62.52,62.91,62.18,62.88,1607600,59.26
"2007-05-31",62.96,63.39,62.89,63.13,2082400,59.5
"2007-06-01",63.15,63.74,63.05,63.71,1545100,60.05
"2007-06-04",63.67,63.9,63.29,63.62,1126900,59.96
"2007-06-05",63.3,63.44,61.94,62.22,1882500,58.64
"2007-06-06",62.17,62.46,61.74,62.06,1436800,58.55
"2007-06-07",61.97,62.42,61.09,61.09,1438800,57.63
"2007-06-08",61.18,61.9,60.98,61.88,1208200,58.38
"2007-06-11",61.85,61.87,61.21,61.52,1599000,58.04
"2007-06-12",61.46,62.06,61.1,61.15,1358100,57.69
"2007-06-13",61.32,61.37,60.52,61.33,2023200,57.86
"2007-06-14",61.67,62.18,60.96,61.04,1633300,57.59
"2007-06-15",61.55,61.68,60.56,60.76,2040400,57.32
"2007-06-18",60.57,60.66,59.79,59.87,1569800,56.48
"2007-06-19",59.97,60.28,59.09,60.26,1938100,56.85
"2007-06-20",60.3,60.5,58.52,58.52,2496600,55.21
"2007-06-21",58.44,59.32,58.02,58.99,2455400,55.65
"2007-06-22",58.71,58.9,57.89,58.1,1689100,54.81
"2007-06-25",58.1,59.33,58.03,58.49,2060800,55.18
"2007-06-26",58.97,59.31,58.61,59.02,1730700,55.68
"2007-06-27",58.78,60.19,58.78,60.14,2114900,56.74
"2007-06-28",60.01,60.72,59.76,60.43,1471800,57.01
"2007-06-29",60.43,60.71,59.16,59.64,1868000,56.27
"2007-07-02",59.98,60.02,59.42,59.6,1388300,56.23
"2007-07-03",59.6,60.35,59.45,60,731800,56.6
"2007-07-05",60.25,60.45,59.89,60.07,939200,56.67
"2007-07-06",60.23,60.24,59.42,59.62,1369700,56.25
"2007-07-09",59.81,59.9,58.8,58.95,1458300,55.61
"2007-07-10",58.5,58.82,58.02,58.02,1238400,54.74
"2007-07-11",58.37,59.2,58.24,59.2,1321800,55.85
"2007-07-12",59.28,60.55,59.2,60.5,2323400,57.08
"2007-07-13",60.49,60.66,60.3,60.5,1130700,57.08
"2007-07-16",60.29,60.44,59.74,60.2,914200,56.79
"2007-07-17",60.33,61.09,60.25,60.73,1565200,57.29
"2007-07-18",60.71,60.71,58.73,59.17,2816400,55.82
"2007-07-19",59.24,59.44,59.01,59.27,1331600,55.92
"2007-07-20",59.26,59.45,58.13,58.36,2016900,55.06
"2007-07-23",58.78,59.3,58.75,58.97,1715200,55.63
"2007-07-24",58.57,59.41,58.46,58.52,1779500,55.21
"2007-07-25",58.92,59.31,58.1,58.81,1459100,55.48
"2007-07-26",58.32,58.59,57.6,57.81,2969800,54.54
"2007-07-27",57.97,58.52,55.73,55.95,4040700,52.78
"2007-07-30",55.88,57.52,55.2,57.28,3691600,54.04
"2007-07-31",57.48,58.5,57.33,57.76,3436000,54.49
"2007-08-01",57.49,58.74,57.27,58.62,3360900,55.3
"2007-08-02",59,59.54,58.71,59.17,1998400,55.82
"2007-08-03",58.9,60,58.46,58.56,2884100,55.25
"2007-08-06",59.7,61.86,58.64,61.66,4024900,58.17
"2007-08-07",62,62.01,58.9,59.98,4131000,56.59
"2007-08-08",60.15,60.43,59.73,59.93,2859100,56.54
"2007-08-09",59.56,59.91,55.26,56,4315800,52.83
"2007-08-10",55.56,57.11,55.33,56.05,5187100,52.88
"2007-08-13",56.79,58.11,56.5,57.09,3568500,53.86
"2007-08-14",56.21,57.84,55.9,56.09,2521100,52.92
"2007-08-15",55.89,57.64,55.86,56.55,2948300,53.35
"2007-08-16",56.54,57.3,55.6,56.92,3017500,53.7
"2007-08-17",58.96,58.96,56.05,58.39,2792500,55.09
"2007-08-20",58.37,58.94,56.78,57.43,2074800,54.18
"2007-08-21",57.61,58.72,57.4,58.46,1879400,55.15
"2007-08-22",59,59.09,58.25,58.84,1176100,55.51
"2007-08-23",59,59.2,58.35,58.49,1641100,55.18
"2007-08-24",58.88,59.33,58.37,59.24,1278300,55.89
"2007-08-27",58.8,59.49,58.36,59,735300,55.66
"2007-08-28",58.6,59.26,58.32,58.36,1263900,55.06
"2007-08-29",58.56,58.73,56.92,58.25,1318800,55.01
"2007-08-30",58.49,58.49,56,57.76,989700,54.55
"2007-08-31",57.72,58.39,56.89,57.21,1902300,54.03
"2007-09-04",56.83,57.45,56.81,57.28,1303100,54.09
"2007-09-05",56.78,57.08,56.08,56.69,1816200,53.54
"2007-09-06",56.6,56.66,55.08,55.14,2791700,52.07
"2007-09-07",54.78,55.35,54.06,54.88,2065500,51.83
"2007-09-10",54.93,55.13,54.62,54.85,1959100,51.8
"2007-09-11",54.97,55.75,54.71,55.68,1582800,52.58
"2007-09-12",55.68,55.7,54.88,55.02,1773200,51.96
"2007-09-13",55.29,56.23,55.15,55.78,1878400,52.68
"2007-09-14",55.41,55.6,53.56,54.19,3010500,51.18
"2007-09-17",53.85,54.36,53.45,53.68,1581300,50.69
"2007-09-18",53.99,56.16,53.99,56.03,1888400,52.91
"2007-09-19",56.05,56.93,55.73,56.51,2340000,53.37
"2007-09-20",56.6,57.32,56.16,56.43,1901200,53.29
"2007-09-21",57,57,55.65,55.78,2236600,52.68
"2007-09-24",55.75,56.4,55.75,56.23,1076100,53.1
"2007-09-25",56.06,56.76,55.91,56.46,1454400,53.32
"2007-09-26",56.35,57.91,56.35,57.63,2147500,54.42
