"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2008-09-29",95.44,97.15,90.75,92.5,2320100,76.85
"2008-09-30",94.63,100.5,91.14,99.01,2643300,82.25
"2008-10-01",97.95,99.55,96.19,98.81,2634700,82.09
"2008-10-02",98.33,98.33,91.67,92.74,2327300,77.05
"2008-10-03",94.5,95.98,87.63,88.02,2151900,73.12
"2008-10-06",86.08,86.11,82.23,83.97,2812600,69.76
"2008-10-07",84.29,84.91,76.79,77.64,3424100,64.5
"2008-10-08",76.09,80.66,75.45,78.45,3473700,65.17
"2008-10-09",79.76,81.62,70.5,70.5,4153100,58.57
"2008-10-10",67.83,109.75,66.41,84.8,7178300,70.45
"2008-10-13",86.96,88.59,81.7,87.92,3878700,73.04
"2008-10-14",87.9,88.58,76,82.8,2941300,68.79
"2008-10-15",80.67,80.67,71.38,74.52,3896700,61.91
"2008-10-16",75.38,78.03,70.5,77.03,3367700,63.99
"2008-10-17",76.07,80.19,73.27,77.07,2064200,64.03
"2008-10-20",77.65,79.36,75.08,79.11,1507400,65.72
"2008-10-21",79.5,79.78,75.13,75.46,1755800,62.69
"2008-10-22",74,76.11,68.96,71.1,2628100,59.07
"2008-10-23",72.71,73.96,65.65,73.67,3265200,61.2
"2008-10-24",67.45,73.64,67.25,70.13,2063200,58.26
"2008-10-27",70.12,73.32,65.99,66.49,1748000,55.24
"2008-10-28",68.27,79.89,66.04,79.7,3212700,66.21
"2008-10-29",78.93,81.04,73.82,76.25,2422700,63.35
"2008-10-30",78.25,79.8,75.6,79.29,1934800,65.87
"2008-10-31",78.1,84.89,76.86,81.5,3127800,67.71
"2008-11-03",81.78,82.67,78.42,79.62,1475400,66.15
"2008-11-04",80.9,84.42,80.27,83.81,1997900,69.63
"2008-11-05",82.15,82.27,74.92,76.16,2641800,63.27
"2008-11-06",76.37,76.41,70.65,71.62,2408700,59.5
"2008-11-07",73.79,77.64,72.14,76,3550500,63.14
"2008-11-10",77.09,78.6,71.35,72.29,2148100,60.06
"2008-11-11",70.93,71.16,68.11,70.49,2915000,58.56
"2008-11-12",69.11,69.5,65.39,65.75,4710000,54.62
"2008-11-13",65.81,72.91,64.05,71.33,4408700,59.26
"2008-11-14",68.65,71,63.76,64.46,3172100,53.55
"2008-11-17",63.99,67.11,62.06,63.95,3228100,53.13
"2008-11-18",64.05,67.96,60.33,64.59,3311500,53.66
"2008-11-19",63.9,64.67,56.17,57.47,4534700,47.74
"2008-11-20",56.31,60.38,52.52,53.82,6174500,44.71
"2008-11-21",55.23,61.77,54.5,60,8135200,49.85
"2008-11-24",61.08,70.82,60.01,69.05,6239100,57.36
"2008-11-25",71.06,73.77,66.24,70.72,5566600,58.75
"2008-11-26",69.78,73.06,67.58,72.91,3534200,60.57
"2008-11-28",72.65,72.85,69.57,69.89,1686700,58.06
"2008-12-01",67.79,68.24,55.96,56.84,4977100,47.22
"2008-12-02",58.36,65.96,58.17,64.78,8146400,53.82
"2008-12-03",61.79,67.72,61,67.01,5435800,55.67
"2008-12-04",65.29,69.7,64.01,65.22,4717600,54.18
"2008-12-05",63.52,70.31,63.05,69.51,5155700,57.75
"2008-12-08",71.03,76.99,69.33,76.99,4284400,63.96
"2008-12-09",75.75,76.17,70.16,70.87,4263000,58.88
"2008-12-10",71.61,75.85,70.82,75.59,3197000,62.8
"2008-12-11",73.25,74.11,63.74,64.55,6443000,54.45
"2008-12-12",63.03,69.63,61.46,68.78,5265700,58.02
"2008-12-15",69.55,69.55,65.26,67.44,3657400,56.89
"2008-12-16",67.98,76.49,67.33,76.49,5119900,64.53
"2008-12-17",75.55,80.57,73.56,76.99,4317500,64.95
"2008-12-18",76.76,78,70.99,72.03,3301900,60.77
"2008-12-19",72.37,75.47,70.96,75.31,2977500,63.53
"2008-12-22",74.1,75.31,71.38,74.19,2769600,62.59
"2008-12-23",75.19,76.37,73.23,73.76,2008100,62.22
"2008-12-24",74.1,74.7,73.07,73.64,596300,62.12
"2008-12-26",73.34,75.08,72.76,74.75,647900,63.06
"2008-12-29",73.42,73.52,70.25,71.81,1710400,60.58
"2008-12-30",71.03,75.43,71.03,75.07,1764500,63.33
"2008-12-31",74.95,79.91,74.95,79.5,2410500,67.07
"2009-01-02",79.5,79.88,75.53,75.58,1928000,63.76
"2009-01-05",74.65,75.77,71.7,72.09,3061600,60.82
"2009-01-06",73.06,74.46,71.02,74.08,3653500,62.49
"2009-01-07",72.26,72.79,69,69.26,2763800,58.43
"2009-01-08",69.03,69.03,66.6,67.65,2759000,57.07
"2009-01-09",68.29,68.98,65.15,65.61,2643000,55.35
"2009-01-12",66.45,66.72,63.2,63.74,2890500,53.77
"2009-01-13",62.29,65.74,61.16,64.82,2925400,54.68
"2009-01-14",62.9,64.09,62.08,62.93,2871600,53.09
"2009-01-15",62.78,66.05,60.35,64.59,3122000,54.49
"2009-01-16",66.32,67.62,63.26,67.34,2935100,56.81
"2009-01-20",65.05,67.65,59.73,59.92,4319300,50.55
"2009-01-21",62.65,66.76,59.44,66.59,4277600,56.18
"2009-01-22",64.42,65.98,61.44,61.79,4120800,52.13
"2009-01-23",60.06,64.25,60,63.87,3067200,53.88
"2009-01-26",64.56,66.24,62.61,64.11,3165100,54.08
"2009-01-27",65.17,65.57,63.23,65.38,2366500,55.16
"2009-01-28",67.25,70.38,65.51,69.99,4574100,59.04
"2009-01-29",68.99,68.99,63.35,63.67,5094300,53.71
"2009-01-30",64.74,65.75,60.62,61.87,4851100,52.19
"2009-02-02",60.6,63.92,59.5,63.58,3641700,53.64
"2009-02-03",63.3,63.54,60.7,62.45,3446300,52.68
"2009-02-04",63.01,64.84,61.95,62.59,3075700,52.8
"2009-02-05",61.6,63.98,59.35,61.73,3959000,52.08
"2009-02-06",62.65,65.5,61.69,65.01,3910000,54.84
"2009-02-09",64.91,65.94,63.51,65.75,1928400,55.47
"2009-02-10",64.74,65.75,59.99,60.39,3541600,50.95
"2009-02-11",60.6,62.22,59.15,62.03,2917400,52.33
"2009-02-12",60.85,62.54,58,61.92,3952900,52.24
"2009-02-13",61.46,61.7,57.38,57.52,3409000,48.52
"2009-02-17",55.03,55.96,53.56,54,4841100,45.55
"2009-02-18",55.08,55.88,52.97,55.14,2838000,46.52
"2009-02-19",55.81,56.18,51.01,51.56,4663300,43.5
"2009-02-20",50.11,55.19,49.55,55.07,6098400,46.46
"2009-02-23",54.79,55.83,51,51.37,4017200,43.34
"2009-02-24",51.97,56.3,51.48,55.83,5107300,47.1
"2009-02-25",55.2,56.63,52.46,54.03,4270200,45.58
"2009-02-26",55.22,56.19,52.27,52.43,4096300,44.23
"2009-02-27",51.45,57.51,51.06,55.48,6486200,46.8
"2009-03-02",53.75,54.34,49.78,50.3,7092000,42.43
"2009-03-03",51.52,51.6,48.8,50.06,5876000,42.23
"2009-03-04",51.55,51.55,49.1,49.95,5144300,42.14
"2009-03-05",47.16,49.8,47.16,48.05,5696000,40.54
"2009-03-06",48.23,49.56,45.35,48.83,6527600,41.19
"2009-03-09",47.44,50.47,47.17,50.3,4683000,42.43
"2009-03-10",51.84,57.42,50.33,57.42,8631800,48.44
"2009-03-11",57.94,57.94,53.88,54.91,6028900,46.32
"2009-03-12",54.48,58.65,54.32,58.07,6439800,49.48
"2009-03-13",57.67,57.87,54.37,56.77,4310200,48.38
"2009-03-16",57.41,57.89,52.6,52.82,4867800,45.01
"2009-03-17",52.51,57.16,52.2,57.1,5208700,48.66
"2009-03-18",56.31,59.23,54.66,58.67,6041400,50
"2009-03-19",59.55,59.55,55.15,55.69,4693100,47.46
"2009-03-20",55.69,55.69,51.54,51.54,5499500,43.92
"2009-03-23",54.48,59.27,53.33,59.19,6808700,50.44
"2009-03-24",57.94,59.17,53.53,54.42,5457100,46.37
"2009-03-25",54.62,55.79,51,55.04,5425900,46.9
"2009-03-26",56.61,57.4,52.89,57.4,4969300,48.91
"2009-03-27",56.07,56.16,53.97,54.14,2853700,46.14
"2009-03-30",52.47,53.48,51.38,51.74,3929600,44.09
"2009-03-31",52.06,55.37,52.06,55.25,5064900,47.08
"2009-04-01",53.79,55.43,53.32,54.75,3973500,46.65
"2009-04-02",55.65,59.26,54.86,58.38,5115800,49.75
"2009-04-03",57.77,62.6,56.39,62.11,5391700,52.93
"2009-04-06",60.89,63.32,60.13,62.27,4825800,53.06
"2009-04-07",60.72,60.92,56.77,56.92,4855200,48.5
"2009-04-08",57.55,59.47,57.02,58.79,4020400,50.1
"2009-04-09",60.97,65.25,60.08,65.03,6240300,55.41
"2009-04-13",63.89,65.62,62.24,64.45,4881800,54.92
"2009-04-14",62.89,63.48,58.52,58.95,5677900,50.23
"2009-04-15",57.68,64.27,57.29,63.82,5432000,54.38
"2009-04-16",64.4,67.8,61.4,64.59,4994400,55.04
"2009-04-17",63.99,66.17,62.79,64.83,5153800,55.24
"2009-04-20",63.55,64.39,59.01,59.29,4889600,50.52
"2009-04-21",58.69,65.27,57.65,65.27,6554800,55.62
"2009-04-22",63.44,64.47,60.49,60.49,7175100,51.55
"2009-04-23",60.72,64.41,60.4,63.91,3897800,54.46
"2009-04-24",64.16,68.35,63.32,67.06,5303100,57.14
"2009-04-27",65.71,66.54,62.86,64.51,4622300,54.97
"2009-04-28",63.85,64.65,62.38,63.1,3053400,53.77
"2009-04-29",64.52,66.61,63.62,66.4,3678500,56.58
"2009-04-30",66.62,67.81,65.65,66.86,3948100,56.97
"2009-05-01",66.61,67.07,63.94,64.66,3024600,55.1
"2009-05-04",66.31,68.86,64.03,68.75,4628300,58.58
"2009-05-05",67.43,67.43,62.65,64,4606700,54.54
"2009-05-06",63.81,65.53,61.73,65.17,4426000,55.53
"2009-05-07",67.02,67.03,61.42,62.8,3839600,53.51
"2009-05-08",63.78,66.46,60.88,66.32,5218500,56.51
"2009-05-11",64.89,65.2,62.71,62.93,3676000,53.63
"2009-05-12",63.48,65.5,61.95,64.3,3628600,54.79
"2009-05-13",62.98,63.76,61.44,61.61,3667700,52.5
"2009-05-14",61.79,64.05,61.09,63.43,3444700,54.05
"2009-05-15",62.41,63.34,60.46,61.4,3432900,52.32
"2009-05-18",62.35,66.7,61.78,66.02,4337800,56.26
"2009-05-19",65.34,66.49,64.08,64.69,2695700,55.13
"2009-05-20",65.56,67.24,64.05,64.36,2618500,54.84
"2009-05-21",63.05,65.27,62.54,64.36,2444400,54.84
"2009-05-22",64.55,65.72,63.95,64.05,2280100,54.58
"2009-05-26",64.3,67.73,63.59,67.35,3783300,57.39
"2009-05-27",67.49,67.65,64.55,64.82,4284500,55.24
"2009-05-28",65.56,66.01,63.26,65.55,3141200,55.86
"2009-05-29",65.74,66.65,64.27,66.61,2887500,56.76
"2009-06-01",66.88,68.97,65.71,67.07,4086700,57.15
"2009-06-02",66.42,66.99,65.12,65.5,2994700,55.82
"2009-06-03",65,66.39,64.86,66.15,2618100,56.37
"2009-06-04",67.4,68.46,65.84,68.12,3212400,58.05
"2009-06-05",68.86,68.86,66,66.48,2195200,56.65
"2009-06-08",65.56,67.02,64.9,66.27,2184900,56.47
"2009-06-09",66.71,66.85,65.54,66.57,1650800,56.73
"2009-06-10",67.13,67.25,65.15,66.34,3047100,56.53
"2009-06-11",66.21,66.83,65.57,65.61,2424000,56.38
"2009-06-12",65.62,67.8,65.2,67.66,2282000,58.14
"2009-06-15",66.84,67.13,64.43,64.93,2933500,55.79
"2009-06-16",65.39,66.03,63.9,64.62,1676700,55.53
"2009-06-17",64.51,65.15,63.06,63.59,2076600,54.64
"2009-06-18",63.86,64.75,63.49,64.3,2066700,55.25
"2009-06-19",65.18,65.18,63.59,64.71,2472700,55.6
"2009-06-22",64.05,64.22,61.79,61.84,2615900,53.14
"2009-06-23",60.68,63.45,60.68,62.21,1990800,53.46
"2009-06-24",62.68,64.16,62.68,63.92,1938500,54.92
"2009-06-25",63.67,64.71,62.94,64.69,1631300,55.59
"2009-06-26",64.58,65.17,63.38,64.66,3760100,55.56
"2009-06-29",64.81,64.81,63.69,64.56,1663900,55.47
"2009-06-30",64.42,66.06,63.96,65.48,1927500,56.26
"2009-07-01",66.14,66.94,65.67,66.51,1835900,57.15
"2009-07-02",65.41,66.22,63.22,63.51,2468500,54.57
"2009-07-06",63.08,66.08,62.82,65.98,2628300,56.69
"2009-07-07",65.7,65.7,63.18,63.38,2274600,54.46
"2009-07-08",64.12,64.59,62.19,63.42,2693200,54.49
"2009-07-09",63.5,64.13,62.53,62.76,1880100,53.93
"2009-07-10",62.5,63.28,61.35,62.42,1539400,53.64
"2009-07-13",63.03,64.95,62.08,64.75,2629900,55.64
"2009-07-14",64.77,65.47,63.54,64.97,1308400,55.83
"2009-07-15",65.62,67.33,65.13,66.56,2643800,57.19
"2009-07-16",66.33,67.31,65.19,66.9,1546800,57.49
"2009-07-17",66.21,66.7,65.19,66.06,1970100,56.76
"2009-07-20",66.64,67.54,66.45,67.41,1696800,57.92
"2009-07-21",67.56,67.75,66.05,67.3,1179500,57.83
"2009-07-22",66.86,68.16,66,67.51,1020400,58.01
"2009-07-23",67.13,70.94,67.04,70.16,2204700,60.29
"2009-07-24",69.54,69.95,68.85,69.72,830000,59.91
"2009-07-27",69.24,70.59,69.14,70.26,1162800,60.37
"2009-07-28",69.58,70.57,69.27,70.31,1315100,60.42
"2009-07-29",69.46,70.81,69.32,70.14,1094200,60.27
"2009-07-30",70.73,73.05,70.49,71.85,1796600,61.74
"2009-07-31",71.78,73.05,71.7,72.57,1354700,62.36
"2009-08-03",73.14,73.8,72.34,73.59,1244100,63.23
"2009-08-04",72.97,75.8,71.76,75.15,2318500,64.57
"2009-08-05",75.23,78.07,74.76,77.89,2296500,66.93
"2009-08-06",78.12,79.35,75.12,75.13,2692800,64.56
"2009-08-07",76.06,78.56,75.1,77.38,2449500,66.49
"2009-08-10",76.41,76.86,75,75.59,1994300,64.95
"2009-08-11",75.33,75.61,72.1,72.68,2301600,62.45
"2009-08-12",73.01,74,72.24,72.79,2036800,62.55
"2009-08-13",72.84,73.77,71.4,72.57,1571200,62.36
"2009-08-14",72.11,72.5,70.37,71.49,2374600,61.43
"2009-08-17",69.66,69.68,67.37,67.59,3096600,58.08
"2009-08-18",67.86,68.26,66.82,67.75,2266600,58.22
"2009-08-19",66.8,67.54,66.48,67.35,1731800,57.87
"2009-08-20",67.5,69.33,66.94,68.98,2430500,59.27
"2009-08-21",69.52,70.95,68.85,70.33,2528900,60.43
"2009-08-24",71.07,71.44,70.24,70.55,1905200,60.62
"2009-08-25",71.35,71.37,69.86,70.99,2371700,61
"2009-08-26",70.31,70.99,70.12,70.8,3020900,60.84
"2009-08-27",70.42,71.84,69.69,71.75,1979800,61.65
"2009-08-28",71.97,72.4,70.81,71.46,1706300,61.4
"2009-08-31",70.71,71.42,70.05,70.55,2398500,60.62
"2009-09-01",70.11,70.31,67.47,67.53,3162700,58.03
"2009-09-02",67.47,68.41,67.19,67.7,2524200,58.17
"2009-09-03",68.47,69,67.31,68.93,1465300,59.23
"2009-09-04",68.94,69.76,67.98,69.65,1373500,59.85
"2009-09-08",70.09,70.61,69.65,70.44,2663400,60.53
"2009-09-09",70.04,70.79,69.72,70.73,1801800,60.78
"2009-09-10",70.23,71.25,69.6,71.23,1413800,61.21
"2009-09-11",71.32,72.09,69.69,69.89,2525800,60.52
"2009-09-14",69.44,72.9,69.26,72.88,2029200,63.11
"2009-09-15",72.65,75.25,72.09,74.58,2627400,64.58
"2009-09-16",74.71,77.28,74.58,77.22,2137600,66.87
"2009-09-17",76.95,79.29,76.02,77.04,1603900,66.71
"2009-09-18",77.19,78.69,76.6,77.71,3060100,67.29
"2009-09-21",77.22,77.56,76.05,76.78,1272200,66.49
"2009-09-22",77.33,79.47,77.02,79.36,1627700,68.72
"2009-09-23",79.19,79.31,76.72,76.77,2031200,66.48
"2009-09-24",77.58,77.78,74.54,74.6,1961200,64.6
"2009-09-25",74.71,75.66,74.01,74.18,1360100,64.24
"2009-09-28",74.39,78.26,74.39,78.04,2087500,67.58
"2009-09-29",78.15,78.66,76.35,76.42,1247100,66.18
"2009-09-30",76.2,76.97,74.49,75.24,1747000,65.15
"2009-10-01",75.14,76.3,72.74,72.81,2816900,63.05
"2009-10-02",71.71,73.6,70.86,71.68,1871600,62.07
"2009-10-05",72.49,73.1,71.59,72.24,1506900,62.56
"2009-10-06",72.89,73.82,71.28,72.31,1114700,62.62
"2009-10-07",72,72.72,71.54,72.47,931500,62.76
"2009-10-08",72.6,73.39,71.98,72.18,1599900,62.5
"2009-10-09",72.09,72.75,71.14,72.48,1108100,62.76
"2009-10-12",72.74,73.12,72.09,72.35,663000,62.65
"2009-10-13",72.23,72.49,70.76,71.56,1087800,61.97
"2009-10-14",72.79,73.79,72.26,73.61,1646600,63.74
"2009-10-15",74.02,74.8,73.81,74.35,1441500,64.38
"2009-10-16",72.77,73.85,72.77,73.23,1683500,63.41
"2009-10-19",73.76,74.89,73.01,74.31,1633900,64.35
"2009-10-20",74.15,74.65,72.96,74.29,1763400,64.33
"2009-10-21",73.95,74.97,72.63,72.8,1773600,63.04
"2009-10-22",72.84,74.77,71.77,74.68,1364400,64.67
"2009-10-23",74.64,75.24,74.23,74.75,1818700,64.73
"2009-10-26",74.97,76.09,74.17,74.37,1945400,64.4
"2009-10-27",74.27,74.81,73.69,73.99,1691500,64.07
"2009-10-28",73.68,74.59,71.33,71.39,2013000,61.82
"2009-10-29",72.25,74.77,71.95,74.67,1841200,64.66
"2009-10-30",74.08,74.42,71.93,73.6,2763600,63.73
"2009-11-02",73.62,74.97,72.02,73.98,2025700,64.06
"2009-11-03",73.22,75.24,72.91,75.21,2225400,65.13
"2009-11-04",75.79,77.46,74.57,74.69,2269000,64.68
"2009-11-05",75.28,76.85,75.24,76.69,1366800,66.41
"2009-11-06",76.67,77.33,75.39,75.98,1711500,65.8
"2009-11-09",76.57,79.3,76.56,79.15,1897100,68.54
"2009-11-10",78.84,79.14,77.88,78.7,1342900,68.15
"2009-11-11",79.66,80.58,78.69,79.55,1856300,68.89
"2009-11-12",79.4,80.21,78.51,78.79,1282700,68.23
"2009-11-13",79.11,80.47,79.02,79.94,1301700,69.22
"2009-11-16",80.7,82.02,80.41,81.17,1790700,70.29
"2009-11-17",80.76,81.47,79.89,79.91,2086800,69.2
"2009-11-18",80.14,80.87,79.32,80.69,1568500,69.87
"2009-11-19",79.94,80.08,78.94,78.97,2529700,68.38
"2009-11-20",78.75,78.96,78.5,78.6,2249600,68.06
"2009-11-23",79.85,80.57,79.15,79.64,1442600,68.96
"2009-11-24",79.76,79.76,78.62,78.8,1385400,68.24
"2009-11-25",79.49,79.49,78.52,78.81,1058200,68.25
"2009-11-27",77.44,77.73,76.34,76.44,780000,66.19
"2009-11-30",76.69,79.96,76.18,79.58,2122700,68.91
"2009-12-01",80.31,80.31,79.5,79.91,1530100,69.2
"2009-12-02",79.81,80.67,79.45,79.98,1909100,69.26
"2009-12-03",80.41,81.09,77.72,78.01,1845800,67.55
"2009-12-04",79,80.32,78.4,79.81,2063500,69.11
"2009-12-07",79.66,79.83,77.42,78.07,1277200,67.61
"2009-12-08",77.82,78.3,76.98,77.31,1314200,66.95
"2009-12-09",77.21,77.64,76.8,76.97,1226200,66.65
"2009-12-10",77.14,77.5,76.23,76.81,1146100,66.51
"2009-12-11",76.53,77.74,76.38,77.7,1120500,67.77
"2009-12-14",79.63,79.63,77.59,79.06,1063400,68.96
"2009-12-15",78.3,79.12,78.17,78.29,920100,68.28
"2009-12-16",79,79.87,78.2,79.29,1196500,69.16
"2009-12-17",78.87,79.74,78.59,79.36,926200,69.22
"2009-12-18",79.57,79.6,78.16,79.36,1338500,69.22
"2009-12-21",79.71,80.58,79.42,80.5,962100,70.21
"2009-12-22",80.4,82.07,80.11,81.93,1280900,71.46
"2009-12-23",82.17,83.5,81.74,82.85,1054500,72.26
"2009-12-24",83.48,84.16,83.18,84.13,431500,73.38
"2009-12-28",84.07,85.1,83.52,83.86,628300,73.14
"2009-12-29",84.33,84.45,82.4,82.62,644100,72.06
"2009-12-30",82.61,82.86,82,82.85,793200,72.26
"2009-12-31",82.91,84.01,81.38,81.45,1081200,71.04
"2010-01-04",81.76,82.13,79.51,80.13,1579100,69.89
"2010-01-05",79.87,80.93,79.23,80.79,1131000,70.47
"2010-01-06",80.73,81.42,80.02,80.3,832400,70.04
"2010-01-07",79.88,80.76,78.93,80.19,1284100,69.94
"2010-01-08",79.64,80,78.2,78.73,1281100,68.67
"2010-01-11",79.24,80.12,78.29,79.27,1356700,69.14
"2010-01-12",78.46,79.15,77.51,77.98,1694800,68.01
"2010-01-13",78.09,79.65,77.75,79.52,1346400,69.36
"2010-01-14",79.35,79.55,78.55,79.12,785100,69.01
"2010-01-15",78.89,79.25,78.25,78.97,1438600,68.88
"2010-01-19",78.9,80.72,78.85,80.64,1330800,70.33
"2010-01-20",80.21,80.36,79.11,79.75,1262300,69.56
"2010-01-21",79.93,80.25,78.43,78.74,1944300,68.68
"2010-01-22",78.72,79.43,77.5,77.67,2070100,67.74
"2010-01-25",78.57,79.29,77.07,78.76,1502600,68.69
"2010-01-26",78.14,79.56,78.05,78.33,1222900,68.32
"2010-01-27",78.53,80,77.52,79.96,1669900,69.74
"2010-01-28",80.27,80.61,77.58,78.55,1664300,68.51
"2010-01-29",78.77,80.34,78.54,79.18,1834300,69.06
"2010-02-01",79.51,81.06,79.45,80.47,1303200,70.19
"2010-02-02",80.7,81.4,79.91,81.14,1392000,70.77
"2010-02-03",80.71,80.77,79.74,79.81,1056900,69.61
"2010-02-04",79.28,79.82,76.57,76.68,2768200,66.88
"2010-02-05",76.88,78.07,75.78,77.63,2080000,67.71
"2010-02-08",77.56,78.11,75.87,76.02,1531600,66.3
"2010-02-09",76.77,76.98,75.34,75.81,1472800,66.12
"2010-02-10",75.71,76.9,74.74,76.05,1105000,66.33
"2010-02-11",75.94,76.8,75.26,76.74,1133900,66.93
"2010-02-12",75.79,76.66,75.38,76.55,1325000,66.77
"2010-02-16",77.08,78.24,76.81,78.08,1662100,68.1
"2010-02-17",78.52,79.11,78.19,78.75,1244300,68.69
"2010-02-18",78.5,80.28,78.49,79.95,1244600,69.73
"2010-02-19",80.15,82.13,79.92,81.7,1650700,71.26
"2010-02-22",81.9,82.22,80.98,81.34,1215600,70.94
"2010-02-23",81.14,81.83,80.18,80.33,1645700,70.06
"2010-02-24",80.73,81.58,80.31,81.53,1282600,71.11
"2010-02-25",80.77,81.99,80.34,81.91,1091800,71.44
"2010-02-26",82.09,83.23,81.65,82.19,1707600,71.69
"2010-03-01",83.43,85.2,83.06,84.62,1846800,73.81
"2010-03-02",85.12,86.46,84.9,85.14,1310000,74.26
"2010-03-03",85,85.64,84.75,84.79,1071400,73.95
"2010-03-04",84.73,85.98,84.73,85.84,1099300,74.87
"2010-03-05",86.38,87.54,86.17,87.42,1430700,76.25
"2010-03-08",87.55,88.24,87.17,87.58,1161100,76.39
"2010-03-09",87.39,88.29,87,87.69,1242500,76.48
"2010-03-10",87.75,88.09,87.02,87.81,1106400,76.59
"2010-03-11",87.47,88.16,86.64,88.15,1339200,77.46
"2010-03-12",88.51,89.29,88.25,88.99,1129300,78.2
"2010-03-15",89.05,89.34,88.07,88.9,698600,78.12
"2010-03-16",89.1,90.97,88.8,90.75,1122100,79.74
"2010-03-17",90.9,92.01,90.53,91.74,1175100,80.61
"2010-03-18",91.26,91.99,91.08,91.82,890000,80.68
"2010-03-19",92.03,92.23,90.84,90.91,1352200,79.88
"2010-03-22",90.5,92.09,90.39,91.79,1188800,80.66
"2010-03-23",91.37,92.3,90.6,92.13,1072700,80.96
"2010-03-24",92.1,93.51,91.84,92.93,1541000,81.66
"2010-03-25",93.25,94.2,91.95,92.1,1660400,80.93
"2010-03-26",92.3,92.69,91.44,92.14,1428800,80.96
"2010-03-29",92.5,92.83,92,92.64,1015800,81.4
"2010-03-30",92.75,93.54,92.55,93.16,1271600,81.86
"2010-03-31",92.65,93.18,91.92,91.99,1493800,80.83
"2010-04-01",92.45,92.66,91.75,92.4,1014500,81.19
"2010-04-05",92.81,94.15,92.56,93.78,1050700,82.4
"2010-04-06",93.2,95.17,92.98,94.7,1199400,83.21
"2010-04-07",94.42,94.94,92.94,93.18,1316700,81.88
"2010-04-08",93.08,93.47,92.63,93.05,974700,81.76
"2010-04-09",93.26,94.74,92.97,94.63,951900,83.15
"2010-04-12",94.44,94.77,93.75,93.93,886100,82.54
"2010-04-13",94.01,95.47,93.77,95.18,1177900,83.64
"2010-04-14",95.34,95.54,94.5,95.17,1055300,83.63
"2010-04-15",94.79,95.31,93.21,93.27,1160300,81.96
"2010-04-16",93.27,94.21,91.78,91.86,1690500,80.72
"2010-04-19",91.25,93.15,91.23,92.46,1123200,81.25
"2010-04-20",92.92,93.74,92.2,93.73,932500,82.36
"2010-04-21",93.35,94.98,93.27,94.38,1235600,82.93
"2010-04-22",93.63,96.18,93.11,95.91,1134500,84.28
"2010-04-23",95.78,96.66,95.11,96.14,1088200,84.48
"2010-04-26",96.04,97.9,95.76,97.21,1394900,85.42
"2010-04-27",96.5,96.88,94.77,94.86,1501600,83.35
"2010-04-28",95.13,96.05,94.78,95.12,1272900,83.58
"2010-04-29",96.17,99.27,95.72,99.22,1469200,87.19
"2010-04-30",98.75,99.66,96.76,96.91,1639500,85.16
"2010-05-03",97.29,100.58,97.29,100.11,1581100,87.97
"2010-05-04",99.22,99.61,97.22,98.27,2011900,86.35
"2010-05-05",97.53,98.69,96.36,96.98,1228600,85.22
"2010-05-06",96.52,97.48,89.04,94.25,2581900,82.82
"2010-05-07",93.91,94.89,89.06,92.96,2680100,81.68
"2010-05-10",95.48,98.49,94.86,98.41,2071900,86.47
"2010-05-11",97.26,98.98,96.97,97.86,2068600,85.99
"2010-05-12",98.56,99.27,97.62,98.6,1782100,86.64
"2010-05-13",98.14,98.96,97.18,97.51,1519900,85.68
"2010-05-14",96.91,96.99,92.8,93.84,2159000,82.46
"2010-05-17",94.39,95.39,91.96,94.08,1401400,82.67
"2010-05-18",94.9,94.98,90.91,91.18,1862200,80.12
"2010-05-19",90.78,92.52,89.21,90.8,1911200,79.79
"2010-05-20",89.16,89.65,86.86,87.03,2254800,76.47
"2010-05-21",85.94,90.66,85.6,90.47,2707800,79.5
"2010-05-24",90.54,91.09,88.87,88.9,1709200,78.12
"2010-05-25",87.08,90.04,85.78,89.92,2146600,79.01
"2010-05-26",90.14,91.74,89.4,90.98,3905400,79.94
"2010-05-27",92.64,94.26,91.32,94.12,2117200,82.7
"2010-05-28",93.83,94.15,92.47,92.69,1506500,81.45
"2010-06-01",91.53,93.11,89.99,91.19,1442000,80.13
"2010-06-02",91.62,92.93,90.29,92.87,1897300,81.61
"2010-06-03",93.31,93.31,91.48,91.89,993600,80.74
"2010-06-04",89.57,91.31,87.31,87.72,1854800,77.08
"2010-06-07",88.11,89.38,86.52,86.6,1866500,76.1
"2010-06-08",86.69,88.54,85.04,88.21,1980300,77.51
"2010-06-09",88.85,90.36,87.45,87.85,1547200,77.19
"2010-06-10",88.99,91.09,88.31,91,1596800,79.96
"2010-06-11",89.34,91.42,88.45,91.27,1325700,80.91
"2010-06-14",91.72,92.49,90.9,91.51,1857000,81.12
"2010-06-15",92.03,93.72,91.4,93.63,1645600,83
"2010-06-16",93.38,94.37,92.69,93.7,1381600,83.06
"2010-06-17",93.59,94.17,93.15,93.84,1418300,83.19
"2010-06-18",94.29,94.29,93.23,93.82,1702000,83.17
"2010-06-21",94.87,95,92.45,92.83,1005800,82.29
"2010-06-22",92.86,93.69,91.66,91.84,2148000,81.42
"2010-06-23",91.85,94.01,91.52,93.18,2010300,82.6
"2010-06-24",92.57,93.06,91.05,91.17,1291900,80.82
