"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2007-01-03",62.7,63.35,62.45,62.72,6161600,51.07
"2007-01-04",62.7,63.25,62.5,63.15,5414300,51.42
"2007-01-05",62.7,63.22,62.7,62.95,4542400,51.26
"2007-01-08",63,63.27,62.86,63.09,6122600,51.38
"2007-01-09",63.05,63.47,63.01,63.35,4916500,51.59
"2007-01-10",63,64.29,62.29,64.15,6427100,52.24
"2007-01-11",64.2,65.06,64.2,64.95,6909300,52.89
"2007-01-12",64.78,65.25,64.59,64.7,4982100,52.69
"2007-01-16",64.5,64.99,64.5,64.85,3517700,52.81
"2007-01-17",64.67,65,64.56,65,4494400,52.93
"2007-01-18",64.41,65.54,64.22,64.92,4144300,52.87
"2007-01-19",65.01,65.01,64.67,64.82,5333700,52.78
"2007-01-22",64.63,65.13,64.54,64.81,5546700,52.78
"2007-01-23",64.71,65.11,64.65,64.84,3860200,52.8
"2007-01-24",64.74,65.2,64.5,65.2,3586600,53.09
"2007-01-25",65.07,65.07,64.33,64.42,3750500,52.46
"2007-01-26",64.45,64.81,64.4,64.45,8566800,52.48
"2007-01-29",64.45,64.85,64.4,64.6,4451200,52.6
"2007-01-30",64.68,65.21,64.4,65.09,5131600,53
"2007-01-31",65.1,65.36,64.88,65.24,4277000,53.13
"2007-02-01",65,65.39,64.68,65.38,4382800,53.24
"2007-02-02",64.65,65.3,64.64,65.04,3097800,52.96
"2007-02-05",65,65,64.44,64.83,3646800,52.79
"2007-02-06",64.84,64.94,64.36,64.39,4129800,52.43
"2007-02-07",64.4,64.7,64.22,64.5,4323100,52.52
"2007-02-08",63.25,64.11,62.8,63.31,13901100,51.55
"2007-02-09",62.56,64.15,62.56,63.91,7276500,52.04
"2007-02-12",63.99,64,63.56,63.72,4961100,51.89
"2007-02-13",63.79,64.14,63.41,63.81,4969500,51.96
"2007-02-14",63.8,63.96,63.35,63.35,6885900,51.59
"2007-02-15",63.26,64.52,63.25,64.08,4701500,52.18
"2007-02-16",64.27,64.95,64.13,64.62,6386100,52.62
"2007-02-20",64.42,64.76,64.23,64.61,3994700,52.61
"2007-02-21",64.41,65.21,64.4,65.02,5729900,52.95
"2007-02-22",64.91,65,64.23,64.66,5618700,52.65
"2007-02-23",64.43,64.68,64.23,64.58,3385000,52.59
"2007-02-26",64.85,64.91,64.38,64.49,4021600,52.52
"2007-02-27",64.39,65,62.5,62.76,8262000,51.11
"2007-02-28",62.57,63.46,62.51,63.15,7139700,51.42
"2007-03-01",62.75,63.72,62.5,63.43,8967300,51.65
"2007-03-02",63.41,63.66,62.84,62.93,6344400,51.24
"2007-03-05",62.93,63.2,62.76,62.77,6917500,51.11
"2007-03-06",62.96,63.32,62.89,63.26,5539700,51.51
"2007-03-07",63.1,63.17,62.61,62.75,4346500,51.34
"2007-03-08",63,63.24,62.57,63.05,5168700,51.59
"2007-03-09",63.15,63.15,62.62,62.88,6075400,51.45
"2007-03-12",62.82,63.32,62.7,63.17,3652200,51.69
"2007-03-13",63.49,63.7,62.01,62.16,6438000,50.86
"2007-03-14",62.91,63,61.89,62.69,5619900,51.29
"2007-03-15",62.73,63.44,62.61,62.99,6198200,51.54
"2007-03-16",63.77,63.77,62.28,62.57,6687700,51.19
"2007-03-19",62.81,63.2,62.75,62.84,5506100,51.42
"2007-03-20",62.69,63.51,62.66,63.4,4345300,51.87
"2007-03-21",63.22,64.3,63.18,64.18,4800200,52.51
"2007-03-22",63.77,64.33,63.5,64.11,4558500,52.45
"2007-03-23",63.85,64.16,63.76,64.09,3149500,52.44
"2007-03-26",64.02,64.04,63.32,63.89,5320700,52.27
"2007-03-27",63.5,63.5,62.87,62.95,6602800,51.51
"2007-03-28",62.75,63.33,62.67,62.89,7390100,51.46
"2007-03-29",62.97,63.67,62.57,63.59,4953200,52.03
"2007-03-30",63.94,64,62.9,63.56,5079200,52
"2007-04-02",63.15,63.7,63.12,63.39,4596000,51.87
"2007-04-03",63.7,63.8,63.27,63.4,5588600,51.87
"2007-04-04",63.45,63.84,63.34,63.73,5054200,52.14
"2007-04-05",63.63,63.83,63.43,63.68,4372600,52.1
"2007-04-09",63.6,63.75,62.96,62.99,6847400,51.54
"2007-04-10",62.95,63.46,62.87,63.41,6447100,51.88
"2007-04-11",63.24,63.42,63,63.21,5395600,51.72
"2007-04-12",63.9,64.31,63.65,64.16,8138300,52.5
"2007-04-13",64.4,64.59,64,64.4,4947500,52.69
"2007-04-16",64.4,64.69,64.31,64.56,6314100,52.82
"2007-04-17",64.68,66.01,64.44,65.8,12026600,53.84
"2007-04-18",65.55,65.98,65.52,65.92,5901300,53.94
"2007-04-19",65.89,66.03,65.55,66.03,5284200,54.03
"2007-04-20",66.25,66.82,66.25,66.65,8037100,54.53
"2007-04-23",66.56,66.96,66.55,66.59,4419700,54.48
"2007-04-24",66.56,66.86,66.13,66.41,4577300,54.34
"2007-04-25",66.77,67.24,66.3,66.98,5911200,54.8
"2007-04-26",67.4,67.4,66.31,66.41,6385600,54.34
"2007-04-27",65.85,66.57,65.78,66.29,4524700,54.24
"2007-04-30",66.19,66.72,66.07,66.09,5503500,54.07
"2007-05-01",66.15,66.51,65.97,66.4,4108400,54.33
"2007-05-02",66.8,67.1,66.51,67.02,5458600,54.84
"2007-05-03",67.08,67.72,67.05,67.31,5184200,55.07
"2007-05-04",67.43,67.6,67.22,67.42,3246300,55.16
"2007-05-07",67.54,67.69,67.3,67.48,2398000,55.21
"2007-05-08",67.2,67.6,67.1,67.15,3268600,54.94
"2007-05-09",67.15,67.49,67.04,67.17,3391100,54.96
"2007-05-10",67.01,67.17,66.32,66.35,4311600,54.29
"2007-05-11",66.35,66.85,66.19,66.8,3675000,54.66
"2007-05-14",66.71,67,66.45,66.79,4923000,54.65
"2007-05-15",67.04,67.59,66.9,67.45,6784700,55.19
"2007-05-16",67.44,68.8,67.27,68.64,8944800,56.16
"2007-05-17",68.45,68.71,68.13,68.49,5715700,56.04
"2007-05-18",68.77,69.64,68.69,69.48,8369100,56.85
"2007-05-21",68.5,69.41,68.39,69.03,7068300,56.48
"2007-05-22",68.83,69,68.37,68.67,6329400,56.19
"2007-05-23",68.75,68.92,68.54,68.69,4412100,56.2
"2007-05-24",68.74,69.06,68.37,68.45,6077800,56.01
"2007-05-25",68.38,69,68.38,68.82,4080800,56.31
"2007-05-29",68.66,69,68.33,68.48,5001900,56.03
"2007-05-30",68.2,68.76,68.06,68.57,5645400,56.1
"2007-05-31",68.51,68.91,68.26,68.33,5697400,55.91
"2007-06-01",68.65,68.96,68.35,68.7,4965300,56.21
"2007-06-04",68,68.7,68,68.31,3721200,55.89
"2007-06-05",67.77,68.36,67.59,67.62,5889000,55.33
"2007-06-06",67.22,67.5,67,67.06,5435400,55.17
"2007-06-07",66.96,67.16,66.29,66.35,7122300,54.59
"2007-06-08",66.21,66.64,65.83,66.61,6997000,54.8
"2007-06-11",66.3,66.61,65.98,66.04,5067400,54.34
"2007-06-12",65.96,66.64,65.77,66.03,6423100,54.33
"2007-06-13",66.08,66.42,65.54,66.39,5708300,54.62
"2007-06-14",66.47,67.09,66.35,66.89,5174500,55.03
"2007-06-15",67.16,67.76,66.66,66.68,7758200,54.86
"2007-06-18",66.69,66.9,66.54,66.59,3496500,54.79
"2007-06-19",66.38,66.39,65.52,65.8,6368000,54.14
"2007-06-20",66.12,66.42,65.52,65.52,4750000,53.91
"2007-06-21",65.52,66.07,65.5,65.88,4326500,54.2
"2007-06-22",65.58,65.98,64.71,64.86,7719100,53.36
"2007-06-25",64.7,65.2,64.33,64.65,5993100,53.19
"2007-06-26",65.02,65.2,64.51,64.66,7752200,53.2
"2007-06-27",64.57,65.54,64.25,65.17,5194400,53.62
"2007-06-28",65.18,65.71,64.7,65.25,5104800,53.69
"2007-06-29",65.31,65.61,64.36,64.85,6917900,53.36
"2007-07-02",65.38,66,65,65.3,7159200,53.73
"2007-07-03",65.48,65.71,65.04,65.59,3470800,53.96
"2007-07-05",65.74,66.51,65.68,65.91,5679200,54.23
"2007-07-06",65.92,66.42,65.65,66.22,3851100,54.48
"2007-07-09",66.05,66.44,66,66.05,4156600,54.34
"2007-07-10",66.05,66.55,65.84,65.87,7152600,54.2
"2007-07-11",65.58,66.21,65.47,66.11,4928700,54.39
"2007-07-12",66.26,67,66,66.94,5630200,55.08
"2007-07-13",67,67,66.26,66.85,4891400,55
"2007-07-16",66.61,67.25,66.56,66.99,4474400,55.12
"2007-07-17",67.13,67.25,66.25,66.4,24336200,54.63
"2007-07-18",66.27,66.55,65.6,66.13,7537600,54.41
"2007-07-19",66.22,66.52,65.25,65.47,9939200,53.87
"2007-07-20",65.2,65.2,64.25,64.67,11559400,53.21
"2007-07-23",65.02,66.87,64.75,66.59,10956800,54.79
"2007-07-24",66,66.9,65.61,66.26,8252100,54.52
"2007-07-25",66.82,68.96,66.82,68.32,11364700,56.21
"2007-07-26",67.45,68.25,66.4,66.84,10338300,54.99
"2007-07-27",67.15,67.28,65.63,65.66,8881700,54.02
"2007-07-30",66.78,68.9,65.13,65.9,7404700,54.22
"2007-07-31",66.05,66.5,65.56,65.62,6964200,53.99
"2007-08-01",65.11,66.74,65.1,66.43,6558600,54.66
"2007-08-02",66.99,67.22,66.25,66.81,5264700,54.97
"2007-08-03",66.81,67.59,66.43,66.47,6114100,54.69
"2007-08-06",67.11,68.55,66.75,68.51,7561300,56.37
"2007-08-07",68.19,69.83,67.95,69.16,9067700,56.9
"2007-08-08",68.67,70.17,68.51,69.94,6706800,57.54
"2007-08-09",69.45,70.25,68.5,68.5,8567200,56.36
