"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume","FLS.Adjusted"
"2007-04-17",60,60.35,59.94,60.06,481800,18.55
"2007-04-18",60.06,60.1,59.12,59.73,656100,18.45
"2007-04-19",59.49,60.27,58.46,59.76,700200,18.46
"2007-04-20",60.15,60.25,59.32,59.92,900900,18.51
"2007-04-23",59.9,60.55,59.82,60.45,609000,18.67
"2007-04-24",60.54,60.8,60.4,60.62,462600,18.72
"2007-04-25",60.77,61,60.06,60.76,763500,18.77
"2007-04-26",60.77,60.96,60.49,60.59,477300,18.71
"2007-04-27",60.5,61.42,60.4,61.06,692100,18.86
"2007-04-30",61.07,61.62,60.84,61.01,947100,18.84
"2007-05-01",61,61.1,60.16,60.71,1094700,18.75
"2007-05-02",60.61,62.02,60.5,61.75,903600,19.07
"2007-05-03",61.8,63.29,61.7,63.16,1651200,19.51
"2007-05-04",63.15,63.15,61.71,62.23,1105200,19.22
"2007-05-07",62.24,62.3,61.16,61.33,782400,18.94
"2007-05-08",61.15,62.22,60.61,61.79,853500,19.09
"2007-05-09",61.8,64.21,61.69,64.21,1233900,19.83
"2007-05-10",64.21,65.4,63.3,64.1,2539800,19.8
"2007-05-11",64.6,66.7,64.41,66.22,2258400,20.45
"2007-05-14",66.36,67.88,66.36,67.21,1692300,20.76
"2007-05-15",67.25,67.84,66.12,66.89,1968900,20.66
"2007-05-16",66.96,67,65.11,65.76,1440600,20.31
"2007-05-17",65.8,67.79,65.8,67.42,1283400,20.82
"2007-05-18",67.43,67.79,66.64,67.11,823500,20.73
"2007-05-21",67.18,67.76,66.76,67.36,761400,20.81
"2007-05-22",67.49,68.22,67.25,67.81,1158300,20.95
"2007-05-23",68.19,68.82,67.55,67.6,1220700,20.88
"2007-05-24",67.7,68.06,66.15,66.27,849300,20.47
"2007-05-25",66.62,67.9,66.62,67.77,776100,20.93
"2007-05-29",68.16,69.55,68.14,69.48,1348500,21.46
"2007-05-30",68.99,69.63,68.21,69.63,1095000,21.51
"2007-05-31",70,70,69.15,69.41,1422300,21.44
"2007-06-01",69.41,70.56,69.4,70.1,1195200,21.65
"2007-06-04",70.01,70.65,69.81,70.65,997200,21.82
"2007-06-05",70.35,70.35,68.67,69.35,1413300,21.42
"2007-06-06",68.82,68.9,67.52,68.02,1124700,21.01
"2007-06-07",67.63,68.18,66.45,66.45,1039500,20.52
"2007-06-08",66.45,67.46,66.17,67.31,873000,20.79
"2007-06-11",67.3,67.83,66.95,67.36,807300,20.81
"2007-06-12",67.2,67.2,65.92,66.17,993600,20.44
"2007-06-13",67.4,71.45,67.4,71.24,5898000,22
"2007-06-14",71.65,72.38,71.4,72.07,1599000,22.26
"2007-06-15",72.33,72.96,72.2,72.37,1011300,22.35
"2007-06-18",72.62,73.07,71.94,72.42,747600,22.37
"2007-06-19",72.29,72.59,71.71,72.36,867300,22.35
"2007-06-20",72.51,72.53,70.83,70.92,1008600,21.91
"2007-06-21",70.92,71.9,70.34,71.78,2108100,22.17
"2007-06-22",71.48,71.48,70.2,70.97,1332300,21.92
"2007-06-25",71.2,71.53,69.48,69.93,903900,21.65
"2007-06-26",70.25,70.49,69.24,69.76,1466400,21.59
"2007-06-27",69.47,70.1,69,70.01,1734000,21.67
"2007-06-28",70.02,71.79,69.95,71.1,1719600,22.01
"2007-06-29",71.69,72.71,71.48,71.6,1625100,22.16
"2007-07-02",72.28,74.08,72.28,73.39,1760700,22.72
"2007-07-03",73.39,73.9,73.19,73.79,590700,22.84
"2007-07-05",72.07,74.28,72.07,73.23,938700,22.67
"2007-07-06",73.33,74.21,72.95,74.17,573900,22.96
"2007-07-09",74.45,74.82,74.2,74.5,836100,23.06
"2007-07-10",74.5,74.79,73.18,73.19,626700,22.65
"2007-07-11",72.43,74.75,72.35,74.13,770400,22.95
"2007-07-12",74.8,75.71,74.8,75.52,1266600,23.38
"2007-07-13",75.5,76.26,75.15,75.57,933300,23.39
"2007-07-16",75.5,76.01,75.13,75.13,437100,23.26
"2007-07-17",75.4,76.38,75.4,75.55,1625400,23.39
"2007-07-18",74.66,75.13,73.85,74.77,877500,23.14
"2007-07-19",75.36,76.62,75.07,76.34,3775800,23.63
"2007-07-20",76.21,76.53,75.54,76.53,1233600,23.69
"2007-07-23",76.05,76.58,75.43,76.35,1422000,23.63
"2007-07-24",76,77.19,75.31,76.3,2737200,23.62
"2007-07-25",76.73,76.82,74.41,75.8,2728800,23.46
"2007-07-26",75.48,76.34,73.35,74.38,2629500,23.02
"2007-07-27",74.05,74.35,71.6,72.24,2867100,22.36
"2007-07-30",71.97,73.86,71.62,73.16,1959300,22.65
"2007-07-31",73.95,74.69,72.09,72.27,1377300,22.37
"2007-08-01",72.11,72.99,69.81,71.19,2225100,22.04
"2007-08-02",71.68,73.74,71.51,72.29,2050800,22.38
"2007-08-03",71.94,71.94,68.72,68.91,1747500,21.33
"2007-08-06",69.04,69.93,67.65,69.87,2112300,21.63
"2007-08-07",69.69,75.88,69.5,75.19,2544600,23.27
"2007-08-08",75.2,77.59,74.81,76.72,2743200,23.75
"2007-08-09",76.72,79.9,72.63,76.64,6957900,23.72
"2007-08-10",76.48,76.64,72.07,73.47,3096300,22.74
"2007-08-13",74.75,74.75,70.15,71,2893500,21.98
"2007-08-14",71,72.69,68.25,68.45,2777400,21.19
"2007-08-15",68.44,69.27,63.32,63.53,3069900,19.66
"2007-08-16",63.53,66,61.99,65.41,3100200,20.25
"2007-08-17",67.24,69,65.47,65.75,1329300,20.35
"2007-08-20",67,69.39,66.25,68.56,1632900,21.22
"2007-08-21",68.6,69.3,67.23,68.15,1032900,21.09
"2007-08-22",68.05,69.51,67.91,69.19,1193400,21.42
"2007-08-23",69.85,70.09,68.5,69.9,1295400,21.64
"2007-08-24",70,70.36,68.8,70.21,1136700,21.73
"2007-08-27",69.67,71.59,69.56,71.02,1077300,21.98
"2007-08-28",70.41,71.01,69.65,69.65,1159800,21.56
"2007-08-29",70.36,70.49,69.58,70.33,1113000,21.77
"2007-08-30",69.47,70.77,69.42,70.34,1105200,21.77
"2007-08-31",71.29,71.83,70.54,71.41,662400,22.1
"2007-09-04",70.97,73.85,70.97,73.38,1025100,22.71
"2007-09-05",72.59,73.1,71.23,72.12,1224300,22.32
"2007-09-06",72.16,72.39,71.14,71.8,798000,22.22
"2007-09-07",70.76,70.78,69.47,69.84,793200,21.62
"2007-09-10",70.3,70.3,67.76,69.23,748500,21.43
"2007-09-11",69.39,70.76,68.52,70.55,1011600,21.84
"2007-09-12",70.49,71.61,69.93,70.91,963600,21.95
"2007-09-13",71.21,72.17,70.58,71.47,1071000,22.12
"2007-09-14",70.62,73.31,70.04,72.93,1164300,22.57
"2007-09-17",72.87,73.24,72.34,72.72,700200,22.51
"2007-09-18",73.07,76.16,73.07,75.91,1596900,23.5
"2007-09-19",76.22,78.46,76.22,77.74,1554000,24.06
"2007-09-20",77.8,78.24,77.2,77.65,1031700,24.04
"2007-09-21",77.85,77.85,75.69,76.43,1121700,23.66
"2007-09-24",75.98,76.14,74.27,74.75,789900,23.18
"2007-09-25",74.45,75.6,74.23,75.29,956400,23.35
"2007-09-26",75.52,76.7,74.69,76.49,1141200,23.72
"2007-09-27",77.26,79.7,76.89,78.14,2519400,24.23
"2007-09-28",78.15,79.25,75.75,76.18,2285700,23.63
"2007-10-01",76.44,79.6,76.34,77.88,2576700,24.15
"2007-10-02",78.42,79.37,78.17,78.91,845100,24.47
"2007-10-03",78.37,78.92,77.26,77.28,1250400,23.97
"2007-10-04",77.68,78.31,76.66,76.68,918300,23.78
"2007-10-05",77.08,79.43,77.08,78.8,1057200,24.44
"2007-10-08",78.65,81.3,78.65,80.22,2081400,24.88
"2007-10-09",80.77,81.61,79.22,80.32,1676700,24.91
"2007-10-10",80.32,80.51,78.97,79.39,1464300,24.62
"2007-10-11",81.37,81.82,77.17,77.96,1857600,24.18
"2007-10-12",78.27,79.92,77.83,79.23,1496100,24.57
"2007-10-15",79.37,80.48,77.29,78.07,1569600,24.21
"2007-10-16",78.1,79.54,77.98,79.05,1714500,24.52
"2007-10-17",79.81,80.44,79.07,79.74,1531500,24.73
"2007-10-18",79.64,81.2,79.25,81.03,1564500,25.13
"2007-10-19",80.86,81.8,80.57,80.57,2953500,24.99
"2007-10-22",79.46,79.8,78.25,78.92,2484000,24.48
"2007-10-23",79.4,80.32,78.22,79,1551300,24.5
"2007-10-24",78.78,79.92,77.3,78.44,2783400,24.33
"2007-10-25",78.99,79.77,76.28,77.42,1574100,24.01
"2007-10-26",78.71,78.89,76.31,77.47,1365300,24.03
"2007-10-29",78.07,78.73,77.54,78.38,1355400,24.31
"2007-10-30",78.01,78.87,77.43,77.44,1052700,24.02
"2007-10-31",77.64,78.99,77.47,78.96,1635300,24.49
"2007-11-01",78.94,78.94,74.86,75.39,3338100,23.38
"2007-11-02",81.85,90,80.02,88.33,8365800,27.39
"2007-11-05",88,92.05,86.99,91.22,4411200,28.29
"2007-11-06",92.01,94.44,91,94,3461100,29.15
"2007-11-07",92.02,96.35,92.01,94.62,3386400,29.35
"2007-11-08",94.25,95.5,91.02,93,2153700,28.84
"2007-11-09",92.3,93.31,90,91.26,2292000,28.3
"2007-11-12",91.98,93.77,89.75,90.07,2508000,27.93
"2007-11-13",91,93,90.78,92,2531100,28.53
"2007-11-14",93.16,93.63,91.67,91.72,1379400,28.45
"2007-11-15",91.42,92.2,90.08,91.06,1362300,28.24
"2007-11-16",91.54,93.22,90.34,90.51,2616900,28.07
"2007-11-19",89.76,91.06,88.5,88.75,1454400,27.53
"2007-11-20",88.91,92.82,88.91,92.43,2051700,28.67
"2007-11-21",91.99,92.25,89.5,90.27,1550100,28
"2007-11-23",91.37,93.7,91.1,93.04,493200,28.86
"2007-11-26",93.71,95,89.79,89.79,1558500,27.85
"2007-11-27",90.03,91.53,88.48,89.88,1868100,27.88
"2007-11-28",90.75,93.89,90.75,93.41,1411500,28.97
"2007-11-29",93.2,94.4,92.25,93.29,1407900,28.93
"2007-11-30",95.28,96,93.16,94.09,1593000,29.18
"2007-12-03",94.6,95.22,92.69,93.01,1433400,28.85
"2007-12-04",92.39,94.41,91.79,92.21,2261100,28.6
"2007-12-05",93.56,94.03,91,92.39,2794800,28.65
"2007-12-06",94.5,101.58,92.54,98.59,5952600,30.58
"2007-12-07",98.61,98.9,95.2,95.9,2904900,29.74
"2007-12-10",95.97,97.42,95.56,97.13,1935900,30.12
"2007-12-11",97.56,99.72,96,96.92,2757600,30.06
"2007-12-12",98.75,99.5,96.36,97.5,2761800,30.24
"2007-12-13",97.47,101.45,96.38,101,2505000,31.32
"2007-12-14",100,102.74,99.15,99.66,2200800,30.91
"2007-12-17",99.39,99.39,92.83,93.96,2557500,29.14
"2007-12-18",94.64,96.79,93.6,94.44,1778400,29.29
"2007-12-19",94.59,95.33,93.21,94.1,1892700,29.18
"2007-12-20",94.51,95.85,94.42,95.1,1357500,29.49
"2007-12-21",96.29,99.52,96.29,98.69,1622700,30.66
"2007-12-24",98.87,100.36,98.31,99.2,389400,30.81
"2007-12-26",99.03,99.64,97.88,99.05,835500,30.77
"2007-12-27",99.71,99.71,96.74,98,1495500,30.44
"2007-12-28",97.51,98.98,96.84,98.22,1362300,30.51
"2007-12-31",97.99,99.11,95.93,96.2,1113900,29.88
"2008-01-02",96.01,97.89,94.16,94.7,1553100,29.42
"2008-01-03",95,96.9,94.01,96.15,1936200,29.87
"2008-01-04",95.05,95.4,92.26,93.2,1471800,28.95
"2008-01-07",95.11,95.11,89.37,90.5,2196000,28.11
"2008-01-08",90.64,92.91,90.06,90.45,2732400,28.1
"2008-01-09",90.45,92,87.16,90.38,3507600,28.07
"2008-01-10",89.91,91.81,89.26,90.62,3027900,28.15
"2008-01-11",90.05,91.61,89.4,90.65,3010800,28.16
"2008-01-14",91.46,92.16,89.59,91.6,1268700,28.45
"2008-01-15",90.79,90.79,85.34,86.53,3985500,26.88
"2008-01-16",86.35,87.94,84.54,84.83,2701200,26.35
"2008-01-17",85.13,86.7,79.39,80.18,3888000,24.91
"2008-01-18",80.33,81.77,79.28,81.18,5516700,25.22
"2008-01-22",79.39,84.35,75.29,83.19,3309600,25.84
"2008-01-23",81.04,83.07,75.76,82.35,5341800,25.58
"2008-01-24",82.59,85.31,81.34,83.54,2567700,25.95
"2008-01-25",85.25,86.6,81.78,82.39,2493300,25.59
"2008-01-28",82,83.46,80.5,83.09,1892700,25.81
"2008-01-29",83.38,84.94,82,82.77,1671000,25.71
"2008-01-30",82.45,82.74,78.87,80.05,3339600,24.87
"2008-01-31",78.66,82.85,77.76,82.11,2669100,25.51
"2008-02-01",94.69,97.51,91.25,96.4,9257400,29.94
"2008-02-04",96.39,96.6,94.69,95.12,3838800,29.55
"2008-02-05",94.88,94.88,91.5,91.53,2886300,28.43
"2008-02-06",91.83,93.36,91.15,91.41,2393400,28.39
"2008-02-07",91.11,96.69,90.5,96,4175100,29.82
"2008-02-08",95.6,97.23,93.63,94.57,2298000,29.38
"2008-02-11",94.84,98.66,94.16,97.4,2252400,30.26
"2008-02-12",98.1,100.1,96.81,97.62,1684200,30.32
"2008-02-13",98.23,99.96,97.71,99.8,1915800,31
"2008-02-14",100.13,100.4,97.01,97.53,1411500,30.3
"2008-02-15",97.4,97.5,95.07,96.17,2457000,29.87
"2008-02-19",97.17,98.67,96.35,98.01,1872300,30.44
"2008-02-20",97.32,101.45,96.17,101.45,2619000,31.51
"2008-02-21",101.34,103.15,100.26,102.08,2600100,31.71
"2008-02-22",102.17,103.19,100.38,102.97,2184000,31.99
"2008-02-25",102.69,105.6,102.53,105.12,2286600,32.65
"2008-02-26",104.96,105.55,102.81,103.44,2438100,32.13
"2008-02-27",103,103.37,100.74,102.5,3074700,31.84
"2008-02-28",104.95,112.32,102.5,111.41,10027500,34.61
"2008-02-29",110.46,111.88,108.61,108.9,6879600,33.83
"2008-03-03",109.13,111.5,107.93,110.44,3388500,34.31
"2008-03-04",109.09,109.5,104.1,106.44,3596400,33.06
"2008-03-05",106.14,108.56,105.03,105.85,3493800,32.88
"2008-03-06",105.49,105.96,102.5,105.1,3093300,32.65
"2008-03-07",103.96,104.07,99.25,100.64,3626100,31.26
"2008-03-10",99.89,99.89,95.52,96.1,2935500,29.85
"2008-03-11",98.13,99.57,96.85,99.21,2778300,30.82
"2008-03-12",99.9,101.3,98.95,99.17,2018700,30.81
"2008-03-13",98.15,100.88,96.39,100.32,1812900,31.16
"2008-03-14",101.26,101.72,94.81,96.19,2455200,29.88
"2008-03-17",93.95,95.75,91,94.17,2292900,29.25
"2008-03-18",95.94,99.99,95.5,99.35,2215800,30.86
"2008-03-19",99.65,103.98,99.17,99.42,4218900,30.88
"2008-03-20",98.77,100.91,96.62,99.63,2821800,30.95
"2008-03-24",99.66,107.72,99.66,106.91,3492300,33.29
"2008-03-25",108.43,109.67,105.64,108.04,2828700,33.64
"2008-03-26",107.79,110.64,107.07,109.54,1716900,34.11
"2008-03-27",109.14,109.47,105,105,2441100,32.7
"2008-03-28",105.51,105.99,103,103.53,2141400,32.24
"2008-03-31",103.93,105.36,102.9,104.38,2415000,32.51
"2008-04-01",106.18,107.41,104.59,106.11,2925000,33.04
"2008-04-02",106.35,107.21,103.8,104.81,2940300,32.64
"2008-04-03",104.47,110.36,104.26,109.42,2865600,34.07
"2008-04-04",109.23,112.52,108.98,110.72,3228000,34.48
"2008-04-07",112.11,118,111.74,115.49,3733800,35.97
"2008-04-08",110,110,105.63,109.81,4964400,34.2
"2008-04-09",109.8,110,106.21,108.17,2268000,33.69
"2008-04-10",108.38,110.16,106.18,109.38,2174400,34.06
"2008-04-11",108.45,108.45,105.22,106.42,2063400,33.14
"2008-04-14",105.72,106.63,103.79,105.82,2243700,32.95
"2008-04-15",106.21,107.58,104.1,107.3,1757700,33.41
"2008-04-16",108.8,112.28,107.56,111.85,1723500,34.83
"2008-04-17",110.92,111.75,108.35,109.71,1506000,34.17
"2008-04-18",111.84,114.38,111.25,113.72,1390200,35.41
"2008-04-21",113.75,114.03,110.74,113.84,1578900,35.45
"2008-04-22",113.63,114.71,111.06,111.91,1384200,34.85
"2008-04-23",112.99,114.32,111.98,113.82,981300,35.44
"2008-04-24",114.09,114.09,109.12,111.4,2061600,34.69
"2008-04-25",111.91,112.28,109.23,111.51,1499100,34.73
"2008-04-28",112.21,116.56,110.54,114.54,2549100,35.67
"2008-04-29",125.28,126.43,121.84,124.15,6652800,38.66
"2008-04-30",124.17,125.49,122.78,124.09,2977800,38.64
"2008-05-01",124.14,124.8,117.45,122.08,2840400,38.02
"2008-05-02",123.25,125,121.77,122.62,2031300,38.19
"2008-05-05",123.3,123.3,119.64,121.76,2386800,37.92
"2008-05-06",121.97,122.82,121.01,122.16,1596300,38.04
"2008-05-07",122.58,124.22,120.86,121.48,1737300,37.83
"2008-05-08",121.75,123.03,120.05,122.18,984300,38.05
"2008-05-09",121.9,122.25,119.72,121.26,1323900,37.76
"2008-05-12",122.26,124.46,118.82,123.6,2013600,38.49
"2008-05-13",124.33,126.72,122.6,126.23,2005200,39.31
"2008-05-14",127.82,128.96,124.86,126.79,2246400,39.48
"2008-05-15",127.44,127.89,125.9,127.35,1083300,39.66
"2008-05-16",128,129.26,125.99,128.82,1442400,40.12
"2008-05-19",129.48,130.54,126.18,127.13,1343100,39.59
"2008-05-20",127.5,127.5,124.58,126.33,1280100,39.34
"2008-05-21",126.11,127.47,123.26,123.81,1645200,38.56
"2008-05-22",123.46,125.26,122.69,124.51,1210500,38.77
"2008-05-23",123.98,131,123.98,130.11,2965200,40.52
"2008-05-27",130.11,135.14,129.71,135.14,3096000,42.08
"2008-05-28",135.26,137.55,134.24,137.51,2285700,42.82
"2008-05-29",138.07,138.62,133.76,136.18,2685900,42.41
"2008-05-30",137.57,139.04,136.71,138.52,4220400,43.14
"2008-06-02",138.48,138.88,135.51,137.34,1546200,42.77
"2008-06-03",137.85,138.9,134.3,136.16,1644600,42.4
"2008-06-04",136.36,137.23,134.19,134.48,1675800,41.88
"2008-06-05",135.6,137.02,134.65,137.02,2269200,42.67
"2008-06-06",135.8,138.48,134.11,134.34,1503900,41.84
"2008-06-09",134.38,138.5,134.38,137.54,1655100,42.83
"2008-06-10",136.34,136.53,132.17,133.68,1495500,41.63
"2008-06-11",134.13,134.9,130.15,131.94,1176600,41.09
"2008-06-12",132.89,133.51,129.14,129.69,1118700,40.39
"2008-06-13",130.36,136.62,130.36,134.73,1523700,41.96
"2008-06-16",134.98,139.04,134.76,138.53,1576500,43.14
"2008-06-17",139.24,140.35,136.69,137.43,975600,42.8
"2008-06-18",136.65,138,133.92,134.85,1615800,41.99
"2008-06-19",135.22,137.1,134.69,135.43,1302600,42.17
"2008-06-20",135.06,135.77,132.83,133.3,2181300,41.51
"2008-06-23",134.49,134.49,131.44,131.83,1413900,41.13
"2008-06-24",131.42,132.79,129.33,129.84,1682100,40.51
"2008-06-25",131.12,131.8,128.68,130.99,2136300,40.87
"2008-06-26",130.49,133.5,129.58,132.34,2928300,41.29
"2008-06-27",132.22,138.14,131.33,138.14,5317200,43.1
"2008-06-30",135.74,137.97,132.49,136.7,2086800,42.65
"2008-07-01",135.09,136.65,133.26,136.49,1640700,42.58
"2008-07-02",136.31,138.95,129.74,129.74,1967700,40.48
"2008-07-03",128.34,129.73,114.65,114.65,3798600,35.77
"2008-07-07",116.31,124.14,116.31,122.02,4170600,38.07
"2008-07-08",120.91,124.49,118.09,124.2,3861900,38.75
"2008-07-09",124.71,133.25,124.71,131.21,3351000,40.94
"2008-07-10",130.34,133.09,128.05,132.85,1989900,41.45
"2008-07-11",132.09,135.64,130.47,132.34,2355900,41.29
"2008-07-14",134.96,138.91,132.72,138.45,2129400,43.2
"2008-07-15",137.88,137.88,129.57,131.15,2512800,40.92
"2008-07-16",131.3,132.17,127.71,131.61,2335500,41.06
"2008-07-17",132.09,133.63,131.13,133.36,1457100,41.61
"2008-07-18",133.15,134.25,129.25,133.53,2100000,41.66
"2008-07-21",134.22,142.31,134.22,141.35,2915400,44.1
"2008-07-22",142.09,142.09,135.42,136.44,3486000,42.57
"2008-07-23",136.29,137.12,132.32,133.61,1877400,41.69
"2008-07-24",133.95,135.23,119.83,121.89,4323300,38.03
"2008-07-25",122.28,126.45,121.33,125.83,1965900,39.26
"2008-07-28",125.99,128.05,125.06,125.55,1317300,39.17
"2008-07-29",126.06,130.17,126,127.62,1648500,39.82
"2008-07-30",129.59,135.46,129.59,135.09,2441400,42.15
"2008-07-31",142.5,145.45,127.4,133.34,8543400,41.6
"2008-08-01",133.34,135.89,129.3,129.82,2318700,40.5
"2008-08-04",130.92,131.36,122.16,123.76,4110000,38.61
"2008-08-05",125,126.5,116.76,118.77,4221600,37.06
"2008-08-06",119,124.85,118.9,123.52,2423400,38.54
"2008-08-07",123.53,125.28,120.35,121.63,2113800,37.95
"2008-08-08",121,123.46,118,119.88,3009900,37.4
"2008-08-11",120.12,122.98,118.9,121.61,3125400,37.94
"2008-08-12",120.47,123.74,118.02,122.48,2401500,38.21
"2008-08-13",122.31,127.77,121.01,127,2698800,39.62
"2008-08-14",126.96,130.92,123.77,130,3194100,40.56
"2008-08-15",127.15,132.46,126.33,127.38,2770200,39.74
"2008-08-18",127.76,130.2,126.15,128.06,1964400,39.95
"2008-08-19",129.53,131.89,126.37,131.77,3017700,41.11
"2008-08-20",132.11,134.24,130.41,132.82,2526900,41.44
"2008-08-21",132.22,134.65,130.82,133.87,1752600,41.77
"2008-08-22",134.28,134.49,132,133.64,1326600,41.7
"2008-08-25",133.08,133.09,129.52,130.52,1569600,40.72
"2008-08-26",130.61,132.39,124.88,127.68,2994000,39.84
"2008-08-27",127.72,133.49,127.72,133.07,3401400,41.52
"2008-08-28",133.44,138.74,133.44,136.18,3181200,42.49
"2008-08-29",134.91,136.45,132.12,132.12,921900,41.22
"2008-09-02",131,134.6,128.15,129.52,2946300,40.41
"2008-09-03",130.25,131.18,119.35,120.09,5820300,37.47
"2008-09-04",119.1,119.59,112.38,113.87,4602000,35.53
"2008-09-05",112.38,114,109.5,113.65,2807100,35.46
"2008-09-08",116.78,118.26,100.08,104.86,5509200,32.72
"2008-09-09",104.81,105.28,94.74,96.12,7386300,29.99
"2008-09-10",96.77,102.44,96.77,101.81,5711700,31.76
"2008-09-11",100.96,105.74,97.28,104.57,4374300,32.63
"2008-09-12",104.99,108.57,102.53,106.08,4904400,33.1
"2008-09-15",102.64,102.64,95.42,97.11,3617100,30.3
"2008-09-16",94.52,101.84,92.46,101.84,3656700,31.77
"2008-09-17",100.18,101,91.61,92.1,3322800,28.73
"2008-09-18",93.65,94.56,85.9,90.68,5319600,28.29
"2008-09-19",99.1,110.74,89.06,100.72,6902400,31.42
"2008-09-22",101.63,101.63,97.02,98.42,3885000,30.78
"2008-09-23",98.59,101.93,94.39,95.19,4286100,29.77
"2008-09-24",95.84,97.7,93.4,94.32,1839900,29.5
"2008-09-25",94.74,95.89,93.8,94.88,1718100,29.68
"2008-09-26",93.28,93.28,87.72,89.37,3233100,27.95
"2008-09-29",91.3,91.35,71.38,81.17,9612600,25.39
"2008-09-30",82.96,89,81.97,88.77,3192900,27.76
"2008-10-01",88.01,90.28,85.02,87.5,20874000,27.37
"2008-10-02",86.51,87.46,68.45,70.43,9363300,22.03
