"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume","FLS.Adjusted"
"2007-01-03",51.07,51.15,50.61,51.15,3054600,15.76
"2007-01-04",51.2,51.29,50.44,50.67,2072400,15.61
"2007-01-05",49.79,50.75,49.76,50.05,1522500,15.42
"2007-01-08",49.96,49.99,48.95,48.98,2915700,15.09
"2007-01-09",48.96,49.29,48.73,48.99,1074300,15.09
"2007-01-10",50.95,51.45,49.96,51.36,2336100,15.82
"2007-01-11",51.35,51.58,50.97,50.99,1588800,15.71
"2007-01-12",51.15,51.15,50.72,50.78,972900,15.64
"2007-01-16",51,51.02,50.55,50.63,889200,15.6
"2007-01-17",50.55,51.6,50.52,50.88,714900,15.68
"2007-01-18",50.82,51.23,50.6,50.78,764700,15.64
"2007-01-19",50.67,51,50.62,50.92,276900,15.69
"2007-01-22",50.7,51.1,49.76,50.02,528300,15.41
"2007-01-23",50.02,51.18,49.94,51.04,611700,15.72
"2007-01-24",51.05,51.45,50.9,51.36,498000,15.82
"2007-01-25",51.04,51.18,50.32,50.42,874500,15.53
"2007-01-26",50.5,50.7,50.16,50.68,365700,15.61
"2007-01-29",50.75,51.25,50.39,51.1,847200,15.74
"2007-01-30",51,51.9,51,51.64,1036500,15.91
"2007-01-31",51.7,53.27,51.37,53.07,1493400,16.35
"2007-02-01",53.5,54.56,53.5,54.56,1495800,16.81
"2007-02-02",54.6,54.75,54.2,54.39,810600,16.76
"2007-02-05",54.15,54.56,53.86,54.18,519000,16.69
"2007-02-06",54.18,54.64,53.95,54.56,834300,16.81
"2007-02-07",54.7,54.7,54.08,54.3,891300,16.73
"2007-02-08",54.3,54.35,53.34,53.47,2084100,16.47
"2007-02-09",53.46,53.49,52.1,52.29,1423200,16.11
"2007-02-12",52.49,52.73,50.34,50.49,2940600,15.56
"2007-02-13",50.8,51.74,50.67,51.47,966300,15.86
"2007-02-14",51.48,52.1,51.39,51.95,570300,16
"2007-02-15",51.9,52.16,51.53,52.06,867600,16.04
"2007-02-16",52.06,52.19,51.86,52.13,669900,16.06
"2007-02-20",52,52.45,51.66,52.25,698400,16.1
"2007-02-21",52.21,52.53,52.18,52.5,523500,16.17
"2007-02-22",52.62,52.62,51.81,52.25,889800,16.1
"2007-02-23",52.07,52.42,52.05,52.35,543000,16.13
"2007-02-26",52.12,52.75,51.93,52.13,870300,16.06
"2007-02-27",51.45,51.46,49.55,49.9,613800,15.37
"2007-02-28",51,52.05,50.41,51.89,2100600,15.99
"2007-03-01",51.49,51.6,50.75,51.6,1958400,15.9
"2007-03-02",50.73,53.94,50.72,50.85,5420100,15.67
"2007-03-05",50.86,52.59,50.55,51.65,2690400,15.91
"2007-03-06",52.8,52.8,51.75,52.37,1326300,16.13
"2007-03-07",52.37,53.78,52.14,53.48,2017500,16.48
"2007-03-08",53.77,54.74,53.7,54.53,2470800,16.8
"2007-03-09",55,57.21,55,56.96,3793800,17.55
"2007-03-12",57,57.09,56.25,56.62,1527300,17.44
"2007-03-13",56.51,57.95,56.3,56.41,1756800,17.38
"2007-03-14",56.36,57.13,55.58,57.02,1457100,17.57
"2007-03-15",57.07,57.56,56.89,57.14,2157000,17.6
"2007-03-16",57.14,57.42,56.43,56.98,870900,17.55
"2007-03-19",57.43,58.08,57.29,58.04,881400,17.88
"2007-03-20",57.95,58,57.51,57.96,1313100,17.86
"2007-03-21",57.99,58.36,57.62,58.34,1646400,17.97
"2007-03-22",58.65,58.77,57.84,58.12,851400,17.91
"2007-03-23",58.25,58.49,58.01,58.31,991500,17.96
"2007-03-26",58.09,58.6,57.61,57.96,653100,17.9
"2007-03-27",57.58,57.6,57.03,57.23,745800,17.68
"2007-03-28",57.22,57.45,56.73,57.16,626700,17.66
"2007-03-29",57.16,57.4,56.7,57.3,725700,17.7
"2007-03-30",57.26,57.95,57.12,57.19,721800,17.66
"2007-04-02",57.64,58.59,57.48,58.52,1184100,18.08
"2007-04-03",58.62,59,58.49,58.77,990600,18.15
"2007-04-04",58.66,58.91,58.48,58.87,887400,18.18
"2007-04-05",58.95,58.95,58.65,58.74,801300,18.14
"2007-04-09",58.74,58.9,58.23,58.51,501000,18.07
"2007-04-10",58.37,58.49,57.58,58.23,524700,17.99
"2007-04-11",58.23,58.65,57.83,58.45,595800,18.05
"2007-04-12",58.44,58.94,57.95,58.88,942300,18.19
"2007-04-13",58.92,59.9,58.91,59.55,2154900,18.39
"2007-04-16",59.71,60.2,59.69,59.96,494100,18.52
