"","TIF.Open","TIF.High","TIF.Low","TIF.Close","TIF.Volume","TIF.Adjusted"
"2007-01-03",39.6,40.1,38.86,39.4,1593200,34.68
"2007-01-04",39.45,39.53,38.89,39.07,1415800,34.39
"2007-01-05",39.04,39.39,38.41,38.51,1905800,33.9
"2007-01-08",38.64,38.86,38.17,38.7,1072200,34.07
"2007-01-09",38.8,39.71,38.73,39.62,1660100,34.88
"2007-01-10",39.31,39.54,38.41,38.8,2167300,34.15
"2007-01-11",39.01,40.2,38.99,40.14,2082100,35.33
"2007-01-12",39.41,40,39.26,39.7,1406100,34.95
"2007-01-16",39.63,40.1,39.56,39.76,1892500,35
"2007-01-17",39.76,40.1,39.75,39.97,940200,35.18
"2007-01-18",40,40.36,39.29,40.15,2684600,35.34
"2007-01-19",40.5,40.5,39.94,40.04,1719700,35.25
"2007-01-22",40,40.08,39.67,39.89,1726700,35.11
"2007-01-23",39.77,39.89,39.23,39.5,1636000,34.77
"2007-01-24",39.6,39.88,39.56,39.8,798900,35.03
"2007-01-25",39.4,39.49,38.56,38.76,1775400,34.12
"2007-01-26",38.98,39.25,38.3,38.55,1471800,33.93
"2007-01-29",38.5,39.01,38.42,38.76,738900,34.12
"2007-01-30",38.65,38.96,38.62,38.84,674600,34.19
"2007-01-31",38.87,39.45,38.75,39.26,772700,34.56
"2007-02-01",39.5,39.77,39.13,39.52,755300,34.79
"2007-02-02",39.66,39.79,39.36,39.75,620900,34.99
"2007-02-05",39.56,39.97,39.35,39.57,1539300,34.83
"2007-02-06",39.54,40.15,39.5,40.1,1528700,35.3
"2007-02-07",40.2,40.59,40.14,40.38,1494300,35.54
"2007-02-08",40.35,41.7,40.25,41.59,2360200,36.61
"2007-02-09",41.5,41.78,41.2,41.42,2086700,36.46
"2007-02-12",41.42,41.54,40.97,41.37,1670400,36.42
"2007-02-13",41.37,42.18,41.17,41.75,1676300,36.75
"2007-02-14",41.75,42.45,41.56,42.07,1145500,37.03
"2007-02-15",42.01,42.46,41.8,42.43,603900,37.35
"2007-02-16",42.5,42.72,42.11,42.61,1109100,37.51
"2007-02-20",42.9,42.99,42.06,42.94,858600,37.8
"2007-02-21",42.44,42.71,42.22,42.68,1038400,37.57
"2007-02-22",42.89,42.93,42.37,42.81,1283800,37.68
"2007-02-23",42.73,43,42.56,42.86,1144400,37.73
"2007-02-26",42.89,45.98,42.82,45.06,3988300,39.66
"2007-02-27",43.83,44.08,41.65,42.52,2993100,37.43
"2007-02-28",42.85,43.66,41.87,43.53,2526300,38.32
"2007-03-01",42.45,43.48,41.46,43.45,2380200,38.25
"2007-03-02",43.38,43.75,42.9,42.92,1389600,37.78
"2007-03-05",42.4,43,41.71,41.71,1570700,36.72
"2007-03-06",42,42.6,41.67,42.44,1018800,37.36
"2007-03-07",42.48,43.76,42.34,43.45,1459100,38.25
"2007-03-08",43.65,43.89,42.83,43.1,1194900,37.94
"2007-03-09",43.74,43.77,43.13,43.7,953100,38.47
"2007-03-12",43.7,43.88,43.46,43.88,1070200,38.63
"2007-03-13",43.29,43.55,42.19,42.4,2050500,37.32
"2007-03-14",42.64,42.65,41.24,42.37,1846100,37.3
"2007-03-15",42.34,43.04,42.34,42.95,1010100,37.81
"2007-03-16",42.99,43.2,42.51,42.71,1065800,37.68
"2007-03-19",42.7,43.21,42.42,42.94,878000,37.89
"2007-03-20",43,43.61,42.82,43.6,764100,38.47
"2007-03-21",44.99,45.53,44.3,45.5,2543900,40.15
"2007-03-22",45.49,45.67,44.99,45.48,2073900,40.13
"2007-03-23",45.5,45.82,45.35,45.5,2710300,40.15
"2007-03-26",46.09,46.09,44.8,45.63,3215400,40.26
"2007-03-27",45.6,45.83,45.1,45.58,2305200,40.22
"2007-03-28",45.2,46.16,44.99,45.92,2169000,40.52
"2007-03-29",45.93,46.15,45.05,45.57,1628700,40.21
"2007-03-30",45.7,45.94,45.05,45.48,1468300,40.13
"2007-04-02",45.66,46.08,45.33,46.08,1385200,40.66
"2007-04-03",46.2,47.61,46.2,47.49,2033000,41.9
"2007-04-04",47.37,47.61,47.04,47.31,1098200,41.74
"2007-04-05",47.07,47.36,46.72,47.19,938700,41.64
"2007-04-09",47.97,48.82,47.41,48.77,2377200,43.03
"2007-04-10",48.59,48.74,48,48.73,1857600,43
"2007-04-11",48.74,48.96,48.11,48.39,1635500,42.7
"2007-04-12",48.94,49.79,47.84,49.41,3333600,43.6
"2007-04-13",50,50,48.48,48.75,2060100,43.01
"2007-04-16",48.75,49.04,47.85,48.63,1841800,42.91
"2007-04-17",48.71,48.75,47.65,48.05,2760000,42.4
"2007-04-18",48.05,48.84,47.85,48.63,1294500,42.91
"2007-04-19",48.69,49,47.86,48.63,1028900,42.91
"2007-04-20",49.24,49.25,48.55,48.6,1615000,42.88
"2007-04-23",48.5,48.79,48.2,48.39,1215000,42.7
"2007-04-24",48.29,48.5,47.63,48.1,1419200,42.44
"2007-04-25",48.45,48.63,48.05,48.57,634900,42.85
"2007-04-26",48.52,49.05,48.28,48.98,1343100,43.22
"2007-04-27",48.63,48.81,47.9,48.45,980000,42.75
"2007-04-30",48.66,48.93,47.69,47.69,851100,42.08
"2007-05-01",47.69,47.79,46.56,47.59,1417000,41.99
"2007-05-02",47.62,48,47.18,47.82,893600,42.19
"2007-05-03",47.88,48.79,47.16,48.5,1611100,42.79
"2007-05-04",48.8,49.5,48.55,49.28,2338400,43.48
"2007-05-07",49.43,49.67,48.96,49.39,1202700,43.58
"2007-05-08",48.91,50,48.91,49.91,1397800,44.04
"2007-05-09",49.88,50.5,49.77,50.32,1752600,44.4
"2007-05-10",49.97,51.04,49.9,49.99,1223900,44.11
"2007-05-11",50.15,50.26,49.55,50.04,857200,44.15
"2007-05-14",50.17,50.54,49.59,49.85,1287100,43.98
"2007-05-15",50.1,50.38,49.66,49.78,2082900,43.92
"2007-05-16",49.9,50.08,49.39,49.74,1188400,43.89
"2007-05-17",49.65,50.28,49.5,49.81,1273900,43.95
