"","TIF.Open","TIF.High","TIF.Low","TIF.Close","TIF.Volume","TIF.Adjusted"
"2007-05-18",50.37,51.31,50.21,51.27,2004100,45.24
"2007-05-21",52.7,52.82,51.65,52.03,4420900,45.91
"2007-05-22",52.08,52.79,52.08,52.45,1829100,46.28
"2007-05-23",52.87,53.3,52.33,52.42,2118700,46.25
"2007-05-24",52.45,53.7,52.27,52.61,1710100,46.42
"2007-05-25",52.1,52.1,51.16,52.08,1151600,45.95
"2007-05-29",52.49,52.49,51.46,51.69,1485500,45.61
"2007-05-30",51.21,52.46,51,52.46,2093700,46.29
"2007-05-31",53.78,54.75,51.8,52.57,3509800,46.38
"2007-06-01",51.87,52.53,51.57,51.93,1728800,45.82
"2007-06-04",51.14,52.31,51.13,52.19,1286900,46.05
"2007-06-05",52.13,52.2,51.5,51.77,1221400,45.68
"2007-06-06",51.69,51.69,50.53,50.89,2352400,44.9
"2007-06-07",50.56,50.95,49.25,49.26,2265000,43.46
"2007-06-08",49,49.86,48.95,49.75,1443900,43.9
"2007-06-11",49.87,50.21,49.62,49.91,1609900,44.04
"2007-06-12",49.55,49.95,48.56,48.61,2028200,42.89
"2007-06-13",49.05,49.65,48.97,49.43,1255600,43.61
"2007-06-14",49.4,49.74,48.77,49.27,1438300,43.47
"2007-06-15",49.48,49.8,48.96,49.3,1244700,43.5
"2007-06-18",49.36,49.36,48.53,48.9,1186300,43.25
"2007-06-19",48.98,50.02,48.77,49.82,1989800,44.06
"2007-06-20",50,50.29,49.68,50.04,1882800,44.26
"2007-06-21",50.05,50.63,49.63,50.45,1540100,44.62
"2007-06-22",50.37,50.47,49.71,49.98,1501600,44.21
"2007-06-25",50.99,53.36,50.5,51.91,5640800,45.91
"2007-06-26",53,53.28,51.98,52.08,3618800,46.06
"2007-06-27",51.92,53.17,51.84,53.08,2447200,46.95
"2007-06-28",52.24,53.2,52.23,52.55,2086400,46.48
"2007-06-29",52.59,54.1,52.59,53.06,1582300,46.93
"2007-07-02",53.01,54.13,52.98,54.13,2496200,47.88
"2007-07-03",54.1,54.23,53.16,53.6,835000,47.41
"2007-07-05",53.6,56.35,53.36,55.15,4439300,48.78
"2007-07-06",55.8,56.79,55.07,55.76,2262800,49.32
"2007-07-09",55.55,55.78,54.84,54.89,1576900,48.55
"2007-07-10",54.6,54.83,53.24,53.32,2216300,47.16
"2007-07-11",53.51,54.02,52.87,53.38,2329500,47.21
"2007-07-12",54.2,56.55,53.38,56.21,3623900,49.72
"2007-07-13",56.21,56.35,55.59,56.06,1411100,49.58
"2007-07-16",56.01,56.31,55.2,56.22,1681800,49.72
"2007-07-17",56.25,56.41,55.62,55.76,1435100,49.32
"2007-07-18",55.26,56.09,54.76,55.07,1815900,48.71
"2007-07-19",55.62,56.25,55.11,55.83,1285900,49.38
"2007-07-20",55.83,55.86,54.07,54.16,1940600,47.9
"2007-07-23",54.58,54.97,53.74,53.88,1690300,47.66
"2007-07-24",53.56,53.82,52.02,52.17,2092200,46.14
"2007-07-25",52.3,52.79,50.45,51.16,3117700,45.25
"2007-07-26",50.76,50.76,48.32,49.21,3718600,43.52
"2007-07-27",48.99,49.7,47.93,47.96,3040800,42.42
"2007-07-30",47.9,49.18,46.78,48.83,3488300,43.19
"2007-07-31",49.6,50.52,48.22,48.25,3258100,42.68
"2007-08-01",48.25,50.43,47.57,48.69,2564300,43.06
"2007-08-02",48.92,49.93,48.64,49.89,1914400,44.13
"2007-08-03",49.91,49.97,48.52,48.52,1736000,42.91
"2007-08-06",48.62,48.84,44.35,45.82,5929500,40.53
"2007-08-07",45.82,46.03,42.69,44.48,6136200,39.34
"2007-08-08",44.64,46.45,44.07,45.76,4740500,40.47
"2007-08-09",44.42,46.33,42.98,43.73,4244200,38.68
"2007-08-10",43.48,45.99,41.35,44.68,3989200,39.52
"2007-08-13",44.8,47.14,44.11,44.57,3062500,39.42
"2007-08-14",45.32,45.49,43.07,43.23,2417100,38.24
"2007-08-15",43.25,44.02,42.38,42.52,1979400,37.61
"2007-08-16",41.67,43.04,39.53,41.59,4660000,36.79
"2007-08-17",40.81,44.6,40.81,42.4,4111100,37.5
"2007-08-20",42.46,43.56,41.92,43.35,2720800,38.34
"2007-08-21",43.08,44.13,42.57,43.99,2263400,38.91
"2007-08-22",44.62,45.64,44.15,45.53,2176100,40.27
"2007-08-23",45.79,46.48,44.55,45.61,2433200,40.34
"2007-08-24",45.64,45.64,44.62,45.22,2391000,40
"2007-08-27",45.64,47.8,45.46,47.42,2936400,41.94
"2007-08-28",47.86,47.9,45.99,46.08,2232600,40.76
"2007-08-29",46.26,48.28,46.18,48.12,2213500,42.56
"2007-08-30",49.89,49.95,47.76,49.4,5446500,43.69
"2007-08-31",49.52,51.94,49.52,51.33,3539100,45.4
"2007-09-04",50.56,52.34,50.51,51.79,2509000,45.81
"2007-09-05",50.45,51.79,50.17,50.47,3180300,44.64
"2007-09-06",51,51.41,50.1,50.59,2370800,44.75
"2007-09-07",49.59,50.15,48.43,49.29,2940600,43.6
"2007-09-10",49.42,49.82,48.27,49.13,1790400,43.45
"2007-09-11",49,50.23,48.95,49.75,2146000,44
"2007-09-12",49.58,50.22,49.4,49.94,2142000,44.17
"2007-09-13",50.37,51.83,50,51.07,1984700,45.17
"2007-09-14",51,52.36,50.61,52.17,2031500,46.14
"2007-09-17",52,53,51.21,52.01,2120500,46
"2007-09-18",52.36,54.21,51.86,53.95,2424900,47.86
"2007-09-19",53.88,54.74,52.38,52.89,2374300,46.91
"2007-09-20",52.51,52.69,51.14,51.44,1733400,45.63
"2007-09-21",51.45,52.11,50.74,51.9,2071800,46.04
"2007-09-24",51.74,53.21,51.61,52.44,2083500,46.52
"2007-09-25",52,52.56,50.75,52.56,1946100,46.62
"2007-09-26",52.86,53.16,52.22,52.31,1639100,46.4
"2007-09-27",52.57,53.46,52.57,52.8,1692500,46.83
"2007-09-28",52.51,52.76,51.96,52.35,1371200,46.44
"2007-10-01",52.35,54.4,52.34,54.4,1847900,48.25
"2007-10-02",54.6,54.7,53.65,54.52,1201300,48.36
"2007-10-03",54.2,55.32,54.2,55.1,1731900,48.88
"2007-10-04",55.49,55.5,54.18,54.77,1146600,48.58
"2007-10-05",55.13,56.46,55.13,56.1,1744200,49.76
"2007-10-08",56.09,56.7,55.73,56.48,2257900,50.1
"2007-10-09",56.5,56.74,55.04,56,1500700,49.67
"2007-10-10",56,56.41,55.55,56.24,1628100,49.89
"2007-10-11",56.39,57.34,54.62,55.16,2222000,48.93
"2007-10-12",54.94,55.12,53.78,54.24,1461100,48.11
"2007-10-15",54.34,55.3,54.12,54.94,2119400,48.73
"2007-10-16",54.21,54.47,53.5,54.35,1843800,48.21
"2007-10-17",55.02,55.48,54.08,54.81,2656800,48.62
"2007-10-18",54.81,57.32,54.13,56.83,4729300,50.41
"2007-10-19",56.47,56.72,54.84,55.35,2726600,49.1
"2007-10-22",54.47,56,54.32,55.79,1742300,49.49
"2007-10-23",55.47,55.52,52.04,53.6,4887200,47.54
"2007-10-24",53.44,53.83,50.53,52.77,3429100,46.81
"2007-10-25",52.77,53.72,52.47,53.38,2598800,47.35
"2007-10-26",53.62,54.5,53.23,54.35,1701600,48.21
"2007-10-29",54.2,54.96,53.58,53.65,993200,47.59
"2007-10-30",53.4,53.62,52.63,52.63,1427800,46.68
"2007-10-31",52.66,54.27,52.47,54.18,2061400,48.06
"2007-11-01",53.66,53.66,51.18,51.33,2353100,45.53
"2007-11-02",51.46,51.72,49.21,49.7,2913100,44.09
"2007-11-05",48.9,50.09,48.49,49.43,2565300,43.85
"2007-11-06",49.47,49.9,47.85,49.62,2773400,44.01
"2007-11-07",49,49.49,47.72,47.72,2045700,42.33
"2007-11-08",48.16,48.82,45.22,46.73,5422200,41.45
"2007-11-09",46.21,46.21,43.79,43.92,5309600,38.96
"2007-11-12",44,47.09,44,45.36,4591100,40.24
"2007-11-13",46.13,48.96,46.1,48.78,3279500,43.27
"2007-11-14",49.17,49.17,45.88,47.47,3329200,42.11
"2007-11-15",47.19,48.97,46.8,47.34,2801500,41.99
"2007-11-16",48.09,48.25,46.5,47.12,1971300,41.8
"2007-11-19",46.73,46.96,44.64,44.64,2914000,39.6
"2007-11-20",44.78,47.48,44.66,46.24,3939200,41.02
"2007-11-21",45.95,46.85,45.09,46.35,2572600,41.11
"2007-11-23",46.56,48.36,46.41,47.99,959200,42.57
"2007-11-26",48.33,48.54,46.2,46.23,1752500,41.01
"2007-11-27",47.07,48.22,46.33,47.91,3522800,42.5
"2007-11-28",48.37,51.13,48.37,50.23,3722500,44.56
"2007-11-29",50.31,50.31,47.37,48.75,3991300,43.24
"2007-11-30",50.21,51.12,46.05,46.43,6848600,41.18
"2007-12-03",47,48.68,46.4,47.61,3586900,42.23
"2007-12-04",46.18,47.94,45.44,47.65,2895000,42.27
"2007-12-05",48,48.4,47.04,47.69,2287700,42.3
"2007-12-06",47.23,47.76,46.25,47.66,2403000,42.28
"2007-12-07",47.65,48.07,47.09,47.3,1435600,41.96
"2007-12-10",47.53,47.71,45.75,46.29,2149400,41.06
"2007-12-11",46.49,47.2,45.62,45.77,2789100,40.6
"2007-12-12",46.5,47,45.2,45.93,2634500,40.74
"2007-12-13",45.43,45.82,44.11,45.82,2719800,40.64
"2007-12-14",45.03,45.76,44.56,44.93,1841500,39.85
"2007-12-17",44.65,46.28,44.63,45.35,2465700,40.23
"2007-12-18",45.77,47.21,44.67,46.87,2565500,41.71
"2007-12-19",47.15,47.15,45.3,45.94,3362300,40.89
"2007-12-20",46.23,46.3,44.5,45.14,2203500,40.17
"2007-12-21",45.58,46.31,45.12,46.31,1825800,41.21
"2007-12-24",46.99,47.2,46.17,46.48,621400,41.37
"2007-12-26",46.01,46.85,46.01,46.29,1070100,41.2
"2007-12-27",45.91,46.45,45.52,46.17,805200,41.09
"2007-12-28",46.5,46.71,45.67,46.12,713700,41.05
"2007-12-31",46.06,46.48,45.48,46.03,800100,40.97
"2008-01-02",46.01,46.14,43.6,43.95,2358200,39.11
"2008-01-03",44.17,44.46,42.04,42.24,2120900,37.59
"2008-01-04",41.96,41.96,40.2,41.38,2722700,36.83
"2008-01-07",41.55,42.52,40.82,41.85,2802300,37.25
"2008-01-08",42.15,42.25,40.75,40.83,1983700,36.34
"2008-01-09",40.83,40.84,39.05,40.62,3203100,36.15
"2008-01-10",40.08,41.1,39.77,40.32,3548300,35.88
"2008-01-11",37.95,37.95,34.65,35.8,12003300,31.86
"2008-01-14",35.83,35.87,32.84,34.04,8401300,30.29
"2008-01-15",33.5,35.87,33.46,35.66,6772400,31.74
"2008-01-16",35.43,37.33,35.43,36.99,4899900,32.92
"2008-01-17",37.03,39,36.29,37.18,6491000,33.09
"2008-01-18",37.5,39.81,37.18,37.49,5754800,33.36
"2008-01-22",35.25,38.42,34.1,37.94,6894500,33.77
"2008-01-23",36.77,39.37,36.23,39.13,6676900,34.82
"2008-01-24",39.28,40.33,37.92,38.67,2880700,34.42
"2008-01-25",39.11,39.14,36.9,37.26,2551900,33.16
"2008-01-28",37.24,38.82,36.42,38.7,1702700,34.44
"2008-01-29",38.86,39.38,37.9,39.2,1374900,34.89
"2008-01-30",39,39.06,37.35,37.35,3509800,33.24
"2008-01-31",36.83,40.46,36.5,39.79,4230000,35.41
"2008-02-01",40.36,41.16,39.93,40.86,2123900,36.36
"2008-02-04",40.86,40.86,38.6,38.79,2912800,34.52
"2008-02-05",38.03,39.67,37.25,37.63,3628900,33.49
"2008-02-06",37.95,39.09,36.64,36.73,3531900,32.69
"2008-02-07",36.51,38.76,36.26,38.18,2560500,33.98
"2008-02-08",40.14,42.74,39.53,39.86,6594700,35.47
"2008-02-11",39.93,40.19,38.8,39.7,4073000,35.33
"2008-02-12",39.87,40.95,39.86,40.26,2583200,35.83
"2008-02-13",40.43,40.67,39.14,39.89,2712800,35.5
"2008-02-14",39.98,40.49,39.04,39.15,1959300,34.84
"2008-02-15",39.12,39.12,37.95,38.52,1750900,34.28
"2008-02-19",39.12,39.19,37.35,37.5,2096800,33.37
"2008-02-20",37.09,38.04,36.88,37.86,2437300,33.69
"2008-02-21",37.93,38.47,36.74,36.91,1729600,32.85
"2008-02-22",36.99,37.55,36.33,37.32,2053600,33.21
"2008-02-25",37.27,40.93,36.81,40.46,5884000,36.01
"2008-02-26",40.04,41.85,39.84,40.75,3266400,36.27
"2008-02-27",40.18,40.78,39.04,40.25,3107100,35.82
"2008-02-28",40.08,40.36,39.03,39.12,2223200,34.82
"2008-02-29",38.76,38.96,37.3,37.64,1743800,33.5
"2008-03-03",37.51,39.07,36.89,38.69,2370800,34.43
"2008-03-04",38.4,39.58,38.11,39.08,2138200,34.78
"2008-03-05",39.17,40.32,38.54,38.93,1940400,34.65
"2008-03-06",38.82,39,37.12,37.21,2089400,33.12
"2008-03-07",36.94,37.79,36.58,37.48,2379100,33.36
"2008-03-10",37.59,37.95,35.84,35.87,1962200,31.92
"2008-03-11",36.7,38.04,36.23,38.04,2183300,33.85
"2008-03-12",38.11,38.69,37.17,37.25,2348700,33.15
"2008-03-13",36.67,39.29,35.65,38.77,3347400,34.5
"2008-03-14",39.1,39.29,36.93,37.75,2692300,33.6
"2008-03-17",36.92,37.14,35.03,36.4,4835900,32.39
"2008-03-18",37.03,37.5,35.43,36.44,3870900,32.56
"2008-03-19",37.01,37.5,36.35,36.6,2299300,32.71
"2008-03-20",36.64,38.95,36.25,38.6,4288700,34.49
"2008-03-24",41.81,44.4,41,42.65,8774900,38.11
"2008-03-25",42.02,43.77,40.95,43.56,6035500,38.93
"2008-03-26",42.96,44.7,42.82,44.39,4863800,39.67
"2008-03-27",44.22,44.95,43.03,43.15,3330600,38.56
"2008-03-28",40.88,42.59,39.65,41.15,4535400,36.77
"2008-03-31",41.06,42.26,40.8,41.84,2413600,37.39
"2008-04-01",42.4,43.81,42.4,43.66,2179600,39.02
"2008-04-02",43.75,44.23,42.88,43.51,1914700,38.88
"2008-04-03",43.7,43.77,42.67,43.62,1329200,38.98
"2008-04-04",43.51,43.63,42.52,43.06,1327600,38.48
"2008-04-07",43.48,43.97,42.54,42.87,1590100,38.31
"2008-04-08",42.69,42.94,41.72,42.11,1836800,37.63
"2008-04-09",41.69,42.24,40.65,41.21,2090300,36.83
"2008-04-10",41.13,42.4,40.78,41.5,2465600,37.09
"2008-04-11",41.08,42.06,40.62,40.86,1444100,36.51
"2008-04-14",40.87,41.59,40.78,40.9,1344100,36.55
"2008-04-15",41.01,41.36,40.48,41.26,1521100,36.87
"2008-04-16",41.53,41.81,40.58,41.64,2149300,37.21
"2008-04-17",41.43,41.8,40.99,41.53,1027200,37.11
"2008-04-18",42.69,42.95,41.85,42.01,2163200,37.54
"2008-04-21",41.7,42.49,41.44,42.34,1165500,37.84
"2008-04-22",42.24,42.24,40.63,41.11,1493200,36.74
"2008-04-23",41.15,42.15,40.71,41.92,1406800,37.46
"2008-04-24",42.01,43.53,41.65,43.13,1615200,38.54
"2008-04-25",43.43,44.61,43.13,44.47,2421100,39.74
"2008-04-28",44.4,45.41,43.88,44.89,2292300,40.12
"2008-04-29",44.66,45.69,44.47,44.96,1395400,40.18
"2008-04-30",45.05,45.3,43.37,43.54,1596100,38.91
"2008-05-01",43.25,44.75,42.92,44.27,1988300,39.56
"2008-05-02",44.77,45.48,43.74,44.27,1310500,39.56
"2008-05-05",44.23,44.48,42.65,42.73,1656600,38.19
"2008-05-06",42.41,43.05,41.65,42.73,1629100,38.19
"2008-05-07",42.69,44.12,42.47,42.51,1060900,37.99
"2008-05-08",42.56,43.02,41.83,42.29,1810800,37.79
"2008-05-09",42,42.6,41.52,42.43,873000,37.92
"2008-05-12",42.7,43.91,42.22,43.82,1230600,39.16
"2008-05-13",44,45.78,43.85,45.6,2722100,40.75
"2008-05-14",45.83,46.5,45.56,45.85,1949700,40.97
"2008-05-15",45.91,48.95,45.29,48.88,6213800,43.68
"2008-05-16",48.83,48.83,47,48.2,2673600,43.07
"2008-05-19",48.33,49.74,47.95,48.22,2849400,43.09
"2008-05-20",47.73,48.29,46.61,47.78,2026700,42.7
"2008-05-21",47.96,48.53,46.81,46.95,2079600,41.96
"2008-05-22",46.83,48.15,46.1,47.08,2730800,42.07
"2008-05-23",46.95,46.95,45.3,46.11,1828700,41.21
"2008-05-27",46.15,47.62,45.7,46.55,2044000,41.6
"2008-05-28",47.07,48.25,46.8,47.88,1985900,42.79
"2008-05-29",47.88,48.77,47.25,47.74,2809700,42.66
"2008-05-30",49.25,49.98,48.62,49.03,4395300,43.82
"2008-06-02",48.99,49.03,47.2,48,2598600,42.9
"2008-06-03",47.98,48.3,47.37,47.97,2671600,42.87
"2008-06-04",47.99,48,46.59,47.13,2078400,42.12
"2008-06-05",47.3,48.23,46.98,47.58,1920300,42.52
"2008-06-06",47.09,47.09,45.42,45.6,2334800,40.75
"2008-06-09",45.81,46.4,45.16,46.21,2470800,41.3
"2008-06-10",46,46.87,45.73,46.35,1946400,41.42
"2008-06-11",46.15,46.67,44.8,45.33,2412100,40.51
"2008-06-12",45.66,46.87,45.6,46.02,2309900,41.13
"2008-06-13",46.14,46.74,45.6,46.67,1905400,41.71
"2008-06-16",46.19,47.79,46.02,47.46,2541000,42.41
"2008-06-17",47.93,47.93,46.86,47.32,1345200,42.29
"2008-06-18",46.92,47.39,45.86,46.34,1683500,41.56
"2008-06-19",46.21,46.95,45.76,46.79,1082500,41.96
"2008-06-20",46.71,46.71,44.71,45.16,2396100,40.5
"2008-06-23",45.44,45.84,44.13,44.43,1708400,39.85
"2008-06-24",44.19,44.19,42.37,42.72,3628100,38.31
"2008-06-25",42.94,44.82,42.73,43.38,2019500,38.91
"2008-06-26",42.97,43.1,42,42.19,1805300,37.84
"2008-06-27",42.41,42.79,41.37,42.1,1223000,37.76
"2008-06-30",42.08,42.08,40.26,40.75,3258200,36.55
"2008-07-01",40.33,41.36,39.66,41.2,3996300,36.95
"2008-07-02",41.61,42.24,40.12,40.2,2372200,36.05
"2008-07-03",40.6,41.07,39.76,40.32,1202400,36.16
"2008-07-07",40.71,40.94,39.21,39.98,2130900,35.86
"2008-07-08",39.89,41.56,39.78,41.39,2725200,37.12
"2008-07-09",41.23,42.11,39.54,39.87,2588200,35.76
"2008-07-10",39.8,39.86,37.93,38.22,3323400,34.28
"2008-07-11",38.19,38.19,35.44,37.03,4309500,33.21
"2008-07-14",37.53,38.24,36.86,37.32,2176700,33.47
"2008-07-15",37.3,38.27,36.09,37.3,2661900,33.45
"2008-07-16",37.29,39.5,36.87,39.24,2440100,35.19
"2008-07-17",39.69,41.11,38.12,40.82,3603100,36.61
"2008-07-18",42.44,42.44,39.4,39.64,2146400,35.55
"2008-07-21",39.5,40.29,38.66,39.21,1307200,35.17
"2008-07-22",38.82,40.4,38.13,39.89,2529500,35.78
"2008-07-23",39.86,42.07,39.29,40.1,2827200,35.96
"2008-07-24",40.09,40.2,38.63,38.7,2293500,34.71
"2008-07-25",36.64,38.16,36.5,37.24,4784200,33.4
"2008-07-28",36.78,37.55,35.93,36.35,2446800,32.6
"2008-07-29",36.45,37.59,36.45,37.33,3144700,33.48
"2008-07-30",37.64,38.31,36.73,37.36,1765400,33.51
"2008-07-31",37.28,38.56,36.68,37.79,2633500,33.89
"2008-08-01",37.73,38.08,36.81,37,2546300,33.18
"2008-08-04",37.03,38.01,36.31,37.51,2920900,33.64
"2008-08-05",38,40.32,37.9,39.74,3264500,35.64
"2008-08-06",39.4,39.68,38.14,39.17,2232600,35.13
"2008-08-07",38.27,39.19,37.69,38.65,2412100,34.66
"2008-08-08",38.71,41.62,38.71,41.23,2305000,36.98
"2008-08-11",40.86,43.15,40.46,41.2,2998800,36.95
"2008-08-12",40.98,41.7,40.56,41.36,1935800,37.09
"2008-08-13",40.97,41.03,39.33,39.97,1928600,35.85
"2008-08-14",39.4,41.6,39.4,40.79,1598200,36.58
"2008-08-15",40.8,42.18,40.55,41.59,1448200,37.3
"2008-08-18",41.82,42.08,40,40.32,1846900,36.16
"2008-08-19",40.05,40.12,38.7,39.08,1954000,35.05
"2008-08-20",39.09,39.55,38.3,38.42,1650600,34.46
"2008-08-21",37.87,38.78,37.31,38.58,1711000,34.6
"2008-08-22",38.93,40.05,38.93,39.96,1816100,35.84
"2008-08-25",39.7,39.82,38.42,38.51,1951200,34.54
"2008-08-26",38.63,39.67,38.51,39.29,2856800,35.24
"2008-08-27",39.15,40.29,38.86,39.61,2508200,35.53
"2008-08-28",44,44.45,42.27,43.85,8379800,39.33
"2008-08-29",43.64,44.75,43.5,44.17,3342600,39.61
"2008-09-02",44.8,45.72,42.98,43.31,3958500,38.84
"2008-09-03",42.97,44.33,42.95,43.93,2847200,39.4
"2008-09-04",43.74,44.77,43.32,43.5,2722200,39.01
"2008-09-05",42.92,43.49,42.25,43,2809500,38.57
"2008-09-08",44.16,45.75,43.04,45.57,3996400,40.87
"2008-09-09",45.14,45.8,43.65,43.91,2704400,39.38
"2008-09-10",44.65,44.65,43.1,43.84,2374100,39.32
"2008-09-11",42.65,43.16,41.83,42.72,3608300,38.31
"2008-09-12",42.4,43,41.55,42.07,2458100,37.73
"2008-09-15",40.56,41.48,39.75,39.91,3100100,35.79
"2008-09-16",38.83,40.25,38.25,38.98,3760400,34.96
"2008-09-17",38.37,38.81,36.01,36.58,5602800,32.81
"2008-09-18",37.22,38.7,35.15,38.22,5236500,34.44
"2008-09-19",40.01,44.88,38.02,38.07,4764900,34.3
"2008-09-22",38.09,38.09,35.5,35.82,3602000,32.28
"2008-09-23",36,36.9,35.5,35.93,3268200,32.38
"2008-09-24",35.93,37.63,35.77,36.84,3041800,33.2
"2008-09-25",37.18,37.58,36.56,36.76,2053500,33.12
"2008-09-26",36.34,36.76,35.79,36.73,1436300,33.1
