"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume","APC.Adjusted"
"2007-01-03",43.49,43.49,41.81,42.23,7313800,40.33
"2007-01-04",41.89,41.98,40.93,41.03,7089800,39.19
"2007-01-05",41.15,41.64,40.53,41.31,8593600,39.45
"2007-01-08",41.99,42.1,41.05,41.35,5468100,39.49
"2007-01-09",40.8,41.89,40.55,41.36,5161700,39.5
"2007-01-10",41,41.28,40.16,40.51,6012100,38.69
"2007-01-11",40.5,41.64,40.29,40.44,4819500,38.62
"2007-01-12",41.15,41.89,40.81,41.83,5960600,39.95
"2007-01-16",41.5,42.08,41.08,41.46,5641700,39.6
"2007-01-17",41.72,42.01,41.26,41.67,6185500,39.8
"2007-01-18",42.4,42.46,41.41,41.69,4530200,39.82
"2007-01-19",42.1,43.02,41.9,42.95,5865100,41.02
"2007-01-22",43.7,43.77,42.21,42.54,5241100,40.63
"2007-01-23",42.79,43.85,42.79,43.68,5072000,41.72
"2007-01-24",43.62,43.75,42.61,43.11,5460000,41.17
"2007-01-25",42.97,43.14,41.84,41.93,5345800,40.05
"2007-01-26",42.46,42.64,41.77,41.92,3529600,40.04
"2007-01-29",42.01,43.02,41.97,42.05,4323400,40.16
"2007-01-30",42.4,43.68,42.37,43.51,4777100,41.55
"2007-01-31",43.06,44.17,42.89,43.75,4261700,41.78
"2007-02-01",44.1,44.49,43.65,43.92,4386200,41.95
"2007-02-02",44.87,44.87,43.36,43.83,3426300,41.86
"2007-02-05",44.06,44.29,42.53,42.95,6626200,41.02
"2007-02-06",43.1,43.65,41.69,42.47,6172600,40.56
"2007-02-07",42.4,42.93,42.02,42.28,4708000,40.38
"2007-02-08",42.17,42.61,41.75,42.05,6036500,40.16
"2007-02-09",42.13,42.6,41.48,41.55,5628800,39.68
"2007-02-12",41.44,41.72,40.77,41.05,5240100,39.21
"2007-02-13",41.25,41.76,41.18,41.75,4409300,39.87
"2007-02-14",42.25,42.25,41.72,41.9,4479400,40.02
"2007-02-15",41.9,41.9,41.1,41.21,6605500,39.36
"2007-02-16",41.1,41.5,41,41.33,5231200,39.47
"2007-02-20",40.67,40.67,40,40.02,9007600,38.22
"2007-02-21",40,40.75,39.59,40.72,7126800,38.89
"2007-02-22",40.71,41.16,40.46,40.76,5210100,38.93
"2007-02-23",41,41.34,40.65,40.84,4108300,39
"2007-02-26",40.95,41.55,40.69,40.79,6348900,38.96
"2007-02-27",40.19,41,39.55,39.98,7308100,38.18
"2007-02-28",40.13,40.69,40,40.29,5799800,38.48
"2007-03-01",39.76,40.36,39.51,39.98,5733200,38.18
"2007-03-02",39.6,40.2,39.18,39.42,5238900,37.65
"2007-03-05",38.99,39.34,38.4,38.63,7897700,36.89
"2007-03-06",39.06,39.62,39.03,39.5,6713600,37.72
"2007-03-07",39.31,40.9,39.26,40.1,6900400,38.3
"2007-03-08",40.36,40.68,39.7,39.98,5222300,38.18
"2007-03-09",40.28,41.02,39.91,40.75,9707500,38.92
"2007-03-12",40.04,40.66,39.99,40.37,7489700,38.64
"2007-03-13",40.26,40.97,39.92,40.08,7222100,38.36
"2007-03-14",39.98,40.4,39.41,40.09,6772200,38.37
"2007-03-15",39.41,40.1,39.41,39.95,7575200,38.24
"2007-03-16",40.14,40.21,39.34,39.45,5219800,37.76
"2007-03-19",39.73,40.54,39.6,40.48,5175300,38.75
"2007-03-20",40.5,40.64,40.07,40.35,6003000,38.62
"2007-03-21",40.55,41.26,40.19,41.09,5431000,39.33
"2007-03-22",41.53,41.96,41.17,41.74,7440400,39.95
"2007-03-23",41.89,41.96,41.52,41.73,4622400,39.94
"2007-03-26",41.96,42.9,41.71,42.73,7903300,40.9
"2007-03-27",42.62,42.9,42.36,42.76,6011600,40.93
"2007-03-28",43.09,43.17,42.49,42.89,7666800,41.05
"2007-03-29",43.02,43.58,43.02,43.29,6279500,41.44
"2007-03-30",43.13,43.39,42.72,42.98,4506000,41.14
"2007-04-02",43.23,43.73,43,43.7,5863400,41.83
"2007-04-03",43.36,43.92,43.06,43.68,4594800,41.81
"2007-04-04",43.62,43.97,43.22,43.8,4247700,41.92
"2007-04-05",43.9,44.41,43.68,44.3,3605300,42.4
"2007-04-09",44.5,45.21,44.28,44.47,4690800,42.57
"2007-04-10",44.28,45.37,44.28,45.35,5198300,43.41
"2007-04-11",45.37,45.66,45.09,45.32,4386400,43.38
"2007-04-12",45.5,46.21,44.97,46.07,6506800,44.1
"2007-04-13",45.3,46.29,45.3,46.11,4659200,44.14
"2007-04-16",46,46.6,45.71,46.4,4894000,44.41
"2007-04-17",46.77,46.82,45.82,46.1,5039700,44.13
"2007-04-18",45.42,46.42,45.4,46.24,3984800,44.26
"2007-04-19",45.84,45.89,45.33,45.54,3866100,43.59
"2007-04-20",45.98,46.28,45.67,46.22,6321900,44.24
"2007-04-23",46.22,47.73,45.96,47.37,8215600,45.34
"2007-04-24",47.39,47.53,46.75,47,4526200,44.99
"2007-04-25",47.55,48.16,47.2,47.78,3987700,45.73
"2007-04-26",47.64,47.83,47.16,47.47,5047400,45.44
"2007-04-27",47.37,47.75,46.83,47.33,2767800,45.3
"2007-04-30",47.45,47.93,45.85,46.66,3281100,44.66
"2007-05-01",44.86,46.59,44.86,46.27,6779900,44.29
"2007-05-02",46.27,46.5,45.42,45.51,6569500,43.56
"2007-05-03",45.24,46.12,45.11,45.98,4647200,44.01
"2007-05-04",46.2,46.99,45.83,45.97,4313500,44
"2007-05-07",45.85,46.3,45.7,46.1,2760900,44.13
"2007-05-08",45.87,45.92,45.17,45.66,4124100,43.7
"2007-05-09",46.11,46.11,45.39,45.76,5015000,43.8
"2007-05-10",45.85,45.86,44.56,44.89,5497300,42.97
"2007-05-11",45.05,45.73,45,45.57,3458800,43.62
"2007-05-14",45.41,46.45,45.26,46.2,4346000,44.22
"2007-05-15",46.2,46.77,45.93,46.47,7376600,44.48
"2007-05-16",47,47.58,46.71,47.2,6292100,45.18
"2007-05-17",47.2,48.91,46.97,48.34,5695900,46.27
"2007-05-18",48.23,49.24,48.23,48.94,4373800,46.84
"2007-05-21",49.5,49.94,49.25,49.41,7313500,47.29
"2007-05-22",49.5,49.65,48.63,48.74,4627800,46.65
"2007-05-23",48.89,49.3,48.63,48.84,4473200,46.75
"2007-05-24",48.76,48.88,47.41,47.76,6096600,45.71
"2007-05-25",48.35,48.48,48.06,48.38,2247900,46.31
"2007-05-29",48.7,49.3,48.55,48.95,5301200,46.85
"2007-05-30",49.83,49.83,48.58,49.58,4732000,47.46
"2007-05-31",49.6,49.99,49.35,49.65,4821800,47.52
"2007-06-01",49.83,50.1,49.42,49.65,5797200,47.52
"2007-06-04",50.09,52.18,49.75,51.95,7488200,49.73
"2007-06-05",51.72,51.79,50.68,51.03,4659200,48.84
"2007-06-06",50.83,50.88,50,50.3,4728700,48.15
"2007-06-07",50.05,50.82,48.9,48.94,6443200,46.84
"2007-06-08",49.6,50.23,48.55,50.18,4789200,48.03
"2007-06-11",50.29,50.89,50.01,50.24,3457600,48.17
"2007-06-12",50,50.93,49.49,50.17,3210600,48.11
"2007-06-13",50.46,51.58,50.43,51.43,4189200,49.32
"2007-06-14",51.99,52.99,51.68,52.77,5184200,50.6
"2007-06-15",52.95,53.87,52.94,53.85,5121400,51.64
"2007-06-18",55.11,55.11,54.41,54.9,6490000,52.64
"2007-06-19",54.4,55.61,54.32,55.33,4435800,53.06
"2007-06-20",55.21,55.82,53.71,53.82,6551400,51.61
"2007-06-21",54.3,55.14,54.01,54.82,4634000,52.57
"2007-06-22",54.75,55.08,53.72,54.03,4039400,51.81
"2007-06-25",53.24,53.76,52.34,52.8,5072900,50.63
"2007-06-26",52.93,53,50.85,51.23,6168200,49.12
"2007-06-27",50.95,52.28,50.53,52.16,4031700,50.02
"2007-06-28",52.5,52.69,51.15,51.54,5684100,49.42
"2007-06-29",52.18,52.69,51.78,51.99,5236200,49.85
"2007-07-02",52.34,52.46,51.22,51.89,4896000,49.76
"2007-07-03",52.06,52.51,52,52.3,2304900,50.15
"2007-07-05",52.55,53.36,51.86,52.4,3959400,50.25
"2007-07-06",52.86,52.98,52.05,52.23,3545800,50.08
"2007-07-09",51.66,52.94,51.66,52.4,4291600,50.25
"2007-07-10",52.16,52.48,51.67,51.77,3462100,49.64
"2007-07-11",51.64,51.96,51.07,51.74,2786500,49.61
"2007-07-12",52.31,52.42,51.5,51.96,3358600,49.82
"2007-07-13",52,52.97,51.17,52.42,4560700,50.27
"2007-07-16",52.52,53,51.86,52.32,3233700,50.17
"2007-07-17",52.81,53.86,52.36,52.46,4616900,50.3
"2007-07-18",52.71,54.29,52.48,54.03,5091700,51.81
"2007-07-19",54.25,54.92,53.86,54.77,3157100,52.52
"2007-07-20",54.61,54.97,53.51,53.95,4073800,51.73
"2007-07-23",54.69,54.75,52.36,53.04,3765700,50.86
"2007-07-24",52.96,52.96,50.82,51.27,4458700,49.16
"2007-07-25",51.6,52.03,50.1,51.63,4297100,49.51
"2007-07-26",50.05,51.3,48.46,50.13,6548800,48.07
"2007-07-27",50.1,50.99,48.3,49.59,6278800,47.55
"2007-07-30",48.7,50.91,48.7,50.1,5445400,48.04
"2007-07-31",51.85,53.36,50.32,50.33,6242100,48.26
"2007-08-01",50.79,51.78,49.74,51.24,6296000,49.13
"2007-08-02",51.97,52.46,50.54,51.67,4697200,49.55
"2007-08-03",51.61,52.17,49.65,49.89,4574000,47.84
"2007-08-06",49.4,50.69,48.18,50.46,5216800,48.39
"2007-08-07",50,50.79,49.6,50.47,5155200,48.4
"2007-08-08",50.67,51.75,49.7,50.38,5745400,48.31
"2007-08-09",49,50.32,47.7,47.7,8572900,45.74
"2007-08-10",46.56,48.89,46.28,48.57,6642200,46.57
"2007-08-13",49.31,50.46,49.12,49.33,4466500,47.3
"2007-08-14",49.69,49.82,48.26,48.47,4553100,46.48
"2007-08-15",48.47,49,46.87,47.14,5224700,45.2
"2007-08-16",46.25,47.71,45.47,47.48,8744400,45.53
"2007-08-17",49.62,49.62,47.69,48.55,5313900,46.55
"2007-08-20",48.55,49.18,47.49,48.54,4353800,46.54
"2007-08-21",48.8,49,47.35,48.19,3126200,46.21
"2007-08-22",48.9,49.35,48.47,48.65,3792900,46.65
"2007-08-23",49,49.49,48.11,48.84,2440400,46.83
"2007-08-24",48.9,49.56,48.72,49.39,2463000,47.36
"2007-08-27",48.98,49,48.01,48.66,2534600,46.66
"2007-08-28",48.1,48.31,47.13,47.31,4310600,45.37
"2007-08-29",47.48,48.31,47.09,48.21,3812100,46.23
"2007-08-30",47.95,49.33,47.81,48.53,4833300,46.54
"2007-08-31",49.53,49.9,48.87,48.98,3292400,46.97
"2007-09-04",48.88,50.57,48.81,50.03,3508200,47.97
"2007-09-05",49.51,50.38,49.22,50.24,3979900,48.17
"2007-09-06",50.98,51.09,50.11,50.6,6000900,48.52
"2007-09-07",49.75,50.07,48.85,49.77,6345300,47.72
"2007-09-10",49.58,50.16,48.7,49.85,3501900,47.89
"2007-09-11",50.12,50.79,49.35,50.36,3556800,48.38
"2007-09-12",50.15,50.98,50.01,50.57,4133400,48.58
"2007-09-13",50.57,50.95,50.36,50.69,3475400,48.69
"2007-09-14",50.16,51.13,50.03,50.58,2839300,48.59
"2007-09-17",50.33,50.96,50.13,50.66,3567000,48.67
"2007-09-18",50.9,52.44,50.35,52.17,4760100,50.12
"2007-09-19",52.22,53.45,52.22,52.66,5561200,50.59
"2007-09-20",52.52,53.15,52.44,52.96,2645200,50.88
"2007-09-21",53.61,54.27,52.96,53.55,4324600,51.44
"2007-09-24",53.5,53.92,52.78,53.42,3131600,51.32
"2007-09-25",52.95,53.39,52.47,53.23,3372600,51.13
"2007-09-26",53.68,53.81,52.28,52.97,2968000,50.88
"2007-09-27",53.25,53.87,52.88,53.6,2610700,51.49
"2007-09-28",53.66,54.11,53.14,53.75,2762400,51.63
"2007-10-01",53.75,54.96,53.75,54.66,2959400,52.51
"2007-10-02",54.48,54.62,53.74,54.39,4015400,52.25
"2007-10-03",54.05,54.42,53.5,53.89,2768700,51.77
"2007-10-04",53.85,54.96,53.15,54.55,2453900,52.4
"2007-10-05",54.9,54.96,54.37,54.72,2126800,52.57
