"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2007-05-04",43.03,43.93,42.78,43.05,5823200,10.76
"2007-05-07",43.21,43.32,42.1,42.43,3881600,10.61
"2007-05-08",42.4,43.5,42.06,43.36,3608800,10.84
"2007-05-09",43.11,43.63,42.81,43.45,2157200,10.86
"2007-05-10",43.2,43.31,42.48,42.59,2163200,10.65
"2007-05-11",42.65,42.9,42.35,42.42,4174800,10.6
"2007-05-14",42.43,44.3,42.26,43.15,7812800,10.79
"2007-05-15",43.26,44.41,43.05,44.07,8039600,11.02
"2007-05-16",44.4,46.25,44.14,45.25,13915600,11.31
"2007-05-17",44.75,44.75,42.35,42.98,19213600,10.74
"2007-05-18",43.13,46.5,42.77,45.8,22051200,11.45
"2007-05-21",47.95,49.96,47.08,47.76,23118000,11.94
"2007-05-22",48.2,48.42,46.95,47.13,6139200,11.78
"2007-05-23",46.95,47.27,46,46.24,4421200,11.56
"2007-05-24",45.3,45.75,44.15,44.86,10685600,11.22
"2007-05-25",44.85,46.24,44.85,46.09,7043200,11.52
"2007-05-29",46.86,46.86,45.4,45.9,5482400,11.48
"2007-05-30",45.9,49.63,45.49,48.72,15481600,12.18
"2007-05-31",49.4,49.4,47.17,47.25,8651200,11.81
"2007-06-01",47.25,48.06,47.1,47.88,5761600,11.97
"2007-06-04",48.25,48.25,46.52,47.06,6898000,11.77
"2007-06-05",46.55,47.75,44.7,47.46,14661200,11.86
"2007-06-06",47.4,47.46,45.85,46.46,5817600,11.61
"2007-06-07",46.73,46.73,44.69,45.01,5972000,11.25
"2007-06-08",45.4,46.33,44.99,46.25,5600800,11.56
"2007-06-11",46.05,46.81,45.7,46.63,4005200,11.66
"2007-06-12",46.1,46.4,45.19,45.35,3046400,11.34
"2007-06-13",45.51,45.95,44.92,45.47,2712400,11.37
"2007-06-14",45.27,45.7,45.05,45.47,3886400,11.37
"2007-06-15",45.57,47.14,45.34,45.59,7145200,11.4
"2007-06-18",45.59,46.15,44.7,44.85,5113200,11.21
"2007-06-19",44.4,45.71,44.37,45.34,4096400,11.34
"2007-06-20",45.46,45.5,44.66,44.88,4610800,11.22
"2007-06-21",44.75,44.8,41.71,41.91,22410000,10.48
"2007-06-22",42.42,42.57,40.3,40.55,15560000,10.14
"2007-06-25",39.75,42.55,39.67,42.2,13568400,10.55
"2007-06-26",42.2,42.2,40.81,41.03,8231600,10.26
"2007-06-27",41.45,44.1,41.45,43.92,17513600,10.98
"2007-06-28",43.92,45.11,43.38,43.4,11264400,10.85
"2007-06-29",43.37,43.75,42.63,42.86,4509600,10.72
"2007-07-02",43,43.71,42.7,43.27,4823200,10.82
"2007-07-03",43.23,43.29,42.79,42.85,1242000,10.71
"2007-07-05",42.72,44.06,42.53,44.03,3530800,11.01
"2007-07-06",44.19,44.76,43.89,44.68,3343600,11.17
"2007-07-09",44.4,44.83,44.05,44.45,3534000,11.11
"2007-07-10",44.1,44.32,43,43.4,7257600,10.85
"2007-07-11",42.74,43.56,41.82,43.32,6651200,10.83
"2007-07-12",43.5,45.18,43.47,45.1,6626800,11.27
"2007-07-13",44.8,46,44.21,44.54,8098000,11.14
"2007-07-16",44.93,45.43,43.94,44.15,2941200,11.04
"2007-07-17",43.24,44.62,42.61,44.02,8900000,11.01
"2007-07-18",43.4,43.9,42.9,43.28,3813200,10.82
"2007-07-19",43.99,44.52,43.71,43.91,3597600,10.98
"2007-07-20",43.86,43.86,42.56,43.45,5308800,10.86
"2007-07-23",43.45,45.29,43.21,44.65,6768800,11.16
"2007-07-24",44.02,44.7,43.29,43.38,4344400,10.85
"2007-07-25",44.04,44.37,42.79,43.53,3108800,10.88
"2007-07-26",42.81,43.4,41.26,41.97,6850400,10.49
"2007-07-27",41.99,42.41,40.78,40.89,5445600,10.22
"2007-07-30",40.95,41.07,40.07,40.5,6458000,10.12
"2007-07-31",40.83,41.19,38.61,38.86,9219600,9.72
"2007-08-01",38.86,40.34,37.9,40.14,9975600,10.03
"2007-08-02",39.99,41.85,39.65,41.8,8174800,10.45
